fold,name,crop_A0_PSNR,full_A0_PSNR,crop_minus_full_A0_PSNR,dPSNR,crop_strong_reference,full_strong_reference,crop_strong_regression,full_strong_regression,v221_full_row_present
0,2737_0.51_0.6.png,44.16259669922425,45.722862243652344,-1.5602655444280913,0.3221522364019265,1,1,0,0,1
0,787_0.88_0.71.png,44.78289441931581,42.3267822265625,2.4561121927533094,-0.10022246755058006,1,1,1,1,1
0,2822_0.83_0.63.png,41.614387756379074,42.66454315185547,-1.050155395476395,0.08051310813760892,1,1,0,0,1
0,1560_0.99_1.56.png,39.30695071222744,42.59865188598633,-3.291701173758888,-0.007921509323800535,1,1,0,0,1
0,2670_0.93_1.49.png,45.63229921542664,37.28913879394531,8.343160421481329,0.006892355775704573,1,1,0,0,1
0,2794_0.8_0.92.png,46.302609139412496,46.870426177978516,-0.5678170385660195,0.025128512824935,1,1,0,0,1
0,2138_0.88_1.49.png,38.33029365148815,38.64727783203125,-0.31698418054310196,-0.09183585640457181,1,1,1,1,1
0,2366_0.56_1.55.png,41.92416287113903,42.791996002197266,-0.8678331310582337,-0.09687919491286578,1,1,1,1,1
0,766_1.0_0.59.png,44.17984702004465,39.43943405151367,4.7404129685309755,0.007577990030597448,1,1,0,0,1
1,149_0.51_1.05.png,43.8341317578326,38.71318435668945,5.120947401143148,-0.10923728547638234,1,1,1,1,1
1,1342_0.9_1.88.png,39.5206868865045,24.979894638061523,14.540792248442976,0.0017774265882266604,1,0,0,0,1
1,2330_0.55_1.2.png,42.66923738434584,42.43018341064453,0.23905397370130999,0.27588158297697163,1,1,0,0,1
1,1961_0.5_1.16.png,44.16298235450042,43.14982604980469,1.013156304695734,0.059763733323279666,1,1,0,0,1
1,144_0.68_1.71.png,42.15575393805427,33.789710998535156,8.366042939519112,-0.30052130677241706,1,1,1,1,1
1,1489_0.87_0.97.png,40.63991499513223,37.5972900390625,3.04262495606973,0.054570191716926786,1,1,0,0,1
1,1202_0.79_1.51.png,42.78831034998791,38.238861083984375,4.549449266003535,-0.024393211863625197,1,1,0,0,1
1,1633_0.73_1.49.png,44.906829531546364,40.360504150390625,4.546325381155739,0.23037107149284708,1,1,0,0,1
1,991_0.86_0.63.png,45.49952969763575,39.627166748046875,5.872362949588876,0.2105659748511286,1,1,0,0,1
1,2513_0.77_1.03.png,36.02608421879707,38.5914192199707,-2.5653350011736364,-0.20314448975949517,1,1,1,1,1
1,358_0.51_1.67.png,40.62923674898607,38.47641372680664,2.152823022179426,-0.23536384499171703,1,1,1,1,1
1,2518_0.67_1.1.png,48.08657905603822,43.52768325805664,4.558895797981577,-0.07248096377226432,1,1,1,1,1
1,1378_0.56_1.67.png,45.95133680096981,33.3412971496582,12.61003965131161,-0.21818487796169705,1,1,1,1,1
1,901_0.51_1.02.png,45.31359105021596,37.926658630371094,7.386932419844868,0.4190649227430754,1,1,0,0,1
