fold,gt_keep_fraction,gt_spatial_minus_keep_color_bias,gt_spatial_minus_keep_psnr_db,gt_spatial_minus_keep_ssim,gt_spatial_minus_shuffled_psnr_db,gt_spatial_minus_uniform_psnr_db,gt_strengthen_fraction,gt_weaken_fraction,model,p00_keep_fraction,p00_minus_p11_psnr_db,p00_spatial_minus_keep_color_bias,p00_spatial_minus_keep_psnr_db,p00_spatial_minus_keep_ssim,p00_spatial_minus_shuffled_psnr_db,p00_spatial_minus_uniform_psnr_db,p00_strengthen_fraction,p00_weaken_fraction,p01_keep_fraction,p01_spatial_minus_keep_color_bias,p01_spatial_minus_keep_psnr_db,p01_spatial_minus_keep_ssim,p01_spatial_minus_shuffled_psnr_db,p01_spatial_minus_uniform_psnr_db,p01_strengthen_fraction,p01_weaken_fraction,p10_keep_fraction,p10_spatial_minus_keep_color_bias,p10_spatial_minus_keep_psnr_db,p10_spatial_minus_keep_ssim,p10_spatial_minus_shuffled_psnr_db,p10_spatial_minus_uniform_psnr_db,p10_strengthen_fraction,p10_weaken_fraction,p11_keep_fraction,p11_spatial_minus_keep_color_bias,p11_spatial_minus_keep_psnr_db,p11_spatial_minus_keep_ssim,p11_spatial_minus_shuffled_psnr_db,p11_spatial_minus_uniform_psnr_db,p11_strengthen_fraction,p11_weaken_fraction,population,scene
frozen_candidate,0.12719999999999995,-0.023275508825134603,4.710527501000601,0.0038039833307266235,3.237367658217604,4.710527501000602,0.13199999999999995,0.7407999999999998,frozen_test_development_candidate,1.0,0.0,0.0,-8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,haze4k_test_development_stress,33b1a641a6c6860f57e1547bcd8f5592bef9016a2ef26da4efa7ae403ac1b299
frozen_candidate,0.4767999999999998,-0.0028907582123015654,2.6034116286829407,0.003005281090736389,4.098410942569099,2.60341162868294,0.2775999999999999,0.24559999999999993,frozen_test_development_candidate,1.0,0.0,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,haze4k_test_development_stress,3522e97b6fc89802609965afc3d5e5baa723be338edfd5b177c9871b8b85966f
frozen_candidate,0.33333333333333326,0.0015836660613181013,1.2734037379368477,-0.0006701648235321045,2.0497681119847524,1.273403737936845,0.3824999999999999,0.2841666666666666,frozen_test_development_candidate,1.0,0.0,0.0,2.6645352591003757e-15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.6645352591003757e-15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.6645352591003757e-15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.6645352591003757e-15,0.0,0.0,0.0,0.0,0.0,haze4k_test_development_stress,35d12ec899ad3d7c94f4dff257281970f63f3b0e3f1c765983db4cbbef9619ef
frozen_candidate,0.3911999999999999,-0.006818527711035373,2.158232265912334,-0.0005945563316345215,3.686138792610546,2.158232265912334,0.3911999999999999,0.2175999999999999,frozen_test_development_candidate,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,haze4k_test_development_stress,3761e2ecc0e47b77ceeb29dc5fd3177b0821e1469ae195a3224e3c94dc6e9bbc
frozen_candidate,0.5899999999999999,-0.002171122570532073,2.601784347092936,0.0011070668697357178,4.591018051432259,2.601784347092937,0.24559999999999987,0.16439999999999994,frozen_test_development_candidate,1.0,0.0,0.0,-8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,haze4k_test_development_stress,38933dc6ce6c83cfbdf4fef20c45fd9471791d0b676d2eae48bf13be38b24984
frozen_candidate,0.6533333333333333,8.635136341627122e-05,1.0095774172352314,0.00034068524837493896,5.1710668942456905,1.0095774172352314,0.10666666666666665,0.23999999999999994,frozen_test_development_candidate,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,haze4k_test_development_stress,38d6f0630f4d47d3d08fa06b1cb346f67420580d8316dc791034ec0473868cda
frozen_candidate,0.8349999999999997,-0.000494789471977981,1.350320698928865,-3.88026237487793e-05,4.3667826804054055,1.350320698928865,0.16249999999999995,0.0024999999999999996,frozen_test_development_candidate,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,haze4k_test_development_stress,3b427a1781976dddae79fdfb54c81431836d6ab6f29cc8f5eab6bd591d122cc8
frozen_candidate,0.5566666666666665,-0.0027578289779129107,3.4987037075364924,-0.00045581161975860596,6.250791989323124,3.498703707536494,0.31916666666666654,0.12416666666666665,frozen_test_development_candidate,1.0,0.0,0.0,-1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,haze4k_test_development_stress,3b533e230d9bd54b3479890af18a2fac55a2436a0ba3fb1e25c4e0640fcb02e0
frozen_candidate,0.07279999999999998,-0.023318872269464913,5.370267806782058,0.005792587995529175,5.519230667548667,5.370267806782058,0.2351999999999999,0.6919999999999998,frozen_test_development_candidate,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,haze4k_test_development_stress,437f8bfd16e4bc55d602c7084f4736340f92806bbae63d2ae09d6cddec54d783
frozen_candidate,0.6775,-0.0028067027389800437,1.99620914695996,-0.0018658936023712158,3.8984228674018677,1.9962091469599592,0.22166666666666662,0.1008333333333333,frozen_test_development_candidate,1.0,0.0,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,haze4k_test_development_stress,47c5fb8bd781d02100b4155643c00d314fc6171e7ec5390ce585a488166e269d
