action,critical_value,estimate,family_size,lower,max_half_width,metric,population,scene_count,upper
weaken,3.1969502291312533,0.40874139686763444,36,0.3891765949312615,0.019564801936372965,utility_mae_improvement,haze4k_train_oof,600,0.4283061988040074
weaken,3.1969502291312533,0.3732553928471673,36,0.34805126092275224,0.025204131924415084,utility_rank_correlation,haze4k_train_oof,594,0.39845952477158236
weaken,3.1969502291312533,0.790831079422938,36,0.767561693962388,0.02326938546054995,beneficial_auc,haze4k_train_oof,568,0.8141004648834879
weaken,3.1969502291312533,1.475793382634139,36,1.321347379463908,0.15444600317023105,top_fraction_utility_lift,haze4k_train_oof,600,1.63023938580437
weaken,3.1969502291312533,0.07754738496904356,36,0.06748636160445555,0.010061023364588013,risk_brier,haze4k_train_oof,600,0.08760840833363158
weaken,3.1969502291312533,0.08898546617228394,36,0.07887755777985293,0.010107908392431,constant_risk_brier,haze4k_train_oof,600,0.09909337456471494
weaken,3.1969502291312533,0.011438081203240351,36,0.009403269245305785,0.002034811957934565,risk_brier_improvement,haze4k_train_oof,600,0.013472893161174917
weaken,3.1969502291312533,0.8442612483193264,36,0.826109672084114,0.018151576235212394,risk_auc,haze4k_train_oof,569,0.8624128245545387
weaken,3.1969502291312533,0.09524644444444441,36,0.08286615143298745,0.012380293011456956,beneficial_area_prevalence,haze4k_train_oof,600,0.10762673745590137
weaken,3.1969502291312533,0.9012762222222221,36,0.8886806615972574,0.012595560624964648,harm_area_prevalence,haze4k_train_oof,600,0.9138717828471868
weaken,3.1969502291312533,0.21740117702966194,36,0.19294085171177178,0.024460325317890157,permuted_utility_mae_improvement,haze4k_train_oof,600,0.2418615023475521
weaken,3.1969502291312533,0.5027921513864888,36,0.4885034518071221,0.014288699579366702,permuted_beneficial_auc,haze4k_train_oof,568,0.5170808509658555
weaken,3.1969502291312533,0.00035444573904566234,36,-0.03778284282474956,0.03813728856379522,permuted_top_fraction_utility_lift,haze4k_train_oof,600,0.03849173430284088
weaken,3.1969502291312533,1.4754389368950929,36,1.318043028464817,0.1573959084302758,observed_minus_permuted_top_lift,haze4k_train_oof,600,1.6328348453253687
weaken,3.1969502291312533,-0.00762930708292443,36,-0.009125668901862661,0.001496361818938232,permuted_risk_brier_improvement,haze4k_train_oof,600,-0.006132945263986197
weaken,3.1969502291312533,0.5010401611325319,36,0.48851709094961115,0.012523070182920752,permuted_risk_auc,haze4k_train_oof,569,0.5135632313154527
strengthen,3.1969502291312533,1.069643233212189,36,0.9728595905107942,0.09678364270139489,utility_mae,haze4k_train_oof,600,1.1664268759135838
strengthen,3.1969502291312533,1.70235247479091,36,1.629551154117294,0.07280132067361605,constant_utility_mae,haze4k_train_oof,600,1.775153795464526
strengthen,3.1969502291312533,0.6327092415787211,36,0.5775344541900542,0.05517478738866691,utility_mae_improvement,haze4k_train_oof,600,0.687884028967388
strengthen,3.1969502291312533,0.39608857605953174,36,0.36702113566882555,0.029067440390706207,utility_rank_correlation,haze4k_train_oof,600,0.42515601645023793
strengthen,3.1969502291312533,0.7652602880223162,36,0.7449273671843061,0.020332920838010093,beneficial_auc,haze4k_train_oof,595,0.7855932088603262
strengthen,3.1969502291312533,1.4946778663473521,36,1.3387534888566386,0.15592437749071356,top_fraction_utility_lift,haze4k_train_oof,600,1.6506022438380656
strengthen,3.1969502291312533,0.13230802308765258,36,0.11959818918975246,0.012709833897900117,risk_brier,haze4k_train_oof,600,0.1450178569855527
strengthen,3.1969502291312533,0.15783232466638883,36,0.14389632375229622,0.013936000914092604,constant_risk_brier,haze4k_train_oof,600,0.17176832558048144
strengthen,3.1969502291312533,0.02552430157873628,36,0.018621116404811754,0.0069031851739245285,risk_brier_improvement,haze4k_train_oof,600,0.03242748675266081
strengthen,3.1969502291312533,0.7983131684655849,36,0.7799394364623348,0.01837373200325005,risk_auc,haze4k_train_oof,595,0.816686900468835
strengthen,3.1969502291312533,0.19073488888888884,36,0.1681800056217361,0.02255488326715274,beneficial_area_prevalence,haze4k_train_oof,600,0.21328977215604158
strengthen,3.1969502291312533,0.8037799999999998,36,0.7808758017658217,0.022904198234178146,harm_area_prevalence,haze4k_train_oof,600,0.8266841982341779
strengthen,3.1969502291312533,0.33488575610684346,36,0.27904187504977057,0.055843881057072865,permuted_utility_mae_improvement,haze4k_train_oof,600,0.39072963716391634
strengthen,3.1969502291312533,0.4989909854323182,36,0.4881518538075093,0.010839131624808858,permuted_beneficial_auc,haze4k_train_oof,595,0.509830117057127
strengthen,3.1969502291312533,-0.0014686630251860692,36,-0.05323182264819285,0.05176315962300678,permuted_top_fraction_utility_lift,haze4k_train_oof,600,0.05029449659782071
strengthen,3.1969502291312533,1.4961465293725382,36,1.3300891166565005,0.16605741271603763,observed_minus_permuted_top_lift,haze4k_train_oof,600,1.662203942088576
