variant,scope,count,mean_dPSNR,median_dPSNR,p01_dPSNR,p05_dPSNR,CVaR5_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,positive_ratio,severe_count,severe_rate,strong_reference_count,strong_reference_regressions,strong_reference_regression_rate,strong_easy_mean_dPSNR,strong_easy_p05_dPSNR,fold,gate_kind,threshold,threshold_low,gamma,tau,fold_tail_pass
V221_risk_piecewise_t0p50_0p90,fold0,480,2.1169783234596253,1.4460105895996094,-0.33621807098388673,0.0,-0.2376826604207357,4.316819016138712,0.6482808748881023,0.88125,9,0.01875,120,7,0.058333333333333334,0.6482808748881023,-0.07611274719238281,0,predicted_risk_piecewise,0.9,0.5,,,1
V221_risk_piecewise_t0p50_0p90,fold1,480,2.21476704676946,1.5559139251708984,-0.3539929580688477,0.0,-0.2350341478983561,4.249575185775757,0.7256438891092937,0.8854166666666666,8,0.016666666666666666,120,9,0.075,0.7256438891092937,-0.12148704528808593,1,predicted_risk_piecewise,0.9,0.5,,,1
V221_risk_piecewise_t0p50_0p90,fold2,480,2.2230950554211932,1.508707046508789,-0.41056941986083983,0.0,-0.2290172576904297,4.513801368077596,0.6099872907002767,0.8729166666666667,8,0.016666666666666666,120,4,0.03333333333333333,0.6099872907002767,-0.010779190063476558,2,predicted_risk_piecewise,0.9,0.5,,,1
V221_risk_piecewise_t0p50_0p90,fold3,480,2.1443467577298483,1.4543685913085938,-0.6629438400268555,-0.00032272338867187986,-0.43874867757161456,4.103531916936238,0.6450681686401367,0.8770833333333333,16,0.03333333333333333,120,8,0.06666666666666667,0.6450681686401367,-0.141998291015625,3,predicted_risk_piecewise,0.9,0.5,,,1
V221_risk_piecewise_t0p50_0p90,fold4,480,2.173638562361399,1.6392707824707031,-0.38187351226806643,0.0,-0.28538084030151367,4.258229398727417,0.755730152130127,0.88125,9,0.01875,120,7,0.058333333333333334,0.755730152130127,-0.08336353302001953,4,predicted_risk_piecewise,0.9,0.5,,,1
V221_risk_soft_t0p50_tau0p10,fold0,480,2.0856743017832438,1.4353351593017578,-0.08883968353271485,0.005269241333007812,-0.10085741678873698,4.27499418258667,0.6251098950703938,0.9708333333333333,3,0.00625,120,4,0.03333333333333333,0.6251098950703938,-0.00543537139892578,0,predicted_risk_soft,0.5,,,0.1,1
V221_risk_soft_t0p50_tau0p10,fold1,480,2.2042847752571104,1.555013656616211,-0.06874137878417969,0.004239463806152343,-0.06052192052205404,4.259932978947957,0.7293868700663249,0.9625,2,0.004166666666666667,120,4,0.03333333333333333,0.7293868700663249,-0.004379081726074218,1,predicted_risk_soft,0.5,,,0.1,1
V221_risk_soft_t0p50_tau0p10,fold2,480,2.2067185362180073,1.4769554138183594,-0.11690143585205078,0.004405784606933593,-0.06296014785766602,4.4886402289072675,0.5574687957763672,0.9645833333333333,4,0.008333333333333333,120,2,0.016666666666666666,0.5574687957763672,-0.00014762878417968724,2,predicted_risk_soft,0.5,,,0.1,1
V221_risk_soft_t0p50_tau0p10,fold3,480,2.105087471008301,1.451131820678711,-0.2761775207519531,0.0021236419677734372,-0.14324545860290527,4.0485837936401365,0.5740833600362142,0.95625,8,0.016666666666666666,120,2,0.016666666666666666,0.5740833600362142,-0.004077339172363281,3,predicted_risk_soft,0.5,,,0.1,1
V221_risk_soft_t0p50_tau0p10,fold4,480,2.155094826221466,1.6241588592529297,-0.05544059753417969,0.005700492858886718,-0.12709363301595053,4.279550758997599,0.725757916768392,0.96875,4,0.008333333333333333,120,1,0.008333333333333333,0.725757916768392,0.0023616790771484376,4,predicted_risk_soft,0.5,,,0.1,1
V221_risk_soft_t0p50_tau0p20,fold0,480,2.0776768922805786,1.377960205078125,-0.07883544921875,0.024419403076171874,-0.07064167658487956,4.13787047068278,0.6864651362101237,0.9666666666666667,1,0.0020833333333333333,120,4,0.03333333333333333,0.6864651362101237,-0.02510852813720703,0,predicted_risk_soft,0.5,,,0.2,1
