family,alpha,group,bin,count,mean_dPSNR,mean_bootstrap_LCB,hard_bottom25_dPSNR,hard_bootstrap_LCB,easy_top25_dPSNR,worst_dPSNR,dSSIM,positive_ratio,positive_Wilson_LCB,nonnegative_ratio,severe_loss_count,severe_loss_per_600,severe_Wilson_UCB
expert,0.125,residual_cosine_q4,q3,150,0.5125870895385742,0.47816100374857584,0.45800466795225403,0.3795576430655815,0.5352918264028188,-0.15317535400390625,0.00048412203788757326,0.96,0.9154854608728422,0.96,0,0.0,0.02497113914571871
expert,0.125,residual_cosine_q4,q4,150,0.6807312266031901,0.6440756448109944,0.5824379792084565,0.5019221357397131,0.6796448166305954,-0.06827735900878906,0.0005442885557810466,0.9933333333333333,0.9632062470660242,0.9933333333333333,0,0.0,0.02497113914571871
expert,0.125,haze_density_q4,q1,150,0.6543972396850586,0.6263198839823405,0.6848059473810969,0.64070869136501,0.6025041116250528,-0.07602310180664062,0.00045897801717122394,0.9933333333333333,0.9632062470660242,0.9933333333333333,0,0.0,0.02497113914571871
expert,0.125,haze_density_q4,q2,150,0.5860336939493815,0.5472209746042888,0.5688658533869563,0.4977349410185943,0.567539627487595,-0.3823966979980469,0.0005240972836812337,0.98,0.9428523341357584,0.98,1,4.0,0.036793752933975674
expert,0.125,haze_density_q4,q3,150,0.504982795715332,0.4693590698242187,0.5429102407919394,0.4609398249033335,0.5313448519320101,-0.15317535400390625,0.0005773810545603434,0.9733333333333334,0.9334450938998244,0.9733333333333334,0,0.0,0.02497113914571871
expert,0.125,haze_density_q4,q4,150,0.5004786809285482,0.46601589902242024,0.4603688523576066,0.4004594905956372,0.5383083240405934,-0.13965606689453125,0.0006598798433939616,0.9666666666666667,0.9243471574929044,0.9666666666666667,0,0.0,0.02497113914571871
expert,0.125,haze_density_p90_q4,q1,150,0.6444704818725586,0.6116003112792968,0.6549809945596231,0.5877174068141627,0.5977021294671137,-0.07602310180664062,0.0004053755601247152,0.9933333333333333,0.9632062470660242,0.9933333333333333,0,0.0,0.02497113914571871
expert,0.125,haze_density_p90_q4,q2,163,0.5759252419500994,0.544188528704497,0.5032820224761962,0.4166305088996887,0.5822749137878418,-0.12112045288085938,0.0005775192763907777,0.9815950920245399,0.9472909504611251,0.9815950920245399,0,0.0,0.023025432506041655
expert,0.125,haze_density_p90_q4,q3,142,0.5206114809278032,0.4801003657596212,0.4475785391671317,0.3839847183227539,0.49812731061662946,-0.3823966979980469,0.0006102705505532278,0.9507042253521126,0.9017454980238941,0.9507042253521126,1,4.225352112676056,0.03881023299663651
expert,0.125,haze_density_p90_q4,q4,145,0.49938375538793106,0.464271266542632,0.5374763276841905,0.46929689778221984,0.5476124021742079,-0.07386016845703125,0.0006306899004969104,0.9862068965517241,0.9511064772560722,0.9862068965517241,0,0.0,0.025809988605336138
