group,bin,expert_selected_rate,unique_win_rate,count,mean_dPSNR,mean_bootstrap_LCB,hard_bottom25_dPSNR,hard_bootstrap_LCB,easy_top25_dPSNR,worst_dPSNR,dSSIM,positive_ratio,positive_Wilson_LCB,nonnegative_ratio,severe_loss_count,severe_loss_per_600,severe_Wilson_UCB
residual_cosine_q4,q2,0.9466666666666667,0.9466666666666667,150,2.8434439595540364,2.572656651814779,4.186580864158836,3.374214386295628,2.0410297496898755,0.0,0.0,0.9933333333333333,0.9632062470660242,1.0,0,0.0,0.02497113914571871
residual_cosine_q4,q3,0.88,0.88,150,2.684443524678548,2.4439170424143475,3.540084684217298,2.9101507805489204,1.9432118390057538,0.0,0.0,0.98,0.9428523341357584,1.0,0,0.0,0.02497113914571871
residual_cosine_q4,q4,0.88,0.88,150,3.6833205286661785,3.3495648523966475,5.1725067447971655,4.389939266926533,2.450309031718486,0.0,0.0,0.9933333333333333,0.9632062470660242,1.0,0,0.0,0.02497113914571871
haze_density_q4,q1,0.94,0.94,150,2.924440066019694,2.7036457277933756,4.082812798989786,3.66979679159216,2.093339765394056,0.0,0.0,0.9933333333333333,0.9632062470660242,1.0,0,0.0,0.02497113914571871
haze_density_q4,q2,0.9066666666666666,0.9066666666666666,150,3.1557127634684243,2.8422544492085775,4.485013188542546,3.706565941991033,2.0761006329510665,0.0,0.0,0.9933333333333333,0.9632062470660242,1.0,0,0.0,0.02497113914571871
haze_density_q4,q3,0.86,0.86,150,3.4011644236246745,3.1090559196472167,5.004875595505173,4.202179205095446,2.2768174248772697,0.0,0.0,0.9866666666666667,0.9526921436197237,1.0,0,0.0,0.02497113914571871
haze_density_q4,q4,0.92,0.92,150,3.3083791224161785,3.0086532135009763,3.8652753572206238,3.1986326140326424,2.4043956447292016,0.0,0.0,0.9866666666666667,0.9526921436197237,1.0,0,0.0,0.02497113914571871
haze_density_p90_q4,q1,0.9333333333333333,0.9333333333333333,150,2.7896298599243163,2.529951467514038,4.060988297333589,3.401985485489304,1.9772321340200063,0.0,0.0,0.9933333333333333,0.9632062470660242,1.0,0,0.0,0.02497113914571871
haze_density_p90_q4,q2,0.9325153374233128,0.9325153374233128,163,3.180596919147515,2.932985856342901,3.9823293685913086,3.1887621235847474,2.427961730957031,0.0,0.0,0.9877300613496932,0.9563709952637922,1.0,0,0.0,0.023025432506041655
haze_density_p90_q4,q3,0.8591549295774648,0.8591549295774648,142,3.308785854930609,3.024611899550532,3.760357883998326,3.148427824292864,2.392794145856585,0.0,0.0,0.9859154929577465,0.950103011566163,1.0,0,0.0,0.02634090684688045
haze_density_p90_q4,q4,0.896551724137931,0.896551724137931,145,3.5291385387552197,3.1984518498387833,4.840336216820611,4.101753740840488,2.5109739303588867,0.0,0.0,0.993103448275862,0.9619713263011486,1.0,0,0.0,0.025809988605336138
transmission_q4,q1,0.92,0.92,150,3.3083791224161785,3.0086532135009763,3.8652753572206238,3.1986326140326424,2.4043956447292016,0.0,0.0,0.9866666666666667,0.9526921436197237,1.0,0,0.0,0.02497113914571871
transmission_q4,q2,0.86,0.86,150,3.4011644236246745,3.1090559196472167,5.004875595505173,4.202179205095446,2.2768174248772697,0.0,0.0,0.9866666666666667,0.9526921436197237,1.0,0,0.0,0.02497113914571871
transmission_q4,q3,0.9066666666666666,0.9066666666666666,150,3.1557127634684243,2.8422544492085775,4.485013188542546,3.706565941991033,2.0761006329510665,0.0,0.0,0.9933333333333333,0.9632062470660242,1.0,0,0.0,0.02497113914571871
transmission_q4,q4,0.94,0.94,150,2.924440066019694,2.7036457277933756,4.082812798989786,3.66979679159216,2.093339765394056,0.0,0.0,0.9933333333333333,0.9632062470660242,1.0,0,0.0,0.02497113914571871
airlight_proxy_q4,q1,0.8466666666666667,0.8466666666666667,150,3.531140734354655,3.1812290382385253,4.689819284387537,3.8988630939174342,2.2418144844673775,0.020111083984375,0.0,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871
airlight_proxy_q4,q2,0.9490445859872612,0.9490445859872612,157,3.2928563500665557,2.99913945653636,4.67735838278746,4.086564660683656,2.360197213979868,0.010295867919921875,0.0,1.0,0.9761156317768539,1.0,0,0.0,0.02388436822314625
airlight_proxy_q4,q3,0.8881118881118881,0.8881118881118881,143,2.845023535348319,2.609945958144181,3.493530327933175,2.8079723494393485,2.3074074881417412,0.0,0.0,0.972027972027972,0.9302882153718061,1.0,0,0.0,0.02616152370990237
airlight_proxy_q4,q4,0.94,0.94,150,3.099776891072591,2.871220225016276,4.580864365036423,3.975778597754401,2.2071241430334143,0.0,0.0,0.9866666666666667,0.9526921436197237,1.0,0,0.0,0.02497113914571871
depth_q4,q1,0.9066666666666666,0.9066666666666666,150,3.337618459065755,3.0705876954396567,4.5824556092958195,3.8856618004876213,2.0871031477644637,0.0,0.0,0.9933333333333333,0.9632062470660242,1.0,0,0.0,0.02497113914571871
depth_q4,q2,0.9133333333333333,0.9133333333333333,150,3.081291020711263,2.807203068415324,4.329041249043232,3.6077502250671385,2.4797861253893054,0.0,0.0,0.98,0.9428523341357584,1.0,0,0.0,0.02497113914571871
depth_q4,q3,0.92,0.92,150,3.465228474934896,3.172670078277588,4.609851321658573,3.795585567886765,2.4860582093934753,0.16460418701171875,0.0,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871
depth_q4,q4,0.8866666666666667,0.8866666666666667,150,2.9055584208170573,2.612761843363444,3.9513620943636507,3.2550211287833553,2.121423257363809,0.0,0.0,0.9866666666666667,0.9526921436197237,1.0,0,0.0,0.02497113914571871
dark_channel_q4,q1,0.88,0.88,150,2.79244208017985,2.5296874453226725,3.702623058009792,3.023286855542982,2.1350184260187923,0.0,0.0,0.9933333333333333,0.9632062470660242,1.0,0,0.0,0.02497113914571871
dark_channel_q4,q2,0.88,0.88,150,2.991220054626465,2.7247412783304847,3.4225383964744776,2.7769421783653465,2.4837549570444466,0.025249481201171875,0.0,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871
dark_channel_q4,q3,0.9266666666666666,0.9266666666666666,150,3.4208051427205404,3.0841662553151448,4.476675858368745,3.6917078817212903,2.471212644834776,0.0,0.0,0.98,0.9428523341357584,1.0,0,0.0,0.02497113914571871
dark_channel_q4,q4,0.94,0.94,150,3.5852290980021158,3.292522623062134,4.729835252504091,4.002680283623773,2.473032049230627,0.0,0.0,0.9866666666666667,0.9526921436197237,1.0,0,0.0,0.02497113914571871
low_texture_q4,q1,0.88,0.88,150,3.199044456481934,2.908469283421834,5.511904278317013,4.841865114263586,2.2574644346494934,0.0,0.0,0.9933333333333333,0.9632062470660242,1.0,0,0.0,0.02497113914571871
