name,bucket,original_psnr,candidate_psnr,delta_psnr,original_ssim,candidate_ssim,delta_ssim,gamma_mean,gamma_abs_mean,gamma_std,gamma_min,gamma_max,gamma_abs_gt_0.05,gamma_abs_gt_0.10,gamma_abs_gt_0.09,beta_present,beta_mean,beta_abs_mean,beta_std,beta_min,beta_max,beta_abs_gt_0.02,beta_abs_gt_0.05,beta_abs_gt_0.1
334_0.93_1.76.png,hard_bottom_25pct,21.51702880859375,22.532447814941406,1.0154190063476562,0.9446808099746704,0.9572035074234009,0.012522697448730469,-0.005086536519229412,0.0268053337931633,0.03344397991895676,-0.09929138422012329,0.09981919080018997,0.14922337234020233,0.0,0.006029117852449417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
335_1.0_1.88.png,hard_bottom_25pct,19.956024169921875,21.994625091552734,2.0386009216308594,0.9288563132286072,0.9517545104026794,0.022898197174072266,-0.005114699713885784,0.026241471990942955,0.032948773354291916,-0.09903852641582489,0.09980415552854538,0.13978169858455658,0.0,0.0069432007148861885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
336_0.94_1.46.png,hard_bottom_25pct,21.705814361572266,22.381622314453125,0.6758079528808594,0.948927640914917,0.9589661359786987,0.010038495063781738,-0.005042227450758219,0.028163909912109375,0.03471969813108444,-0.09942980855703354,0.0998474657535553,0.16818363964557648,0.0,0.00518798828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
337_0.72_1.65.png,medium_middle_50pct,23.37385368347168,25.714351654052734,2.3404979705810547,0.9115623831748962,0.9465416669845581,0.034979283809661865,-0.004467520397156477,0.024782754480838776,0.0318460613489151,-0.09912573546171188,0.09973211586475372,0.13829229772090912,0.0,0.002768612466752529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
338_0.99_1.37.png,hard_bottom_25pct,20.506690979003906,26.32848358154297,5.8217926025390625,0.8791317343711853,0.9244424700737,0.04531073570251465,-0.0045784530229866505,0.025734879076480865,0.03288055211305618,-0.09834479540586472,0.09972603619098663,0.14774084091186523,0.0,0.004635421559214592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339_0.64_1.47.png,medium_middle_50pct,25.351274490356445,27.128379821777344,1.7771053314208984,0.9296445250511169,0.9548226594924927,0.025178134441375732,-0.004184292163699865,0.024948572739958763,0.0322498120367527,-0.09956582635641098,0.09973417967557907,0.14064666628837585,0.0,0.0033442932181060314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33_0.55_1.75.png,medium_middle_50pct,23.324077606201172,19.46530532836914,-3.8587722778320312,0.9685572385787964,0.9276617765426636,-0.04089546203613281,-0.005349951330572367,0.025222189724445343,0.0315353088080883,-0.09981568157672882,0.09985344856977463,0.11432607471942902,0.0,0.007639506831765175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
340_0.55_0.55.png,easy_top_25pct,28.939722061157227,30.36474609375,1.4250240325927734,0.9654001593589783,0.9640935659408569,-0.0013065934181213379,-0.003034243592992425,0.027551984414458275,0.0357307568192482,-0.09988273680210114,0.09964420646429062,0.16733962297439575,0.0,0.013352613896131516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
341_0.68_1.62.png,hard_bottom_25pct,17.608360290527344,21.782432556152344,4.174072265625,0.9216272830963135,0.9519059062004089,0.03027862310409546,-0.0037407176569104195,0.021321378648281097,0.029172439128160477,-0.09997507929801941,0.09941568225622177,0.11130104213953018,0.0,0.006035618484020233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
342_0.96_1.08.png,hard_bottom_25pct,14.769554138183594,23.03346824645996,8.263914108276367,0.8985744714736938,0.9458751678466797,0.04730069637298584,-0.003764551132917404,0.024630237370729446,0.03243100270628929,-0.09998287260532379,0.09935492277145386,0.1437739133834839,0.0,0.007635895628482103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
343_0.83_1.07.png,hard_bottom_25pct,16.897274017333984,28.462934494018555,11.56566047668457,0.9237610697746277,0.9717878699302673,0.04802680015563965,-0.003715370548889041,0.023502031341195107,0.03147471696138382,-0.09997602552175522,0.09940861910581589,0.13486313819885254,0.0,0.0072660730220377445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
344_0.82_1.51.png,hard_bottom_25pct,14.663687705993652,23.3609561920166,8.69726848602295,0.8944089412689209,0.9406859278678894,0.046276986598968506,-0.0037930922117084265,0.023112287744879723,0.030764538794755936,-0.09998326748609543,0.09923075884580612,0.12652985751628876,0.0,0.006647414993494749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
345_0.98_1.02.png,hard_bottom_25pct,21.622325897216797,20.75265121459961,-0.8696746826171875,0.9558877944946289,0.9445285797119141,-0.011359214782714844,-0.004103322979062796,0.027429277077317238,0.03478942811489105,-0.09919212013483047,0.09949785470962524,0.16156800091266632,0.0,0.007739546708762646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
346_0.77_1.92.png,medium_middle_50pct,23.18244743347168,20.530231475830078,-2.6522159576416016,0.9592224359512329,0.9335598349571228,-0.025662600994110107,-0.0043592071160674095,0.023864641785621643,0.031057022511959076,-0.09958910197019577,0.09944046288728714,0.12858085334300995,0.0,0.005974944680929184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
347_0.92_1.53.png,hard_bottom_25pct,22.043506622314453,19.851560592651367,-2.191946029663086,0.9537129402160645,0.9286894798278809,-0.025023460388183594,-0.00438917800784111,0.024914730340242386,0.03228359669446945,-0.09917581081390381,0.0995151698589325,0.14044876396656036,0.0,0.00789375975728035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
348_0.72_1.07.png,medium_middle_50pct,24.185121536254883,24.757404327392578,0.5722827911376953,0.9723529815673828,0.9757164716720581,0.003363490104675293,-0.004037278704345226,0.02747637964785099,0.03473036736249924,-0.09940379112958908,0.09939327090978622,0.16073410212993622,0.0,0.007154115010052919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
349_0.53_1.85.png,hard_bottom_25pct,21.599218368530273,22.369884490966797,0.7706661224365234,0.963595986366272,0.9666597843170166,0.003063797950744629,-0.00485193682834506,0.02474213019013405,0.030565140768885612,-0.09968723356723785,0.09985088557004929,0.09677322953939438,0.0,0.0029593021608889103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
