rhfd2_delta_abs_mean,rhfd2_delta_abs_max,rhfd2_delta_std,rhfd2_delta_norm,rhfd2_feature_norm,rhfd2_delta_norm_ratio,rhfd1_delta_abs_mean,rhfd1_delta_abs_max,rhfd1_delta_std,rhfd1_delta_norm,rhfd1_feature_norm,rhfd1_delta_norm_ratio,name,model,bucket,categories,original_psnr,candidate_psnr,delta_psnr
0.0015282162930816412,0.0210503488779068,0.001950712874531746,4.355854034423828,1345.174072265625,0.003238134100434623,0.0007675153319723904,0.0052599674090743065,0.0009862110018730164,1.5465821027755737,405.6900634765625,0.00381222574080847,508_0.72_1.04.png,b1,easy_top_25pct,worst_regression_top10|catastrophic_worst|easy_regression,39.203189849853516,20.358322143554688,-18.844867706298828
0.001492000068537891,0.02325860597193241,0.0018945569172501564,4.237892150878906,1437.283203125,0.0029485435728078555,0.0007655888912267983,0.005143432412296534,0.000982864759862423,1.5410650968551636,427.5584716796875,0.0036043376495406643,516_0.64_0.94.png,b1,medium_middle_50pct,medium_ordinary_regression,36.459232330322266,36.266109466552734,-0.19312286376953125
0.0016323394374921918,0.025926122441887856,0.0021902809385210276,4.861320972442627,1607.5296630859375,0.0030240941016979194,0.0007785013876855373,0.004619922023266554,0.0009983605705201626,1.565390706062317,449.52667236328125,0.0034823088423933594,519_0.58_1.19.png,b1,easy_top_25pct,easy_preserved,42.90719985961914,42.94255065917969,0.035350799560546875
0.001488471869379282,0.024886230006814003,0.0019032260170206428,4.250242710113525,1426.96875,0.0029785114145726914,0.000773888488765806,0.005465687718242407,0.0009917259449139237,1.5552561283111572,412.8077697753906,0.003767506917705,537_0.58_1.0.png,b1,easy_top_25pct,easy_regression,39.631046295166016,36.92360305786133,-2.7074432373046875
0.0016560425283387303,0.02560732141137123,0.0022120901849120855,4.916013240814209,1733.3966064453125,0.0028360579584238996,0.0007824112544767559,0.004891721531748772,0.0010059158084914088,1.5770061016082764,469.1004333496094,0.003361766456593681,544_0.53_0.73.png,b1,easy_top_25pct,easy_preserved,39.729713439941406,39.707855224609375,-0.02185821533203125
0.0015413752989843488,0.024748625233769417,0.0019750334322452545,4.412779808044434,1531.870849609375,0.002880647418266159,0.0007681664428673685,0.005124514456838369,0.0009865384781733155,1.5466294288635254,424.85479736328125,0.0036403718128220795,613_0.85_1.39.png,b1,medium_middle_50pct,medium_ordinary_regression,36.672054290771484,36.48335647583008,-0.18869781494140625
0.0014998093247413635,0.02405562996864319,0.001984605798497796,4.419445514678955,1469.8770751953125,0.003006676945479753,0.0007822539191693068,0.004799732938408852,0.0010013142600655556,1.5701711177825928,467.1636047363281,0.0033610732982266743,654_0.84_1.35.png,b1,easy_top_25pct,easy_preserved,41.4055290222168,41.373252868652344,-0.032276153564453125
0.0018004111479967833,0.024162227287888527,0.002407738007605076,5.348877906799316,1860.414794921875,0.0028750996398219535,0.0007851077825762331,0.004998492542654276,0.0010057913605123758,1.576863169670105,496.65484619140625,0.0031749678509376635,658_0.67_0.54.png,b1,easy_top_25pct,easy_preserved,41.68468475341797,41.71514129638672,0.03045654296875
0.0015940071316435933,0.0244132112711668,0.002112180460244417,4.701635360717773,1506.2174072265625,0.003121485210674213,0.0007882575737312436,0.005113362334668636,0.0010065693641081452,1.5792171955108643,444.5068054199219,0.0035527401971247458,660_0.62_1.91.png,b1,medium_middle_50pct,medium_ordinary_regression,34.81804656982422,34.610530853271484,-0.20751571655273438
0.0015605404041707516,0.024074729532003403,0.002006524009630084,4.469554901123047,1630.2237548828125,0.0027416818628338154,0.0007747386116534472,0.004378308076411486,0.0009942053584381938,1.5585464239120483,457.2664489746094,0.00340839881737877,664_0.99_1.07.png,b1,medium_middle_50pct,medium_ordinary_regression,36.55113983154297,36.32979965209961,-0.22134017944335938
0.0015554979909211397,0.021160418167710304,0.002017595339566469,4.503908634185791,1618.3018798828125,0.0027831078306057066,0.0007901823264546692,0.0053175766952335835,0.001011739601381123,1.5868866443634033,462.3149719238281,0.0034324794582358056,665_0.78_1.86.png,b1,medium_middle_50pct,medium_ordinary_regression,36.683319091796875,36.488677978515625,-0.19464111328125
0.0014220178127288818,0.01529790461063385,0.0017921880353242159,2.997185707092285,910.7597045898438,0.003290863322112009,0.0007980312220752239,0.00406556436792016,0.001016833703033626,1.1974132061004639,274.3558044433594,0.004364453701024828,66_0.62_1.57.png,b1,hard_bottom_25pct,hard_regression,28.79529571533203,26.151540756225586,-2.6437549591064453
0.0014527045423164964,0.01614074409008026,0.001849298132583499,3.0900962352752686,1014.996337890625,0.0030444407727589795,0.0007880023331381381,0.004321561194956303,0.00100854376796633,1.1871747970581055,285.9765625,0.0041513010250904935,67_0.68_1.12.png,b1,hard_bottom_25pct,hard_regression,29.10468292236328,27.17947769165039,-1.9252052307128906
0.0015076198615133762,0.02284017764031887,0.0018916153348982334,4.230415344238281,1474.0181884765625,0.0028699885641238453,0.0007653862703591585,0.005326827056705952,0.0009820417035371065,1.5398592948913574,448.4687805175781,0.0034335930655288974,685_0.95_1.13.png,b1,medium_middle_50pct,worst_regression_top10|catastrophic_worst,35.89845275878906,9.130663871765137,-26.767788887023926
0.0014864044496789575,0.022071732208132744,0.0018625266384333372,4.167205333709717,1402.180908203125,0.002971945566603051,0.000765770033467561,0.005174502730369568,0.0009819125989452004,1.539912462234497,432.4494323730469,0.003560907581227004,686_0.88_1.15.png,b1,medium_middle_50pct,worst_regression_top10|catastrophic_worst,36.28247833251953,16.934017181396484,-19.348461151123047
0.001481982646510005,0.02023945190012455,0.0018453752854838967,4.130950450897217,1285.0654296875,0.003214583752285496,0.00077284179860726,0.005198801402002573,0.0009876666590571404,1.549651026725769,425.1229553222656,0.0036451831342559516,688_0.83_1.51.png,b1,medium_middle_50pct,worst_regression_top10|catastrophic_worst,35.2674446105957,8.703539848327637,-26.563904762268066
0.0014653652906417847,0.026349205523729324,0.0018784867133945227,4.189702987670898,1429.718994140625,0.0029304380824773497,0.000790027785114944,0.004741148091852665,0.0010104679968208075,1.5849473476409912,439.4750671386719,0.003606455669852318,722_0.57_1.91.png,b1,medium_middle_50pct,medium_ordinary_regression,35.11310958862305,34.89632797241211,-0.2167816162109375
0.0015663227532058954,0.027023063972592354,0.001996756764128804,4.4558281898498535,1397.6439208984375,0.0031880997178348153,0.0007713113445788622,0.005002761259675026,0.0009885237086564302,1.5503684282302856,416.84625244140625,0.0037192811957646476,733_0.65_1.63.png,b1,easy_top_25pct,easy_regression,39.1134147644043,35.906036376953125,-3.207378387451172
0.001452121650800109,0.011759122833609581,0.001836721901781857,3.0688881874084473,789.2613525390625,0.0038883041435334442,0.0007861050544306636,0.003972646314650774,0.0010087941773235798,1.1878091096878052,287.3860168457031,0.0041331485878296475,78_1.0_0.78.png,b1,hard_bottom_25pct,best_gain_top10|hard_gain,27.958251953125,32.385658264160156,4.427406311035156
0.0014424020191654563,0.021000508219003677,0.0018777562072500587,4.183994770050049,1405.9639892578125,0.002975890422526908,0.0007625411963090301,0.0048338850028812885,0.0009800256229937077,1.5368715524673462,388.20355224609375,0.003958932224023231,843_0.54_1.62.png,b1,easy_top_25pct,easy_preserved,42.29471206665039,42.27939224243164,-0.01531982421875
0.0015268238494172692,0.01979176141321659,0.0020412688609212637,4.5341715812683105,1590.994384765625,0.002849897915847299,0.0007759165018796921,0.00477227196097374,0.0009929351508617401,1.5565789937973022,468.3013000488281,0.003323883563071474,850_0.52_0.65.png,b1,easy_top_25pct,easy_regression,39.398948669433594,36.73411178588867,-2.664836883544922
0.0014438837533816695,0.01997837983071804,0.0018081138841807842,4.046570777893066,1161.4539794921875,0.003484056061921897,0.0007650379557162523,0.005013735964894295,0.0009787091985344887,1.5347766876220703,378.00140380859375,0.004060240708521881,858_0.8_1.72.png,b1,medium_middle_50pct,worst_regression_top10,35.944175720214844,31.661731719970703,-4.282444000244141
