name,split,A0_PSNR,A0_SSIM,patch_variant,patch_size,patch_PSNR,patch_SSIM,dPSNR,dSSIM,patch_count,selected_patch_count,selected_patch_fraction,mean_patch_mse_improve,patch_count_a0,patch_fraction_a0,patch_count_a0p125,patch_fraction_a0p125,patch_count_a0p25,patch_fraction_a0p25,patch_count_a0p375,patch_fraction_a0p375,patch_count_a0p5,patch_fraction_a0p5,patch_count_a0p75,patch_fraction_a0p75
1110_0.92_0.77.png,val_regular,39.92845916748047,0.9984459280967712,oracle_max,128,40.20242691040039,0.9985112547874451,0.2739677429199219,6.532669067382812e-05,16,8,0.5,2.3273794113265467e-05,8,0.5,1,0.0625,1,0.0625,0,0.0,1,0.0625,5,0.3125
1110_0.92_0.77.png,val_regular,39.92845916748047,0.9984459280967712,oracle_riskcap0p5,128,40.17113494873047,0.9985203146934509,0.24267578125,7.43865966796875e-05,16,8,0.5,1.8743027567325043e-05,8,0.5,1,0.0625,1,0.0625,0,0.0,6,0.375,,
1122_0.94_0.53.png,val_regular,40.93035888671875,0.9982924461364746,oracle_max,128,42.51821517944336,0.99853515625,1.5878562927246094,0.00024271011352539062,16,13,0.8125,2.6120223537873244e-05,3,0.1875,0,0.0,0,0.0,2,0.125,2,0.125,9,0.5625
1122_0.94_0.53.png,val_regular,40.93035888671875,0.9982924461364746,oracle_riskcap0p5,128,42.09009552001953,0.9985088109970093,1.1597366333007812,0.00021636486053466797,16,13,0.8125,1.965588148777897e-05,3,0.1875,0,0.0,0,0.0,2,0.125,11,0.6875,,
1128_0.8_1.45.png,val_regular,37.51072311401367,0.996343731880188,oracle_max,128,38.991798400878906,0.9968318939208984,1.4810752868652344,0.0004881620407104492,16,10,0.625,0.00011480784405648592,6,0.375,0,0.0,0,0.0,2,0.125,2,0.125,6,0.375
1128_0.8_1.45.png,val_regular,37.51072311401367,0.996343731880188,oracle_riskcap0p5,128,38.75571060180664,0.9968281984329224,1.2449874877929688,0.000484466552734375,16,10,0.625,9.445178659461817e-05,6,0.375,0,0.0,0,0.0,2,0.125,8,0.5,,
1133_0.68_1.41.png,val_regular,32.86006164550781,0.9953678846359253,oracle_max,128,35.27562713623047,0.9964243769645691,2.4155654907226562,0.0010564923286437988,16,16,1.0,0.00040335606593089324,0,0.0,0,0.0,0,0.0,1,0.0625,1,0.0625,14,0.875
1133_0.68_1.41.png,val_regular,32.86006164550781,0.9953678846359253,oracle_riskcap0p5,128,34.45389175415039,0.9962579011917114,1.5938301086425781,0.0008900165557861328,16,16,1.0,0.0002862630692561652,0,0.0,0,0.0,0,0.0,1,0.0625,15,0.9375,,
1134_0.69_1.2.png,val_regular,32.35954666137695,0.9958474040031433,oracle_max,128,34.328208923339844,0.9967949390411377,1.9686622619628906,0.0009475350379943848,16,16,1.0,0.0003297065254628251,0,0.0,0,0.0,1,0.0625,0,0.0,1,0.0625,14,0.875
1134_0.69_1.2.png,val_regular,32.35954666137695,0.9958474040031433,oracle_riskcap0p5,128,33.65755081176758,0.9966425895690918,1.298004150390625,0.0007951855659484863,16,16,1.0,0.0002311296502739424,0,0.0,0,0.0,1,0.0625,0,0.0,15,0.9375,,
114_0.75_1.45.png,val_regular,33.99034881591797,0.9939260482788086,oracle_max,128,34.369102478027344,0.9943666458129883,0.378753662109375,0.0004405975341796875,16,6,0.375,0.00016980051441350952,10,0.625,0,0.0,1,0.0625,1,0.0625,0,0.0,4,0.25
114_0.75_1.45.png,val_regular,33.99034881591797,0.9939260482788086,oracle_riskcap0p5,128,34.25340270996094,0.994236946105957,0.26305389404296875,0.0003108978271484375,16,6,0.375,0.00011678704458972788,10,0.625,0,0.0,1,0.0625,1,0.0625,4,0.25,,
1157_0.56_1.98.png,val_regular,39.585540771484375,0.9974614977836609,oracle_max,128,39.77756118774414,0.9975091218948364,0.19202041625976562,4.762411117553711e-05,16,6,0.375,6.807494173699524e-06,10,0.625,1,0.0625,0,0.0,2,0.125,3,0.1875,0,0.0
1157_0.56_1.98.png,val_regular,39.585540771484375,0.9974614977836609,oracle_riskcap0p5,128,39.77756118774414,0.9975091218948364,0.19202041625976562,4.762411117553711e-05,16,6,0.375,6.807494173699524e-06,10,0.625,1,0.0625,0,0.0,2,0.125,3,0.1875,,
1177_0.71_1.64.png,val_regular,34.683807373046875,0.9957431554794312,oracle_max,128,37.1123161315918,0.9964975118637085,2.428508758544922,0.0007543563842773438,16,15,0.9375,0.00015263784007402137,1,0.0625,0,0.0,0,0.0,1,0.0625,0,0.0,14,0.875
1177_0.71_1.64.png,val_regular,34.683807373046875,0.9957431554794312,oracle_riskcap0p5,128,36.31074905395508,0.9963334798812866,1.6269416809082031,0.0005903244018554688,16,15,0.9375,0.00011068376988987438,1,0.0625,0,0.0,0,0.0,1,0.0625,14,0.875,,
1183_0.84_1.24.png,val_regular,34.049407958984375,0.9964977502822876,oracle_max,128,36.2762451171875,0.997106671333313,2.226837158203125,0.0006089210510253906,16,15,0.9375,0.00017180005170303048,1,0.0625,0,0.0,1,0.0625,0,0.0,1,0.0625,13,0.8125
1183_0.84_1.24.png,val_regular,34.049407958984375,0.9964977502822876,oracle_riskcap0p5,128,35.53559112548828,0.9970027208328247,1.4861831665039062,0.0005049705505371094,16,15,0.9375,0.00012654713918891503,1,0.0625,0,0.0,1,0.0625,0,0.0,14,0.875,,
1200_0.97_0.52.png,val_regular,31.8935546875,0.9975616335868835,oracle_max,128,33.65762710571289,0.9980701208114624,1.7640724182128906,0.0005084872245788574,16,13,0.8125,0.0002919272521921812,3,0.1875,1,0.0625,0,0.0,0,0.0,1,0.0625,11,0.6875
1200_0.97_0.52.png,val_regular,31.8935546875,0.9975616335868835,oracle_riskcap0p5,128,33.04705047607422,0.9979329109191895,1.1534957885742188,0.0003712773323059082,16,13,0.8125,0.00021081154500279808,3,0.1875,1,0.0625,0,0.0,0,0.0,12,0.75,,
1212_0.8_1.74.png,val_regular,30.249650955200195,0.9950136542320251,oracle_max,128,30.44679832458496,0.995073676109314,0.19714736938476562,6.002187728881836e-05,16,7,0.4375,3.1685941394243855e-05,9,0.5625,2,0.125,0,0.0,0,0.0,1,0.0625,4,0.25
1212_0.8_1.74.png,val_regular,30.249650955200195,0.9950136542320251,oracle_riskcap0p5,128,30.401689529418945,0.9951156377792358,0.15203857421875,0.00010198354721069336,16,7,0.4375,2.5180004740832373e-05,9,0.5625,2,0.125,0,0.0,0,0.0,5,0.3125,,
