chosen_profile,dimension,heldout_bin,train_count,train_coverage,train_dSSIM,train_easy_top25_dPSNR,train_hard_bottom25_dPSNR,train_mean_dPSNR,train_nonnegative_ratio,train_positive_ratio,train_score,train_selected_count,train_selected_nonnegative_ratio,train_selected_precision,train_selected_severe_count,train_severe_loss_count,train_severe_loss_per_600,train_strong_gate_pass,train_strong_loss_count,train_strong_loss_per_600
riskcap42_no075,depth_mean_q4,q2,450,0.9977777777777778,0.00025284926096598307,0.4517817497253418,0.35444246019635883,0.34977818806966143,0.7844444444444445,0.7822222222222223,0.9345103311992827,449,0.7839643652561247,0.7839643652561247,36,36,48.0,True,69,92.0
riskcap48_no075,depth_mean_q4,q3,450,0.9977777777777778,0.0002526316377851698,0.443880489894322,0.30868542194366455,0.36877991994222004,0.7977777777777778,0.7955555555555556,0.8847829731532505,449,0.7973273942093542,0.7973273942093542,38,38,50.66666666666667,False,66,88.0
riskcap48_no075,depth_mean_q4,q4,450,0.9977777777777778,0.00024747769037882487,0.49813338688441683,0.3743899720055716,0.40452755822075737,0.8,0.7977777777777778,1.0248528745136563,449,0.799554565701559,0.799554565701559,33,33,44.0,True,64,85.33333333333333
riskcap48_allow075,low_texture_input_grad_q4,q1,450,1.0,0.0002560522821214464,0.5258268969399589,0.39869591167994906,0.39436482747395835,0.8066666666666666,0.8066666666666666,1.0329042465119134,450,0.8066666666666666,0.8066666666666666,36,36,48.0,True,61,81.33333333333334
riskcap48_no075,low_texture_input_grad_q4,q2,450,0.9977777777777778,0.00022752801577250164,0.4410249505724226,0.3102638040270124,0.3518942260742188,0.7888888888888889,0.7866666666666666,0.846207764353071,449,0.7884187082405345,0.7884187082405345,39,39,52.0,False,69,92.0
riskcap42_no075,low_texture_input_grad_q4,q3,450,0.9955555555555555,0.000270211829079522,0.46438537325177875,0.3268720252173288,0.3569355053371853,0.7955555555555556,0.7911111111111111,0.9248716628362262,448,0.7946428571428571,0.7946428571428571,36,36,48.0,True,66,88.0
riskcap48_allow075,low_texture_input_grad_q4,q4,450,0.9977777777777778,0.0002718390358818902,0.48307653835841585,0.39288604259490967,0.39423558976915146,0.7888888888888889,0.7866666666666666,1.020185411014254,449,0.7884187082405345,0.7884187082405345,34,34,45.333333333333336,True,66,88.0
riskcap48_allow075,input_dark_q4,q1,450,0.9977777777777778,0.00025289548767937556,0.3700839451381138,0.3202978883470808,0.3462852562798394,0.7733333333333333,0.7711111111111111,0.8718652948046486,449,0.7728285077951003,0.7728285077951003,37,37,49.333333333333336,False,70,93.33333333333333
riskcap48_no075,input_dark_q4,q2,450,0.9977777777777778,0.00026755650838216147,0.47235829489571707,0.34076235975537983,0.36449759165445966,0.7955555555555556,0.7933333333333333,0.9506766422816686,449,0.7951002227171492,0.7951002227171492,34,34,45.333333333333336,True,65,86.66666666666666
riskcap42_no075,input_dark_q4,q3,450,0.9955555555555555,0.0002649807929992676,0.5049694946834019,0.35762880529676166,0.3780262968275282,0.8044444444444444,0.8,0.986626290533278,448,0.8035714285714286,0.8035714285714286,33,33,44.0,True,62,82.66666666666667
riskcap42_no075,input_dark_q4,q4,450,1.0,0.00023318674829271105,0.4524904319218227,0.344855683190482,0.37869315253363717,0.8044444444444444,0.8044444444444444,0.9658267422782051,450,0.8044444444444444,0.8044444444444444,36,36,48.0,True,66,88.0
riskcap36_no075,diff_abs_q4,q1,450,0.9955555555555555,0.0002730883492363824,0.3872204508100237,0.3476794106619699,0.34744842529296877,0.7666666666666667,0.7622222222222222,0.9219806655702137,448,0.765625,0.765625,32,32,42.666666666666664,True,67,89.33333333333333
riskcap42_no075,diff_abs_q4,q2,450,0.9955555555555555,0.0002669446998172336,0.4712576184953962,0.37980662073407856,0.3865936279296875,0.7955555555555556,0.7911111111111111,1.0055646863664898,448,0.7946428571428571,0.7946428571428571,33,33,44.0,True,62,82.66666666666667
riskcap48_allow075,diff_abs_q4,q3,450,0.9977777777777778,0.00024826248486836753,0.473940338407244,0.40204427923474995,0.38902349260118274,0.8111111111111111,0.8088888888888889,1.042052949829707,449,0.8106904231625836,0.8106904231625836,30,30,40.0,True,63,84.00000000000001
riskcap48_no075,diff_abs_q4,q4,450,1.0,0.00021479513910081652,0.46139935084751676,0.19777698176247732,0.32152201758490667,0.7955555555555556,0.7955555555555556,0.5647708349379282,450,0.7955555555555556,0.7955555555555556,37,37,49.333333333333336,False,69,92.0
riskcap42_no075,a0_psnr_q4,q1,450,0.9977777777777778,0.0002287296454111735,0.4524904319218227,0.31992278780256,0.3656489478217231,0.8066666666666666,0.8044444444444444,0.94350288792262,449,0.8062360801781737,0.8062360801781737,32,32,42.666666666666664,True,64,85.33333333333333
riskcap42_no075,a0_psnr_q4,q2,450,0.9955555555555555,0.0002534464995066325,0.4524904319218227,0.3078866515840803,0.37049404144287107,0.7955555555555556,0.7911111111111111,0.9273857392356508,448,0.7946428571428571,0.7946428571428571,34,34,45.333333333333336,True,68,90.66666666666667
riskcap48_no075,a0_psnr_q4,q3,450,0.9977777777777778,0.0002593771616617839,0.45672920772007536,0.3369410378592355,0.3843172539605035,0.8044444444444444,0.8022222222222222,0.9672096716865661,449,0.8040089086859689,0.8040089086859689,35,35,46.666666666666664,True,62,82.66666666666667
riskcap42_no075,a0_psnr_q4,q4,450,0.9955555555555555,0.00026547061072455515,0.36874042238507954,0.3078866515840803,0.3224021699693468,0.7666666666666667,0.7622222222222222,0.8605855334751191,448,0.765625,0.765625,33,33,44.0,True,70,93.33333333333333
riskcap48_no075,diff_signed_q4,q1,450,0.9977777777777778,0.00019489381048414442,0.46897711072649273,0.11227553231375557,0.233788087632921,0.7822222222222223,0.78,0.2687239558507526,449,0.7817371937639198,0.7817371937639198,29,29,38.666666666666664,False,66,88.0
riskcap48_allow075,diff_signed_q4,q2,450,0.9977777777777778,0.0002565398481157091,0.4154191017150879,0.413846492767334,0.3864196099175347,0.7888888888888889,0.7866666666666666,1.0197053809695775,449,0.7884187082405345,0.7884187082405345,35,35,46.666666666666664,True,65,86.66666666666666
riskcap42_no075,diff_signed_q4,q3,450,0.9955555555555555,0.0002641643418206109,0.43847581318446566,0.37148371764591764,0.3847852198282878,0.7733333333333333,0.7688888888888888,0.9758197752634686,448,0.7723214285714286,0.7723214285714286,36,36,48.0,True,69,92.0
riskcap42_no075,diff_signed_q4,q4,450,1.0,0.00029800838894314234,0.5191190583365304,0.44276905059814453,0.45076545715332034,0.8377777777777777,0.8377777777777777,1.137892603465489,450,0.8377777777777777,0.8377777777777777,36,36,48.0,True,62,82.66666666666667
