bin_safety_pass,count,coverage,dSSIM,dimension,easy_top25_dPSNR,fixed_profile,hard_bottom25_dPSNR,heldout_bin,mean_dPSNR,nonnegative_ratio,positive_ratio,score,selected_count,selected_nonnegative_ratio,selected_precision,selected_severe_count,severe_loss_count,severe_loss_per_600,strong_gate_pass,strong_loss_count,strong_loss_per_600
True,150,1.0,0.0001905504862467448,input_dark_q4,0.32892629262563344,riskcap36_no075,0.1699601766225454,q3,0.2707168451944987,0.7666666666666667,0.7666666666666667,0.4684979690001891,150,0.7666666666666667,0.7666666666666667,7,7,28.0,False,22,88.0
True,150,0.9866666666666667,0.0002837053934733073,input_dark_q4,0.23260693936734586,riskcap36_no075,0.3676412427747572,q4,0.27431549072265626,0.7466666666666667,0.7333333333333333,0.8816891788791965,148,0.7432432432432432,0.7432432432432432,5,5,20.0,True,20,80.0
True,150,1.0,0.00015037973721822103,diff_abs_q4,0.5545955348659206,riskcap36_no075,0.09187925184095228,q1,0.3237758382161458,0.86,0.86,0.38349729685740425,150,0.86,0.86,5,5,20.0,False,19,76.0
True,150,1.0,0.00019000848134358725,diff_abs_q4,0.488331768963788,riskcap36_no075,0.14015604998614337,q2,0.25613341013590496,0.78,0.78,0.3844035269934852,150,0.78,0.78,8,8,32.0,False,23,92.0
True,150,1.0,0.00026084661483764647,diff_abs_q4,0.37460657068201014,riskcap36_no075,0.2011337795773068,q3,0.2962054824829102,0.7266666666666667,0.7266666666666667,0.47184072236757024,150,0.7266666666666667,0.7266666666666667,13,13,52.0,False,27,108.0
True,150,0.9866666666666667,0.0003684099515279134,diff_abs_q4,0.4785464518779033,riskcap36_no075,0.4274572939486117,q4,0.49000638326009116,0.7933333333333333,0.78,1.1428268636067709,148,0.7905405405405406,0.7905405405405406,11,11,44.0,True,17,68.0
True,150,0.9933333333333333,0.00030353426933288574,a0_psnr_q4,0.3488962328111803,riskcap36_no075,0.19471493282833616,q1,0.310931879679362,0.7466666666666667,0.74,0.5440233148798213,149,0.7449664429530202,0.7449664429530202,10,10,40.0,False,21,84.00000000000001
True,150,1.0,0.00022370855013529459,a0_psnr_q4,0.24938088494378166,riskcap36_no075,0.32641034512906464,q2,0.28760513305664065,0.7933333333333333,0.7933333333333333,0.8826714976542704,150,0.7933333333333333,0.7933333333333333,6,6,24.0,True,19,76.0
True,150,0.9933333333333333,0.00024416764577229815,a0_psnr_q4,0.31364791457717484,riskcap36_no075,0.23610161446236275,q3,0.3236263020833333,0.74,0.7333333333333333,0.6500756140356665,149,0.738255033557047,0.738255033557047,12,12,48.0,False,31,124.0
True,150,1.0,0.00019823431968688966,a0_psnr_q4,0.5128714071737753,riskcap36_no075,0.45088020530906886,q4,0.44395779927571616,0.88,0.88,1.179949104240349,150,0.88,0.88,9,9,36.0,True,15,60.0
True,150,1.0,0.00041515390078226727,diff_signed_q4,0.6564817686338682,riskcap36_no075,0.7836426399849556,q1,0.702283452351888,0.8466666666666667,0.8466666666666667,1.3998457412032395,150,0.8466666666666667,0.8466666666666667,17,17,68.0,False,22,88.0
True,150,1.0,0.00025305906931559247,diff_signed_q4,0.5966863889951963,riskcap36_no075,0.22690200805664062,q2,0.33750572204589846,0.82,0.82,0.737499983504012,150,0.82,0.82,8,8,32.0,False,22,88.0
True,150,1.0,0.00019906441370646158,diff_signed_q4,0.42592631159601985,riskcap36_no075,0.14678455043483424,q3,0.2617413457234701,0.84,0.84,0.437330718100608,150,0.84,0.84,7,7,28.0,False,17,68.0
True,150,0.9866666666666667,0.00010236740112304688,diff_signed_q4,0.13086875709327492,riskcap36_no075,0.03857231140136719,q4,0.06459059397379557,0.6533333333333333,0.64,-0.2563200583930487,148,0.6486486486486487,0.6486486486486487,5,5,20.0,False,25,100.0
