A0_PSNR,A0_SSIM,dPSNR,dSSIM,dimension,fixed_profile,fold,heldout_bin,local_alpha_PSNR,local_alpha_SSIM,name,patch_action_count_a0,patch_action_count_a0p125,patch_action_count_a0p25,patch_action_count_a0p375,patch_action_count_a0p5,patch_action_count_a0p75,patch_action_fraction_a0,patch_action_fraction_a0p125,patch_action_fraction_a0p25,patch_action_fraction_a0p375,patch_action_fraction_a0p5,patch_action_fraction_a0p75,patch_count,policy_id,profile,split
36.34623336791992,0.9981435537338257,0.3670196533203125,8.165836334228516e-06,split,riskcap36_no075,0,val_hard,36.713253021240234,0.9981517195701599,1108_0.58_1.2.png,0,0,15,1,0,0,0.0,0.0,0.9375,0.0625,0.0,0.0,16,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0031651112|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0081151606,riskcap36_no075,val_hard
35.80939865112305,0.9974082708358765,0.7094078063964844,3.719329833984375e-05,split,riskcap36_no075,0,val_hard,36.51880645751953,0.9974454641342163,1111_0.57_1.35.png,3,0,10,3,0,0,0.1875,0.0,0.625,0.1875,0.0,0.0,16,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0031651112|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0081151606,riskcap36_no075,val_hard
36.795684814453125,0.9988030195236206,0.22369003295898438,4.845857620239258e-05,split,riskcap36_no075,2,val_hard,37.01937484741211,0.998851478099823,1117_0.61_0.56.png,2,0,14,0,0,0,0.125,0.0,0.875,0.0,0.0,0.0,16,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0043432396|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0063224571,riskcap36_no075,val_hard
36.012386322021484,0.9977009296417236,0.061069488525390625,0.00010085105895996094,split,riskcap36_no075,4,val_hard,36.073455810546875,0.9978017807006836,1137_0.87_0.85.png,1,0,15,0,0,0,0.0625,0.0,0.9375,0.0,0.0,0.0,16,single|alpha=0.25|cond=diff_signed_mean_le_0.0058720582,riskcap36_no075,val_hard
33.20071029663086,0.9922611713409424,-0.056850433349609375,-3.9637088775634766e-05,split,riskcap36_no075,2,val_hard,33.14385986328125,0.9922215342521667,113_0.65_1.81.png,7,0,8,1,0,0,0.4375,0.0,0.5,0.0625,0.0,0.0,16,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0043432396|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0063224571,riskcap36_no075,val_hard
36.41259765625,0.9878116846084595,0.0,0.0,split,riskcap36_no075,0,val_hard,36.41259765625,0.9878116846084595,1161_0.75_1.93.png,16,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,16,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0031651112|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0081151606,riskcap36_no075,val_hard
34.60610580444336,0.9950454235076904,0.033298492431640625,0.0001170039176940918,split,riskcap36_no075,4,val_hard,34.639404296875,0.9951624274253845,1165_0.76_1.92.png,1,0,15,0,0,0,0.0625,0.0,0.9375,0.0,0.0,0.0,16,single|alpha=0.25|cond=diff_signed_mean_le_0.0058720582,riskcap36_no075,val_hard
35.95402908325195,0.9975139498710632,0.24246597290039062,1.6987323760986328e-05,split,riskcap36_no075,4,val_hard,36.196495056152344,0.9975309371948242,1166_0.73_1.03.png,0,0,16,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,16,single|alpha=0.25|cond=diff_signed_mean_le_0.0058720582,riskcap36_no075,val_hard
32.43940353393555,0.9505411982536316,-0.07424545288085938,-0.0019901394844055176,split,riskcap36_no075,4,val_hard,32.36515808105469,0.9485510587692261,1169_0.58_1.98.png,6,0,10,0,0,0,0.375,0.0,0.625,0.0,0.0,0.0,16,single|alpha=0.25|cond=diff_signed_mean_le_0.0058720582,riskcap36_no075,val_hard
34.84700012207031,0.9949582815170288,0.08057785034179688,-2.2411346435546875e-05,split,riskcap36_no075,4,val_hard,34.92757797241211,0.9949358701705933,1174_0.74_1.33.png,3,0,13,0,0,0,0.1875,0.0,0.8125,0.0,0.0,0.0,16,single|alpha=0.25|cond=diff_signed_mean_le_0.0058720582,riskcap36_no075,val_hard
30.768918991088867,0.9915858507156372,2.0017757415771484,0.001377880573272705,split,riskcap36_no075,0,val_hard,32.770694732666016,0.9929637312889099,1179_0.56_1.96.png,0,0,1,15,0,0,0.0,0.0,0.0625,0.9375,0.0,0.0,16,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0031651112|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0081151606,riskcap36_no075,val_hard
36.354087829589844,0.9962829947471619,0.4991111755371094,0.0004024505615234375,split,riskcap36_no075,2,val_hard,36.85319900512695,0.9966854453086853,1194_0.88_1.52.png,3,0,10,3,0,0,0.1875,0.0,0.625,0.1875,0.0,0.0,16,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0043432396|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0063224571,riskcap36_no075,val_hard
37.08366012573242,0.9970972537994385,0.5455780029296875,0.0003382563591003418,split,riskcap36_no075,3,val_hard,37.62923812866211,0.9974355101585388,1196_0.78_1.47.png,1,0,10,5,0,0,0.0625,0.0,0.625,0.3125,0.0,0.0,16,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0044121328|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0063337156,riskcap36_no075,val_hard
30.763004302978516,0.9965819120407104,0.4390144348144531,0.00015103816986083984,split,riskcap36_no075,4,val_hard,31.20201873779297,0.9967329502105713,1197_0.84_0.85.png,3,0,13,0,0,0,0.1875,0.0,0.8125,0.0,0.0,0.0,16,single|alpha=0.25|cond=diff_signed_mean_le_0.0058720582,riskcap36_no075,val_hard
32.44545364379883,0.9976421594619751,0.6200485229492188,0.00015479326248168945,split,riskcap36_no075,4,val_hard,33.06550216674805,0.9977969527244568,1199_0.86_0.65.png,3,0,13,0,0,0,0.1875,0.0,0.8125,0.0,0.0,0.0,16,single|alpha=0.25|cond=diff_signed_mean_le_0.0058720582,riskcap36_no075,val_hard
35.21162796020508,0.9946274757385254,0.49347686767578125,-5.888938903808594e-05,split,riskcap36_no075,4,val_hard,35.70510482788086,0.9945685863494873,1201_0.75_1.76.png,2,0,14,0,0,0,0.125,0.0,0.875,0.0,0.0,0.0,16,single|alpha=0.25|cond=diff_signed_mean_le_0.0058720582,riskcap36_no075,val_hard
36.628822326660156,0.9983641505241394,-0.23471450805664062,-2.4378299713134766e-05,split,riskcap36_no075,4,val_hard,36.394107818603516,0.9983397722244263,1209_0.92_0.65.png,4,0,12,0,0,0,0.25,0.0,0.75,0.0,0.0,0.0,16,single|alpha=0.25|cond=diff_signed_mean_le_0.0058720582,riskcap36_no075,val_hard
36.730621337890625,0.9984480738639832,-0.12483978271484375,-4.4345855712890625e-05,split,riskcap36_no075,4,val_hard,36.60578155517578,0.9984037280082703,1210_0.69_0.81.png,3,0,13,0,0,0,0.1875,0.0,0.8125,0.0,0.0,0.0,16,single|alpha=0.25|cond=diff_signed_mean_le_0.0058720582,riskcap36_no075,val_hard
32.7144775390625,0.9952976703643799,-0.101654052734375,6.854534149169922e-06,split,riskcap36_no075,4,val_hard,32.612823486328125,0.995304524898529,1214_0.74_1.7.png,0,0,16,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,16,single|alpha=0.25|cond=diff_signed_mean_le_0.0058720582,riskcap36_no075,val_hard
35.31479263305664,0.9967960715293884,0.12712860107421875,0.00017195940017700195,split,riskcap36_no075,2,val_hard,35.44192123413086,0.9969680309295654,1217_0.82_0.83.png,1,0,13,2,0,0,0.0625,0.0,0.8125,0.125,0.0,0.0,16,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0043432396|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0063224571,riskcap36_no075,val_hard
34.76213455200195,0.9954349398612976,-0.002361297607421875,-6.556510925292969e-07,split,riskcap36_no075,1,val_hard,34.75977325439453,0.9954342842102051,1223_0.74_2.0.png,12,0,3,1,0,0,0.75,0.0,0.1875,0.0625,0.0,0.0,16,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0033162105|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0063877611,riskcap36_no075,val_hard
35.974647521972656,0.9961622953414917,0.044750213623046875,0.0002129077911376953,split,riskcap36_no075,1,val_hard,36.0193977355957,0.9963752031326294,1228_0.85_1.77.png,0,0,12,4,0,0,0.0,0.0,0.75,0.25,0.0,0.0,16,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0033162105|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0063877611,riskcap36_no075,val_hard
28.758010864257812,0.9909970164299011,0.1714916229248047,0.00035256147384643555,split,riskcap36_no075,4,val_hard,28.929502487182617,0.9913495779037476,122_0.85_2.0.png,2,0,14,0,0,0,0.125,0.0,0.875,0.0,0.0,0.0,16,single|alpha=0.25|cond=diff_signed_mean_le_0.0058720582,riskcap36_no075,val_hard
37.207584381103516,0.9930488467216492,0.6990699768066406,0.0005938410758972168,split,riskcap36_no075,1,val_hard,37.906654357910156,0.9936426877975464,1235_0.97_1.72.png,4,0,8,4,0,0,0.25,0.0,0.5,0.25,0.0,0.0,16,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0033162105|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0063877611,riskcap36_no075,val_hard
36.08387756347656,0.9959328174591064,0.49108123779296875,0.00035202503204345703,split,riskcap36_no075,4,val_hard,36.57495880126953,0.9962848424911499,1237_0.86_1.79.png,1,0,15,0,0,0,0.0625,0.0,0.9375,0.0,0.0,0.0,16,single|alpha=0.25|cond=diff_signed_mean_le_0.0058720582,riskcap36_no075,val_hard
37.202476501464844,0.9962593913078308,0.15045928955078125,0.0002861618995666504,split,riskcap36_no075,3,val_hard,37.352935791015625,0.9965455532073975,1239_0.66_1.97.png,2,0,13,1,0,0,0.125,0.0,0.8125,0.0625,0.0,0.0,16,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0044121328|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0063337156,riskcap36_no075,val_hard
34.57032012939453,0.9964569807052612,0.75445556640625,0.00033599138259887695,split,riskcap36_no075,0,val_hard,35.32477569580078,0.9967929720878601,123_0.94_1.22.png,0,0,14,2,0,0,0.0,0.0,0.875,0.125,0.0,0.0,16,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0031651112|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0081151606,riskcap36_no075,val_hard
35.90427780151367,0.9967089891433716,0.12778472900390625,-1.5676021575927734e-05,split,riskcap36_no075,3,val_hard,36.03206253051758,0.9966933131217957,1247_0.62_1.15.png,6,0,10,0,0,0,0.375,0.0,0.625,0.0,0.0,0.0,16,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0044121328|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0063337156,riskcap36_no075,val_hard
31.977333068847656,0.9979829788208008,0.8364181518554688,0.00019550323486328125,split,riskcap36_no075,3,val_hard,32.813751220703125,0.9981784820556641,1249_0.79_0.56.png,1,0,9,6,0,0,0.0625,0.0,0.5625,0.375,0.0,0.0,16,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0044121328|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0063337156,riskcap36_no075,val_hard
27.91212272644043,0.9950821399688721,0.3275432586669922,0.0002968311309814453,split,riskcap36_no075,3,val_hard,28.239665985107422,0.9953789710998535,1251_0.98_0.8.png,1,0,12,3,0,0,0.0625,0.0,0.75,0.1875,0.0,0.0,16,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0044121328|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0063337156,riskcap36_no075,val_hard
31.882497787475586,0.9958484172821045,0.2062854766845703,0.00017595291137695312,split,riskcap36_no075,2,val_hard,32.088783264160156,0.9960243701934814,1257_0.92_0.83.png,0,0,15,1,0,0,0.0,0.0,0.9375,0.0625,0.0,0.0,16,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0043432396|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0063224571,riskcap36_no075,val_hard
30.742568969726562,0.9952549934387207,0.2240581512451172,0.00020617246627807617,split,riskcap36_no075,3,val_hard,30.96662712097168,0.9954611659049988,1260_0.82_1.01.png,0,0,15,1,0,0,0.0,0.0,0.9375,0.0625,0.0,0.0,16,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0044121328|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0063337156,riskcap36_no075,val_hard
