A0_PSNR,A0_SSIM,dPSNR,dSSIM,fold,local_alpha_PSNR,local_alpha_SSIM,name,patch_action_count_a0,patch_action_count_a0p125,patch_action_count_a0p25,patch_action_count_a0p375,patch_action_count_a0p5,patch_action_count_a0p75,patch_action_fraction_a0,patch_action_fraction_a0p125,patch_action_fraction_a0p25,patch_action_fraction_a0p375,patch_action_fraction_a0p5,patch_action_fraction_a0p75,patch_count,policy_id,profile,split
40.72483444213867,0.9981164336204529,1.428466796875,0.0001431107521057129,0,42.15330123901367,0.9982595443725586,1675_0.56_1.81.png,0,0,18,0,2,0,0.0,0.0,0.9,0.0,0.1,0.0,20,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0043022355|high_alpha=0.5|high_cond=diff_signed_mean_le_-0.0062836547,riskcap48_no075,val_regular
40.72483444213867,0.9981164336204529,1.1882896423339844,0.00014585256576538086,0,41.913124084472656,0.9982622861862183,1675_0.56_1.81.png,1,0,17,2,0,0,0.05,0.0,0.85,0.1,0.0,0.0,20,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0031651112|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0062836547,riskcap42_no075,val_regular
40.72483444213867,0.9981164336204529,1.0629539489746094,0.00014019012451171875,0,41.78778839111328,0.9982566237449646,1675_0.56_1.81.png,1,0,18,1,0,0,0.05,0.0,0.9,0.05,0.0,0.0,20,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0031651112|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0081151606,riskcap36_no075,val_regular
40.72483444213867,0.9981164336204529,1.428466796875,0.0001431107521057129,0,42.15330123901367,0.9982595443725586,1675_0.56_1.81.png,0,0,18,0,2,0,0.0,0.0,0.9,0.0,0.1,0.0,20,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0043022355|high_alpha=0.5|high_cond=diff_signed_mean_le_-0.0062836547,riskcap48_allow075,val_regular
40.037628173828125,0.9980568885803223,0.15899658203125,0.0001131892204284668,1,40.196624755859375,0.9981700778007507,1684_0.61_1.24.png,0,0,12,8,0,0,0.0,0.0,0.6,0.4,0.0,0.0,20,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0044661514|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.00023860703,riskcap48_no075,val_regular
40.037628173828125,0.9980568885803223,0.17980194091796875,0.00011157989501953125,1,40.217430114746094,0.9981684684753418,1684_0.61_1.24.png,0,0,20,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,20,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0044661514|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0063877611,riskcap42_no075,val_regular
40.037628173828125,0.9980568885803223,0.14907073974609375,0.0001074671745300293,1,40.18669891357422,0.9981643557548523,1684_0.61_1.24.png,1,0,19,0,0,0,0.05,0.0,0.95,0.0,0.0,0.0,20,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0033162105|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0063877611,riskcap36_no075,val_regular
40.037628173828125,0.9980568885803223,0.15899658203125,0.0001131892204284668,1,40.196624755859375,0.9981700778007507,1684_0.61_1.24.png,0,0,12,8,0,0,0.0,0.0,0.6,0.4,0.0,0.0,20,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0044661514|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.00023860703,riskcap48_allow075,val_regular
45.1659049987793,0.9989857077598572,0.9655570983886719,9.942054748535156e-05,3,46.13146209716797,0.9990851283073425,1701_0.55_0.71.png,0,0,19,0,1,0,0.0,0.0,0.95,0.0,0.05,0.0,20,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0044121328|high_alpha=0.5|high_cond=diff_signed_mean_le_-0.0081691616,riskcap48_no075,val_regular
45.1659049987793,0.9989857077598572,0.9353904724121094,0.00010377168655395508,3,46.101295471191406,0.9990894794464111,1701_0.55_0.71.png,0,0,17,3,0,0,0.0,0.0,0.85,0.15,0.0,0.0,20,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0044121328|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.004919854,riskcap42_no075,val_regular
45.1659049987793,0.9989857077598572,0.9159431457519531,0.00010037422180175781,3,46.08184814453125,0.9990860819816589,1701_0.55_0.71.png,0,0,19,1,0,0,0.0,0.0,0.95,0.05,0.0,0.0,20,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0044121328|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0063337156,riskcap36_no075,val_regular
45.1659049987793,0.9989857077598572,0.8322105407714844,9.864568710327148e-05,3,45.99811553955078,0.9990843534469604,1701_0.55_0.71.png,0,0,20,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,20,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0044121328|high_alpha=0.75|high_cond=diff_signed_mean_le_-0.011323119,riskcap48_allow075,val_regular
42.12257766723633,0.9978984594345093,0.6495437622070312,0.0002053380012512207,0,42.77212142944336,0.9981037974357605,1704_0.9_1.06.png,0,0,20,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,20,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0043022355|high_alpha=0.5|high_cond=diff_signed_mean_le_-0.0062836547,riskcap48_no075,val_regular
42.12257766723633,0.9978984594345093,0.6495437622070312,0.0002053380012512207,0,42.77212142944336,0.9981037974357605,1704_0.9_1.06.png,0,0,20,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,20,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0031651112|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0062836547,riskcap42_no075,val_regular
42.12257766723633,0.9978984594345093,0.6495437622070312,0.0002053380012512207,0,42.77212142944336,0.9981037974357605,1704_0.9_1.06.png,0,0,20,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,20,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0031651112|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0081151606,riskcap36_no075,val_regular
42.12257766723633,0.9978984594345093,0.6495437622070312,0.0002053380012512207,0,42.77212142944336,0.9981037974357605,1704_0.9_1.06.png,0,0,20,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,20,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0043022355|high_alpha=0.5|high_cond=diff_signed_mean_le_-0.0062836547,riskcap48_allow075,val_regular
41.12841033935547,0.9974349737167358,0.38925933837890625,0.0002415776252746582,3,41.517669677734375,0.9976765513420105,1716_0.87_0.59.png,1,0,19,0,0,0,0.05,0.0,0.95,0.0,0.0,0.0,20,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0044121328|high_alpha=0.5|high_cond=diff_signed_mean_le_-0.0081691616,riskcap48_no075,val_regular
41.12841033935547,0.9974349737167358,0.3706550598144531,0.00024044513702392578,3,41.49906539916992,0.9976754188537598,1716_0.87_0.59.png,1,0,18,1,0,0,0.05,0.0,0.9,0.05,0.0,0.0,20,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0044121328|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.004919854,riskcap42_no075,val_regular
41.12841033935547,0.9974349737167358,0.38925933837890625,0.0002415776252746582,3,41.517669677734375,0.9976765513420105,1716_0.87_0.59.png,1,0,19,0,0,0,0.05,0.0,0.95,0.0,0.0,0.0,20,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0044121328|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0063337156,riskcap36_no075,val_regular
41.12841033935547,0.9974349737167358,0.38925933837890625,0.0002415776252746582,3,41.517669677734375,0.9976765513420105,1716_0.87_0.59.png,1,0,19,0,0,0,0.05,0.0,0.95,0.0,0.0,0.0,20,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0044121328|high_alpha=0.75|high_cond=diff_signed_mean_le_-0.011323119,riskcap48_allow075,val_regular
46.273719787597656,0.9988396167755127,0.0278167724609375,2.47955322265625e-05,1,46.301536560058594,0.9988644123077393,1729_0.85_0.57.png,0,0,11,9,0,0,0.0,0.0,0.55,0.45,0.0,0.0,20,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0044661514|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.00023860703,riskcap48_no075,val_regular
46.273719787597656,0.9988396167755127,0.12703323364257812,2.3305416107177734e-05,1,46.400753021240234,0.9988629221916199,1729_0.85_0.57.png,0,0,20,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,20,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0044661514|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0063877611,riskcap42_no075,val_regular
46.273719787597656,0.9988396167755127,0.12703323364257812,2.3305416107177734e-05,1,46.400753021240234,0.9988629221916199,1729_0.85_0.57.png,0,0,20,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,20,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0033162105|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0063877611,riskcap36_no075,val_regular
