count,coverage,easy_top25_dPSNR,fold,hard_bottom25_dPSNR,heldout_count,mean_dPSNR,nonnegative_ratio,patch_action_count_a0,patch_action_count_a0p125,patch_action_count_a0p25,patch_action_count_a0p375,patch_action_count_a0p5,patch_action_count_a0p75,patch_action_fraction_a0,patch_action_fraction_a0p125,patch_action_fraction_a0p25,patch_action_fraction_a0p375,patch_action_fraction_a0p5,patch_action_fraction_a0p75,positive_ratio,profile,profile_feasible_count,selected_count,selected_nonnegative_ratio,selected_precision,selected_severe_count,severe_loss_count,severe_loss_per_600,strong_loss_count,strong_loss_per_600,train_policy_id,train_proxy_hard,train_proxy_positive,train_proxy_severe,train_score
116,1.0,0.46708198684878943,2,0.4703135144859514,116,0.40991064885389267,0.8103448275862069,402,0,1306,312,0,0,0.19900990099009902,0.0,0.6465346534653466,0.15445544554455445,0.0,0.0,0.8103448275862069,riskcap36_no075,2,116,0.8103448275862069,0.8103448275862069,10,10,51.724137931034484,18,93.10344827586208,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0043432396|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0063224571,0.2785876435442964,0.7871900826446281,34.710743801652896,0.8496021818264275
116,1.0,0.5209037649792932,2,0.4851681660485699,116,0.451556611134667,0.8103448275862069,317,0,509,1194,0,0,0.15693069306930693,0.0,0.251980198019802,0.5910891089108911,0.0,0.0,0.8103448275862069,riskcap48_allow075,22,116,0.8103448275862069,0.8103448275862069,12,12,62.06896551724138,18,93.10344827586208,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.006066419|high_alpha=0.375|high_cond=diff_signed_mean_le_0.00080477528,0.3052473774924971,0.7913223140495868,47.107438016528924,0.9522293706786225
111,1.0,0.5086767336109475,3,0.3882638285390914,111,0.3189548695255815,0.8198198198198198,362,0,1372,0,206,0,0.1865979381443299,0.0,0.7072164948453609,0.0,0.10618556701030928,0.0,0.8198198198198198,riskcap48_no075,112,111,0.8198198198198198,0.8198198198198198,9,9,48.64864864864865,16,86.48648648648648,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0044121328|high_alpha=0.5|high_cond=diff_signed_mean_le_-0.0081691616,0.38392615600068836,0.7934560327198364,44.171779141104295,1.0129753854143912
111,1.0,0.5170521296635165,3,0.3431429335291793,111,0.31298418931147487,0.8288288288288288,362,0,1193,385,0,0,0.1865979381443299,0.0,0.6149484536082475,0.19845360824742267,0.0,0.0,0.8288288288288288,riskcap42_no075,13,111,0.8288288288288288,0.8288288288288288,10,10,54.05405405405405,15,81.08108108108108,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0044121328|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.004919854,0.3295991846851193,0.7893660531697342,40.49079754601227,0.956234707244042
111,1.0,0.5067944824343726,3,0.3299256666715518,111,0.30435154492362093,0.8198198198198198,362,0,1283,295,0,0,0.1865979381443299,0.0,0.661340206185567,0.15206185567010308,0.0,0.0,0.8198198198198198,riskcap36_no075,0,111,0.8198198198198198,0.8198198198198198,7,7,37.83783783783783,15,81.08108108108108,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0044121328|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0063337156,0.32328310081895767,0.7893660531697342,38.03680981595092,0.9493275481923005
111,1.0,0.4522279874612562,3,0.42677787800482564,111,0.29532189937469916,0.8108108108108109,362,0,1467,0,0,111,0.1865979381443299,0.0,0.7561855670103093,0.0,0.0,0.05721649484536082,0.8108108108108109,riskcap48_allow075,113,111,0.8108108108108109,0.8108108108108109,9,9,48.64864864864865,16,86.48648648648648,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0044121328|high_alpha=0.75|high_cond=diff_signed_mean_le_-0.011323119,0.42733401831492224,0.7811860940695297,46.625766871165645,1.0172840341846112
122,0.9918032786885246,0.47454358982938794,4,0.20016556492591597,122,0.33234747165540973,0.7704918032786885,473,0,1384,0,199,0,0.23005836575875485,0.0,0.6731517509727627,0.0,0.0967898832684825,0.0,0.7704918032786885,riskcap48_no075,11,121,0.7768595041322314,0.7768595041322314,7,7,34.42622950819672,17,83.60655737704917,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0042075863|high_alpha=0.5|high_cond=diff_signed_mean_le_-0.0082347921,0.4296334604453804,0.801255230125523,47.69874476987447,1.0419272943110796
122,0.9918032786885246,0.4867157383887862,4,0.17699622071689045,122,0.31639213793553256,0.7704918032786885,473,0,1290,293,0,0,0.23005836575875485,0.0,0.627431906614786,0.14250972762645914,0.0,0.0,0.7704918032786885,riskcap42_no075,0,121,0.7768595041322314,0.7768595041322314,4,4,19.672131147540984,15,73.77049180327869,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0042075863|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0063841534,0.3553492323338629,0.799163179916318,42.67782426778243,0.9660738581142712
122,0.9918032786885246,0.46238492527955444,4,0.14053578836346065,122,0.273789464865927,0.7622950819672131,361,0,1695,0,0,0,0.17558365758754862,0.0,0.8244163424124513,0.0,0.0,0.0,0.7622950819672131,riskcap36_no075,5,121,0.768595041322314,0.768595041322314,5,5,24.59016393442623,17,83.60655737704917,single|alpha=0.25|cond=diff_signed_mean_le_0.0058720582,0.26359989319638966,0.8221757322175732,32.63598326359833,0.8099751360165959
122,0.9918032786885246,0.47454358982938794,4,0.20016556492591597,122,0.33234747165540973,0.7704918032786885,473,0,1384,0,199,0,0.23005836575875485,0.0,0.6731517509727627,0.0,0.0967898832684825,0.0,0.7704918032786885,riskcap48_allow075,11,121,0.7768595041322314,0.7768595041322314,7,7,34.42622950819672,17,83.60655737704917,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0042075863|high_alpha=0.5|high_cond=diff_signed_mean_le_-0.0082347921,0.4296334604453804,0.801255230125523,47.69874476987447,1.0419272943110796
