variant,coverage_target,count,selected_count,coverage,mean_psnr_delta,hard_bottom25_psnr_delta,easy_top25_psnr_delta,mean_ssim_delta,positive_ratio,selected_positive_ratio,strong_reference_cut_psnr,strong_regression_count_delta_le_-0.05,worst_regression_count_delta_le_-0.20,true_vs_zero_surplus,true_vs_shuffle_surplus,true_vs_normal_surplus,selected_group_counts
l1_fdf_lite_s004_g025_bm2,0.4,2400,960,0.4,0.1290031107266744,0.11322356224060058,0.1364335568745931,2.295742432276408e-05,0.4,1.0,42.80718994140625,0,0,0.08092194159825643,0.06112542390823364,0.06637399037679037,"{""gain"": 820, ""ssim_regression"": 140}"
l1_fdf_lite_s004_g025_bm2,0.45,2400,1080,0.45,0.13458932161331177,0.11882226626078288,0.1427847735087077,2.476458748181661e-05,0.45,1.0,42.80718994140625,0,0,0.0855436094601949,0.0644619886080424,0.06997697114944458,"{""gain"": 911, ""ssim_regression"": 169}"
l1_fdf_lite_s004_g025_bm2,0.5,2400,1200,0.5,0.13886518796284994,0.12410850524902343,0.14551485061645508,2.570614218711853e-05,0.5,1.0,42.80718994140625,0,0,0.08970248699188232,0.06783090988794963,0.07352939923604329,"{""gain"": 991, ""ssim_regression"": 209}"
l1_fdf_lite_s004_g025_bm2,0.55,2400,1320,0.55,0.14190730730692547,0.12740810394287108,0.14801813125610352,2.6133979360262554e-05,0.55,1.0,42.80718994140625,0,0,0.09368741353352865,0.07096226453781128,0.07715445677439371,"{""gain"": 1057, ""ssim_regression"": 263}"
l1_fdf_lite_s004_g025_bm2,0.6,2400,1440,0.6,0.1437440824508667,0.12929831186930338,0.1494883664449056,2.6556824644406636e-05,0.6,1.0,42.80718994140625,0,0,0.09652651945749918,0.07326766173044841,0.07964318752288818,"{""gain"": 1134, ""ssim_regression"": 306}"
l1_fdf_lite_s004_g025_bm2,0.65,2400,1560,0.65,0.14397614399592082,0.1297024885813395,0.14959306716918946,2.6979098717371622e-05,0.6308333333333334,0.9705128205128205,42.80718994140625,0,0,0.0984675677617391,0.07492660840352376,0.08151268164316813,"{""gain"": 1138, ""neutral"": 68, ""ssim_regression"": 354}"
l1_fdf_lite_s004_g025_bm2,0.7,2400,1680,0.7,0.14263280630111694,0.12832102139790852,0.14855502446492513,2.7300467093785602e-05,0.6308333333333334,0.9011904761904762,42.80718994140625,0,0,0.10000597794850667,0.07599213282267253,0.08251073757807413,"{""gain"": 1138, ""neutral"": 125, ""ssim_regression"": 417}"
l1_fdf_lite_s004_g025_bm2,0.75,2400,1800,0.75,0.13948893864949544,0.12553411483764648,0.14442773818969726,2.7074714501698812e-05,0.6308333333333334,0.8411111111111111,42.80718994140625,33,0,0.09922915856043497,0.07530603488286336,0.08166292111078897,"{""gain"": 1138, ""neutral"": 137, ""ssim_regression"": 428, ""strong_regression"": 97}"
l1_fdf_lite_s004_g025_bm2,0.8,2400,1920,0.8,0.1340747857093811,0.11947880744934082,0.13863668441772461,2.6107306281725567e-05,0.6308333333333334,0.7885416666666667,42.80718994140625,65,0,0.09755122661590576,0.07406549135843912,0.0804719614982605,"{""gain"": 1138, ""neutral"": 137, ""ssim_regression"": 428, ""strong_regression"": 217}"
l1_fdf_lite_s004_g025_bm2,0.85,2400,2040,0.85,0.1262033955256144,0.10941488901774088,0.13163906733194988,2.4530390898386638e-05,0.6308333333333334,0.7421568627450981,42.80718994140625,92,0,0.09434576352437338,0.07205361525217692,0.07825826168060303,"{""gain"": 1138, ""neutral"": 137, ""ssim_regression"": 428, ""strong_regression"": 337}"
l1_fdf_lite_s004_g025_bm2,0.9,2400,2160,0.9,0.11529510895411174,0.09907667477925619,0.12119370778401693,2.291897932688395e-05,0.6308333333333334,0.700925925925926,42.80718994140625,121,90,0.08901909271876017,0.06844280163447063,0.07402609745661418,"{""gain"": 1138, ""neutral"": 137, ""ssim_regression"": 428, ""strong_regression"": 367, ""worst_regression"": 90}"
l1_fdf_lite_s004_g025_bm2,0.95,2400,2280,0.95,0.09974332968393962,0.08984142939249674,0.10353352864583333,2.032908300558726e-05,0.6308333333333334,0.6640350877192982,42.80718994140625,154,210,0.08211192289988199,0.06393478711446127,0.06878214200337728,"{""gain"": 1138, ""neutral"": 137, ""ssim_regression"": 428, ""strong_regression"": 367, ""worst_regression"": 210}"
l1_fdf_lite_s004_g025_bm2,1.0,2400,2400,1.0,0.07118344148000082,0.07974258422851563,0.045330657958984374,1.5355969468752545e-05,0.6308333333333334,0.6308333333333334,42.80718994140625,212,330,0.06951782862345378,0.05537246704101562,0.059187399546305336,"{""gain"": 1138, ""neutral"": 137, ""ssim_regression"": 428, ""strong_regression"": 367, ""worst_regression"": 330}"
l2_fdf_lite_s002_g025_bm2,0.05,2400,120,0.05,0.02585533301035563,0.015497792561848958,0.031400623321533205,4.380519191424052e-06,0.05,1.0,42.80718994140625,0,0,0.009254517555236817,0.006336393356323242,0.00695763905843099,"{""gain"": 112, ""ssim_regression"": 8}"
l2_fdf_lite_s002_g025_bm2,0.1,2400,240,0.1,0.04333177089691162,0.028871033986409503,0.0496174430847168,7.348284125328064e-06,0.1,1.0,42.80718994140625,0,0,0.017165482838948566,0.011889829635620117,0.012810107866923014,"{""gain"": 223, ""ssim_regression"": 17}"
l2_fdf_lite_s002_g025_bm2,0.15,2400,360,0.15,0.05725511948267619,0.046039063135782876,0.061111583709716796,1.0969042778015137e-05,0.15,1.0,42.80718994140625,0,0,0.023755801518758137,0.016508373419443768,0.017908536593119303,"{""gain"": 331, ""ssim_regression"": 29}"
l2_fdf_lite_s002_g025_bm2,0.2,2400,480,0.2,0.06896007696787516,0.061165148417154945,0.07285113652547201,1.3780370354652404e-05,0.2,1.0,42.80718994140625,0,0,0.02952330668767293,0.020612062613169353,0.022418222427368163,"{""gain"": 436, ""ssim_regression"": 44}"
l2_fdf_lite_s002_g025_bm2,0.25,2400,600,0.25,0.07890567779541016,0.07244351704915365,0.0814281972249349,1.6414572795232136e-05,0.25,1.0,42.80718994140625,0,0,0.034729886849721274,0.02445079565048218,0.02650915781656901,"{""gain"": 546, ""ssim_regression"": 54}"
l2_fdf_lite_s002_g025_bm2,0.3,2400,720,0.3,0.08720559199651082,0.08411009152730306,0.08838860193888347,1.9499709208806354e-05,0.3,1.0,42.80718994140625,0,0,0.03979497353235881,0.028067457675933837,0.03029648224512736,"{""gain"": 643, ""ssim_regression"": 77}"
l2_fdf_lite_s002_g025_bm2,0.35,2400,840,0.35,0.09399215539296468,0.09037485758463541,0.09453046798706055,2.0520736773808796e-05,0.35,1.0,42.80718994140625,0,0,0.043927223682403566,0.030992422103881836,0.03347044308980306,"{""gain"": 735, ""ssim_regression"": 105}"
l2_fdf_lite_s002_g025_bm2,0.4,2400,960,0.4,0.09937813520431518,0.09549059232076008,0.099962952931722,2.2206728657086692e-05,0.4,1.0,42.80718994140625,0,0,0.048101162910461424,0.033943936824798585,0.03663818120956421,"{""gain"": 827, ""ssim_regression"": 133}"
l2_fdf_lite_s002_g025_bm2,0.45,2400,1080,0.45,0.10357915798823039,0.09964100201924642,0.10444058736165364,2.3850450913111368e-05,0.45,1.0,42.80718994140625,0,0,0.05043593009312947,0.03567897399266561,0.03863425811131795,"{""gain"": 915, ""ssim_regression"": 165}"
l2_fdf_lite_s002_g025_bm2,0.5,2400,1200,0.5,0.10666080395380656,0.1037881628672282,0.10661604563395183,2.5046368439992268e-05,0.5,1.0,42.80718994140625,0,0,0.053568286101023356,0.03802536408106486,0.041047998269399005,"{""gain"": 999, ""ssim_regression"": 201}"
l2_fdf_lite_s002_g025_bm2,0.55,2400,1320,0.55,0.1087414558728536,0.10587275505065918,0.10798211415608724,2.4883771936098734e-05,0.55,1.0,42.80718994140625,0,0,0.056259342034657794,0.04010304927825928,0.04347481250762939,"{""gain"": 1068, ""ssim_regression"": 252}"
l2_fdf_lite_s002_g025_bm2,0.6,2400,1440,0.6,0.10981882731119792,0.10678746541341146,0.10911965052286784,2.5186215837796528e-05,0.6,1.0,42.80718994140625,0,0,0.05816301027933757,0.04155443509419759,0.04493791341781616,"{""gain"": 1104, ""neutral"": 35, ""ssim_regression"": 301}"
l2_fdf_lite_s002_g025_bm2,0.65,2400,1560,0.65,0.10979106028874715,0.10672609647115072,0.10908529281616211,2.600987752278646e-05,0.625,0.9615384615384616,42.80718994140625,0,0,0.05945137023925781,0.04249016761779785,0.04603476524353027,"{""gain"": 1104, ""neutral"": 98, ""ssim_regression"": 358}"
l2_fdf_lite_s002_g025_bm2,0.7,2400,1680,0.7,0.10865626017252604,0.10575766881306967,0.10764486312866212,2.6360700527826944e-05,0.625,0.8928571428571429,42.80718994140625,0,0,0.06045784632364909,0.04325137933095296,0.04673954566319784,"{""gain"": 1104, ""neutral"": 162, ""ssim_regression"": 414}"
l2_fdf_lite_s002_g025_bm2,0.75,2400,1800,0.75,0.10621625741322835,0.10357226689656575,0.1051813824971517,2.696402370929718e-05,0.625,0.8333333333333334,42.80718994140625,12,0,0.06036871751149495,0.043074098428090415,0.04662513017654419,"{""gain"": 1104, ""neutral"": 200, ""ssim_regression"": 443, ""strong_regression"": 53}"
l2_fdf_lite_s002_g025_bm2,0.8,2400,1920,0.8,0.10203064997990927,0.09708359082539876,0.10149096806844075,2.6218444108963013e-05,0.625,0.78125,42.80718994140625,38,0,0.05987248659133911,0.04288144826889038,0.04637293736139933,"{""gain"": 1104, ""neutral"": 200, ""ssim_regression"": 443, ""strong_regression"": 173}"
l2_fdf_lite_s002_g025_bm2,0.85,2400,2040,0.85,0.09588446617126464,0.09133104960123697,0.09601081848144531,2.5015547871589662e-05,0.625,0.7352941176470589,42.80718994140625,65,0,0.0582933243115743,0.04211888710657755,0.04542811552683512,"{""gain"": 1104, ""neutral"": 200, ""ssim_regression"": 443, ""strong_regression"": 293}"
l2_fdf_lite_s002_g025_bm2,0.9,2400,2160,0.9,0.08741744995117187,0.083092041015625,0.08795822143554688,2.3705735802650452e-05,0.625,0.6944444444444444,42.80718994140625,94,2,0.05602010806401571,0.04086745500564575,0.044057838916778565,"{""gain"": 1104, ""neutral"": 200, ""ssim_regression"": 443, ""strong_regression"": 411, ""worst_regression"": 2}"
l2_fdf_lite_s002_g025_bm2,0.95,2400,2280,0.95,0.07524881839752197,0.07296305974324545,0.07619091669718424,2.101384103298187e-05,0.625,0.6578947368421053,42.80718994140625,122,122,0.052953736782073976,0.03902376810709635,0.04186660528182983,"{""gain"": 1104, ""neutral"": 200, ""ssim_regression"": 443, ""strong_regression"": 411, ""worst_regression"": 122}"
l2_fdf_lite_s002_g025_bm2,1.0,2400,2400,1.0,0.052705670992533364,0.0631551742553711,0.033951975504557294,1.7000635464986167e-05,0.625,0.625,42.80718994140625,176,242,0.04571020841598511,0.03475157101949056,0.03705832560857137,"{""gain"": 1104, ""neutral"": 200, ""ssim_regression"": 443, ""strong_regression"": 411, ""worst_regression"": 242}"
l3_fdf_lite_s004_g015_bm2,0.05,2400,120,0.05,0.02891311486562093,0.014952774047851563,0.03809122721354167,4.406099518140157e-06,0.05,1.0,42.80718994140625,0,0,0.01196943442026774,0.008525670369466146,0.009289290110270182,"{""gain"": 110, ""ssim_regression"": 10}"
l3_fdf_lite_s004_g015_bm2,0.1,2400,240,0.1,0.0489738925298055,0.027192859649658202,0.06337056477864583,7.147987683614095e-06,0.1,1.0,42.80718994140625,0,0,0.022683903376261392,0.016130356788635253,0.0176399294535319,"{""gain"": 219, ""ssim_regression"": 21}"
l3_fdf_lite_s004_g015_bm2,0.15,2400,360,0.15,0.06509379704793294,0.04787732442220052,0.07469048182169596,1.12599382797877e-05,0.15,1.0,42.80718994140625,0,0,0.03097826878229777,0.022278629144032797,0.024155240853627524,"{""gain"": 329, ""ssim_regression"": 31}"
l3_fdf_lite_s004_g015_bm2,0.2,2400,480,0.2,0.07845486084620158,0.06133510271708171,0.08795648574829101,1.3861830035845439e-05,0.2,1.0,42.80718994140625,0,0,0.03848496596018473,0.027696297963460285,0.030095776716868083,"{""gain"": 438, ""ssim_regression"": 42}"
l3_fdf_lite_s004_g015_bm2,0.25,2400,600,0.25,0.0900340978304545,0.07811899503072103,0.09628826141357422,1.6956478357315064e-05,0.25,1.0,42.80718994140625,0,0,0.045123676458994545,0.03272404352823893,0.03574938217798869,"{""gain"": 546, ""ssim_regression"": 54}"
l3_fdf_lite_s004_g015_bm2,0.3,2400,720,0.3,0.09970631361007691,0.09105387687683106,0.10298997243245443,1.998700201511383e-05,0.3,1.0,42.80718994140625,0,0,0.05138539473215739,0.03746171951293945,0.040766820907592774,"{""gain"": 648, ""ssim_regression"": 72}"
l3_fdf_lite_s004_g015_bm2,0.35,2400,840,0.35,0.10766502777735393,0.09855761528015136,0.11143369038899739,2.1972283720970155e-05,0.35,1.0,42.80718994140625,0,0,0.05722655693689982,0.0418295160929362,0.045158923467000324,"{""gain"": 747, ""ssim_regression"": 93}"
l3_fdf_lite_s004_g015_bm2,0.4,2400,960,0.4,0.11399543762207032,0.10458366394042969,0.11739380518595377,2.312565843264262e-05,0.4,1.0,42.80718994140625,0,0,0.062236038049062095,0.045442246596018476,0.04915206829706828,"{""gain"": 832, ""ssim_regression"": 128}"
l3_fdf_lite_s004_g015_bm2,0.45,2400,1080,0.45,0.11892588297526041,0.11033798217773437,0.12264225006103516,2.5358771284421286e-05,0.45,1.0,42.80718994140625,0,0,0.06681234359741212,0.04862855831782023,0.052818570931752525,"{""gain"": 925, ""ssim_regression"": 155}"
l3_fdf_lite_s004_g015_bm2,0.5,2400,1200,0.5,0.12273458639780681,0.11517052968343099,0.12529729843139648,2.602780858675639e-05,0.5,1.0,42.80718994140625,0,0,0.06994676351547241,0.05132802089055379,0.05558889945348104,"{""gain"": 1005, ""ssim_regression"": 195}"
l3_fdf_lite_s004_g015_bm2,0.55,2400,1320,0.55,0.1254082465171814,0.1176969305674235,0.12717472712198893,2.6245017846425374e-05,0.55,1.0,42.80718994140625,0,0,0.0728501574198405,0.0536138129234314,0.058027578989664715,"{""gain"": 1069, ""ssim_regression"": 251}"
l3_fdf_lite_s004_g015_bm2,0.6,2400,1440,0.6,0.12690044879913331,0.11954410552978516,0.12869466781616212,2.627134323120117e-05,0.6,1.0,42.80718994140625,0,0,0.07558996121088664,0.055782026449839275,0.060416506926218666,"{""gain"": 1135, ""neutral"": 6, ""ssim_regression"": 299}"
l3_fdf_lite_s004_g015_bm2,0.65,2400,1560,0.65,0.12707626978556316,0.11962231318155925,0.12881475448608398,2.7545193831125895e-05,0.6304166666666666,0.9698717948717949,42.80718994140625,0,0,0.07734894116719564,0.057203731536865234,0.06201506455739339,"{""gain"": 1135, ""neutral"": 80, ""ssim_regression"": 345}"
l3_fdf_lite_s004_g015_bm2,0.7,2400,1680,0.7,0.12588743845621744,0.11846741994222006,0.12773712158203124,2.8052926063537596e-05,0.6304166666666666,0.9005952380952381,42.80718994140625,0,0,0.07814764499664306,0.0576884396870931,0.06247085650761922,"{""gain"": 1135, ""neutral"": 143, ""ssim_regression"": 402}"
l3_fdf_lite_s004_g015_bm2,0.75,2400,1800,0.75,0.12308241128921509,0.11608367602030437,0.12434633255004883,2.803345521291097e-05,0.6304166666666666,0.8405555555555555,42.80718994140625,23,0,0.07790078242619833,0.05742398103078206,0.062174974282582604,"{""gain"": 1135, ""neutral"": 159, ""ssim_regression"": 421, ""strong_regression"": 85}"
l3_fdf_lite_s004_g015_bm2,0.8,2400,1920,0.8,0.11843082904815674,0.10998719533284505,0.11851582209269206,2.698699633280436e-05,0.6304166666666666,0.7880208333333333,42.80718994140625,60,0,0.07694825728734335,0.05673210938771566,0.06148729960123698,"{""gain"": 1135, ""neutral"": 159, ""ssim_regression"": 421, ""strong_regression"": 205}"
l3_fdf_lite_s004_g015_bm2,0.85,2400,2040,0.85,0.11149954080581664,0.10134069760640463,0.11339607238769531,2.5968452294667562e-05,0.6304166666666666,0.7416666666666667,42.80718994140625,82,0,0.07440201997756958,0.05523399035135905,0.059809786478678385,"{""gain"": 1135, ""neutral"": 159, ""ssim_regression"": 421, ""strong_regression"": 325}"
l3_fdf_lite_s004_g015_bm2,0.9,2400,2160,0.9,0.10195813814798992,0.09302677154541016,0.10536097844441732,2.4563148617744445e-05,0.6304166666666666,0.700462962962963,42.80718994140625,108,38,0.07091825882593791,0.053302187919616696,0.057594890594482424,"{""gain"": 1135, ""neutral"": 159, ""ssim_regression"": 421, ""strong_regression"": 407, ""worst_regression"": 38}"
l3_fdf_lite_s004_g015_bm2,0.95,2400,2280,0.95,0.0882414706548055,0.0833493423461914,0.09085663477579753,2.2147869070370993e-05,0.6304166666666666,0.6635964912280702,42.80718994140625,139,158,0.06622221072514851,0.05023711760838827,0.05399344205856323,"{""gain"": 1135, ""neutral"": 159, ""ssim_regression"": 421, ""strong_regression"": 407, ""worst_regression"": 158}"
l3_fdf_lite_s004_g015_bm2,1.0,2400,2400,1.0,0.06295862038930257,0.07343692143758138,0.040085767110188804,1.7357170581817626e-05,0.6304166666666666,0.6304166666666666,42.80718994140625,197,278,0.05660839478174846,0.04419080336888631,0.04714994510014852,"{""gain"": 1135, ""neutral"": 159, ""ssim_regression"": 421, ""strong_regression"": 407, ""worst_regression"": 278}"
l4_fdf_lite_tail_s004_g025_bm2,0.05,2400,120,0.05,0.030923399925231933,0.013070348103841146,0.043589661916097006,4.164924224217733e-06,0.05,1.0,42.80718994140625,0,0,0.014043229420979818,0.010422528584798177,0.01141626516977946,"{""gain"": 109, ""ssim_regression"": 11}"
l4_fdf_lite_tail_s004_g025_bm2,0.1,2400,240,0.1,0.05259901682535807,0.0276924196879069,0.07032408396402995,7.08460807800293e-06,0.1,1.0,42.80718994140625,0,0,0.026350895563761394,0.019328190485636394,0.021175559361775717,"{""gain"": 216, ""ssim_regression"": 24}"
l4_fdf_lite_tail_s004_g025_bm2,0.15,2400,360,0.15,0.06973886569341024,0.04797605832417806,0.08299188613891602,1.1351009209950765e-05,0.15,1.0,42.80718994140625,0,0,0.03551583210627238,0.026266688505808513,0.028390702406565348,"{""gain"": 327, ""ssim_regression"": 33}"
l4_fdf_lite_tail_s004_g025_bm2,0.2,2400,480,0.2,0.08403820117314656,0.06006752967834473,0.09628820419311523,1.3408412535985312e-05,0.2,1.0,42.80718994140625,0,0,0.04389409859975179,0.03252028703689575,0.0354628864924113,"{""gain"": 434, ""ssim_regression"": 46}"
l4_fdf_lite_tail_s004_g025_bm2,0.25,2400,600,0.25,0.09643009821573893,0.0816375986735026,0.10290631612141928,1.668475568294525e-05,0.25,1.0,42.80718994140625,0,0,0.05150684754053752,0.0384806497891744,0.04189483642578125,"{""gain"": 545, ""ssim_regression"": 55}"
l4_fdf_lite_tail_s004_g025_bm2,0.3,2400,720,0.3,0.10675137758255004,0.09335530281066895,0.11302195866902669,1.885153353214264e-05,0.3,1.0,42.80718994140625,0,0,0.058488215605417886,0.043787484169006345,0.0473935341835022,"{""gain"": 642, ""ssim_regression"": 78}"
l4_fdf_lite_tail_s004_g025_bm2,0.35,2400,840,0.35,0.11528276681900024,0.10247726122538249,0.12156717300415039,2.1766920884450277e-05,0.35,1.0,42.80718994140625,0,0,0.06536805550257364,0.04900410811106364,0.05277844031651815,"{""gain"": 740, ""ssim_regression"": 100}"
l4_fdf_lite_tail_s004_g025_bm2,0.4,2400,960,0.4,0.12205676476160686,0.10944897015889486,0.1281555430094401,2.260419229666392e-05,0.4,1.0,42.80718994140625,0,0,0.07095171769460042,0.053271257877349855,0.05756278514862061,"{""gain"": 825, ""ssim_regression"": 135}"
l4_fdf_lite_tail_s004_g025_bm2,0.45,2400,1080,0.45,0.12730259895324708,0.11486679077148437,0.13391087214152017,2.4427051345507305e-05,0.45,1.0,42.80718994140625,0,0,0.07548306465148925,0.056568910280863444,0.06135166645050049,"{""gain"": 914, ""ssim_regression"": 166}"
l4_fdf_lite_tail_s004_g025_bm2,0.5,2400,1200,0.5,0.13136139392852783,0.12010072708129883,0.13625807444254556,2.5218029816945392e-05,0.5,1.0,42.80718994140625,0,0,0.07915286779403687,0.059605132738749185,0.06438310066858928,"{""gain"": 995, ""ssim_regression"": 205}"
l4_fdf_lite_tail_s004_g025_bm2,0.55,2400,1320,0.55,0.13414273659388223,0.12295062065124512,0.1386583391825358,2.5595898429552713e-05,0.55,1.0,42.80718994140625,0,0,0.08220017751057943,0.06205253760019938,0.06708548545837402,"{""gain"": 1063, ""ssim_regression"": 257}"
l4_fdf_lite_tail_s004_g025_bm2,0.6,2400,1440,0.6,0.13580323616663614,0.12471987088521322,0.1400563685099284,2.5961076219876606e-05,0.6,1.0,42.80718994140625,0,0,0.0852612829208374,0.06458023071289062,0.07000787337621053,"{""gain"": 1135, ""ssim_regression"": 305}"
l4_fdf_lite_tail_s004_g025_bm2,0.65,2400,1560,0.65,0.13600883642832437,0.12498373667399089,0.1402559471130371,2.6693195104598998e-05,0.62875,0.9673076923076923,42.80718994140625,0,0,0.0870537773768107,0.0659525728225708,0.07141249736150106,"{""gain"": 1138, ""neutral"": 70, ""ssim_regression"": 352}"
l4_fdf_lite_tail_s004_g025_bm2,0.7,2400,1680,0.7,0.13469986915588378,0.12362038294474284,0.13899575551350912,2.6920884847640993e-05,0.62875,0.8982142857142857,42.80718994140625,0,0,0.08782024701436361,0.06647107124328613,0.07203557093938191,"{""gain"": 1138, ""neutral"": 128, ""ssim_regression"": 414}"
l4_fdf_lite_tail_s004_g025_bm2,0.75,2400,1800,0.75,0.13171558936436972,0.12073384284973145,0.1354679298400879,2.696983516216278e-05,0.62875,0.8383333333333334,42.80718994140625,28,0,0.0878536303838094,0.06627123355865479,0.07169256210327149,"{""gain"": 1138, ""neutral"": 143, ""ssim_regression"": 429, ""strong_regression"": 90}"
l4_fdf_lite_tail_s004_g025_bm2,0.8,2400,1920,0.8,0.1266209308306376,0.11486673037211101,0.1293756930033366,2.6052320996920268e-05,0.62875,0.7859375,42.80718994140625,64,0,0.08567720572153727,0.06473603645960489,0.07012554248174031,"{""gain"": 1138, ""neutral"": 143, ""ssim_regression"": 429, ""strong_regression"": 210}"
