scope,fold,epoch,loss,l_gt,anchor,hinge,cvar,direction,residual
frozen_probe,1,8,0.028476402920205146,0.005778851074865088,0.0003864764694299083,5.650744014928932e-07,0.0225994735956192,2.1416161266607503e-07,0.0003716393539434648
frozen_probe,1,9,0.01819533103844151,0.005693742481525987,0.0003301511551399017,3.9626422676519724e-07,0.01241668313741684,1.4746523202546769e-07,0.00034690438042161986
frozen_probe,1,10,0.013480953319231048,0.005693271989002824,0.0002821350781232468,1.9112377458441188e-07,0.0077173784375190735,7.38568096680936e-08,0.0002624853595989407
frozen_probe,2,1,0.8153225959686097,0.006862795329652727,0.0029902651804150082,2.9490202734905324e-05,0.8076181039214134,5.84642513157263e-06,0.0031085370646906085
frozen_probe,2,2,0.2533441566338297,0.006005358358379453,0.0015093786241777707,6.9549855084005685e-06,0.24694210290908813,1.8858922832265534e-06,0.0014295425244199578
frozen_probe,2,3,0.11079680369584821,0.00564783981826622,0.0011932800407521427,2.718753421504516e-06,0.10484659671783447,7.997028290684938e-07,0.0010854731663130224
frozen_probe,2,4,0.2719031237065792,0.006257656146772206,0.0014901365466357674,4.438096084413701e-06,0.26526080816984177,6.152327021169413e-07,0.001493410443799803
frozen_probe,2,5,0.29881952825235203,0.005849875131389126,0.0017738496462698095,6.182544552757463e-06,0.2925088331103325,9.55742103014856e-07,0.0017781404712877702
frozen_probe,2,6,0.17680312364245765,0.006166219769511372,0.0013817670642310986,4.587454782267741e-06,0.17027706652879715,1.3084224359527497e-06,0.0013555125260609202
frozen_probe,2,7,0.19489075959427282,0.005716516083339229,0.0010627865158312488,4.259264414940844e-06,0.18888910859823227,1.203254160198064e-06,0.0011607826745603234
frozen_probe,2,8,0.04203452584624756,0.005188991883187555,0.000518689052114496,7.735901590422145e-07,0.03671246021986008,2.782954734992238e-07,0.000527912930920138
frozen_probe,2,9,0.03183264614199288,0.0060777931939810514,0.00040703835293243174,1.1313097161291807e-06,0.025649793446063995,4.920104436645367e-07,0.000378582721168641
frozen_probe,2,10,0.04497023849398829,0.005323595571098849,0.00047782459114387166,5.230807289535733e-07,0.039526134729385376,1.6985439649230827e-07,0.00046095961624814663
frozen_probe,3,1,0.6242947713762987,0.006311135541182011,0.0033101882290793583,1.886980268750449e-05,0.6170929595828056,2.153427441697886e-06,0.003602638957090676
frozen_probe,3,2,0.11797832971205935,0.005771551295765676,0.0009903572754410561,2.8824304081354057e-06,0.11194244772195816,7.378737993946061e-07,0.0011360972985130502
frozen_probe,3,3,0.11888281733263284,0.0050872332794824615,0.0011703043446686934,2.3670194480018836e-06,0.11349255591630936,4.289413916280793e-07,0.0012417850994097535
frozen_probe,3,4,0.11034745050710626,0.005295658818795346,0.0009563253879605327,2.4990168299154902e-06,0.10479965060949326,7.1567245418791e-07,0.0010459369586897083
frozen_probe,3,5,0.16389123030239716,0.005581527715548873,0.0011028966400772333,4.794708360122968e-06,0.15801112353801727,1.7377465719725649e-06,0.0011944986163143767
frozen_probe,3,6,0.18995633200393058,0.005582115278230049,0.0012360161908873124,5.263548359835113e-06,0.18403636664152145,1.4652729152242472e-06,0.001455870624340605
frozen_probe,3,7,0.09174481546506286,0.005671168662956916,0.0008213169294322142,2.1830009586665255e-06,0.08585779368877411,5.308011966353998e-07,0.0008913442106859293
frozen_probe,3,8,0.03682851797202602,0.005396147374995053,0.0005919227078265976,8.251161887073977e-07,0.031280823051929474,2.6126823135519395e-07,0.0006041361348252394
frozen_probe,3,9,0.04630619936506264,0.00525893914164044,0.00036380483288667165,9.904689051154492e-07,0.040949538350105286,4.2553725959626476e-07,0.0004170611973677296
