sample_count,positive_rate,auroc,auprc,fold_std,unit,feature_set,label,target_bucket,model
1286,0.33048211508553654,0.8007979777276765,0.6164110204186153,0.05142169356452259,action,legacy_bucket_stage_strength,is_best_strength_bin,mid_50,fold_out_linear_ridge
400,0.265,0.652226928507252,0.48085243963089064,0.13346938995720825,action,legacy_bucket_stage_strength,is_best_strength_bin,easy_top25,fold_out_linear_ridge
3162,0.45161290322580644,0.5984610395484606,0.5441281072816915,0.1405571247800835,action,target_physics_frequency,is_useful_gt_0p10,all,fold_out_linear_ridge
1476,0.5460704607046071,0.5094607607125662,0.5993064563626188,0.2629204041000375,action,target_physics_frequency,is_useful_gt_0p10,hard_bottom25,fold_out_linear_ridge
1286,0.43779160186625193,0.6194733312205656,0.5403552581444937,0.12611926651010424,action,target_physics_frequency,is_useful_gt_0p10,mid_50,fold_out_linear_ridge
400,0.1475,0.5342959391619861,0.168990643302084,0.19588490904205094,action,target_physics_frequency,is_useful_gt_0p10,easy_top25,fold_out_linear_ridge
3162,0.35294117647058826,0.5639695603275208,0.39569982992696306,0.10295190140661344,action,target_physics_frequency,is_useful_gt_0p30,all,fold_out_linear_ridge
1476,0.45528455284552843,0.46255330490405117,0.4497542084581564,0.23947167266139704,action,target_physics_frequency,is_useful_gt_0p30,hard_bottom25,fold_out_linear_ridge
1286,0.3390357698289269,0.5843497031840259,0.4099228699437852,0.11880264133434587,action,target_physics_frequency,is_useful_gt_0p30,mid_50,fold_out_linear_ridge
400,0.02,0.3852040816326531,0.02160714285714286,0.28680047286974597,action,target_physics_frequency,is_useful_gt_0p30,easy_top25,fold_out_linear_ridge
3162,0.37982289690069576,0.5259491813935437,0.3986313469951155,0.018007072082788754,action,target_physics_frequency,is_best_safe_action_family,all,fold_out_linear_ridge
1476,0.37262872628726285,0.5208796387198115,0.3829558228641443,0.03610954864217651,action,target_physics_frequency,is_best_safe_action_family,hard_bottom25,fold_out_linear_ridge
1286,0.3584758942457232,0.5049207914283836,0.365350028253738,0.01166950717417282,action,target_physics_frequency,is_best_safe_action_family,mid_50,fold_out_linear_ridge
400,0.475,0.5085213032581454,0.47464485927548095,0.007308052974125323,action,target_physics_frequency,is_best_safe_action_family,easy_top25,fold_out_linear_ridge
3162,0.2666034155597723,0.517367745024469,0.28125900183175634,0.006701564188488451,action,target_physics_frequency,is_best_stage_set,all,fold_out_linear_ridge
1476,0.2859078590785908,0.5034578270996519,0.29212200739647315,0.016326341889457977,action,target_physics_frequency,is_best_stage_set,hard_bottom25,fold_out_linear_ridge
1286,0.24961119751166408,0.4921020773812406,0.25099183638568845,0.022346832525852255,action,target_physics_frequency,is_best_stage_set,mid_50,fold_out_linear_ridge
400,0.25,0.6306666666666667,0.3570925179567594,0.073492839578611,action,target_physics_frequency,is_best_stage_set,easy_top25,fold_out_linear_ridge
3162,0.27419354838709675,0.5434769935143094,0.3009274038678952,0.022886560192317565,action,target_physics_frequency,is_best_strength_bin,all,fold_out_linear_ridge
1476,0.22764227642276422,0.5210121658312448,0.24944609748094015,0.05598201544685978,action,target_physics_frequency,is_best_strength_bin,hard_bottom25,fold_out_linear_ridge
1286,0.33048211508553654,0.490994056159049,0.31902336310366836,0.027218661796920868,action,target_physics_frequency,is_best_strength_bin,mid_50,fold_out_linear_ridge
400,0.265,0.6110255422923887,0.3338874472843491,0.10484095999627509,action,target_physics_frequency,is_best_strength_bin,easy_top25,fold_out_linear_ridge
3162,0.45161290322580644,0.7215017494887228,0.5737048040899692,0.06231168624757271,action,action_metadata_only,is_useful_gt_0p10,all,fold_out_linear_ridge
1476,0.5460704607046071,0.5706557164549461,0.5484060920329586,0.15710190938856522,action,action_metadata_only,is_useful_gt_0p10,hard_bottom25,fold_out_linear_ridge
1286,0.43779160186625193,0.7820336126608836,0.6471720991555975,0.09595609861441019,action,action_metadata_only,is_useful_gt_0p10,mid_50,fold_out_linear_ridge
400,0.1475,0.7891793826730951,0.27431408959440545,0.051824460698453735,action,action_metadata_only,is_useful_gt_0p10,easy_top25,fold_out_linear_ridge
3162,0.35294117647058826,0.7603675061401388,0.5250155031938927,0.045856049538392556,action,action_metadata_only,is_useful_gt_0p30,all,fold_out_linear_ridge
1476,0.45528455284552843,0.6278725420516466,0.5161565214525132,0.10591324958677314,action,action_metadata_only,is_useful_gt_0p30,hard_bottom25,fold_out_linear_ridge
1286,0.3390357698289269,0.7917093901780896,0.5503935232014745,0.07804089591796434,action,action_metadata_only,is_useful_gt_0p30,mid_50,fold_out_linear_ridge
400,0.02,0.9135841836734694,0.11774927095667462,0.03300582351303979,action,action_metadata_only,is_useful_gt_0p30,easy_top25,fold_out_linear_ridge
3162,0.37982289690069576,0.749232218094644,0.6691372464845252,0.04759337194910151,action,action_metadata_only,is_best_safe_action_family,all,fold_out_linear_ridge
1476,0.37262872628726285,0.8980198311407814,0.7868938909765392,0.0878021580764001,action,action_metadata_only,is_best_safe_action_family,hard_bottom25,fold_out_linear_ridge
1286,0.3584758942457232,0.6370380595543286,0.5294274506301734,0.07730807962936463,action,action_metadata_only,is_best_safe_action_family,mid_50,fold_out_linear_ridge
400,0.475,0.7096867167919799,0.6676010625416868,0.1613337280042693,action,action_metadata_only,is_best_safe_action_family,easy_top25,fold_out_linear_ridge
3162,0.2666034155597723,0.607381285241266,0.31291912005512074,0.043617515707825925,action,action_metadata_only,is_best_stage_set,all,fold_out_linear_ridge
1476,0.2859078590785908,0.5978050217182118,0.3120364030248831,0.06969780503676529,action,action_metadata_only,is_best_stage_set,hard_bottom25,fold_out_linear_ridge
1286,0.24961119751166408,0.6142511258534695,0.3167105071430188,0.1051063983976933,action,action_metadata_only,is_best_stage_set,mid_50,fold_out_linear_ridge
400,0.25,0.48286666666666667,0.3051579254942779,0.21862226133531787,action,action_metadata_only,is_best_stage_set,easy_top25,fold_out_linear_ridge
3162,0.27419354838709675,0.6963581126414425,0.41647989860192386,0.044383010697988695,action,action_metadata_only,is_best_strength_bin,all,fold_out_linear_ridge
1476,0.22764227642276422,0.7273248224728488,0.36310937715560976,0.06691423737231304,action,action_metadata_only,is_best_strength_bin,hard_bottom25,fold_out_linear_ridge
1286,0.33048211508553654,0.8026972740315639,0.6708407841644572,0.06592823892430438,action,action_metadata_only,is_best_strength_bin,mid_50,fold_out_linear_ridge
400,0.265,0.6560614811962521,0.4846404093830032,0.16046082118326813,action,action_metadata_only,is_best_strength_bin,easy_top25,fold_out_linear_ridge
3162,0.45161290322580644,0.7531108752612925,0.6899815374377767,0.09448109621468022,action,combined_physics_frequency_features,is_useful_gt_0p10,all,fold_out_linear_ridge
1476,0.5460704607046071,0.6599200029628532,0.7081194906702668,0.24466795124529936,action,combined_physics_frequency_features,is_useful_gt_0p10,hard_bottom25,fold_out_linear_ridge
1286,0.43779160186625193,0.7988669668762237,0.7138132861286813,0.12872535240166108,action,combined_physics_frequency_features,is_useful_gt_0p10,mid_50,fold_out_linear_ridge
400,0.1475,0.7439733585168249,0.4093119372661008,0.13684593142624552,action,combined_physics_frequency_features,is_useful_gt_0p10,easy_top25,fold_out_linear_ridge
3162,0.35294117647058826,0.68543219219598,0.46236337669223476,0.10589589848313032,action,combined_physics_frequency_features,is_useful_gt_0p30,all,fold_out_linear_ridge
1476,0.45528455284552843,0.5443559731106373,0.4487769880727193,0.21665093124118587,action,combined_physics_frequency_features,is_useful_gt_0p30,hard_bottom25,fold_out_linear_ridge
1286,0.3390357698289269,0.7386670264436049,0.5916264846153281,0.15675368826017824,action,combined_physics_frequency_features,is_useful_gt_0p30,mid_50,fold_out_linear_ridge
400,0.02,0.7123724489795918,0.07408442766190168,0.2516330711300719,action,combined_physics_frequency_features,is_useful_gt_0p30,easy_top25,fold_out_linear_ridge
3162,0.37982289690069576,0.809103921133205,0.7156015155962606,0.046376857751785475,action,combined_physics_frequency_features,is_best_safe_action_family,all,fold_out_linear_ridge
1476,0.37262872628726285,0.892053799332417,0.8311480877482981,0.08748293067579548,action,combined_physics_frequency_features,is_best_safe_action_family,hard_bottom25,fold_out_linear_ridge
1286,0.3584758942457232,0.6851350818379018,0.5129504493632394,0.044080840309136726,action,combined_physics_frequency_features,is_best_safe_action_family,mid_50,fold_out_linear_ridge
400,0.475,0.6892481203007519,0.6299959107988887,0.09445618968205577,action,combined_physics_frequency_features,is_best_safe_action_family,easy_top25,fold_out_linear_ridge
3162,0.2666034155597723,0.6472484509572529,0.3557302280956129,0.06275734034636125,action,combined_physics_frequency_features,is_best_stage_set,all,fold_out_linear_ridge
1476,0.2859078590785908,0.6334568378643308,0.3586042941769471,0.0967905394273977,action,combined_physics_frequency_features,is_best_stage_set,hard_bottom25,fold_out_linear_ridge
1286,0.24961119751166408,0.6384194470001453,0.35937996733626015,0.12525538770913805,action,combined_physics_frequency_features,is_best_stage_set,mid_50,fold_out_linear_ridge
400,0.25,0.6962666666666667,0.3853607488140671,0.16128075554932797,action,combined_physics_frequency_features,is_best_stage_set,easy_top25,fold_out_linear_ridge
3162,0.27419354838709675,0.7608094423210782,0.4675526911199346,0.030819948086572548,action,combined_physics_frequency_features,is_best_strength_bin,all,fold_out_linear_ridge
1476,0.22764227642276422,0.7539186507936508,0.38263665919460466,0.08245771809019879,action,combined_physics_frequency_features,is_best_strength_bin,hard_bottom25,fold_out_linear_ridge
1286,0.33048211508553654,0.7718658194985312,0.5658853997317549,0.07455352567306284,action,combined_physics_frequency_features,is_best_strength_bin,mid_50,fold_out_linear_ridge
400,0.265,0.7196444615582082,0.5283488775914793,0.1462903170726717,action,combined_physics_frequency_features,is_best_strength_bin,easy_top25,fold_out_linear_ridge
80,0.225,0.6935483870967742,0.33590361709323063,0.10425982028047917,sample,legacy_bucket_stage_strength,should_noop,all,fold_out_linear_ridge
20,0.1,0.6944444444444444,0.2111111111111111,0.125,sample,legacy_bucket_stage_strength,should_noop,hard_bottom25,fold_out_linear_ridge
40,0.225,0.6881720430107527,0.3638737805404472,0.24056261216234406,sample,legacy_bucket_stage_strength,should_noop,mid_50,fold_out_linear_ridge
20,0.35,0.5054945054945055,0.364793226823302,0.24324199198877375,sample,legacy_bucket_stage_strength,should_noop,easy_top25,fold_out_linear_ridge
80,0.2375,0.9654874892148404,0.8708174768253201,0.02754771012084865,sample,legacy_bucket_stage_strength,hard_should_strong,all,fold_out_linear_ridge
20,0.95,0.15789473684210525,0.9202944040099815,0.0,sample,legacy_bucket_stage_strength,hard_should_strong,hard_bottom25,fold_out_linear_ridge
40,0.0,nan,nan,nan,sample,legacy_bucket_stage_strength,hard_should_strong,mid_50,fold_out_linear_ridge
20,0.0,nan,nan,nan,sample,legacy_bucket_stage_strength,hard_should_strong,easy_top25,fold_out_linear_ridge
80,0.1625,0.8495981630309989,0.47868820470630424,0.09987192498683113,sample,legacy_bucket_stage_strength,easy_should_mild_not_noop,all,fold_out_linear_ridge
20,0.0,nan,nan,nan,sample,legacy_bucket_stage_strength,easy_should_mild_not_noop,hard_bottom25,fold_out_linear_ridge
40,0.0,nan,nan,nan,sample,legacy_bucket_stage_strength,easy_should_mild_not_noop,mid_50,fold_out_linear_ridge
20,0.65,0.2967032967032967,0.5837454830369809,0.18162078931419473,sample,legacy_bucket_stage_strength,easy_should_mild_not_noop,easy_top25,fold_out_linear_ridge
80,0.225,0.6451612903225806,0.37839335643332955,0.13081243001897325,sample,target_physics_frequency,should_noop,all,fold_out_linear_ridge
20,0.1,0.6111111111111112,0.17142857142857143,0.25,sample,target_physics_frequency,should_noop,hard_bottom25,fold_out_linear_ridge
40,0.225,0.6344086021505376,0.36137177093059447,0.1708226173288563,sample,target_physics_frequency,should_noop,mid_50,fold_out_linear_ridge
20,0.35,0.6263736263736264,0.532766439909297,0.2975595178559521,sample,target_physics_frequency,should_noop,easy_top25,fold_out_linear_ridge
80,0.2375,0.8050043140638481,0.4933434233699847,0.07027179368912768,sample,target_physics_frequency,hard_should_strong,all,fold_out_linear_ridge
20,0.95,0.15789473684210525,0.9202944040099815,0.0,sample,target_physics_frequency,hard_should_strong,hard_bottom25,fold_out_linear_ridge
40,0.0,nan,nan,nan,sample,target_physics_frequency,hard_should_strong,mid_50,fold_out_linear_ridge
20,0.0,nan,nan,nan,sample,target_physics_frequency,hard_should_strong,easy_top25,fold_out_linear_ridge
80,0.1625,0.7600459242250287,0.6299705691929882,0.3188219728706174,sample,target_physics_frequency,easy_should_mild_not_noop,all,fold_out_linear_ridge
20,0.0,nan,nan,nan,sample,target_physics_frequency,easy_should_mild_not_noop,hard_bottom25,fold_out_linear_ridge
40,0.0,nan,nan,nan,sample,target_physics_frequency,easy_should_mild_not_noop,mid_50,fold_out_linear_ridge
20,0.65,0.7582417582417582,0.8907113803874938,0.414578098794425,sample,target_physics_frequency,easy_should_mild_not_noop,easy_top25,fold_out_linear_ridge
80,0.225,0.45698924731182794,0.21250000000000002,0.0,sample,action_metadata_only,should_noop,all,fold_out_linear_ridge
20,0.1,0.5277777777777778,0.10555555555555556,0.0,sample,action_metadata_only,should_noop,hard_bottom25,fold_out_linear_ridge
40,0.225,0.45698924731182794,0.21250000000000002,0.0,sample,action_metadata_only,should_noop,mid_50,fold_out_linear_ridge
20,0.35,0.45054945054945056,0.33163265306122447,0.0,sample,action_metadata_only,should_noop,easy_top25,fold_out_linear_ridge
80,0.2375,0.4171699741156169,0.21381578947368418,0.0,sample,action_metadata_only,hard_should_strong,all,fold_out_linear_ridge
20,0.95,0.42105263157894735,0.9447368421052631,0.0,sample,action_metadata_only,hard_should_strong,hard_bottom25,fold_out_linear_ridge
40,0.0,nan,nan,nan,sample,action_metadata_only,hard_should_strong,mid_50,fold_out_linear_ridge
20,0.0,nan,nan,nan,sample,action_metadata_only,hard_should_strong,easy_top25,fold_out_linear_ridge
80,0.1625,0.3346727898966705,0.12820512820512822,0.0,sample,action_metadata_only,easy_should_mild_not_noop,all,fold_out_linear_ridge
20,0.0,nan,nan,nan,sample,action_metadata_only,easy_should_mild_not_noop,hard_bottom25,fold_out_linear_ridge
40,0.0,nan,nan,nan,sample,action_metadata_only,easy_should_mild_not_noop,mid_50,fold_out_linear_ridge
20,0.65,0.3076923076923077,0.572039072039072,0.0,sample,action_metadata_only,easy_should_mild_not_noop,easy_top25,fold_out_linear_ridge
80,0.225,0.5958781362007168,0.3079243370091305,0.10280620464420658,sample,combined_physics_frequency_features,should_noop,all,fold_out_linear_ridge
20,0.1,0.6388888888888888,0.18333333333333335,0.25,sample,combined_physics_frequency_features,should_noop,hard_bottom25,fold_out_linear_ridge
40,0.225,0.5806451612903226,0.29439210027445323,0.1890834498849864,sample,combined_physics_frequency_features,should_noop,mid_50,fold_out_linear_ridge
20,0.35,0.5934065934065934,0.522642390289449,0.2975595178559521,sample,combined_physics_frequency_features,should_noop,easy_top25,fold_out_linear_ridge
80,0.2375,0.8291630716134599,0.5813208414235359,0.07150073096541248,sample,combined_physics_frequency_features,hard_should_strong,all,fold_out_linear_ridge
20,0.95,0.15789473684210525,0.9202944040099815,0.0,sample,combined_physics_frequency_features,hard_should_strong,hard_bottom25,fold_out_linear_ridge
40,0.0,nan,nan,nan,sample,combined_physics_frequency_features,hard_should_strong,mid_50,fold_out_linear_ridge
20,0.0,nan,nan,nan,sample,combined_physics_frequency_features,hard_should_strong,easy_top25,fold_out_linear_ridge
80,0.1625,0.8461538461538461,0.6606130144365439,0.12169904522000491,sample,combined_physics_frequency_features,easy_should_mild_not_noop,all,fold_out_linear_ridge
20,0.0,nan,nan,nan,sample,combined_physics_frequency_features,easy_should_mild_not_noop,hard_bottom25,fold_out_linear_ridge
40,0.0,nan,nan,nan,sample,combined_physics_frequency_features,easy_should_mild_not_noop,mid_50,fold_out_linear_ridge
20,0.65,0.8021978021978022,0.8984470657547582,0.21650635094610965,sample,combined_physics_frequency_features,easy_should_mild_not_noop,easy_top25,fold_out_linear_ridge
