split,scope,feature,count,bad_count,auc_high_is_bad,best_auc,best_direction_for_bad
confirm,spatial_priors_ridge_10|K16|scale0.75,confidence_proxy,128,16,0.6244419642857143,0.6244419642857143,high
confirm,spatial_priors_ridge_10|K16|scale0.75,proxy_score,128,16,0.5948660714285714,0.5948660714285714,high
confirm,spatial_priors_ridge_10|K16|scale0.75,M_safe_mean,128,16,0.5731026785714286,0.5731026785714286,high
confirm,spatial_priors_ridge_10|K16|scale0.75,M_safe_nonzero_frac,128,16,0.5,0.5,high
confirm,spatial_priors_ridge_10|K16|scale1,pred_abs_mean,128,16,0.51171875,0.51171875,high
confirm,spatial_priors_ridge_10|K16|scale1,pred_abs_max,128,16,0.5424107142857143,0.5424107142857143,high
confirm,spatial_priors_ridge_10|K16|scale1,pred_coeff_norm,128,16,0.6495535714285714,0.6495535714285714,high
confirm,spatial_priors_ridge_10|K16|scale1,pred_low_energy,128,16,0.5150669642857143,0.5150669642857143,high
confirm,spatial_priors_ridge_10|K16|scale1,weighted_residual_norm,128,16,0.6439732142857143,0.6439732142857143,high
confirm,spatial_priors_ridge_10|K16|scale1,nn_distance,128,16,0.3755580357142857,0.6244419642857143,low
confirm,spatial_priors_ridge_10|K16|scale1,confidence_proxy,128,16,0.6244419642857143,0.6244419642857143,high
confirm,spatial_priors_ridge_10|K16|scale1,proxy_score,128,16,0.5948660714285714,0.5948660714285714,high
confirm,spatial_priors_ridge_10|K16|scale1,M_safe_mean,128,16,0.5731026785714286,0.5731026785714286,high
confirm,spatial_priors_ridge_10|K16|scale1,M_safe_nonzero_frac,128,16,0.5,0.5,high
