feature,train_count,mini_val_count,train_mean,mini_val_mean,train_std,mini_val_std,standardized_mean_diff,ks_stat,mmd_rbf,mini_val_nn_distance_mean,mini_val_nn_distance_p50,mini_val_nn_distance_p90
x_c0_std,90,114,0.1977710872888565,0.17881463468074799,0.04063977673649788,0.04432542994618416,-0.4331637310593485,0.2070175438596491,,,,
x_c0_min,90,114,0.01769063249230385,0.03116614930331707,0.02783573791384697,0.04794443026185036,0.32963783553550174,0.23099415204678364,,,,
x_c0_max,90,114,0.9986492395401001,0.9948056936264038,0.0029323678463697433,0.01167833898216486,-0.4202413525190698,0.14912280701754385,,,,
x_c1_mean,90,114,0.6349470615386963,0.6632668972015381,0.0719776377081871,0.072560153901577,0.3844753456867722,0.2087719298245614,,,,
x_c1_std,90,114,0.2029077559709549,0.1839810460805893,0.038104306906461716,0.042582917958498,-0.45344738627824976,0.2578947368421053,,,,
x_c1_min,90,114,0.022962961345911026,0.043894048780202866,0.021428031846880913,0.05771195515990257,0.4491361079260771,0.17836257309941517,,,,
x_c1_max,90,114,0.9865359663963318,0.9770553708076477,0.02378258667886257,0.03992219269275665,-0.2780799592647773,0.18888888888888888,,,,
x_c2_mean,90,114,0.6346020102500916,0.6635311841964722,0.06854791194200516,0.07011641561985016,0.4080328544165987,0.22807017543859648,,,,
x_c2_std,90,114,0.21234536170959473,0.20050299167633057,0.03300582617521286,0.04126904532313347,-0.3091952685881203,0.26608187134502925,,,,
x_c2_min,90,114,0.0073202624917030334,0.016580669209361076,0.01244510430842638,0.029879484325647354,0.38176932842168054,0.15204678362573099,,,,
x_c2_max,90,114,0.9843572974205017,0.9655314683914185,0.023591017350554466,0.05036133527755737,-0.4499936465974836,0.2695906432748538,,,,
anchor_c0_mean,90,114,0.447839617729187,0.5059163570404053,0.09287916868925095,0.11408599466085434,0.5321468840003288,0.22807017543859653,,,,
anchor_c0_std,90,114,0.2585219144821167,0.23846977949142456,0.05090324208140373,0.0536280982196331,-0.3756476754448927,0.2730994152046784,,,,
anchor_c0_min,90,114,0.003566193161532283,0.013294711709022522,0.009540260769426823,0.022487487643957138,0.5229496017972067,0.26140350877192986,,,,
anchor_c0_max,90,114,0.9970338344573975,0.9911789298057556,0.008081850595772266,0.016189487650990486,-0.43194085762300527,0.1672514619883041,,,,
anchor_c1_mean,90,114,0.46715325117111206,0.5353516340255737,0.08754672855138779,0.10523510724306107,0.658785460766402,0.3514619883040936,,,,
anchor_c1_std,90,114,0.269491046667099,0.25176164507865906,0.04836069419980049,0.04637923091650009,-0.3687749754347608,0.231578947368421,,,,
anchor_c1_min,90,114,0.008120981976389885,0.017700236290693283,0.012706168927252293,0.023235708475112915,0.48164493164817673,0.20584795321637434,,,,
anchor_c1_max,90,114,0.9908483028411865,0.9829673767089844,0.020561886951327324,0.034237541258335114,-0.2692236842063401,0.1543859649122807,,,,
anchor_c2_mean,90,114,0.4714528024196625,0.546088695526123,0.09809990972280502,0.10200684517621994,0.6979941584954398,0.39766081871345027,,,,
anchor_c2_std,90,114,0.28695324063301086,0.2820877730846405,0.04413973540067673,0.0480676032602787,-0.10477198569683795,0.13391812865497071,,,,
anchor_c2_min,90,114,0.004193619359284639,0.008291897363960743,0.008698483929038048,0.020103348419070244,0.2525343287734564,0.07426900584795326,,,,
anchor_c2_max,90,114,0.9906308650970459,0.9773880839347839,0.017934244126081467,0.050268594175577164,-0.33135511351243324,0.1415204678362573,,,,
diff_c0_mean,90,114,0.18009302020072937,0.14478060603141785,0.07622044533491135,0.10477771610021591,-0.3721131224042853,0.22923976608187135,,,,
diff_c0_std,90,114,0.11486890912055969,0.10250069200992584,0.039855822920799255,0.04650603607296944,-0.280290107827591,0.1707602339181286,,,,
diff_c0_min,90,114,-0.06674244999885559,-0.07588370144367218,0.06391128897666931,0.06451353430747986,-0.14192581329967296,0.15847953216374266,,,,
diff_c0_max,90,114,0.47324323654174805,0.4191371202468872,0.1396026909351349,0.1694512516260147,-0.3397214564741123,0.21111111111111108,,,,
diff_c1_mean,90,114,0.16779382526874542,0.12791530787944794,0.07535945624113083,0.10175570845603943,-0.42794322280886743,0.283625730994152,,,,
diff_c1_std,90,114,0.11614194512367249,0.10414133220911026,0.04152539744973183,0.04711318388581276,-0.26591675279092114,0.1865497076023392,,,,
diff_c1_min,90,114,-0.06575051695108414,-0.07489319145679474,0.06541804224252701,0.06433553993701935,-0.14071255231387372,0.1210526315789473,,,,
diff_c1_max,90,114,0.4660048484802246,0.41090038418769836,0.14004182815551758,0.16700395941734314,-0.3486045722842058,0.19532163742690056,,,,
diff_c2_mean,90,114,0.16314922273159027,0.1174425482749939,0.08476362377405167,0.10310298204421997,-0.4658792309078547,0.2935672514619883,,,,
diff_c2_std,90,114,0.12444290518760681,0.11678909510374069,0.041970547288656235,0.05129445344209671,-0.16093079076938718,0.1350877192982456,,,,
diff_c2_min,90,114,-0.07028038799762726,-0.07881700247526169,0.06600823998451233,0.06613978743553162,-0.12891763264080838,0.15146198830409363,,,,
diff_c2_max,90,114,0.4715689420700073,0.4140521287918091,0.1404915601015091,0.16668321192264557,-0.3634090680348819,0.2064327485380117,,,,
__all__,90,114,,,,,,,0.07338696718215942,8.573387145996094,7.070754528045654,15.100898742675781
