low_size,K,mapper,family,index,name,anchor_psnr,oracle_gain,output_gain,P_benefit,proxy_score,M_safe_mean,coeff_mse_norm,coeff_mae_norm,coeff_corr,sign_accuracy,pred_true_coeff_norm_ratio,weighted_field_l1,nn_distance,confidence_proxy,kernel_confidence
32,32,ridge_0.0001,ridge,226,1204_0.79_1.15.png,39.638465881347656,0.5391273498535156,0.4367942810058594,1.0,0.9992645382881165,0.06792836636304855,9.394676015023954,2.608800004291037,0.34786200523376465,0.59375,3.2677810192108154,0.012504193104439749,4.949462890625,0.16808239977019984,
32,32,ridge_0.0001,ridge,136,1123_0.7_1.0.png,40.5892219543457,0.4344940185546875,0.4598808288574219,1.0,0.9951924085617065,0.05848567932844162,26.7839997544532,4.2343026123510805,-0.2289324700832367,0.46875,4.841275215148926,0.03477993090032727,8.34798526763916,0.10697492254954641,
32,32,ridge_0.0001,ridge,177,1160_0.83_0.65.png,41.24397277832031,0.12034988403320312,0.5732154846191406,1.0,0.998596727848053,0.014601299539208412,160.48946390543213,9.31133341145109,0.777996301651001,0.59375,13.42590045928955,0.06934654550176812,6.495206832885742,0.13341859968592598,
32,32,ridge_0.0001,ridge,211,1191_0.97_0.75.png,40.636653900146484,1.4227027893066406,0.6290245056152344,1.0,0.9999958276748657,0.16907848417758942,26.129110588252388,5.3338401511085,-0.006250306498259306,0.5625,4.99570369720459,0.024100166265842642,11.893523216247559,0.07755832003620754,
32,32,ridge_0.0001,ridge,191,1173_0.59_1.12.png,39.88703536987305,0.6078910827636719,0.7425956726074219,1.0,0.9999058246612549,0.07560615241527557,46.141860701007616,5.175005745346455,-0.1066981703042984,0.5,6.664391040802002,0.03925296370458202,4.441847801208496,0.18376111139637633,
32,32,ridge_0.0001,ridge,173,1157_0.56_1.98.png,39.68464279174805,0.4074821472167969,0.9402427673339844,1.0,0.999927282333374,0.05420533940196037,80.94693496342852,7.4623111582695865,0.34646227955818176,0.6875,9.290616035461426,0.035840749475434606,6.765186309814453,0.1287799107583672,
32,32,ridge_0.0001,ridge,208,1189_0.64_0.88.png,40.080223083496094,0.845367431640625,1.2005462646484375,1.0,0.9999792575836182,0.09913918375968933,34.17056457635146,5.324392506809444,0.5290915369987488,0.5625,6.3287672996521,0.04275130715048418,10.554165840148926,0.08654887023736113,
32,32,ridge_0.001,ridge,206,1187_0.82_1.57.png,40.15753936767578,2.296875,-4.393718719482422,1.0,1.0,0.270302951335907,12.168449622582244,4.751299020856117,0.17193228006362915,0.59375,3.50447940826416,0.03233658172187434,11.866446495056152,0.07772153720798074,
32,32,ridge_0.001,ridge,166,1150_0.8_1.27.png,40.397953033447266,2.057445526123047,-3.919994354248047,1.0,0.9999994039535522,0.26060381531715393,61.61184282772234,7.850984823245241,0.7500683069229126,0.625,8.574128150939941,0.048610122238406425,13.064772605895996,0.0710996208769701,
32,32,ridge_0.001,ridge,204,1185_0.94_1.35.png,39.97091293334961,2.5237083435058594,-3.667278289794922,1.0,1.0,0.28948575258255005,8.250921062930379,4.437532838061022,0.19350741803646088,0.375,2.889993667602539,0.028066598039672094,10.941686630249023,0.083740264751793,
32,32,ridge_0.001,ridge,199,1180_0.68_0.5.png,41.07955551147461,1.9861831665039062,-3.1246910095214844,1.0,1.0,0.22820289433002472,104.86146359751018,8.470124608457175,-0.32938501238822937,0.375,9.866539001464844,0.025012883549261535,10.178647994995117,0.08945625628857068,
32,32,ridge_0.001,ridge,200,1181_0.57_1.2.png,43.34961700439453,0.4224128723144531,-0.7816009521484375,1.0,0.9995423555374146,0.0593438595533371,41.58731296570972,6.312987987539428,-0.36002296209335327,0.375,6.010748386383057,0.036899691971103814,6.214860916137695,0.13860281045241912,
32,32,ridge_0.001,ridge,248,1224_0.87_0.77.png,40.241790771484375,0.6631698608398438,-0.4342613220214844,1.0,0.9996371269226074,0.08145435154438019,4.027069008012557,2.4620889542144497,0.06027301400899887,0.59375,1.7747607231140137,0.02027647500626929,4.515921115875244,0.18129338309823237,
32,32,ridge_0.001,ridge,146,1132_0.75_0.84.png,44.972110748291016,0.6857109069824219,-0.324127197265625,1.0,0.9999891519546509,0.09120235592126846,13.123283248416723,3.2999399667120812,0.6978610157966614,0.40625,4.250638961791992,0.022999181534307522,7.004704475402832,0.12492653577316176,
32,32,ridge_0.001,ridge,153,1139_0.58_1.05.png,39.92860412597656,0.061126708984375,-0.23878097534179688,1.0,0.9986294507980347,0.007366647012531757,329.24702902730655,14.135317442806613,-0.5959885120391846,0.46875,17.547592163085938,0.0883370580523839,24.765972137451172,0.03881087795428014,
