batches,cell,epoch,fold,mean_target_loss,model_seed,schema_version
97,output_linear,7,1,0.18609757913449376,3507,1
97,output_linear,8,1,0.18597108747848531,3507,1
97,output_spatial,1,1,0.6207738329762036,3508,1
97,output_spatial,2,1,0.22567433164906256,3508,1
97,output_spatial,3,1,0.20962742201446258,3508,1
97,output_spatial,4,1,0.20273974015540683,3508,1
97,output_spatial,5,1,0.19885401243401557,3508,1
97,output_spatial,6,1,0.19632106320452444,3508,1
97,output_spatial,7,1,0.1944318952941403,3508,1
97,output_spatial,8,1,0.1929797045502466,3508,1
97,context_linear,1,1,0.4899361585218882,3509,1
97,context_linear,2,1,0.21699248922547115,3509,1
97,context_linear,3,1,0.19893845524062814,3509,1
97,context_linear,4,1,0.1920259034971601,3509,1
97,context_linear,5,1,0.18881933828911832,3509,1
97,context_linear,6,1,0.1872541316084026,3509,1
97,context_linear,7,1,0.18644271806343315,3509,1
97,context_linear,8,1,0.18598675290026614,3509,1
97,context_spatial,1,1,0.43347009401960473,3510,1
97,context_spatial,2,1,0.2297093261455752,3510,1
97,context_spatial,3,1,0.22144749845118866,3510,1
97,context_spatial,4,1,0.2161454909394697,3510,1
97,context_spatial,5,1,0.21225786193744423,3510,1
97,context_spatial,6,1,0.20972723728909934,3510,1
97,context_spatial,7,1,0.20747928521067827,3510,1
97,context_spatial,8,1,0.20571984665602752,3510,1
97,context_spatial_shuffled,1,1,0.2581971046543613,3510,1
97,context_spatial_shuffled,2,1,0.1261392023760019,3510,1
97,context_spatial_shuffled,3,1,0.12005067044465813,3510,1
97,context_spatial_shuffled,4,1,0.11791671418882523,3510,1
97,context_spatial_shuffled,5,1,0.11617192472379233,3510,1
97,context_spatial_shuffled,6,1,0.11520884093857303,3510,1
97,context_spatial_shuffled,7,1,0.11386093232281429,3510,1
97,context_spatial_shuffled,8,1,0.1132471373823193,3510,1
97,output_linear,1,2,0.8334436785314501,3607,1
97,output_linear,2,2,0.22306449027712813,3607,1
97,output_linear,3,2,0.19590546083204524,3607,1
97,output_linear,4,2,0.19051518667604506,3607,1
97,output_linear,5,2,0.18876214479048228,3607,1
97,output_linear,6,2,0.18807726990930812,3607,1
97,output_linear,7,2,0.18776265170770823,3607,1
97,output_linear,8,2,0.1875912023266566,3607,1
97,output_spatial,1,2,0.45782620267769725,3608,1
97,output_spatial,2,2,0.22336983127692311,3608,1
97,output_spatial,3,2,0.21266074278919966,3608,1
97,output_spatial,4,2,0.20691950788202973,3608,1
97,output_spatial,5,2,0.2026799914916766,3608,1
97,output_spatial,6,2,0.20010598157484508,3608,1
97,output_spatial,7,2,0.19803606972251972,3608,1
97,output_spatial,8,2,0.19632195681333542,3608,1
97,context_linear,1,2,0.4947757575008058,3609,1
97,context_linear,2,2,0.2186904152490429,3609,1
97,context_linear,3,2,0.19897376761301278,3609,1
97,context_linear,4,2,0.19201176890085653,3609,1
97,context_linear,5,2,0.1887683185566332,3609,1
97,context_linear,6,2,0.18718139097555397,3609,1
97,context_linear,7,2,0.18634973097707808,3609,1
97,context_linear,8,2,0.18588202538871273,3609,1
97,context_spatial,1,2,0.4041883672021099,3610,1
97,context_spatial,2,2,0.233943785665576,3610,1
97,context_spatial,3,2,0.2202766556100747,3610,1
97,context_spatial,4,2,0.21450270927443946,3610,1
97,context_spatial,5,2,0.21155557213063092,3610,1
97,context_spatial,6,2,0.20941392593469815,3610,1
97,context_spatial,7,2,0.20767753809383235,3610,1
97,context_spatial,8,2,0.20618788836543092,3610,1
97,context_spatial_shuffled,1,2,0.2543149728750445,3610,1
97,context_spatial_shuffled,2,2,0.13094650251195603,3610,1
97,context_spatial_shuffled,3,2,0.12724313274333157,3610,1
97,context_spatial_shuffled,4,2,0.12556186270391204,3610,1
97,context_spatial_shuffled,5,2,0.12390998556979538,3610,1
97,context_spatial_shuffled,6,2,0.12325772669972833,3610,1
97,context_spatial_shuffled,7,2,0.12233493154503636,3610,1
97,context_spatial_shuffled,8,2,0.12092709024772816,3610,1
97,output_linear,1,3,0.8173489340187348,3707,1
97,output_linear,2,3,0.21849528362148815,3707,1
97,output_linear,3,3,0.19330828291239197,3707,1
97,output_linear,4,3,0.18886716464131148,3707,1
97,output_linear,5,3,0.1875611356238729,3707,1
97,output_linear,6,3,0.18710509418826743,3707,1
97,output_linear,7,3,0.18691560579943903,3707,1
97,output_linear,8,3,0.1868170667247674,3707,1
97,output_spatial,1,3,0.4262183947661488,3708,1
97,output_spatial,2,3,0.22228712596229672,3708,1
97,output_spatial,3,3,0.2093483006831297,3708,1
97,output_spatial,4,3,0.20486634385954475,3708,1
97,output_spatial,5,3,0.2021757503299369,3708,1
97,output_spatial,6,3,0.20010968866114764,3708,1
97,output_spatial,7,3,0.19842610969064162,3708,1
97,output_spatial,8,3,0.1968952657789299,3708,1
97,context_linear,1,3,0.4797032013074639,3709,1
97,context_linear,2,3,0.2172596983073913,3709,1
97,context_linear,3,3,0.20006112677534832,3709,1
97,context_linear,4,3,0.1932523499444588,3709,1
97,context_linear,5,3,0.18996979250121362,3709,1
97,context_linear,6,3,0.18840594466814062,3709,1
97,context_linear,7,3,0.1876121944527036,3709,1
97,context_linear,8,3,0.18717111140182338,3709,1
97,context_spatial,1,3,0.4010063823043686,3710,1
97,context_spatial,2,3,0.22957061192731268,3710,1
97,context_spatial,3,3,0.22133776921894133,3710,1
97,context_spatial,4,3,0.21537834644010387,3710,1
97,context_spatial,5,3,0.21241506634606527,3710,1
97,context_spatial,6,3,0.20921876872937703,3710,1
97,context_spatial,7,3,0.20720718547548214,3710,1
97,context_spatial,8,3,0.20394031519127875,3710,1
97,context_spatial_shuffled,1,3,0.2566503012149604,3710,1
97,context_spatial_shuffled,2,3,0.13282477116385072,3710,1
97,context_spatial_shuffled,3,3,0.12716698310501182,3710,1
97,context_spatial_shuffled,4,3,0.12433214205288395,3710,1
97,context_spatial_shuffled,5,3,0.12265481114310701,3710,1
97,context_spatial_shuffled,6,3,0.12016349024686616,3710,1
97,context_spatial_shuffled,7,3,0.1191028376906803,3710,1
97,context_spatial_shuffled,8,3,0.11935635356558967,3710,1
