split,name,airlight,beta,width,height,spearman_depth_neglogt,spearman_invert_depth_neglogt,pearson_depth_1minus_t,pearson_invert_depth_1minus_t,normal_best_alpha,normal_best_l1,normal_best_rmse,invert_best_alpha,invert_best_l1,invert_best_rmse,best_orientation,best_proxy_l1_full,best_proxy_rmse_full,low_texture_proxy_l1,bright_region_proxy_l1,dense_region_proxy_l1,trans_mean,trans_std,depth_mean,depth_std,depth_path,trans_path
train,119_0.6_1.7.png,0.6,1.7,400,400,-0.5285572082183153,0.5285594853002467,-0.6577825967475953,0.6577825995468065,5.0,0.31054428219795227,0.35213175415992737,3.5,0.08687695860862732,0.1191813126206398,invert,0.0867820680141449,0.11914155632257462,0.09872909635305405,0.17015399038791656,0.0374477319419384,0.2358826845884323,0.15230506658554077,0.42022374272346497,0.2838355004787445,/sda/home/wangyuxin/ConvIR-B/depth_cache/depth_anything_v2_small_hf/train/119_0.6_1.7.png.npy,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/119.png
train,11_0.68_1.56.png,0.68,1.56,400,400,-0.9380239305916747,0.9380205915855635,-0.9306681298674503,0.9306681308193434,5.0,0.42043671011924744,0.5085523724555969,2.3,0.07427756488323212,0.09088903665542603,invert,0.07431549578905106,0.0908002257347107,0.07299065589904785,0.07997214049100876,0.08339899033308029,0.24956491589546204,0.23264579474925995,0.3269774317741394,0.24681313335895538,/sda/home/wangyuxin/ConvIR-B/depth_cache/depth_anything_v2_small_hf/train/11_0.68_1.56.png.npy,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/11.png
train,1200_0.97_0.52.png,0.97,0.52,400,400,-0.8470051507221754,0.8469723935558996,-0.9682652126785942,0.9682652050785621,5.0,0.6476458311080933,0.7104817032814026,2.1,0.10244619101285934,0.11258214712142944,invert,0.10233409702777863,0.11247646063566208,0.09078853577375412,0.0810459777712822,0.09807295352220535,0.1915215104818344,0.23427096009254456,0.1571536362171173,0.23268412053585052,/sda/home/wangyuxin/ConvIR-B/depth_cache/depth_anything_v2_small_hf/train/1200_0.97_0.52.png.npy,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/1200.png
train,1201_0.75_1.76.png,0.75,1.76,400,400,-0.95018111799341,0.950178239044485,-0.8841975104095323,0.8841975017678945,5.0,0.5858319997787476,0.6409595608711243,1.55,0.1238897442817688,0.1469389647245407,invert,0.1236606165766716,0.14682729542255402,0.1676838994026184,0.18534298241138458,0.1803392469882965,0.300266832113266,0.2394619733095169,0.1718200147151947,0.231045663356781,/sda/home/wangyuxin/ConvIR-B/depth_cache/depth_anything_v2_small_hf/train/1201_0.75_1.76.png.npy,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/1201.png
train,1202_0.79_1.51.png,0.79,1.51,400,400,-0.9502243460945334,0.9502254193087307,-0.8740240537666037,0.874024056503412,5.0,0.5773106217384338,0.6331912875175476,1.4500000000000002,0.12942010164260864,0.15324698388576508,invert,0.12951186299324036,0.15339554846286774,0.1843925416469574,0.203386589884758,0.19748596847057343,0.31901997327804565,0.244218647480011,0.1712653785943985,0.22986522316932678,/sda/home/wangyuxin/ConvIR-B/depth_cache/depth_anything_v2_small_hf/train/1202_0.79_1.51.png.npy,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/1202.png
train,1203_0.79_1.82.png,0.79,1.82,400,400,-0.94998532469652,0.9499775562242259,-0.8862251297758806,0.88622512210993,5.0,0.5875862836837769,0.6425904035568237,1.55,0.12296237796545029,0.14567779004573822,invert,0.12284478545188904,0.1456277221441269,0.16609269380569458,0.18560785055160522,0.1815369874238968,0.29572629928588867,0.23828159272670746,0.1709674596786499,0.2301599234342575,/sda/home/wangyuxin/ConvIR-B/depth_cache/depth_anything_v2_small_hf/train/1203_0.79_1.82.png.npy,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/1203.png
train,1204_0.79_1.15.png,0.79,1.15,400,400,-0.9475737393106894,0.9475762520540474,-0.8608391658901828,0.8608391778710217,5.0,0.5691895484924316,0.6258352398872375,1.35,0.13720925152301788,0.1627562940120697,invert,0.1373097449541092,0.16278980672359467,0.20380567014217377,0.2209983915090561,0.21368692815303802,0.3475446105003357,0.2509162127971649,0.17161646485328674,0.22911520302295685,/sda/home/wangyuxin/ConvIR-B/depth_cache/depth_anything_v2_small_hf/train/1204_0.79_1.15.png.npy,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/1204.png
train,1205_0.78_1.01.png,0.78,1.01,400,400,-0.590361508535241,0.5903637717499488,-0.699424053208421,0.699424053112919,5.0,0.26433065533638,0.3108661472797394,2.9,0.09295552223920822,0.13381454348564148,invert,0.09327677637338638,0.13411736488342285,0.10034596920013428,0.05983583256602287,0.028996288776397705,0.1981760859489441,0.13760508596897125,0.33481502532958984,0.238590806722641,/sda/home/wangyuxin/ConvIR-B/depth_cache/depth_anything_v2_small_hf/train/1205_0.78_1.01.png.npy,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/1205.png
train,1206_0.81_1.09.png,0.81,1.09,400,400,-0.5904318845106308,0.590433592876949,-0.6940603669448457,0.69406036701746,5.0,0.2619718909263611,0.3077855110168457,3.0,0.09285412728786469,0.1336164027452469,invert,0.0935477614402771,0.1345842480659485,0.0979602187871933,0.059840522706508636,0.026841800659894943,0.19251085817813873,0.1362016648054123,0.3372401297092438,0.23799598217010498,/sda/home/wangyuxin/ConvIR-B/depth_cache/depth_anything_v2_small_hf/train/1206_0.81_1.09.png.npy,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/1206.png
train,1207_0.7_1.43.png,0.7,1.43,400,400,-0.5894451485382524,0.5894451503460486,-0.6808319841359718,0.6808319837085448,5.0,0.2677600085735321,0.31141597032546997,3.4,0.09294217824935913,0.1356026530265808,invert,0.09268344193696976,0.13522019982337952,0.09077220410108566,0.06266222149133682,0.02147173509001732,0.16890297830104828,0.13036006689071655,0.3369923233985901,0.23877224326133728,/sda/home/wangyuxin/ConvIR-B/depth_cache/depth_anything_v2_small_hf/train/1207_0.7_1.43.png.npy,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/1207.png
