split,image_id,a0_psnr,a1_delta_psnr,a2_delta_psnr,a3_delta_psnr,expected_additive_delta_psnr,interaction_delta_psnr,a1_delta_ssim,a2_delta_ssim,a3_delta_ssim,input_gt_l1,a0_gt_l1,label_texture_high_abs_mean,edge_density
internal256,1088_0.57_0.97.png,43.63494110107422,0.12696456909179688,0.12340927124023438,0.03924560546875,0.25037384033203125,-0.21112823486328125,1.4424324035644531e-05,1.8477439880371094e-06,-7.867813110351562e-06,0.11908626556396484,0.004919012542814016,0.07649516314268112,0.06687455624341965
internal256,1103_0.88_1.95.png,24.205032348632812,0.18816757202148438,-0.022796630859375,-0.03455352783203125,0.16537094116210938,-0.19992446899414062,0.0004323720932006836,-0.00011676549911499023,-0.00014579296112060547,0.31047365069389343,0.04443168267607689,0.0200460534542799,0.020869404077529907
internal256,1109_0.9_0.79.png,40.03135681152344,0.171356201171875,0.06605148315429688,-0.09564208984375,0.23740768432617188,-0.3330497741699219,1.1920928955078125e-05,-1.2278556823730469e-05,2.384185791015625e-07,0.06800220906734467,0.0076738460920751095,0.034895483404397964,0.03368459269404411
internal256,111_0.57_1.22.png,38.62628173828125,-0.20423126220703125,-0.18039321899414062,-0.09888458251953125,-0.3846244812011719,0.2857398986816406,-4.559755325317383e-05,-2.7000904083251953e-05,-7.3909759521484375e-06,0.15618406236171722,0.009450551122426987,0.028315266594290733,0.02978522516787052
internal256,1127_0.91_0.61.png,39.068389892578125,-0.026119232177734375,-0.10155868530273438,0.09685516357421875,-0.12767791748046875,0.2245330810546875,1.1086463928222656e-05,-2.2411346435546875e-05,5.733966827392578e-05,0.08213391155004501,0.00819423608481884,0.030831575393676758,0.032094769179821014
internal256,1174_0.74_1.33.png,34.84700012207031,-0.13820266723632812,-0.23293685913085938,-0.2845916748046875,-0.3711395263671875,0.0865478515625,-1.0192394256591797e-05,-8.934736251831055e-05,-0.00016897916793823242,0.1937234103679657,0.012157205492258072,0.03313565254211426,0.03400646150112152
internal256,1192_0.85_0.98.png,39.122764587402344,0.06695556640625,0.18844223022460938,0.0874786376953125,0.2553977966308594,-0.16791915893554688,-1.3113021850585938e-06,-6.079673767089844e-06,-1.5020370483398438e-05,0.04259570315480232,0.007778134196996689,0.022288717329502106,0.02533133700489998
internal256,1202_0.79_1.51.png,38.238861083984375,0.06626129150390625,-0.010021209716796875,-0.1722869873046875,0.056240081787109375,-0.22852706909179688,-2.6881694793701172e-05,2.1159648895263672e-05,-0.00012534856796264648,0.25666889548301697,0.010035720653831959,0.040296487510204315,0.04047113656997681
internal256,1219_0.76_1.2.png,33.37117385864258,0.12870025634765625,0.0353851318359375,-0.10194015502929688,0.16408538818359375,-0.2660255432128906,-2.384185791015625e-05,5.8710575103759766e-05,-0.00014632940292358398,0.14651426672935486,0.015534976497292519,0.015055480413138866,0.016637593507766724
internal256,1220_0.82_1.9.png,31.075651168823242,0.11487388610839844,-0.07399940490722656,-0.1826801300048828,0.040874481201171875,-0.2235546112060547,-6.717443466186523e-05,3.701448440551758e-05,-0.0003102421760559082,0.2143164724111557,0.01940479874610901,0.015055480413138866,0.016637593507766724
internal256,122_0.85_2.0.png,28.758010864257812,0.1032562255859375,0.03003692626953125,-0.055263519287109375,0.13329315185546875,-0.18855667114257812,5.78761100769043e-05,2.6881694793701172e-05,-9.72747802734375e-05,0.18003304302692413,0.028175197541713715,0.02760830894112587,0.027373187243938446
internal256,126_0.75_1.47.png,28.263137817382812,-0.34574317932128906,-0.2535285949707031,-0.20571517944335938,-0.5992717742919922,0.3935565948486328,-0.0005623102188110352,-0.0004215836524963379,-0.00039821863174438477,0.13461482524871826,0.021212860941886902,0.030486691743135452,0.031953271478414536
internal256,1280_0.67_0.76.png,43.80756759643555,0.024204254150390625,-0.04549407958984375,-0.01374053955078125,-0.021289825439453125,0.007549285888671875,-1.0371208190917969e-05,-1.710653305053711e-05,-1.633167266845703e-05,0.11920022964477539,0.004578492138534784,0.05179014429450035,0.05334300547838211
internal256,1288_0.95_1.97.png,31.967029571533203,-0.13088607788085938,-0.08173370361328125,-0.0133056640625,-0.21261978149414062,0.19931411743164062,-0.00029528141021728516,-0.00018227100372314453,-0.0003185272216796875,0.21731671690940857,0.02063021995127201,0.014680858701467514,0.017482126131653786
internal256,1289_1.0_1.69.png,30.358158111572266,0.305450439453125,-0.1745586395263672,-0.2156829833984375,0.1308917999267578,-0.3465747833251953,0.000110626220703125,-7.30752944946289e-05,-0.00011032819747924805,0.2219657599925995,0.02581297606229782,0.024733657017350197,0.024866487830877304
internal256,1308_0.84_1.04.png,35.422279357910156,-0.22108840942382812,-0.2554969787597656,-0.2786712646484375,-0.47658538818359375,0.19791412353515625,-9.053945541381836e-05,-0.0001043081283569336,-0.0001690387725830078,0.11618652194738388,0.01438053697347641,0.020342357456684113,0.02199821174144745
internal256,1335_0.93_1.95.png,31.31443977355957,0.09587669372558594,0.04829216003417969,0.04120826721191406,0.14416885375976562,-0.10296058654785156,0.00011360645294189453,3.9696693420410156e-05,2.6166439056396484e-05,0.2952750325202942,0.019214769825339317,0.025634294375777245,0.02650371566414833
internal256,134_0.82_1.41.png,34.70938491821289,-0.21017074584960938,-0.001983642578125,-0.26427459716796875,-0.21215438842773438,-0.052120208740234375,-0.0001690387725830078,-5.066394805908203e-06,-0.00026416778564453125,0.1802239716053009,0.013505188748240471,0.02103608287870884,0.023280587047338486
internal256,1359_0.92_1.46.png,35.44142532348633,0.17607498168945312,0.048671722412109375,0.00244903564453125,0.2247467041015625,-0.22229766845703125,2.872943878173828e-05,5.4836273193359375e-06,-3.2782554626464844e-05,0.23673418164253235,0.012302425689995289,0.018581844866275787,0.0203867070376873
internal256,1360_0.65_0.69.png,41.39075469970703,0.0054473876953125,-0.18402099609375,0.038463592529296875,-0.1785736083984375,0.21703720092773438,1.0132789611816406e-06,-3.7550926208496094e-06,1.2695789337158203e-05,0.08019503951072693,0.006467398721724749,0.018581844866275787,0.0203867070376873
internal256,1378_0.56_1.67.png,33.3412971496582,-0.12233352661132812,-0.24745559692382812,-0.19135665893554688,-0.36978912353515625,0.17843246459960938,-0.00011372566223144531,-0.00019800662994384766,-0.0002770423889160156,0.0891716480255127,0.01569744199514389,0.012889622710645199,0.015475653111934662
internal256,1384_0.55_1.84.png,38.518863677978516,-0.10549545288085938,-0.044216156005859375,-0.08989334106445312,-0.14971160888671875,0.059818267822265625,-2.3603439331054688e-05,-2.3186206817626953e-05,-1.7702579498291016e-05,0.13491904735565186,0.00958886556327343,0.04503609240055084,0.04593906179070473
internal256,138_0.89_1.06.png,38.926177978515625,-0.0929718017578125,-0.093292236328125,0.012798309326171875,-0.1862640380859375,0.19906234741210938,-5.602836608886719e-06,-8.106231689453125e-06,4.589557647705078e-06,0.12784500420093536,0.007547255605459213,0.043381217867136,0.04472557082772255
internal256,1398_0.8_1.34.png,33.39888381958008,0.3010902404785156,0.18167877197265625,0.11090850830078125,0.4827690124511719,-0.3718605041503906,0.00011992454528808594,0.0001322031021118164,-7.605552673339844e-05,0.13755907118320465,0.01626334898173809,0.03622772917151451,0.03558596223592758
internal256,13_0.94_1.35.png,37.34942626953125,0.3946037292480469,0.2872161865234375,-0.103973388671875,0.6818199157714844,-0.7857933044433594,0.00011408329010009766,0.00013130903244018555,2.7418136596679688e-06,0.09855412691831589,0.010832934640347958,0.027204381301999092,0.027052629739046097
internal256,1404_0.5_1.73.png,32.66727828979492,0.046260833740234375,0.3251190185546875,0.20603561401367188,0.3713798522949219,-0.16534423828125,-2.7179718017578125e-05,3.123283386230469e-05,8.702278137207031e-06,0.1769290715456009,0.020862136036157608,0.018538763746619225,0.01957746595144272
internal256,1441_0.58_1.73.png,35.27217102050781,-0.11058425903320312,-0.24585723876953125,-0.259765625,-0.3564414978027344,0.09667587280273438,-8.767843246459961e-05,-8.505582809448242e-05,-0.00027561187744140625,0.22618287801742554,0.015024877153337002,0.02684033289551735,0.02815518155694008
internal256,1454_0.62_1.48.png,33.79389190673828,-0.09180068969726562,-0.440704345703125,-0.15270233154296875,-0.5325050354003906,0.3798027038574219,-4.827976226806641e-06,-5.316734313964844e-05,-1.9848346710205078e-05,0.14570054411888123,0.015573822893202305,0.019258376210927963,0.02022169530391693
internal256,1467_0.61_1.24.png,40.502967834472656,0.01580810546875,-0.07596969604492188,0.063995361328125,-0.060161590576171875,0.12415695190429688,-1.8894672393798828e-05,-7.027387619018555e-05,1.9252300262451172e-05,0.21309038996696472,0.007127327378839254,0.03723081946372986,0.03882910683751106
internal256,1473_0.95_0.96.png,30.22800064086914,0.1149139404296875,0.11919212341308594,0.03156852722167969,0.23410606384277344,-0.20253753662109375,6.580352783203125e-05,3.904104232788086e-05,2.288818359375e-05,0.20013712346553802,0.022816015407443047,0.015648581087589264,0.0165944155305624
internal256,1474_0.92_0.89.png,30.84564971923828,0.08388137817382812,0.1276721954345703,0.022279739379882812,0.21155357360839844,-0.18927383422851562,3.3795833587646484e-05,3.457069396972656e-05,5.0067901611328125e-06,0.18422196805477142,0.021282214671373367,0.015648581087589264,0.0165944155305624
internal256,1475_0.68_1.11.png,32.702213287353516,0.06949615478515625,0.2997589111328125,0.024505615234375,0.36925506591796875,-0.34474945068359375,-2.3603439331054688e-05,6.246566772460938e-05,-6.0498714447021484e-05,0.1715768277645111,0.018025733530521393,0.015648581087589264,0.0165944155305624
internal256,1479_0.8_1.08.png,32.12825393676758,0.28713226318359375,0.03365325927734375,0.05809783935546875,0.3207855224609375,-0.26268768310546875,-0.0004341006278991699,0.000697791576385498,-0.0003650188446044922,0.1953580379486084,0.021138612180948257,0.004785516299307346,0.006905975751578808
internal256,14_0.87_0.97.png,41.248435974121094,-0.192535400390625,-0.09422683715820312,-0.0314178466796875,-0.2867622375488281,0.2553443908691406,2.193450927734375e-05,1.2636184692382812e-05,-1.615285873413086e-05,0.0632353276014328,0.006872110068798065,0.027204381301999092,0.027052629739046097
internal256,1500_0.87_1.88.png,34.133811950683594,0.08972930908203125,0.08856201171875,-0.06520843505859375,0.17829132080078125,-0.243499755859375,-6.115436553955078e-05,-1.1026859283447266e-05,-0.00013309717178344727,0.29080429673194885,0.015139331109821796,0.024378210306167603,0.025023208931088448
internal256,1529_0.84_0.56.png,44.19054412841797,-0.08710479736328125,0.10784912109375,-0.14765167236328125,0.02074432373046875,-0.16839599609375,-2.759695053100586e-05,-7.140636444091797e-05,-6.335973739624023e-05,0.03532803803682327,0.004286111798137426,0.01879202015697956,0.021960929036140442
internal256,1540_0.88_1.25.png,37.15074157714844,0.06928253173828125,0.1588897705078125,0.15726852416992188,0.22817230224609375,-0.07090377807617188,-0.0001316666603088379,9.483098983764648e-05,-1.6450881958007812e-05,0.11803378164768219,0.01006699912250042,0.013984386809170246,0.016199974343180656
internal256,1546_0.79_0.85.png,41.751556396484375,0.0475921630859375,-0.035434722900390625,-0.03694915771484375,0.012157440185546875,-0.049106597900390625,-1.519918441772461e-05,-8.291006088256836e-05,-6.717443466186523e-05,0.08420716226100922,0.004888651892542839,0.030498486012220383,0.032855045050382614
internal256,1555_0.58_0.76.png,47.413116455078125,0.16169357299804688,0.017566680908203125,-0.0664520263671875,0.17926025390625,-0.2457122802734375,2.205371856689453e-06,-1.33514404296875e-05,1.1920928955078125e-06,0.04946892708539963,0.0030684678349643946,0.029403144493699074,0.03121326118707657
internal256,1560_0.99_1.56.png,42.59865188598633,0.07294082641601562,0.173675537109375,0.09386062622070312,0.24661636352539062,-0.1527557373046875,0.00023245811462402344,0.00044232606887817383,0.00027257204055786133,0.18235993385314941,0.004707735031843185,0.024187928065657616,0.025450365617871284
internal256,1564_0.56_1.56.png,41.56782531738281,0.3372001647949219,0.5285453796386719,0.13708114624023438,0.8657455444335938,-0.7286643981933594,4.673004150390625e-05,8.004903793334961e-05,-1.3649463653564453e-05,0.1257450431585312,0.006041836924850941,0.02049318514764309,0.022602999582886696
