feature,target,auc_raw,auc_best_orientation,direction
diff_abs_mean,target_positive,0.5040439987059204,0.5040439987059204,higher
diff_abs_mean,target_high_gain_ge_0.20,0.52900441589723,0.52900441589723,higher
diff_abs_mean,target_severe_loss_le_-0.20,0.5137844039315518,0.5137844039315518,higher
diff_abs_mean,target_loss_lt_0,0.4959560012940796,0.5040439987059204,lower
diff_abs_std,target_positive,0.47210477582302346,0.5278952241769765,lower
diff_abs_std,target_high_gain_ge_0.20,0.49322003657611846,0.5067799634238815,lower
diff_abs_std,target_severe_loss_le_-0.20,0.5417527597347002,0.5417527597347002,higher
diff_abs_std,target_loss_lt_0,0.5278952241769765,0.5278952241769765,higher
diff_abs_p50,target_positive,0.5174979640558239,0.5174979640558239,higher
diff_abs_p50,target_high_gain_ge_0.20,0.5380815379811766,0.5380815379811766,higher
diff_abs_p50,target_severe_loss_le_-0.20,0.49934359981278326,0.5006564001872167,lower
diff_abs_p50,target_loss_lt_0,0.48250203594417607,0.5174979640558239,lower
diff_abs_p90,target_positive,0.49563248139760596,0.504367518602394,lower
diff_abs_p90,target_high_gain_ge_0.20,0.520206075204068,0.520206075204068,higher
diff_abs_p90,target_severe_loss_le_-0.20,0.5215470496238541,0.5215470496238541,higher
diff_abs_p90,target_loss_lt_0,0.504367518602394,0.504367518602394,higher
diff_abs_p95,target_positive,0.4858376376354042,0.5141623623645958,lower
diff_abs_p95,target_high_gain_ge_0.20,0.5056871403720059,0.5056871403720059,higher
diff_abs_p95,target_severe_loss_le_-0.20,0.5301658694733958,0.5301658694733958,higher
diff_abs_p95,target_loss_lt_0,0.5141623623645958,0.5141623623645958,higher
diff_abs_max,target_positive,0.4595321232945481,0.5404678767054518,lower
diff_abs_max,target_high_gain_ge_0.20,0.4753891788215353,0.5246108211784647,lower
diff_abs_max,target_severe_loss_le_-0.20,0.5269923172638957,0.5269923172638957,higher
diff_abs_max,target_loss_lt_0,0.5404678767054518,0.5404678767054518,higher
diff_grad_mean,target_positive,0.4501165787213155,0.5498834212786845,lower
diff_grad_mean,target_high_gain_ge_0.20,0.46934519826932514,0.5306548017306749,lower
diff_grad_mean,target_severe_loss_le_-0.20,0.5288416534435325,0.5288416534435325,higher
diff_grad_mean,target_loss_lt_0,0.5498834212786845,0.5498834212786845,higher
diff_to_a0_ratio,target_positive,0.47953457758341794,0.5204654224165821,lower
diff_to_a0_ratio,target_high_gain_ge_0.20,0.5039586957491413,0.5039586957491413,higher
diff_to_a0_ratio,target_severe_loss_le_-0.20,0.5337503852783707,0.5337503852783707,higher
diff_to_a0_ratio,target_loss_lt_0,0.5204654224165821,0.5204654224165821,higher
a0_udp_psnr,target_positive,0.5117526969287921,0.5117526969287921,higher
a0_udp_psnr,target_high_gain_ge_0.20,0.48613898925018956,0.5138610107498105,lower
a0_udp_psnr,target_severe_loss_le_-0.20,0.47065605771755387,0.5293439422824462,lower
a0_udp_psnr,target_loss_lt_0,0.48824730307120784,0.5117526969287922,lower
