dimension,heldout_bin,heldout_count,train_count,train_policy_id,train_threshold,train_strict_gate_pass,count,selected_count,coverage,mean_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,dSSIM,positive_ratio,nonnegative_ratio,severe_loss_count,severe_loss_per_600,strong_loss_count,strong_loss_per_600,selected_precision,selected_nonnegative_ratio,selected_severe_count,strict_gate_pass,score,bin_safety_pass
depth_mean_q4,q1,150,450,alpha_a0p25__diff_signed_mean_le_0.0027226704,0.0027226704056374728,True,150,123,0.82,0.3043819427490234,0.23527887705210093,0.3703696792190139,0.0001800711949666341,0.6666666666666666,0.8466666666666667,10,40.0,19,76.0,0.8130081300813008,0.8130081300813008,10,True,0.35231158543961616,True
depth_mean_q4,q2,150,450,alpha_a0p25__diff_signed_mean_le_0.0021450728,0.0021450727712363027,True,150,119,0.7933333333333333,0.3035070927937826,0.13604834273054794,0.5350494384765625,0.00018696109453837076,0.6266666666666667,0.8333333333333334,8,32.0,21,84.00000000000001,0.7899159663865546,0.7899159663865546,8,False,0.3540970424271756,True
depth_mean_q4,q3,150,450,alpha_a0p25__diff_signed_mean_le_0.0022076969,0.002207696856930855,True,150,121,0.8066666666666666,0.3828796132405599,0.3811254759092589,0.6049900570431271,0.0002577284971872965,0.6733333333333333,0.8666666666666667,7,28.0,14,56.0,0.8347107438016529,0.8347107438016529,7,True,0.538133733198586,True
depth_mean_q4,q4,150,450,alpha_a0p25__diff_signed_mean_le_0.0021541695,0.0021541694644838616,True,150,119,0.7933333333333333,0.3015933100382487,0.26474509368071686,0.34150159681165543,0.00029161731402079264,0.6533333333333333,0.86,8,32.0,19,76.0,0.8235294117647058,0.8235294117647058,8,True,0.373812666117431,True
input_grad_lowtexture_q4,q1,150,450,alpha_a0p25__diff_signed_mean_le_0.0024271952,0.002427195163909345,True,150,112,0.7466666666666667,0.28010560353597,0.1935455219165699,0.3368728225295608,0.00018139878908793132,0.54,0.7933333333333333,16,64.0,29,116.0,0.7232142857142857,0.7232142857142857,16,False,0.21372409787073704,True
input_grad_lowtexture_q4,q2,150,450,alpha_a0p25__diff_signed_mean_le_0.0029781746,0.002978174551390111,True,150,131,0.8733333333333333,0.40085825602213543,0.38359884313634923,0.5030555725097656,0.00034268895785013835,0.7666666666666667,0.8933333333333333,4,16.0,11,44.0,0.8778625954198473,0.8778625954198473,4,True,0.5905073968302703,True
input_grad_lowtexture_q4,q3,150,450,alpha_a0p25__diff_signed_mean_le_0.0030647941,0.003064794128295032,True,150,133,0.8866666666666667,0.34059399922688804,0.3410882692079286,0.5475133947423987,0.00022275447845458983,0.7333333333333333,0.8466666666666667,6,24.0,19,76.0,0.8270676691729323,0.8270676691729323,6,True,0.48261362711867606,True
input_grad_lowtexture_q4,q4,150,450,alpha_a0p25__diff_signed_mean_le_0.0028772472,0.002877247228752821,True,150,129,0.86,0.3036405309041341,0.22090030360866236,0.4580543105666702,0.0002181259791056315,0.6933333333333334,0.8333333333333334,11,44.0,20,80.0,0.8062015503875969,0.8062015503875969,11,True,0.35018460610447855,True
input_dark_q4,q1,150,450,alpha_a0p25__diff_signed_mean_le_0.0024433525,0.002443352481350303,True,150,136,0.9066666666666666,0.4037179946899414,0.31597544695879964,0.5591559538970122,0.00023489634195963542,0.7133333333333334,0.8066666666666666,11,44.0,23,92.0,0.7867647058823529,0.7867647058823529,11,True,0.47943917108282064,True
input_dark_q4,q2,150,450,alpha_a0p25__diff_signed_mean_le_0.0032431388,0.0032431387575343235,True,150,137,0.9133333333333333,0.37382181803385417,0.3173713684082031,0.530516547125739,0.0002372916539510091,0.7466666666666667,0.8333333333333334,14,56.0,24,96.0,0.8175182481751825,0.8175182481751825,14,False,0.4386438453677828,True
input_dark_q4,q3,150,450,alpha_a0p25__diff_signed_mean_le_0.0027625361,0.002762536145746707,True,150,126,0.84,0.2983039093017578,0.16987290253510345,0.37067073100322,0.00021660407384236654,0.6933333333333334,0.8533333333333334,8,32.0,19,76.0,0.8253968253968254,0.8253968253968254,8,False,0.35314099855427067,True
input_dark_q4,q4,150,450,alpha_a0p25__diff_signed_mean_le_0.0022787928,0.002278792788274586,True,150,103,0.6866666666666666,0.23996954600016276,0.2833666930327544,0.27030192194758235,0.0002529863516489665,0.5533333333333333,0.8666666666666667,5,20.0,14,56.0,0.8058252427184466,0.8058252427184466,5,False,0.31829372437896764,True
diff_abs_q4,q1,150,450,alpha_a0p25__diff_signed_mean_le_0.0036992133,0.0036992132663726794,True,150,150,1.0,0.3718182118733724,0.18204601390941724,0.6320280126623206,0.0001700135072072347,0.82,0.82,9,36.0,22,88.0,0.82,0.82,9,False,0.4611339172500748,True
diff_abs_q4,q2,150,450,alpha_a0p25__diff_signed_mean_le_0.00325206,0.003252060036174951,True,150,137,0.9133333333333333,0.2631385803222656,0.12823146098368876,0.4465288729281039,0.00018593549728393555,0.7266666666666667,0.8133333333333334,11,44.0,22,88.0,0.7956204379562044,0.7956204379562044,11,False,0.28003368404998247,True
diff_abs_q4,q3,150,450,alpha_a0p25__diff_signed_mean_le_0.0026252034,0.002625203412026166,True,150,120,0.8,0.291124750773112,0.19213444477803,0.3701737893594278,0.0002716545263926188,0.6,0.8,10,40.0,26,104.0,0.75,0.75,10,False,0.29318443037153363,True
diff_abs_q4,q4,150,450,alpha_a0p25__diff_signed_mean_le_0.0022699056,0.0022699056193232533,False,150,101,0.6733333333333333,0.4043660481770833,0.3295287054938239,0.4745376174514358,0.00032538731892903645,0.5866666666666667,0.9133333333333333,9,36.0,11,44.0,0.8712871287128713,0.8712871287128713,9,False,0.5286034546270004,True
a0_psnr_stress_q4,q1,150,450,alpha_a0p25__diff_signed_mean_le_0.0024650219,0.0024650219362229104,True,150,116,0.7733333333333333,0.2581731160481771,0.20741684372360641,0.29718728967615077,0.00026085495948791504,0.6266666666666667,0.8533333333333334,9,36.0,18,72.0,0.8103448275862069,0.8103448275862069,9,False,0.29376174226958174,True
a0_psnr_stress_q4,q2,150,450,alpha_a0p25__diff_signed_mean_le_0.002535798,0.0025357979582622623,True,150,117,0.78,0.2722544860839844,0.2747215064796242,0.2528881382297825,0.00025243322054545087,0.64,0.86,4,16.0,18,72.0,0.8205128205128205,0.8205128205128205,4,False,0.3637501347204091,True
a0_psnr_stress_q4,q3,150,450,alpha_a0p25__diff_signed_mean_le_0.0028772472,0.002877247228752821,True,150,129,0.86,0.3269837951660156,0.28265700469145905,0.3151095622294658,0.0002452270189921061,0.66,0.8,16,64.0,24,96.0,0.7674418604651163,0.7674418604651163,16,False,0.3062075039291143,True
a0_psnr_stress_q4,q4,150,450,alpha_a0p25__diff_signed_mean_le_0.0034435727,0.0034435727400705203,True,150,145,0.9666666666666667,0.47696179707845054,0.45745756819441513,0.5882702389278928,0.00020021875699361165,0.8133333333333334,0.8466666666666667,9,36.0,20,80.0,0.8413793103448276,0.8413793103448276,9,True,0.6396586789892267,True
