policy_id,alpha,complexity,count,selected_count,coverage,mean_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,dSSIM,positive_ratio,nonnegative_ratio,severe_loss_count,severe_loss_per_600,strong_loss_count,strong_loss_per_600,selected_precision,selected_nonnegative_ratio,selected_severe_count,strict_gate_pass,abstention_gate_pass,score
alpha_a0p5__input_dark_mean_le_0.67206591_AND_diff_signed_mean_le_0.0001681959,0.5,2,600,317,0.5283333333333333,0.38220659891764325,0.38673187255859376,0.4152735646565755,0.00023086031277974446,0.43333333333333335,0.905,45,45.0,54,54.0,0.8201892744479495,0.8201892744479495,45,False,True,0.4628513693688168
alpha_a0p5__diff_signed_mean_le_0.0001681959_AND_diff_abs_max_ge_0.03074369,0.5,2,600,319,0.5316666666666666,0.38054398536682127,0.41011539459228513,0.3672478993733724,0.00025632073481877645,0.43666666666666665,0.905,44,44.0,52,52.0,0.8213166144200627,0.8213166144200627,44,False,True,0.4625174901852662
alpha_a0p5__input_grad_mean_ge_0.0086105614_AND_diff_signed_mean_le_0.0001681959,0.5,2,600,312,0.52,0.37536568959554034,0.3720677947998047,0.38962384541829426,0.00024132907390594482,0.42833333333333334,0.9083333333333333,39,39.0,49,49.0,0.8237179487179487,0.8237179487179487,39,False,True,0.4622710869031074
alpha_a0p5__depth_mean_le_0.38086467_AND_diff_signed_mean_le_0.0001681959,0.5,2,600,323,0.5383333333333333,0.38520429611206053,0.3922318522135417,0.3762658945719401,0.0002383306622505188,0.44333333333333336,0.905,46,46.0,54,54.0,0.8235294117647058,0.8235294117647058,46,False,True,0.4614099864884919
alpha_a0p5__input_mean_le_0.69049907_AND_diff_signed_mean_le_0.0001681959,0.5,2,600,316,0.5266666666666666,0.3779002888997396,0.3926314544677734,0.4152735646565755,0.00023234774669011435,0.43166666666666664,0.905,45,45.0,54,54.0,0.819620253164557,0.819620253164557,45,False,True,0.45967365978900887
alpha_a0p5__a0_grad_mean_ge_0.012581695_AND_diff_signed_mean_le_0.0001681959,0.5,2,600,312,0.52,0.3766018040974935,0.37052085876464846,0.3991815948486328,0.00024754156668980917,0.425,0.905,41,41.0,51,51.00000000000001,0.8173076923076923,0.8173076923076923,41,False,True,0.4570284887851812
alpha_a0p5__input_grad_mean_ge_0.0093034212_AND_diff_signed_mean_le_0.0001681959,0.5,2,600,300,0.5,0.36364790598551433,0.35487828572591146,0.40871714274088544,0.0002314069867134094,0.41333333333333333,0.9133333333333333,36,36.0,46,46.0,0.8266666666666667,0.8266666666666667,36,False,True,0.45634171549479163
alpha_a0p5__a0_saturation_high_ge_1.4583334e-05_AND_diff_signed_mean_le_0.0001681959,0.5,2,600,326,0.5433333333333333,0.3793033727010091,0.36834429423014325,0.4062867228190104,0.00024559239546457926,0.44333333333333336,0.9,46,46.0,56,56.0,0.8159509202453987,0.8159509202453987,46,False,True,0.44997212748303256
alpha_a0p5__a0_saturation_low_ge_3.2916667e-05_AND_diff_signed_mean_le_0.000756993,0.5,2,600,328,0.5466666666666666,0.37579030990600587,0.34642506917317706,0.42504931131998697,0.00020444641510645548,0.44666666666666666,0.9,46,46.0,54,54.0,0.8170731707317073,0.8170731707317073,46,False,True,0.44447755113307064
alpha_a0p5__input_grad_mean_le_0.02270322_AND_diff_signed_mean_le_0.0001681959,0.5,2,600,319,0.5316666666666666,0.37581260363260904,0.3883986790974935,0.3802734629313151,0.00023634721835454306,0.43333333333333335,0.9016666666666666,48,48.0,53,53.0,0.8150470219435737,0.8150470219435737,48,False,True,0.4428624882489786
alpha_a0p5__a0_saturation_low_ge_3.2916667e-05_AND_diff_signed_mean_le_0.0001681959,0.5,2,600,291,0.485,0.3569472090403239,0.3385042190551758,0.3889535013834635,0.0002118029197057088,0.4033333333333333,0.9183333333333333,38,38.0,46,46.0,0.8316151202749141,0.8316151202749141,38,False,True,0.4410046051628402
alpha_a0p5__diff_signed_mean_le_0.0001681959_AND_diff_abs_std_ge_0.0033386601,0.5,2,600,314,0.5233333333333333,0.3798728593190511,0.4224861526489258,0.2923156229654948,0.00025986303885777793,0.42333333333333334,0.9,47,47.0,54,54.0,0.8089171974522293,0.8089171974522293,47,False,True,0.4407128661914996
alpha_a0p5__udp_mean_le_0.52751972_AND_diff_signed_mean_le_0.0001681959,0.5,2,600,266,0.44333333333333336,0.34202106793721515,0.36543570200602216,0.3711239115397135,0.00022474129994710286,0.36833333333333335,0.925,33,33.0,42,42.00000000000001,0.8308270676691729,0.8308270676691729,33,False,True,0.43887013405438946
alpha_a0p5__a0_mean_le_0.52831642_AND_diff_signed_mean_le_0.0001681959,0.5,2,600,262,0.43666666666666665,0.3387053902943929,0.35899908701578775,0.35547884623209636,0.00022365619738896688,0.365,0.9283333333333333,31,31.0,40,40.0,0.8358778625954199,0.8358778625954199,31,False,True,0.4382431467439685
alpha_a0p5__a0_saturation_low_ge_2.0833334e-06_AND_diff_signed_mean_le_-0.00051970547,0.5,2,600,294,0.49,0.36368631998697915,0.4172149149576823,0.28965667724609373,0.00022804905970891316,0.40166666666666667,0.9116666666666666,42,42.00000000000001,50,50.0,0.8197278911564626,0.8197278911564626,42,False,True,0.4380888904493682
alpha_a0p5__input_mean_le_0.67496555_AND_diff_signed_mean_le_0.0001681959,0.5,2,600,301,0.5016666666666667,0.36197319348653156,0.33981131235758466,0.4152735646565755,0.00021639098723729453,0.4116666666666667,0.91,42,42.00000000000001,51,51.00000000000001,0.8205980066445183,0.8205980066445183,42,False,True,0.4365792932622324
alpha_a0p5__depth_grad_mean_ge_0.0015138017_AND_diff_signed_mean_le_-0.00051970547,0.5,2,600,272,0.4533333333333333,0.34807703653971356,0.40702117919921876,0.2845227559407552,0.00021678040424982708,0.375,0.9216666666666666,35,35.0,43,43.0,0.8272058823529411,0.8272058823529411,35,False,True,0.4365406466914158
alpha_a0p5__udp_mean_le_0.50837474_AND_diff_signed_mean_le_0.0001681959,0.5,2,600,232,0.38666666666666666,0.31729070663452147,0.34920626322428383,0.32225191752115884,0.00022203415632247924,0.33,0.9433333333333334,22,22.0,31,31.0,0.853448275862069,0.853448275862069,22,False,True,0.43605994512623747
alpha_a0p5__input_grad_mean_ge_0.010141619_AND_diff_signed_mean_le_0.000756993,0.5,2,600,316,0.5266666666666666,0.35522484143575034,0.3586794662475586,0.4312666575113932,0.0002303824822107951,0.42833333333333334,0.9016666666666666,41,41.0,51,51.00000000000001,0.8132911392405063,0.8132911392405063,41,False,True,0.4354281665399607
alpha_a0p5__depth_grad_mean_le_0.0035851607_AND_diff_signed_mean_le_0.0001681959,0.5,2,600,309,0.515,0.36629155158996585,0.41257155100504556,0.35897178649902345,0.00024429271618525185,0.4166666666666667,0.9016666666666666,47,47.0,54,54.0,0.8090614886731392,0.8090614886731392,47,False,True,0.4345640260863073
alpha_a0p5__a0_grad_mean_le_0.031830863_AND_diff_signed_mean_le_0.0001681959,0.5,2,600,307,0.5116666666666667,0.36604313532511396,0.3919823964436849,0.3996766408284505,0.0002245009938875834,0.415,0.9033333333333333,48,48.0,52,52.0,0.8110749185667753,0.8110749185667753,48,False,True,0.4343147691053625
alpha_a0p5__udp_grad_mean_le_0.031761468_AND_diff_signed_mean_le_0.0001681959,0.5,2,600,307,0.5116666666666667,0.36604313532511396,0.3919823964436849,0.3996766408284505,0.0002245009938875834,0.415,0.9033333333333333,48,48.0,52,52.0,0.8110749185667753,0.8110749185667753,48,False,True,0.4343147691053625
alpha_a0p5__depth_mean_le_0.35302753_AND_diff_signed_mean_le_0.0001681959,0.5,2,600,312,0.52,0.36529489517211916,0.37868682861328123,0.34925193786621095,0.0002285909652709961,0.4266666666666667,0.9066666666666666,45,45.0,53,53.0,0.8205128205128205,0.8205128205128205,45,False,True,0.43403644428742233
alpha_a0p5__a0_mean_le_0.5610461_AND_diff_signed_mean_le_-0.00051970547,0.5,2,600,257,0.42833333333333334,0.3402344385782878,0.38663426717122396,0.2827471923828125,0.00021951148907343546,0.35833333333333334,0.93,32,32.0,39,39.0,0.8365758754863813,0.8365758754863813,32,False,True,0.433988482412692
alpha_a0p5__diff_signed_mean_le_-0.00051970547_AND_diff_abs_max_ge_0.027263474,0.5,2,600,286,0.4766666666666667,0.3556938648223877,0.40575992584228515,0.2879541269938151,0.00023096084594726563,0.3933333333333333,0.9166666666666666,40,40.0,47,47.0,0.8251748251748252,0.8251748251748252,40,False,True,0.4337064525115184
alpha_a0p5__a0_mean_le_0.51154717_AND_diff_signed_mean_le_0.0001681959,0.5,2,600,226,0.37666666666666665,0.31070061047871905,0.3372232182820638,0.34652913411458336,0.00021811207135518393,0.32166666666666666,0.945,21,21.000000000000004,30,30.0,0.8539823008849557,0.8539823008849557,21,False,True,0.43220938398648145
alpha_a0p5__diff_signed_mean_le_0.0001681959_AND_diff_abs_max_ge_0.033630045,0.5,2,600,298,0.49666666666666665,0.35948280652364095,0.3965542729695638,0.3259894816080729,0.0002442013223965963,0.405,0.9083333333333333,42,42.00000000000001,50,50.0,0.8154362416107382,0.8154362416107382,42,False,True,0.4319430632264822
alpha_a0p5__depth_grad_mean_ge_0.0013648644_AND_diff_signed_mean_le_-0.00051970547,0.5,2,600,286,0.4766666666666667,0.3539081954956055,0.4221857198079427,0.27342557271321616,0.0002304414908091227,0.39,0.9133333333333333,40,40.0,48,48.0,0.8181818181818182,0.8181818181818182,40,False,True,0.43000179468790684
alpha_a0p5__input_std_le_0.24869017_AND_diff_signed_mean_le_0.0001681959,0.5,2,600,311,0.5183333333333333,0.3656697209676107,0.4045966339111328,0.3120947774251302,0.0002408944567044576,0.4216666666666667,0.9033333333333333,46,46.0,53,53.0,0.8135048231511254,0.8135048231511254,46,False,True,0.429427415458949
alpha_a0p5__a0_saturation_high_ge_4.1666667e-06_AND_diff_signed_mean_le_-0.00051970547,0.5,2,600,290,0.48333333333333334,0.35714598019917804,0.4155318323771159,0.28965667724609373,0.0002256673574447632,0.395,0.9116666666666666,43,43.0,51,51.00000000000001,0.8172413793103448,0.8172413793103448,43,False,True,0.4276268651677274
alpha_a0p5__input_grad_mean_le_0.026286048_AND_diff_signed_mean_le_-0.00051970547,0.5,2,600,286,0.4766666666666667,0.3529910723368327,0.4176166280110677,0.28342547098795573,0.00023058811823527018,0.39,0.9133333333333333,41,41.0,48,48.0,0.8181818181818182,0.8181818181818182,41,False,True,0.42744238332112633
alpha_a0p5__input_dark_mean_le_0.65279412_AND_diff_signed_mean_le_0.0001681959,0.5,2,600,301,0.5016666666666667,0.3582528559366862,0.33134134928385417,0.4152735646565755,0.00021083593368530272,0.41,0.9083333333333333,43,43.0,52,52.0,0.8172757475083057,0.8172757475083057,43,False,True,0.42691422241903754
alpha_a0p5__diff_signed_mean_le_-0.00051970547,0.5,1,600,300,0.5,0.36315845171610517,0.4173846054077148,0.28965667724609373,0.0002339427669843038,0.405,0.905,45,45.0,53,53.0,0.81,0.81,45,False,True,0.42645310465494796
alpha_a0p5__input_dark_mean_le_0.71742256_AND_diff_signed_mean_le_-0.00051970547,0.5,2,600,287,0.47833333333333333,0.3560796960194906,0.40829853057861326,0.28965667724609373,0.0002223352591196696,0.39,0.9116666666666666,42,42.00000000000001,50,50.0,0.8153310104529616,0.8153310104529616,42,False,True,0.4256015526668535
alpha_a0p5__input_mean_le_0.73469202_AND_diff_signed_mean_le_-0.00051970547,0.5,2,600,289,0.4816666666666667,0.3563783009847005,0.4080371348063151,0.28965667724609373,0.00022290825843811036,0.39166666666666666,0.91,42,42.00000000000001,50,50.0,0.8131487889273357,0.8131487889273357,42,False,True,0.4247012535165613
alpha_a0p5__a0_grad_mean_ge_0.011212653_AND_diff_signed_mean_le_-0.00051970547,0.5,2,600,273,0.455,0.3499755160013835,0.3646203358968099,0.3103211720784505,0.0002190268039703369,0.37333333333333335,0.9183333333333333,37,37.0,45,45.0,0.8205128205128205,0.8205128205128205,37,False,True,0.42406082706940473
alpha_a0p5__input_mean_ge_0.43370621_AND_diff_signed_mean_le_-0.00051970547,0.5,2,600,291,0.485,0.3580863285064697,0.4118980026245117,0.2882435862223307,0.0002312980095545451,0.3933333333333333,0.9083333333333333,43,43.0,51,51.00000000000001,0.8109965635738832,0.8109965635738832,43,False,True,0.4240454770615829
alpha_a0p5__a0_grad_mean_ge_0.013612788_AND_diff_signed_mean_le_0.0001681959,0.5,2,600,294,0.49,0.34735669136047365,0.3430202865600586,0.3861426035563151,0.00022988845904668172,0.4,0.91,38,38.0,48,48.0,0.8163265306122449,0.8163265306122449,38,False,True,0.42381274537067026
alpha_a0p5__udp_grad_mean_ge_0.013542664_AND_diff_signed_mean_le_0.0001681959,0.5,2,600,294,0.49,0.34735669136047365,0.3430202865600586,0.3861426035563151,0.00022988845904668172,0.4,0.91,38,38.0,48,48.0,0.8163265306122449,0.8163265306122449,38,False,True,0.42381274537067026
alpha_a0p5__a0_grad_mean_le_0.029946503_AND_diff_signed_mean_le_0.0001681959,0.5,2,600,293,0.48833333333333334,0.3567881997426351,0.3599060440063477,0.3992301940917969,0.00021442721287409465,0.39666666666666667,0.9083333333333333,45,45.0,49,49.0,0.8122866894197952,0.8122866894197952,45,False,True,0.42317358570554564
alpha_a0p5__input_grad_mean_ge_0.010141619_AND_diff_signed_mean_le_0.0001681959,0.5,2,600,286,0.4766666666666667,0.33730522155761716,0.3461199696858724,0.39910987854003904,0.00021648238102595012,0.39166666666666666,0.915,36,36.0,46,46.0,0.8216783216783217,0.8216783216783217,36,False,True,0.4231581060165013
alpha_a0p5__depth_grad_mean_ge_0.0017722142_AND_diff_signed_mean_le_0.0001681959,0.5,2,600,293,0.48833333333333334,0.34349246660868327,0.33209857940673826,0.37583521525065106,0.00022944043080012002,0.4033333333333333,0.915,37,37.0,45,45.0,0.825938566552901,0.825938566552901,37,False,True,0.4229252720187277
alpha_a0p5__udp_mean_le_0.6065559_AND_diff_signed_mean_le_-0.00051970547,0.5,2,600,290,0.48333333333333334,0.35369139989217124,0.41656036376953126,0.2695561726888021,0.00023120403289794922,0.3933333333333333,0.91,42,42.00000000000001,50,50.0,0.8137931034482758,0.8137931034482758,42,False,True,0.42151779030109277
alpha_a0p5__udp_mean_le_0.52751972_AND_diff_signed_mean_le_0.000756993,0.5,2,600,299,0.49833333333333335,0.35120931307474773,0.36901264190673827,0.3898773701985677,0.00021200180053710939,0.40166666666666667,0.9033333333333333,42,42.00000000000001,52,52.0,0.8060200668896321,0.8060200668896321,42,False,True,0.42122178253718184
alpha_a0p5__diff_signed_mean_le_-0.00051970547_AND_diff_abs_std_ge_0.0029413363,0.5,2,600,286,0.4766666666666667,0.35498985290527346,0.41450355529785154,0.2596235911051432,0.0002299565076828003,0.3883333333333333,0.9116666666666666,42,42.00000000000001,49,49.0,0.8146853146853147,0.8146853146853147,42,False,True,0.42116953680576413
alpha_a0p5__udp_grad_mean_le_0.029722117_AND_diff_signed_mean_le_0.0001681959,0.5,2,600,292,0.4866666666666667,0.35490818341573077,0.3599060440063477,0.3992301940917969,0.00021408836046854656,0.395,0.9083333333333333,45,45.0,49,49.0,0.8116438356164384,0.8116438356164384,45,False,True,0.4209066664534617
alpha_a0p5__udp_grad_mean_ge_0.011107964_AND_diff_signed_mean_le_-0.00051970547,0.5,2,600,272,0.4533333333333333,0.3482667541503906,0.3577852884928385,0.3103211720784505,0.00021832724412282307,0.37166666666666665,0.9183333333333333,37,37.0,45,45.0,0.8198529411764706,0.8198529411764706,37,False,True,0.4202470363990932
alpha_a0p5__depth_grad_mean_le_0.0031141176_AND_diff_signed_mean_le_0.0001681959,0.5,2,600,294,0.49,0.34848256429036456,0.41798922220865886,0.3352184549967448,0.00022095332543055216,0.3983333333333333,0.9083333333333333,45,45.0,51,51.00000000000001,0.8129251700680272,0.8129251700680272,45,False,True,0.42017148162945606
alpha_a0p5__a0_mean_le_0.52831642_AND_diff_signed_mean_le_0.000756993,0.5,2,600,295,0.49166666666666664,0.3478936354319255,0.3625760269165039,0.3742323048909505,0.00021091669797897338,0.3983333333333333,0.9066666666666666,40,40.0,50,50.0,0.8101694915254237,0.8101694915254237,40,False,True,0.42009904156701044
alpha_a0p5__input_dark_mean_ge_0.38381957_AND_diff_signed_mean_le_-0.00051970547,0.5,2,600,291,0.485,0.3562758096059163,0.4173846054077148,0.26319908142089843,0.00022951314846674601,0.3933333333333333,0.9083333333333333,43,43.0,51,51.00000000000001,0.8109965635738832,0.8109965635738832,43,False,True,0.41984993313661545
alpha_a0p5__a0_saturation_low_ge_1.6666667e-05_AND_diff_signed_mean_le_-0.00051970547,0.5,2,600,257,0.42833333333333334,0.33191880226135256,0.3978542709350586,0.26333661397298175,0.00019757916529973348,0.3566666666666667,0.9283333333333333,34,34.0,42,42.00000000000001,0.8326848249027238,0.8326848249027238,34,False,True,0.4194261824542291
alpha_a0p5__input_std_le_0.28122936_AND_diff_signed_mean_le_-0.00051970547,0.5,2,600,289,0.4816666666666667,0.3561676057179769,0.3976272201538086,0.286253178914388,0.00022672901550928752,0.39166666666666666,0.91,43,43.0,51,51.00000000000001,0.8131487889273357,0.8131487889273357,43,False,True,0.41937755483695516
alpha_a0p5__udp_mean_le_0.56097753_AND_diff_signed_mean_le_-0.00051970547,0.5,2,600,260,0.43333333333333335,0.33725959142049156,0.3850630696614583,0.27241900126139323,0.00021999945243199667,0.35833333333333334,0.925,35,35.0,42,42.00000000000001,0.8269230769230769,0.8269230769230769,35,False,True,0.4178625679994241
alpha_a0p5__input_grad_mean_le_0.020961976_AND_diff_signed_mean_le_0.0001681959,0.5,2,600,303,0.505,0.355650634765625,0.3769983927408854,0.36827171325683594,0.00022522926330566405,0.41,0.905,47,47.0,51,51.00000000000001,0.8118811881188119,0.8118811881188119,47,False,True,0.41777564340471834
alpha_a0p5__diff_signed_mean_le_0.0001681959_AND_diff_abs_std_ge_0.0036148975,0.5,2,600,299,0.49833333333333335,0.36490681012471515,0.42096558888753255,0.2409576416015625,0.0002551888426144918,0.40166666666666667,0.9033333333333333,46,46.0,52,52.0,0.8060200668896321,0.8060200668896321,46,False,True,0.4175695570427971
alpha_a0p5__udp_mean_le_0.54332907_AND_diff_signed_mean_le_-0.00051970547,0.5,2,600,244,0.4066666666666667,0.3251017951965332,0.3861505381266276,0.2613860575358073,0.00021051098903020223,0.34,0.9333333333333333,31,31.0,38,38.0,0.8360655737704918,0.8360655737704918,31,False,True,0.41681673726566504
alpha_a0p5__udp_grad_mean_le_0.037596361_AND_diff_signed_mean_le_-0.00051970547,0.5,2,600,286,0.4766666666666667,0.3507962862650553,0.41571487426757814,0.28466016133626304,0.00022219767173131306,0.385,0.9083333333333333,43,43.0,51,51.00000000000001,0.8076923076923077,0.8076923076923077,43,False,True,0.4151881315964918
alpha_a0p5__a0_mean_le_0.5451718_AND_diff_signed_mean_le_-0.00051970547,0.5,2,600,240,0.4,0.3188311958312988,0.39081514994303385,0.2613860575358073,0.00020770122607549033,0.335,0.935,30,30.0,37,37.0,0.8375,0.8375,30,False,True,0.41436789194742835
alpha_a0p5__input_std_ge_0.16162106_AND_diff_signed_mean_le_0.0001681959,0.5,2,600,306,0.51,0.3467317008972168,0.3290167744954427,0.3986601765950521,0.0002356592814127604,0.4166666666666667,0.9066666666666666,42,42.00000000000001,50,50.0,0.8169934640522876,0.8169934640522876,42,False,True,0.4143313262390934
alpha_a0p5__input_grad_mean_ge_0.0077444417_AND_diff_signed_mean_le_-0.00051970547,0.5,2,600,273,0.455,0.3409840615590413,0.3650771458943685,0.3015662638346354,0.00020717899004618327,0.37333333333333335,0.9183333333333333,37,37.0,45,45.0,0.8205128205128205,0.8205128205128205,37,False,True,0.41387033888988
alpha_a0p5__a0_std_le_0.34192501_AND_diff_signed_mean_le_-0.00051970547,0.5,2,600,286,0.4766666666666667,0.34984673500061036,0.41316519419352216,0.26015045166015627,0.0002179449796676636,0.38666666666666666,0.91,42,42.00000000000001,50,50.0,0.8111888111888111,0.8111888111888111,42,False,True,0.41384778078519374
alpha_a0p5__udp_std_le_0.34088642_AND_diff_signed_mean_le_-0.00051970547,0.5,2,600,286,0.4766666666666667,0.34984673500061036,0.41316519419352216,0.26015045166015627,0.0002179449796676636,0.38666666666666666,0.91,42,42.00000000000001,50,50.0,0.8111888111888111,0.8111888111888111,42,False,True,0.41384778078519374
alpha_a0p5__a0_saturation_high_ge_4.3750002e-05_AND_diff_signed_mean_le_0.0001681959,0.5,2,600,306,0.51,0.34887704213460285,0.32316543579101564,0.3889535013834635,0.000230350395043691,0.4166666666666667,0.9066666666666666,42,42.00000000000001,52,52.0,0.8169934640522876,0.8169934640522876,42,False,True,0.41355783151863434
alpha_a0p5__a0_saturation_low_ge_9.4270834e-05_AND_diff_signed_mean_le_0.000756993,0.5,2,600,315,0.525,0.35363686879475914,0.32753316243489583,0.41678202311197915,0.00019293447335561116,0.4266666666666667,0.9016666666666666,46,46.0,54,54.0,0.8126984126984127,0.8126984126984127,46,False,True,0.41352158985440685
alpha_a0p5__diff_signed_mean_le_-0.00051970547_AND_diff_to_a0_ratio_ge_0.00670254,0.5,2,600,292,0.4866666666666667,0.3555643177032471,0.4142593002319336,0.26622342427571616,0.00023158490657806396,0.3933333333333333,0.9066666666666666,45,45.0,52,52.0,0.8082191780821918,0.8082191780821918,45,False,True,0.41331653768112686
alpha_a0p5__udp_std_le_0.30237657_AND_diff_signed_mean_le_0.0001681959,0.5,2,600,297,0.495,0.3486469078063965,0.38902483622233075,0.31218943277994793,0.00022520711024602254,0.4,0.905,42,42.00000000000001,51,51.00000000000001,0.8080808080808081,0.8080808080808081,42,False,True,0.4130759762234158
