source,bank_name,choice,count,ratio
v37_tau_real_blend_oracle_grid.csv,A0_U3_U2_U1_micro_shrink,A0,2719,0.3021111111111111
v37_tau_real_blend_oracle_grid.csv,A0_U3_U2_U1_micro_shrink,u1_tau_l1_s004_g025_a006,5004,0.556
v37_tau_real_blend_oracle_grid.csv,A0_U3_U2_U1_micro_shrink,u2_tau_l3_s004_g015_a006,344,0.03822222222222222
v37_tau_real_blend_oracle_grid.csv,A0_U3_U2_U1_micro_shrink,u3_tau_l2_s002_g025_a006,933,0.10366666666666667
v37_tau_real_blend_oracle_grid.csv,A0_U3_U2_U1_full,A0,3018,0.3353333333333333
v37_tau_real_blend_oracle_grid.csv,A0_U3_U2_U1_full,u1_tau_l1_s004_g025_a006,4853,0.5392222222222223
v37_tau_real_blend_oracle_grid.csv,A0_U3_U2_U1_full,u2_tau_l3_s004_g015_a006,308,0.03422222222222222
v37_tau_real_blend_oracle_grid.csv,A0_U3_U2_U1_full,u3_tau_l2_s002_g025_a006,821,0.09122222222222222
v37_tau_real_blend_oracle_grid.csv,A0_U3_U2_U1_full,A0,3034,0.3371111111111111
v37_tau_real_blend_oracle_grid.csv,A0_U3_U2_U1_full,u1_tau_l1_s004_g025_a006,4793,0.5325555555555556
v37_tau_real_blend_oracle_grid.csv,A0_U3_U2_U1_full,u2_tau_l3_s004_g015_a006,327,0.036333333333333336
v37_tau_real_blend_oracle_grid.csv,A0_U3_U2_U1_full,u3_tau_l2_s002_g025_a006,846,0.094
v37_tau_real_blend_oracle_grid.csv,A0_U3_U2_U1_full,A0,3092,0.34355555555555556
v37_tau_real_blend_oracle_grid.csv,A0_U3_U2_U1_full,u1_tau_l1_s004_g025_a006,4771,0.5301111111111111
v37_tau_real_blend_oracle_grid.csv,A0_U3_U2_U1_full,u2_tau_l3_s004_g015_a006,318,0.035333333333333335
v37_tau_real_blend_oracle_grid.csv,A0_U3_U2_U1_full,u3_tau_l2_s002_g025_a006,819,0.091
v37_tau_real_blend_oracle_grid.csv,A0_U3_U2_U1_shrink,A0,3173,0.35255555555555557
v37_tau_real_blend_oracle_grid.csv,A0_U3_U2_U1_shrink,u1_tau_l1_s004_g025_a006,4648,0.5164444444444445
v37_tau_real_blend_oracle_grid.csv,A0_U3_U2_U1_shrink,u2_tau_l3_s004_g015_a006,337,0.03744444444444445
v37_tau_real_blend_oracle_grid.csv,A0_U3_U2_U1_shrink,u3_tau_l2_s002_g025_a006,842,0.09355555555555556
v37_tau_real_blend_oracle_grid.csv,A0_U3_U2_U1_micro_shrink,A0,2921,0.32455555555555554
v37_tau_real_blend_oracle_grid.csv,A0_U3_U2_U1_micro_shrink,u1_tau_l1_s004_g025_a006,4805,0.5338888888888889
v37_tau_real_blend_oracle_grid.csv,A0_U3_U2_U1_micro_shrink,u2_tau_l3_s004_g015_a006,364,0.04044444444444444
v37_tau_real_blend_oracle_grid.csv,A0_U3_U2_U1_micro_shrink,u3_tau_l2_s002_g025_a006,910,0.10111111111111111
v37_tau_real_blend_oracle_grid.csv,forced_U3_U2_U1_shrink_no_A0,u1_tau_l1_s004_g025_a006,5768,0.6408888888888888
v37_tau_real_blend_oracle_grid.csv,forced_U3_U2_U1_shrink_no_A0,u2_tau_l3_s004_g015_a006,433,0.04811111111111111
v37_tau_real_blend_oracle_grid.csv,forced_U3_U2_U1_shrink_no_A0,u3_tau_l2_s002_g025_a006,2799,0.311
v37_tau_real_blend_oracle_grid.csv,forced_U3_U2_U1_shrink_no_A0,u1_tau_l1_s004_g025_a006,5708,0.6342222222222222
v37_tau_real_blend_oracle_grid.csv,forced_U3_U2_U1_shrink_no_A0,u2_tau_l3_s004_g015_a006,464,0.051555555555555556
v37_tau_real_blend_oracle_grid.csv,forced_U3_U2_U1_shrink_no_A0,u3_tau_l2_s002_g025_a006,2828,0.31422222222222224
v37_tau_real_blend_oracle_grid.csv,forced_U3_U2_U1_shrink_no_A0,u1_tau_l1_s004_g025_a006,5702,0.6335555555555555
v37_tau_real_blend_oracle_grid.csv,forced_U3_U2_U1_shrink_no_A0,u2_tau_l3_s004_g015_a006,463,0.051444444444444445
v37_tau_real_blend_oracle_grid.csv,forced_U3_U2_U1_shrink_no_A0,u3_tau_l2_s002_g025_a006,2835,0.315
v37_tau_real_blend_oracle_grid.csv,forced_U3_U2_U1_shrink_no_A0,u1_tau_l1_s004_g025_a006,5667,0.6296666666666667
v37_tau_real_blend_oracle_grid.csv,forced_U3_U2_U1_shrink_no_A0,u2_tau_l3_s004_g015_a006,499,0.05544444444444444
v37_tau_real_blend_oracle_grid.csv,forced_U3_U2_U1_shrink_no_A0,u3_tau_l2_s002_g025_a006,2834,0.3148888888888889
v37_tau_real_blend_oracle_grid.csv,A0_U2_shrink,A0,3028,0.33644444444444443
v37_tau_real_blend_oracle_grid.csv,A0_U2_shrink,u2_tau_l3_s004_g015_a006,5972,0.6635555555555556
v37_tau_real_blend_oracle_grid.csv,A0_U2_shrink,A0,3092,0.34355555555555556
v37_tau_real_blend_oracle_grid.csv,A0_U2_shrink,u2_tau_l3_s004_g015_a006,5908,0.6564444444444445
v37_tau_real_blend_oracle_grid.csv,A0_U2_shrink,A0,3030,0.33666666666666667
v37_tau_real_blend_oracle_grid.csv,A0_U2_shrink,u2_tau_l3_s004_g015_a006,5970,0.6633333333333333
v37_tau_real_blend_oracle_grid.csv,A0_U2_full,A0,3300,0.36666666666666664
v37_tau_real_blend_oracle_grid.csv,A0_U2_full,u2_tau_l3_s004_g015_a006,5700,0.6333333333333333
v37_tau_real_blend_oracle_grid.csv,A0_U2_full,A0,3317,0.3685555555555556
v37_tau_real_blend_oracle_grid.csv,A0_U2_full,u2_tau_l3_s004_g015_a006,5683,0.6314444444444445
v37_tau_real_blend_oracle_grid.csv,A0_U3_U2_U1_full,A0,3647,0.4052222222222222
v37_tau_real_blend_oracle_grid.csv,A0_U3_U2_U1_full,u1_tau_l1_s004_g025_a006,4365,0.485
v37_tau_real_blend_oracle_grid.csv,A0_U3_U2_U1_full,u2_tau_l3_s004_g015_a006,295,0.03277777777777778
v37_tau_real_blend_oracle_grid.csv,A0_U3_U2_U1_full,u3_tau_l2_s002_g025_a006,693,0.077
v37_tau_real_blend_oracle_grid.csv,A0_U2_full,A0,3381,0.37566666666666665
v37_tau_real_blend_oracle_grid.csv,A0_U2_full,u2_tau_l3_s004_g015_a006,5619,0.6243333333333333
v37_tau_real_blend_oracle_grid.csv,A0_U2_shrink,A0,3455,0.3838888888888889
v37_tau_real_blend_oracle_grid.csv,A0_U2_shrink,u2_tau_l3_s004_g015_a006,5545,0.6161111111111112
v37_tau_real_blend_oracle_grid.csv,A0_U2_full,A0,3978,0.442
v37_tau_real_blend_oracle_grid.csv,A0_U2_full,u2_tau_l3_s004_g015_a006,5022,0.558
