source,feature,bucket,count,mean_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,dSSIM,positive_ratio,worst_count_le_-0.20,worst_per_600,strong_count_le_-0.05,strong_per_600
D9_locked,action,U2_TAU_balanced@1,155,0.1159517349735383,0.06666856063039679,0.004343434383994655,0.00018800150963567918,0.5870967741935483,2,7.741935483870968,13,50.322580645161295
D9_locked,action,U3_TAU_tail_safe@0.1,1202,-0.0017495877334163113,-0.0012276585896809895,-0.0026631927490234374,-2.7169205384722565e-07,0.47420965058236275,0,0.0,3,1.497504159733777
D9_locked,action,U3_TAU_tail_safe@0.25,45,-0.002304755316840278,-0.003499811345880682,0.0037567832253196025,1.0822878943549262e-05,0.4666666666666667,0,0.0,2,26.666666666666668
D9_locked,action,U3_TAU_tail_safe@0.5,37,-0.01060228090028505,-0.0040081871880425345,-0.029814402262369793,2.497273522454339e-05,0.43243243243243246,1,16.216216216216218,3,48.64864864864865
D9_locked,action,U3_TAU_tail_safe@0.75,40,-0.017029333114624023,-0.013958358764648437,-0.07191619873046876,3.6753714084625244e-05,0.45,1,15.0,4,60.0
D9_locked,action,U3_TAU_tail_safe@1,210,0.06022326151529948,0.10510947154118465,0.08289117079514724,0.00019367053395225888,0.5380952380952381,1,2.857142857142857,15,42.857142857142854
D9_locked,dpsnr_severity,gain_0.05_to_0.20,715,0.11289729138354321,0.10647307620959336,0.11945229433895496,8.631027661837064e-05,1.0,0,0.0,0,0.0
D9_locked,dpsnr_severity,large_gain_ge_0.20,322,0.4176551984704059,0.7308087348937988,0.3207239151000977,0.0004147653994352921,1.0,0,0.0,0,0.0
D9_locked,dpsnr_severity,mild_loss,1136,-0.012985306726375096,-0.009213534879012846,-0.016865663125481403,-3.898752407288887e-06,0.0,0,0.0,0,0.0
D9_locked,dpsnr_severity,severe_loss_le_-0.20,238,-0.3172437363312024,-0.2839526160288665,-0.35605330386404266,-7.790352116111947e-05,0.0,238,600.0,60,151.26050420168067
D9_locked,dpsnr_severity,small_gain_0_to_0.05,1091,0.012723641260078912,0.01046151974621941,0.01577009874231675,1.4815933654113826e-05,0.999083409715857,0,0.0,0,0.0
D9_locked,dpsnr_severity,strong_loss_le_-0.05,498,-0.11053927930962129,-0.09996065016715758,-0.1251974105834961,-2.9021716979612788e-05,0.0,0,0.0,126,151.80722891566265
D9_locked,A0_PSNR,q1_low,1000,0.021358879089355468,0.010348289489746094,-0.004506576538085938,7.968389987945557e-05,0.526,21,12.600000000000001,36,21.599999999999998
D9_locked,A0_PSNR,q2,1000,0.04688295555114746,0.022358688354492187,0.0200274658203125,5.497878789901733e-05,0.568,24,14.4,32,19.2
D9_locked,A0_PSNR,q3,1000,0.012607818603515624,0.01710821533203125,0.010023452758789063,1.743990182876587e-05,0.509,70,42.00000000000001,74,44.4
D9_locked,A0_PSNR,q4_high,1000,0.002934497833251953,0.02226612854003906,0.014287673950195312,2.1905064582824705e-05,0.524,123,73.8,48,28.8
D9_locked,input_brightness_mean,q1_low,1000,0.005940670013427734,0.012236770629882812,0.030452316284179687,1.773059368133545e-05,0.494,78,46.8,35,21.000000000000004
D9_locked,input_brightness_mean,q2,1000,0.037854145050048825,0.03837043762207031,-0.01671881103515625,9.973502159118653e-05,0.494,110,66.0,80,48.0
D9_locked,input_brightness_mean,q3,1000,0.019798892974853516,0.03259508514404297,0.01867259216308594,3.669947385787964e-05,0.579,42,25.200000000000003,58,34.800000000000004
D9_locked,input_brightness_mean,q4_high,1000,0.02019044303894043,0.00968719482421875,0.03353897094726563,1.9842565059661866e-05,0.56,8,4.8,38,22.8
D9_locked,input_texture_mean,q1_low,1000,0.012160770416259766,0.010387039184570313,0.0008075103759765625,2.098184823989868e-05,0.512,44,26.4,45,27.0
D9_locked,input_texture_mean,q2,1000,0.04567973518371582,0.013140594482421875,0.024655014038085937,4.711925983428955e-05,0.528,55,33.0,50,30.0
D9_locked,input_texture_mean,q3,1000,-0.0024803333282470705,0.012973426818847656,-0.04260162353515625,2.783489227294922e-05,0.507,94,56.4,91,54.6
D9_locked,input_texture_mean,q4_high,1000,0.028423978805541993,0.05673003387451172,0.03480723571777344,7.807165384292603e-05,0.58,45,27.0,52,31.2
D9_locked,depth_mean,q1_low,1000,0.006312517166137696,0.01714971160888672,-0.0017346649169921876,1.691615581512451e-05,0.499,39,23.4,49,29.400000000000002
D9_locked,depth_mean,q2,1000,-0.0029353084564208982,-0.0026173782348632812,-0.019654708862304686,1.650404930114746e-05,0.534,62,37.2,80,48.0
D9_locked,depth_mean,q3,1000,0.014928495407104492,0.04454360198974609,-0.029315353393554688,3.15558910369873e-05,0.555,74,44.4,66,39.6
D9_locked,depth_mean,q4_high,1000,0.06547844696044922,0.18509432983398438,0.0159716796875,0.0001090315580368042,0.539,63,37.8,55,33.0
D9_locked,airlight_fallback_mean,q1_low,1048,-0.007872423142877245,-0.0028136522715328303,-0.027383789761375836,-8.096107999787075e-07,0.45896946564885494,45,25.763358778625957,69,39.50381679389313
