policy_id,count,selected_count,coverage,mean_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,dSSIM,positive_ratio,nonnegative_ratio,severe_loss_count,severe_loss_per_600,strong_loss_count,strong_loss_per_600,selected_precision,selected_nonnegative_ratio,selected_severe_count,strict_gate_pass,abstention_gate_pass,score
all_fulludp,600,600,1.0,0.06200496355692545,0.6855227915445964,-0.6864959208170572,-0.0003103939692179362,0.53,0.53,252,252.0,268,268.0,0.53,0.53,252,False,False,-0.24411433855692544
A0_PSNR_ge_40.9714,600,120,0.2,-0.18754642486572265,0.0,-0.7501856994628906,-8.327186107635498e-05,0.06833333333333333,0.8683333333333333,71,71.0,77,77.0,0.3416666666666667,0.3416666666666667,71,False,False,-0.3124630915323893
A0_PSNR_ge_40.0092,600,150,0.25,-0.1716239802042643,0.0,-0.6864959208170572,-9.856820106506348e-05,0.09333333333333334,0.8433333333333334,83,83.0,90,90.0,0.37333333333333335,0.37333333333333335,83,False,False,-0.31895731353759765
A0_PSNR_ge_29.9942,600,570,0.95,0.0164427121480306,0.503273785909017,-0.6864959208170572,-0.00036071211099624633,0.49,0.54,246,245.99999999999997,262,262.0,0.5157894736842106,0.5157894736842106,246,False,False,-0.3239493676905046
A0_PSNR_ge_31.298,600,540,0.9,-0.012754246393839519,0.38648595174153644,-0.6864959208170572,-0.0003456232945124308,0.46,0.56,237,237.0,252,252.0,0.5111111111111111,0.5111111111111111,237,False,False,-0.36457720290289986
A0_PSNR_ge_38.2286,600,180,0.3,-0.21017235438028972,0.0,-0.6864959208170572,-0.00011848886807759603,0.11333333333333333,0.8133333333333334,101,101.0,108,108.0,0.37777777777777777,0.37777777777777777,101,False,False,-0.3932834654914008
A0_PSNR_ge_37.0702,600,240,0.4,-0.1806199582417806,0.0,-0.6864959208170572,-0.00016739527384440105,0.16666666666666666,0.7666666666666667,127,127.0,136,136.0,0.4166666666666667,0.4166666666666667,127,False,False,-0.41378662490844725
A0_PSNR_ge_32.3457,600,510,0.85,-0.047510140736897785,0.24746237436930338,-0.6864959208170572,-0.0003143040339152018,0.43,0.58,227,227.0,241,241.0,0.5058823529411764,0.5058823529411764,227,False,False,-0.4143504294975131
A0_PSNR_ge_37.5046,600,198,0.33,-0.21546356201171876,0.0,-0.6864959208170572,-0.00012872546911239625,0.12666666666666668,0.7966666666666666,111,111.0,118,118.0,0.3838383838383838,0.3838383838383838,111,False,False,-0.41827164281979956
A0_PSNR_ge_37.4262,600,210,0.35,-0.2105174954732259,0.0,-0.6864959208170572,-0.0001631009578704834,0.13666666666666666,0.7866666666666666,116,116.0,124,124.0,0.3904761904761905,0.3904761904761905,116,False,False,-0.4229936859494164
A0_PSNR_ge_36.6662,600,270,0.45,-0.17738478342692057,0.0,-0.6864959208170572,-0.00018808941046396892,0.19166666666666668,0.7416666666666667,140,140.0,150,150.0,0.42592592592592593,0.42592592592592593,140,False,False,-0.4360884871306243
A0_PSNR_ge_33.1278,600,480,0.8,-0.08580602327982585,0.09427884419759115,-0.6864959208170572,-0.00029364357391993204,0.39666666666666667,0.5966666666666667,217,217.00000000000003,231,231.0,0.49583333333333335,0.49583333333333335,217,False,False,-0.4714446455637614
A0_PSNR_ge_36.3094,600,300,0.5,-0.19733302116394044,0.0,-0.6864959208170572,-0.00024346758921941122,0.215,0.715,155,155.00000000000003,165,165.0,0.43,0.43,155,False,False,-0.4858330211639405
A0_PSNR_ge_33.7228,600,450,0.75,-0.10937573432922364,0.0,-0.6864959208170572,-0.0002597751220067342,0.365,0.615,206,206.0,220,219.99999999999997,0.4866666666666667,0.4866666666666667,206,False,False,-0.49704240099589037
A0_PSNR_ge_35.4266,600,360,0.6,-0.17128760973612467,0.0,-0.6864959208170572,-0.00024884899457295733,0.27,0.67,176,176.0,190,190.0,0.45,0.45,176,False,False,-0.5007876097361247
A0_PSNR_ge_35.0147,600,390,0.65,-0.15267774899800618,0.0,-0.6864959208170572,-0.00025800506273905436,0.3016666666666667,0.6516666666666666,186,186.0,200,200.0,0.4641025641025641,0.4641025641025641,186,False,False,-0.5014726207928779
A0_PSNR_ge_35.819,600,330,0.55,-0.19208654085795085,0.0,-0.6864959208170572,-0.000247382124265035,0.24,0.69,168,168.00000000000003,179,179.0,0.43636363636363634,0.43636363636363634,168,False,False,-0.5062683590397691
A0_PSNR_ge_34.8134,600,402,0.67,-0.1536164633433024,0.0,-0.6864959208170572,-0.00026343454917271934,0.31166666666666665,0.6416666666666667,191,191.0,205,205.0,0.4651741293532338,0.4651741293532338,191,False,False,-0.5123577568756408
A0_PSNR_ge_34.4278,600,420,0.7,-0.14140307426452636,0.0,-0.6864959208170572,-0.000268588662147522,0.33,0.63,198,198.0,212,212.0,0.4714285714285714,0.4714285714285714,198,False,False,-0.5138316456930978
