mode,split,fold,index,name,mapper,K,candidate_scale,family,anchor_psnr,output_psnr,oracle_psnr,output_gain,oracle_gain,corr,P_benefit,proxy_score,M_safe_mean,M_safe_nonzero_frac,pred_abs_mean,scaled_pred_abs_mean,target_abs_mean
v04d,train,0,20,1019_0.82_1.87.png,global_plus_spatial_kernel_knn_3,4,1.0,global_plus_spatial_kernel_knn,32.75100326538086,32.97824478149414,33.51121520996094,0.22724151611328125,0.7602119445800781,0.6513310670852661,1.0,0.9994409680366516,0.11795419454574585,1.0,0.005507072899490595,0.005507072899490595,0.013985722325742245
v04d,train,0,20,1019_0.82_1.87.png,spatial_priors_ridge_0.1,4,1.0,spatial_priors_ridge,32.75100326538086,33.05754470825195,33.51121520996094,0.30654144287109375,0.7602119445800781,0.6640274524688721,1.0,0.9994409680366516,0.11795419454574585,1.0,0.007724651135504246,0.007724651135504246,0.013985722325742245
v04d,train,0,20,1019_0.82_1.87.png,global_mean_coeff,4,1.0,global_mean,32.75100326538086,32.81298065185547,33.51121520996094,0.061977386474609375,0.7602119445800781,0.26047804951667786,1.0,0.9994409680366516,0.11795419454574585,1.0,0.0039075701497495174,0.0039075701497495174,0.013985722325742245
v04d,train,0,21,101_0.78_1.87.png,global_plus_spatial_kernel_knn_3,4,1.0,global_plus_spatial_kernel_knn,31.28585433959961,32.28514862060547,33.8664665222168,0.9992942810058594,2.5806121826171875,0.8611133098602295,1.0,0.9999998807907104,0.30912357568740845,1.0,0.009653829038143158,0.009653829038143158,0.019521258771419525
v04d,train,0,21,101_0.78_1.87.png,spatial_priors_ridge_0.1,4,1.0,spatial_priors_ridge,31.28585433959961,33.6454963684082,33.8664665222168,2.3596420288085938,2.5806121826171875,0.9706161618232727,1.0,0.9999998807907104,0.30912357568740845,1.0,0.01881430670619011,0.01881430670619011,0.019521258771419525
v04d,train,0,21,101_0.78_1.87.png,global_mean_coeff,4,1.0,global_mean,31.28585433959961,31.422958374023438,33.8664665222168,0.13710403442382812,2.5806121826171875,0.2984536588191986,1.0,0.9999998807907104,0.30912357568740845,1.0,0.0039075701497495174,0.0039075701497495174,0.019521258771419525
v04d,train,0,22,1020_0.5_0.98.png,global_plus_spatial_kernel_knn_3,4,1.0,global_plus_spatial_kernel_knn,41.35139846801758,41.35139846801758,41.35139846801758,0.0,0.0,,0.0,0.00888428557664156,0.004216552712023258,1.0,0.005079193040728569,0.005079193040728569,0.006674282252788544
v04d,train,0,22,1020_0.5_0.98.png,spatial_priors_ridge_0.1,4,1.0,spatial_priors_ridge,41.35139846801758,41.35139846801758,41.35139846801758,0.0,0.0,,0.0,0.00888428557664156,0.004216552712023258,1.0,0.005159294698387384,0.005159294698387384,0.006674282252788544
v04d,train,0,22,1020_0.5_0.98.png,global_mean_coeff,4,1.0,global_mean,41.35139846801758,41.35139846801758,41.35139846801758,0.0,0.0,,0.0,0.00888428557664156,0.004216552712023258,1.0,0.0039075701497495174,0.0039075701497495174,0.006674282252788544
v04d,train,0,23,1021_0.73_0.84.png,global_plus_spatial_kernel_knn_3,4,1.0,global_plus_spatial_kernel_knn,38.964195251464844,38.964195251464844,38.964195251464844,0.0,0.0,,0.0,0.9809446334838867,0.013993700966238976,1.0,0.005079193040728569,0.005079193040728569,0.0059583596885204315
