action,bin_lower,bin_observed_harm,bin_predicted_risk,bin_upper,cell,fold,risk_method,scene_count,scene_weighted_auc,scene_weighted_brier,scene_weighted_logloss,source,tail_coverage,tail_selected_harm
strengthen,0.05,0.0,0.07981776955137827,0.1,R0_L0,1,deweighted_probability,1,,,,ensemble,,
strengthen,0.1,0.03333333333333333,0.1638271341186636,0.2,R0_L0,1,deweighted_probability,4,,,,ensemble,,
weaken,,,,,R0_L0,1,scene_platt,30,0.8488496155521896,0.07967133788040434,0.2649753653804866,ensemble,0.0,
weaken,0.0,,,0.025,R0_L0,1,scene_platt,0,,,,ensemble,,
weaken,0.025,,,0.05,R0_L0,1,scene_platt,0,,,,ensemble,,
weaken,0.05,,,0.1,R0_L0,1,scene_platt,0,,,,ensemble,,
weaken,0.1,0.0,0.16985892751191006,0.2,R0_L0,1,scene_platt,1,,,,ensemble,,
strengthen,,,,,R0_L0,1,scene_platt,30,0.8384759222482584,0.1030490356272563,0.3353664919387246,ensemble,0.0,
strengthen,0.0,,,0.025,R0_L0,1,scene_platt,0,,,,ensemble,,
strengthen,0.025,,,0.05,R0_L0,1,scene_platt,0,,,,ensemble,,
strengthen,0.05,,,0.1,R0_L0,1,scene_platt,0,,,,ensemble,,
strengthen,0.1,0.0,0.1657162506680887,0.2,R0_L0,1,scene_platt,2,,,,ensemble,,
weaken,,,,,R0_L0,1,scene_isotonic,30,0.8474936168102414,0.0794357994984218,0.26382347085578667,ensemble,0.0005333333333333331,0.0
weaken,0.0,0.0,0.0,0.025,R0_L0,1,scene_isotonic,1,,,,ensemble,,
weaken,0.025,,,0.05,R0_L0,1,scene_isotonic,0,,,,ensemble,,
weaken,0.05,,,0.1,R0_L0,1,scene_isotonic,0,,,,ensemble,,
weaken,0.1,1.0,0.16955017301038064,0.2,R0_L0,1,scene_isotonic,2,,,,ensemble,,
strengthen,,,,,R0_L0,1,scene_isotonic,30,0.8368417168876987,0.10745592338965733,0.35009079865408027,ensemble,0.0,
strengthen,0.0,,,0.025,R0_L0,1,scene_isotonic,0,,,,ensemble,,
strengthen,0.025,,,0.05,R0_L0,1,scene_isotonic,0,,,,ensemble,,
strengthen,0.05,,,0.1,R0_L0,1,scene_isotonic,0,,,,ensemble,,
strengthen,0.1,0.0,0.10714285714285715,0.2,R0_L0,1,scene_isotonic,1,,,,ensemble,,
weaken,,,,,R0_L0,1,parent_upper,30,0.7867832787806166,0.09179928802996676,0.7465681025717036,ensemble,0.0,
weaken,0.0,,,0.025,R0_L0,1,parent_upper,0,,,,ensemble,,
weaken,0.025,,,0.05,R0_L0,1,parent_upper,0,,,,ensemble,,
weaken,0.05,,,0.1,R0_L0,1,parent_upper,0,,,,ensemble,,
weaken,0.1,,,0.2,R0_L0,1,parent_upper,0,,,,ensemble,,
strengthen,,,,,R0_L0,1,parent_upper,30,0.8015641245558783,0.11505381100440773,0.8530894412884723,ensemble,0.0,
strengthen,0.0,,,0.025,R0_L0,1,parent_upper,0,,,,ensemble,,
strengthen,0.025,,,0.05,R0_L0,1,parent_upper,0,,,,ensemble,,
strengthen,0.05,,,0.1,R0_L0,1,parent_upper,0,,,,ensemble,,
strengthen,0.1,,,0.2,R0_L0,1,parent_upper,0,,,,ensemble,,
weaken,,,,,R0_L0,2,weighted_q,30,0.9033217783162729,0.08099909093135421,0.2568778416510488,ensemble,0.0,
weaken,0.0,,,0.025,R0_L0,2,weighted_q,0,,,,ensemble,,
weaken,0.025,,,0.05,R0_L0,2,weighted_q,0,,,,ensemble,,
weaken,0.05,,,0.1,R0_L0,2,weighted_q,0,,,,ensemble,,
weaken,0.1,,,0.2,R0_L0,2,weighted_q,0,,,,ensemble,,
strengthen,,,,,R0_L0,2,weighted_q,30,0.806729928792324,0.14968094432107085,0.4576928936853218,ensemble,0.0,
strengthen,0.0,,,0.025,R0_L0,2,weighted_q,0,,,,ensemble,,
strengthen,0.025,,,0.05,R0_L0,2,weighted_q,0,,,,ensemble,,
strengthen,0.05,,,0.1,R0_L0,2,weighted_q,0,,,,ensemble,,
strengthen,0.1,,,0.2,R0_L0,2,weighted_q,0,,,,ensemble,,
weaken,,,,,R0_L0,2,deweighted_probability,30,0.9033217783162729,0.0719192485273347,0.233704613327085,ensemble,0.0,
weaken,0.0,,,0.025,R0_L0,2,deweighted_probability,0,,,,ensemble,,
weaken,0.025,,,0.05,R0_L0,2,deweighted_probability,0,,,,ensemble,,
weaken,0.05,,,0.1,R0_L0,2,deweighted_probability,0,,,,ensemble,,
weaken,0.1,,,0.2,R0_L0,2,deweighted_probability,0,,,,ensemble,,
strengthen,,,,,R0_L0,2,deweighted_probability,30,0.806729928792324,0.13808235655052872,0.41515863958490457,ensemble,0.0,
strengthen,0.0,,,0.025,R0_L0,2,deweighted_probability,0,,,,ensemble,,
strengthen,0.025,,,0.05,R0_L0,2,deweighted_probability,0,,,,ensemble,,
strengthen,0.05,,,0.1,R0_L0,2,deweighted_probability,0,,,,ensemble,,
strengthen,0.1,0.5555555555555556,0.19113874694782845,0.2,R0_L0,2,deweighted_probability,3,,,,ensemble,,
weaken,,,,,R0_L0,2,scene_platt,30,0.9033217783162729,0.07147336721833822,0.23125785940930124,ensemble,0.0,
weaken,0.0,,,0.025,R0_L0,2,scene_platt,0,,,,ensemble,,
weaken,0.025,,,0.05,R0_L0,2,scene_platt,0,,,,ensemble,,
weaken,0.05,,,0.1,R0_L0,2,scene_platt,0,,,,ensemble,,
weaken,0.1,,,0.2,R0_L0,2,scene_platt,0,,,,ensemble,,
strengthen,,,,,R0_L0,2,scene_platt,30,0.806729928792324,0.13686091733485545,0.41222153345296025,ensemble,0.0,
strengthen,0.0,,,0.025,R0_L0,2,scene_platt,0,,,,ensemble,,
strengthen,0.025,,,0.05,R0_L0,2,scene_platt,0,,,,ensemble,,
strengthen,0.05,,,0.1,R0_L0,2,scene_platt,0,,,,ensemble,,
strengthen,0.1,1.0,0.19900474949375685,0.2,R0_L0,2,scene_platt,1,,,,ensemble,,
weaken,,,,,R0_L0,2,scene_isotonic,30,0.9025779464834194,0.07153086892645828,0.23280875012046995,ensemble,0.0,
weaken,0.0,,,0.025,R0_L0,2,scene_isotonic,0,,,,ensemble,,
weaken,0.025,,,0.05,R0_L0,2,scene_isotonic,0,,,,ensemble,,
weaken,0.05,,,0.1,R0_L0,2,scene_isotonic,0,,,,ensemble,,
weaken,0.1,0.0,0.17921146953405015,0.2,R0_L0,2,scene_isotonic,1,,,,ensemble,,
strengthen,,,,,R0_L0,2,scene_isotonic,30,0.8063779135350911,0.13610469461615973,0.4076588336301335,ensemble,0.0,
strengthen,0.0,,,0.025,R0_L0,2,scene_isotonic,0,,,,ensemble,,
strengthen,0.025,,,0.05,R0_L0,2,scene_isotonic,0,,,,ensemble,,
strengthen,0.05,,,0.1,R0_L0,2,scene_isotonic,0,,,,ensemble,,
strengthen,0.1,1.0,0.1315789473684211,0.2,R0_L0,2,scene_isotonic,1,,,,ensemble,,
weaken,,,,,R0_L0,2,parent_upper,30,0.883902439429931,0.08794642901165621,0.4353903607730544,ensemble,0.0,
weaken,0.0,,,0.025,R0_L0,2,parent_upper,0,,,,ensemble,,
weaken,0.025,,,0.05,R0_L0,2,parent_upper,0,,,,ensemble,,
weaken,0.05,,,0.1,R0_L0,2,parent_upper,0,,,,ensemble,,
weaken,0.1,,,0.2,R0_L0,2,parent_upper,0,,,,ensemble,,
strengthen,,,,,R0_L0,2,parent_upper,30,0.7550496202168513,0.17073442925907434,1.3070935101838126,ensemble,0.0,
strengthen,0.0,,,0.025,R0_L0,2,parent_upper,0,,,,ensemble,,
strengthen,0.025,,,0.05,R0_L0,2,parent_upper,0,,,,ensemble,,
strengthen,0.05,,,0.1,R0_L0,2,parent_upper,0,,,,ensemble,,
strengthen,0.1,,,0.2,R0_L0,2,parent_upper,0,,,,ensemble,,
weaken,,,,,R0_L0,3,weighted_q,30,0.8709354738853357,0.07647066220282811,0.2539833767938991,ensemble,0.0,
weaken,0.0,,,0.025,R0_L0,3,weighted_q,0,,,,ensemble,,
weaken,0.025,,,0.05,R0_L0,3,weighted_q,0,,,,ensemble,,
weaken,0.05,,,0.1,R0_L0,3,weighted_q,0,,,,ensemble,,
weaken,0.1,0.0,0.19839548071225485,0.2,R0_L0,3,weighted_q,1,,,,ensemble,,
strengthen,,,,,R0_L0,3,weighted_q,30,0.8040799120562341,0.14928060619321684,0.4690470647011407,ensemble,0.0,
strengthen,0.0,,,0.025,R0_L0,3,weighted_q,0,,,,ensemble,,
strengthen,0.025,,,0.05,R0_L0,3,weighted_q,0,,,,ensemble,,
strengthen,0.05,,,0.1,R0_L0,3,weighted_q,0,,,,ensemble,,
strengthen,0.1,0.0,0.1818385062118371,0.2,R0_L0,3,weighted_q,2,,,,ensemble,,
weaken,,,,,R0_L0,3,deweighted_probability,30,0.8709354738853357,0.07162007989675295,0.23524898383659107,ensemble,0.0,
weaken,0.0,,,0.025,R0_L0,3,deweighted_probability,0,,,,ensemble,,
weaken,0.025,,,0.05,R0_L0,3,deweighted_probability,0,,,,ensemble,,
weaken,0.05,,,0.1,R0_L0,3,deweighted_probability,0,,,,ensemble,,
weaken,0.1,0.0,0.1542996644628043,0.2,R0_L0,3,deweighted_probability,2,,,,ensemble,,
strengthen,,,,,R0_L0,3,deweighted_probability,30,0.8040799120562341,0.1355525757523167,0.4176039301734235,ensemble,0.0010666666666666663,0.0
strengthen,0.0,,,0.025,R0_L0,3,deweighted_probability,0,,,,ensemble,,
strengthen,0.025,,,0.05,R0_L0,3,deweighted_probability,0,,,,ensemble,,
strengthen,0.05,0.0,0.08818997473945485,0.1,R0_L0,3,deweighted_probability,1,,,,ensemble,,
strengthen,0.1,0.13178294573643412,0.15332160038713907,0.2,R0_L0,3,deweighted_probability,5,,,,ensemble,,
weaken,,,,,R0_L0,3,scene_platt,30,0.8709354738853357,0.07181565774840896,0.2352625592484338,ensemble,0.00021333333333333328,0.0
weaken,0.0,,,0.025,R0_L0,3,scene_platt,0,,,,ensemble,,
weaken,0.025,,,0.05,R0_L0,3,scene_platt,0,,,,ensemble,,
weaken,0.05,0.0,0.08592766850535682,0.1,R0_L0,3,scene_platt,1,,,,ensemble,,
weaken,0.1,0.07142857142857141,0.14226416069276443,0.2,R0_L0,3,scene_platt,2,,,,ensemble,,
strengthen,,,,,R0_L0,3,scene_platt,30,0.8040799120562341,0.13414930480895565,0.4129609725991626,ensemble,0.0,
strengthen,0.0,,,0.025,R0_L0,3,scene_platt,0,,,,ensemble,,
strengthen,0.025,,,0.05,R0_L0,3,scene_platt,0,,,,ensemble,,
strengthen,0.05,,,0.1,R0_L0,3,scene_platt,0,,,,ensemble,,
strengthen,0.1,0.13043478260869565,0.1617650941413372,0.2,R0_L0,3,scene_platt,5,,,,ensemble,,
weaken,,,,,R0_L0,3,scene_isotonic,30,0.8711480740138206,0.07210832617662284,0.23587557817947893,ensemble,0.00021333333333333328,0.0
weaken,0.0,0.0,0.0,0.025,R0_L0,3,scene_isotonic,1,,,,ensemble,,
weaken,0.025,,,0.05,R0_L0,3,scene_isotonic,0,,,,ensemble,,
weaken,0.05,,,0.1,R0_L0,3,scene_isotonic,0,,,,ensemble,,
weaken,0.1,,,0.2,R0_L0,3,scene_isotonic,0,,,,ensemble,,
strengthen,,,,,R0_L0,3,scene_isotonic,30,0.803702155303381,0.13455814920020695,0.4129963081551368,ensemble,0.0025599999999999998,0.0
strengthen,0.0,0.0,0.0,0.025,R0_L0,3,scene_isotonic,2,,,,ensemble,,
strengthen,0.025,,,0.05,R0_L0,3,scene_isotonic,0,,,,ensemble,,
strengthen,0.05,,,0.1,R0_L0,3,scene_isotonic,0,,,,ensemble,,
strengthen,0.1,0.4,0.16666666666666669,0.2,R0_L0,3,scene_isotonic,3,,,,ensemble,,
weaken,,,,,R0_L0,3,parent_upper,30,0.8486500096273348,0.08020751463164849,0.4149078920397288,ensemble,0.0,
weaken,0.0,,,0.025,R0_L0,3,parent_upper,0,,,,ensemble,,
weaken,0.025,,,0.05,R0_L0,3,parent_upper,0,,,,ensemble,,
weaken,0.05,,,0.1,R0_L0,3,parent_upper,0,,,,ensemble,,
weaken,0.1,,,0.2,R0_L0,3,parent_upper,0,,,,ensemble,,
strengthen,,,,,R0_L0,3,parent_upper,30,0.783246693028983,0.16284521957554177,0.9791920771403128,ensemble,0.0,
strengthen,0.0,,,0.025,R0_L0,3,parent_upper,0,,,,ensemble,,
strengthen,0.025,,,0.05,R0_L0,3,parent_upper,0,,,,ensemble,,
strengthen,0.05,,,0.1,R0_L0,3,parent_upper,0,,,,ensemble,,
strengthen,0.1,,,0.2,R0_L0,3,parent_upper,0,,,,ensemble,,
weaken,,,,,R0_L0,4,weighted_q,30,0.8542385013405576,0.06172397213767855,0.2149702162542458,ensemble,0.0,
weaken,0.0,,,0.025,R0_L0,4,weighted_q,0,,,,ensemble,,
weaken,0.025,,,0.05,R0_L0,4,weighted_q,0,,,,ensemble,,
weaken,0.05,,,0.1,R0_L0,4,weighted_q,0,,,,ensemble,,
weaken,0.1,,,0.2,R0_L0,4,weighted_q,0,,,,ensemble,,
strengthen,,,,,R0_L0,4,weighted_q,30,0.7944824624971704,0.1404124256893463,0.43683410675227136,ensemble,0.0,
strengthen,0.0,,,0.025,R0_L0,4,weighted_q,0,,,,ensemble,,
strengthen,0.025,,,0.05,R0_L0,4,weighted_q,0,,,,ensemble,,
strengthen,0.05,,,0.1,R0_L0,4,weighted_q,0,,,,ensemble,,
strengthen,0.1,1.0,0.19195473442475,0.2,R0_L0,4,weighted_q,1,,,,ensemble,,
weaken,,,,,R0_L0,4,deweighted_probability,30,0.8542385013405576,0.06070280674029492,0.2099645706512397,ensemble,0.0,
weaken,0.0,,,0.025,R0_L0,4,deweighted_probability,0,,,,ensemble,,
weaken,0.025,,,0.05,R0_L0,4,deweighted_probability,0,,,,ensemble,,
weaken,0.05,,,0.1,R0_L0,4,deweighted_probability,0,,,,ensemble,,
weaken,0.1,0.7009345794392524,0.17244804801185376,0.2,R0_L0,4,deweighted_probability,3,,,,ensemble,,
strengthen,,,,,R0_L0,4,deweighted_probability,30,0.7944824624971704,0.13221468736783956,0.4067447767352325,ensemble,0.0,
strengthen,0.0,,,0.025,R0_L0,4,deweighted_probability,0,,,,ensemble,,
strengthen,0.025,,,0.05,R0_L0,4,deweighted_probability,0,,,,ensemble,,
strengthen,0.05,,,0.1,R0_L0,4,deweighted_probability,0,,,,ensemble,,
strengthen,0.1,1.0,0.15324748607640284,0.2,R0_L0,4,deweighted_probability,3,,,,ensemble,,
weaken,,,,,R0_L0,4,scene_platt,30,0.8542385013405576,0.061766642265995916,0.2127607903535955,ensemble,0.0,
weaken,0.0,,,0.025,R0_L0,4,scene_platt,0,,,,ensemble,,
weaken,0.025,,,0.05,R0_L0,4,scene_platt,0,,,,ensemble,,
weaken,0.05,,,0.1,R0_L0,4,scene_platt,0,,,,ensemble,,
weaken,0.1,0.6085192697768763,0.14580019790180013,0.2,R0_L0,4,scene_platt,4,,,,ensemble,,
strengthen,,,,,R0_L0,4,scene_platt,30,0.7944824624971704,0.13155811251015997,0.4048853157424894,ensemble,0.0,
strengthen,0.0,,,0.025,R0_L0,4,scene_platt,0,,,,ensemble,,
strengthen,0.025,,,0.05,R0_L0,4,scene_platt,0,,,,ensemble,,
strengthen,0.05,,,0.1,R0_L0,4,scene_platt,0,,,,ensemble,,
strengthen,0.1,1.0,0.16083735518001227,0.2,R0_L0,4,scene_platt,3,,,,ensemble,,
weaken,,,,,R0_L0,4,scene_isotonic,30,0.8527859930680654,0.06207891720774597,0.2171772190093648,ensemble,0.0,
weaken,0.0,,,0.025,R0_L0,4,scene_isotonic,0,,,,ensemble,,
weaken,0.025,,,0.05,R0_L0,4,scene_isotonic,0,,,,ensemble,,
weaken,0.05,,,0.1,R0_L0,4,scene_isotonic,0,,,,ensemble,,
weaken,0.1,0.5524861878453039,0.12976462217456758,0.2,R0_L0,4,scene_isotonic,5,,,,ensemble,,
strengthen,,,,,R0_L0,4,scene_isotonic,30,0.7932962111551428,0.1321149016335684,0.41381881051802405,ensemble,0.0014933333333333326,1.0
strengthen,0.0,1.0,0.0,0.025,R0_L0,4,scene_isotonic,1,,,,ensemble,,
strengthen,0.025,,,0.05,R0_L0,4,scene_isotonic,0,,,,ensemble,,
strengthen,0.05,1.0,0.06666666666666668,0.1,R0_L0,4,scene_isotonic,1,,,,ensemble,,
strengthen,0.1,1.0,0.12915904507293285,0.2,R0_L0,4,scene_isotonic,3,,,,ensemble,,
weaken,,,,,R0_L0,4,parent_upper,30,0.8342823784520609,0.06371215017742138,0.3559117320203616,ensemble,0.0,
weaken,0.0,,,0.025,R0_L0,4,parent_upper,0,,,,ensemble,,
weaken,0.025,,,0.05,R0_L0,4,parent_upper,0,,,,ensemble,,
weaken,0.05,,,0.1,R0_L0,4,parent_upper,0,,,,ensemble,,
weaken,0.1,,,0.2,R0_L0,4,parent_upper,0,,,,ensemble,,
strengthen,,,,,R0_L0,4,parent_upper,30,0.7655628070963101,0.15570808308683032,1.0694889011152722,ensemble,0.0,
strengthen,0.0,,,0.025,R0_L0,4,parent_upper,0,,,,ensemble,,
strengthen,0.025,,,0.05,R0_L0,4,parent_upper,0,,,,ensemble,,
strengthen,0.05,,,0.1,R0_L0,4,parent_upper,0,,,,ensemble,,
strengthen,0.1,,,0.2,R0_L0,4,parent_upper,0,,,,ensemble,,
weaken,,,,,R0_L1,0,weighted_q,30,0.9046978423377363,0.04801455128025342,0.16472319618761846,ensemble,0.0,
weaken,0.0,,,0.025,R0_L1,0,weighted_q,0,,,,ensemble,,
weaken,0.025,,,0.05,R0_L1,0,weighted_q,0,,,,ensemble,,
weaken,0.05,,,0.1,R0_L1,0,weighted_q,0,,,,ensemble,,
weaken,0.1,,,0.2,R0_L1,0,weighted_q,0,,,,ensemble,,
strengthen,,,,,R0_L1,0,weighted_q,30,0.8296856120156804,0.1274247114450839,0.38917571102258225,ensemble,0.002773333333333333,0.23076923076923075
strengthen,0.0,,,0.025,R0_L1,0,weighted_q,0,,,,ensemble,,
strengthen,0.025,,,0.05,R0_L1,0,weighted_q,0,,,,ensemble,,
strengthen,0.05,0.23076923076923075,0.07383936481216014,0.1,R0_L1,0,weighted_q,1,,,,ensemble,,
strengthen,0.1,0.29046898638426627,0.15811541557980796,0.2,R0_L1,0,weighted_q,6,,,,ensemble,,
weaken,,,,,R0_L1,0,deweighted_probability,30,0.9046978423377363,0.045244673927392294,0.15629589096161253,ensemble,0.0,
weaken,0.0,,,0.025,R0_L1,0,deweighted_probability,0,,,,ensemble,,
weaken,0.025,,,0.05,R0_L1,0,deweighted_probability,0,,,,ensemble,,
weaken,0.05,,,0.1,R0_L1,0,deweighted_probability,0,,,,ensemble,,
weaken,0.1,,,0.2,R0_L1,0,deweighted_probability,0,,,,ensemble,,
strengthen,,,,,R0_L1,0,deweighted_probability,30,0.8296856120156804,0.12371666219895067,0.37363332380433784,ensemble,0.011426666666666665,0.280046674445741
strengthen,0.0,,,0.025,R0_L1,0,deweighted_probability,0,,,,ensemble,,
strengthen,0.025,0.23076923076923075,0.03836992623057758,0.05,R0_L1,0,deweighted_probability,1,,,,ensemble,,
strengthen,0.05,0.2958397534668721,0.0793486542220848,0.1,R0_L1,0,deweighted_probability,6,,,,ensemble,,
strengthen,0.1,0.20292504570383915,0.14404457096003728,0.2,R0_L1,0,deweighted_probability,8,,,,ensemble,,
weaken,,,,,R0_L1,0,scene_platt,30,0.9046978423377363,0.04576419494234339,0.15954788254195354,ensemble,0.0,
weaken,0.0,,,0.025,R0_L1,0,scene_platt,0,,,,ensemble,,
weaken,0.025,,,0.05,R0_L1,0,scene_platt,0,,,,ensemble,,
weaken,0.05,,,0.1,R0_L1,0,scene_platt,0,,,,ensemble,,
weaken,0.1,,,0.2,R0_L1,0,scene_platt,0,,,,ensemble,,
strengthen,,,,,R0_L1,0,scene_platt,30,0.8296856120156804,0.12138011035409725,0.3708677104135995,ensemble,0.0017066666666666662,0.25
strengthen,0.0,,,0.025,R0_L1,0,scene_platt,0,,,,ensemble,,
strengthen,0.025,,,0.05,R0_L1,0,scene_platt,0,,,,ensemble,,
strengthen,0.05,0.25,0.09004766192532081,0.1,R0_L1,0,scene_platt,1,,,,ensemble,,
strengthen,0.1,0.2496,0.1632872186149968,0.2,R0_L1,0,scene_platt,6,,,,ensemble,,
weaken,,,,,R0_L1,0,scene_isotonic,30,0.9033557667444082,0.04597847812553856,0.1629281288208119,ensemble,0.00042666666666666656,0.0
weaken,0.0,0.0,0.0,0.025,R0_L1,0,scene_isotonic,1,,,,ensemble,,
weaken,0.025,,,0.05,R0_L1,0,scene_isotonic,0,,,,ensemble,,
weaken,0.05,,,0.1,R0_L1,0,scene_isotonic,0,,,,ensemble,,
weaken,0.1,0.0,0.13203463203463198,0.2,R0_L1,0,scene_isotonic,2,,,,ensemble,,
strengthen,,,,,R0_L1,0,scene_isotonic,30,0.8288641258362585,0.12308400674482736,0.3915306749686352,ensemble,0.003839999999999999,0.33333333333333337
