action_area_estimate,action_area_lower,actionable,active_scene_lower,area_cap,candidate_id,cell,coverage_admissible,gain_estimate,gain_lower,gain_upper,material_scene_lower,risk_margin_upper,risk_method,safety_admissible,selected_harm_estimate,selected_harm_upper,selector,utility_method
0.005866666666666664,0.0,False,0.0386991788775112,0.2,R0_L1__scene_isotonic__parent_lower__setwise__cap_0p2,R0_L1,False,0.023984947028498075,-0.06115908889790832,0.10912898295490446,0.021046506823534136,0.006304942352441909,scene_isotonic,False,0.36727272727272725,1.0,setwise,parent_lower
0.005866666666666664,0.0,False,0.0386991788775112,1.0,R0_L1__scene_isotonic__parent_lower__setwise__cap_1p0,R0_L1,False,0.023984947028498075,-0.06115908889790832,0.10912898295490446,0.021046506823534136,0.006304942352441909,scene_isotonic,False,0.36727272727272725,1.0,setwise,parent_lower
0.0007484444444444442,1.6686520600786136e-05,False,0.0386991788775112,0.01,R0_L2__weighted_q__raw__setwise__cap_0p01,R0_L2,False,0.007767922091831039,-0.0016231599335275407,0.017159004117189618,0.021046506823534136,0.00022858336421004884,weighted_q,False,0.11401425178147269,0.40492780959035557,setwise,raw
0.0016231111111111108,3.7476522606742e-06,False,0.0386991788775112,0.02,R0_L2__weighted_q__raw__setwise__cap_0p02,R0_L2,False,0.01048482233867317,-0.005909620707405038,0.02687926538475138,0.027773885177431012,0.0006860418621341676,weighted_q,False,0.1708652792990142,0.5161094315496091,setwise,raw
0.003116444444444443,0.0,False,0.0386991788775112,0.05,R0_L2__weighted_q__raw__setwise__cap_0p05,R0_L2,False,0.02082129506248398,-0.01124127753583868,0.05288386766080664,0.027773885177431012,0.0013687662420247431,weighted_q,False,0.1642897889332573,0.5331094495436062,setwise,raw
0.004908444444444443,0.0,False,0.0386991788775112,0.1,R0_L2__weighted_q__raw__setwise__cap_0p1,R0_L2,False,0.03329828933627598,-0.026693464165403094,0.09329004283795506,0.031313450610975735,0.002819327958417122,weighted_q,False,0.19123505976095617,0.6534695182546475,setwise,raw
0.007319111111111107,0.0,False,0.0386991788775112,0.2,R0_L2__weighted_q__raw__setwise__cap_0p2,R0_L2,False,0.054057601441876234,-0.057661042652400414,0.1657762455361529,0.027773885177431012,0.003934789866021624,weighted_q,False,0.1952878309448628,0.622092582753099,setwise,raw
0.009089777777777775,0.0,False,0.0386991788775112,1.0,R0_L2__weighted_q__raw__setwise__cap_1p0,R0_L2,False,0.06919270373425684,-0.10160159672965782,0.2399870041981715,0.027773885177431012,0.005761866738114697,weighted_q,False,0.2253080383336593,0.7017645878170331,setwise,raw
0.0,0.0,False,0.0,0.01,R0_L2__weighted_q__parent_lower__setwise__cap_0p01,R0_L2,False,0.0,0.0,0.0,0.0,0.0,weighted_q,False,,,setwise,parent_lower
0.0,0.0,False,0.0,0.02,R0_L2__weighted_q__parent_lower__setwise__cap_0p02,R0_L2,False,0.0,0.0,0.0,0.0,0.0,weighted_q,False,,,setwise,parent_lower
0.0,0.0,False,0.0,0.05,R0_L2__weighted_q__parent_lower__setwise__cap_0p05,R0_L2,False,0.0,0.0,0.0,0.0,0.0,weighted_q,False,,,setwise,parent_lower
0.0,0.0,False,0.0,0.1,R0_L2__weighted_q__parent_lower__setwise__cap_0p1,R0_L2,False,0.0,0.0,0.0,0.0,0.0,weighted_q,False,,,setwise,parent_lower
0.0,0.0,False,0.0,0.2,R0_L2__weighted_q__parent_lower__setwise__cap_0p2,R0_L2,False,0.0,0.0,0.0,0.0,0.0,weighted_q,False,,,setwise,parent_lower
0.0,0.0,False,0.0,1.0,R0_L2__weighted_q__parent_lower__setwise__cap_1p0,R0_L2,False,0.0,0.0,0.0,0.0,0.0,weighted_q,False,,,setwise,parent_lower
0.0003413333333333332,0.0,False,0.014868399248063074,0.01,R0_L2__scene_platt__raw__setwise__cap_0p01,R0_L2,False,0.0033785669551836,-0.002455579509343454,0.009212713419710654,0.006942967260933977,0.00016571523206548693,scene_platt,False,0.12500000000000003,0.585724533392379,setwise,raw
0.0008106666666666663,0.0,False,0.014868399248063074,0.02,R0_L2__scene_platt__raw__setwise__cap_0p02,R0_L2,False,0.004761559512209578,-0.00567276008810541,0.015195879112524565,0.006942967260933977,0.0005837238336856087,scene_platt,False,0.2368421052631579,0.7772785060601655,setwise,raw
