fold,min_coverage,count,selected_count,coverage,global_mean_delta,global_hard_bottom25_delta,global_easy_top25_delta,global_mean_ssim_delta,global_positive_ratio_delta_gt_0,global_positive_or_zero_ratio_delta_ge_0,global_non_degradation_ratio_delta_ge_-0.01,selected_mean_delta,selected_hard_bottom25_delta,selected_easy_top25_delta,selected_mean_ssim_delta,selected_conditional_positive_ratio,selected_conditional_non_degradation_ratio_delta_ge_-0.01,strong_reference_cut_psnr,strong_regression_count_delta_le_-0.05,worst_regression_count_delta_le_-0.20,true_vs_zero_all_images,true_vs_shuffle_all_images,true_vs_normal_all_images,true_vs_zero_selected_images,true_vs_shuffle_selected_images,true_vs_normal_selected_images
2,0.15,120,64,0.5333333333333333,0.00945587158203125,-0.05556081136067708,0.0355749766031901,-9.43988561630249e-06,0.325,0.7916666666666666,0.7916666666666666,0.017729759216308594,-0.07576474276455966,0.10672492980957031,-1.769978553056717e-05,0.609375,0.609375,42.82459259033203,3,13,0.02982335090637207,0.02723078727722168,0.0286712646484375,0.05591878294944763,0.05105772614479065,0.05375862121582031
2,0.25,120,64,0.5333333333333333,0.00945587158203125,-0.05556081136067708,0.0355749766031901,-9.43988561630249e-06,0.325,0.7916666666666666,0.7916666666666666,0.017729759216308594,-0.07576474276455966,0.10672492980957031,-1.769978553056717e-05,0.609375,0.609375,42.82459259033203,3,13,0.02982335090637207,0.02723078727722168,0.0286712646484375,0.05591878294944763,0.05105772614479065,0.05375862121582031
2,0.4,120,64,0.5333333333333333,0.00945587158203125,-0.05556081136067708,0.0355749766031901,-9.43988561630249e-06,0.325,0.7916666666666666,0.7916666666666666,0.017729759216308594,-0.07576474276455966,0.10672492980957031,-1.769978553056717e-05,0.609375,0.609375,42.82459259033203,3,13,0.02982335090637207,0.02723078727722168,0.0286712646484375,0.05591878294944763,0.05105772614479065,0.05375862121582031
2,0.55,120,72,0.6,0.00803079605102539,-0.05577799479166667,0.038421630859375,-5.424022674560547e-06,0.375,0.775,0.775,0.013384660085042318,-0.07606090198863637,0.07684326171875,-9.040037790934244e-06,0.625,0.625,42.82459259033203,4,13,0.03155506451924642,0.02911861737569173,0.030911636352539063,0.05259177419874403,0.04853102895948622,0.05151939392089844
2,0.7,120,86,0.7166666666666667,0.002954276402791341,-0.05440311431884766,0.011089579264322916,-2.5738279024759928e-05,0.4166666666666667,0.7,0.7166666666666667,0.004122246143429778,-0.07418606498024681,0.014464668605638586,-3.591387770896734e-05,0.5813953488372093,0.6046511627906976,42.82459259033203,7,16,0.027763875325520833,0.02434509595235189,0.026686843236287436,0.03874029115188953,0.0339699013288631,0.03723745567854061
3,0.15,120,27,0.225,0.009325615564982096,0.013833936055501301,0.009732691446940105,2.6846925417582193e-06,0.13333333333333333,0.9083333333333333,0.925,0.04144718028880932,0.06916968027750652,0.03244230482313368,1.1931966852258753e-05,0.5925925925925926,0.6666666666666666,42.85515022277832,1,1,0.009018675486246745,0.007953453063964843,0.007914034525553386,0.04008300216109664,0.0353486802842882,0.03517348678023727
3,0.25,120,27,0.225,0.009325615564982096,0.013833936055501301,0.009732691446940105,2.6846925417582193e-06,0.13333333333333333,0.9083333333333333,0.925,0.04144718028880932,0.06916968027750652,0.03244230482313368,1.1931966852258753e-05,0.5925925925925926,0.6666666666666666,42.85515022277832,1,1,0.009018675486246745,0.007953453063964843,0.007914034525553386,0.04008300216109664,0.0353486802842882,0.03517348678023727
3,0.4,120,65,0.5416666666666666,0.016063658396402995,0.011624526977539063,0.0148529052734375,-5.954007307688395e-06,0.35833333333333334,0.8166666666666667,0.8416666666666667,0.029655984731820913,0.043591976165771484,0.019373354704483696,-1.0992013491117038e-05,0.6615384615384615,0.7076923076923077,42.85515022277832,6,4,0.015481344858805339,0.013820425669352213,0.013885752360026041,0.028580944354717547,0.025514632004957932,0.025635235126201923
3,0.55,120,77,0.6416666666666667,0.011264832814534505,0.014245986938476562,0.013292566935221354,-1.7216304937998452e-05,0.4,0.7583333333333333,0.7833333333333333,0.01755558360706676,0.030527114868164062,0.015337577232947716,-2.683060509817941e-05,0.6233766233766234,0.6623376623376623,42.85515022277832,7,6,0.014422607421875,0.01312101682027181,0.013052034378051757,0.022476790787337664,0.0204483379017223,0.02034083279696378
3,0.7,120,87,0.725,0.005171553293863932,0.012114588419596355,-0.011823654174804688,-3.2782057921091716e-05,0.44166666666666665,0.7166666666666667,0.7333333333333333,0.0071331769570537,0.013978371253380409,-0.02216935157775879,-4.521663161529892e-05,0.6091954022988506,0.632183908045977,42.85515022277832,5,6,0.01572388013203939,0.01488180160522461,0.015453084309895834,0.02168811052695088,0.020526622903758084,0.021314599048132182
