run_id,candidate,airlight_mode,depth_mode,granularity,target_coverage,actual_coverage,count,mean_psnr_delta,median_psnr_delta,p5_psnr_delta,p95_psnr_delta,hard_bottom25_psnr_delta,easy_top25_psnr_delta,worst10pct_mean_psnr_delta,best10pct_mean_psnr_delta,worst10img_mean_psnr_delta,best10img_mean_psnr_delta,mean_ssim_delta,positive_ratio,non_degradation_ratio_delta_ge_-0.01,strong_reference_cut_psnr,strong_reference_count,strong_regression_count_delta_le_-0.05,worst_regression_count_delta_le_-0.20,true_vs_zero_surplus,true_vs_shuffle_surplus,true_vs_normal_surplus
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,fallback,zero,patch,25.0,0.2452129621307055,600,0.11061680943775669,0.0919231800507525,0.016005412914035944,0.26397937850705255,0.07630816710408257,0.12879501533625265,0.014871561970751538,0.29175798327171276,0.004011203451934975,0.44743725449971167,3.463814655939738e-05,0.9983333333333333,1.0,42.755946791850995,150,0,0,,,
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,fallback,zero,patch,40.0,0.3747840329011281,600,0.12506236539050922,0.10122975637483833,0.016719459341697628,0.31247312827099544,0.0881562728828052,0.14296272424890258,0.015332554243463055,0.34041888755724276,0.003976460940176807,0.507768214797298,4.272003968556722e-05,0.9983333333333333,1.0,42.755946791850995,150,0,0,,,
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,fallback,zero,patch,60.0,0.4726568934818109,600,0.13099412763383136,0.10295848946226727,0.016857566925051515,0.3236320809378287,0.09337113661045848,0.14807225684708275,0.01537488379353332,0.3661771690342366,0.003976460940176807,0.540825755111036,4.790415366490682e-05,0.9983333333333333,1.0,42.755946791850995,150,0,0,,,
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,fallback,zero,patch,80.0,0.49657715563972793,600,0.13216283855842548,0.10310584702195769,0.016857566925051515,0.3267616540014042,0.09440371848313793,0.1485245619364576,0.01537488379353332,0.3731798246578634,0.003976460940176807,0.554794487921803,4.9158136049906413e-05,0.9983333333333333,1.0,42.755946791850995,150,0,0,,,
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,fallback,zero,patch,100.0,0.4985243846476078,600,0.13225827066579493,0.10310584702195769,0.016857566925051515,0.3267662728710895,0.09444899332511547,0.1485245619364576,0.01537488379353332,0.3739142151846259,0.003976460940176807,0.5572169891195365,4.9214661121368405e-05,0.9983333333333333,1.0,42.755946791850995,150,0,0,,,
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,fallback,zero,pixel,25.0,0.2478113143114994,600,0.13748518048315783,0.12007468302745039,0.027209569647284937,0.3078447742678669,0.08821451940981827,0.16628079431292994,0.026303874018725595,0.3308040357114905,0.010258280568359267,0.48278755122038886,9.278227885564168e-05,1.0,1.0,42.755946791850995,150,0,0,,,
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,fallback,zero,pixel,40.0,0.3812021204301467,600,0.15240588218231135,0.13251362153629387,0.02799883355242585,0.3497846720015098,0.10047213876957128,0.1814456688117645,0.027262184235830784,0.3772696673260087,0.010657853561636798,0.5440429238797598,0.00010493725538253785,1.0,1.0,42.755946791850995,150,0,0,,,
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,fallback,zero,pixel,60.0,0.475230391320462,600,0.15771298702922615,0.13386781192836494,0.02799883355242585,0.3694148253224323,0.10556623008763535,0.1855983751438738,0.02730292835834464,0.40155404036414694,0.010704947564338952,0.5764660124426456,0.0001086209217707316,1.0,1.0,42.755946791850995,150,0,0,,,
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,fallback,zero,pixel,80.0,0.49262695838697257,600,0.15839822062835895,0.13386781192836494,0.02799883355242585,0.3694186502199272,0.1063100381679548,0.18568469516006134,0.02730292835834464,0.40580587789892797,0.010704947564338952,0.5871693985276458,0.0001086851954460144,1.0,1.0,42.755946791850995,150,0,0,,,
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,fallback,zero,pixel,100.0,0.493577884035185,600,0.15841161219524463,0.13386781192836494,0.02799883355242585,0.3694186502199272,0.10632574061979161,0.18568469516006134,0.02730292835834464,0.4058865606181391,0.010704947564338952,0.5871942184661656,0.00010864973068237304,1.0,1.0,42.755946791850995,150,0,0,,,
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,fallback,shuffle,patch,25.0,0.24493403501808644,600,0.1143891312266738,0.09697305999026185,0.016801386848594824,0.27162003146325675,0.07777671695448897,0.13487832996757423,0.015573071389066466,0.29837593458336453,0.0036372324469990504,0.4553084892088215,3.563920656840006e-05,0.9983333333333333,1.0,42.755946791850995,150,0,0,,,
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,fallback,shuffle,patch,40.0,0.37492623830835026,600,0.1298271655735765,0.10458347834634552,0.01747864930857901,0.31917395001642884,0.08993676425110637,0.15060314512327522,0.01602932369449424,0.3488698141106515,0.0036425689260898507,0.5160157766111617,4.452645778656006e-05,0.9983333333333333,1.0,42.755946791850995,150,0,0,,,
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,fallback,shuffle,patch,60.0,0.4761127164463202,600,0.13630752910945276,0.10799938853976343,0.01747864930857901,0.33509950331335037,0.09532529465207532,0.15661030279401772,0.016086173792447707,0.376574107448566,0.0036425689260898507,0.5544361352599892,5.0259133179982506e-05,0.9983333333333333,1.0,42.755946791850995,150,0,0,,,
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,fallback,shuffle,patch,80.0,0.5017758819957574,600,0.13761581203384218,0.10867375299411819,0.01747864930857901,0.3366598034304637,0.09640773791378537,0.1570822066559386,0.016086173792447707,0.38442940707797163,0.0036425689260898507,0.5716969412409668,5.169987678527832e-05,0.9983333333333333,1.0,42.755946791850995,150,0,0,,,
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,fallback,shuffle,patch,100.0,0.5040718158582846,600,0.1377215737699819,0.10867375299411819,0.01747864930857901,0.3366598034304637,0.09647218501233008,0.1570822066559386,0.016086173792447707,0.3851508280319479,0.0036425689260898507,0.5740377554909365,5.1787495613098146e-05,0.9983333333333333,1.0,42.755946791850995,150,0,0,,,
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,fallback,shuffle,pixel,25.0,0.24763679365006586,600,0.14223478764283873,0.12605526079263285,0.028201225283246246,0.317057229894171,0.08981427187101938,0.1744779212671033,0.027034342853226374,0.3392323494991282,0.009978657916103728,0.49300742085306054,9.578267733256022e-05,1.0,1.0,42.755946791850995,150,0,0,,,
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,fallback,shuffle,pixel,40.0,0.3813620649743825,600,0.15826092456045268,0.13921485533404976,0.02905027831754623,0.3646228956553576,0.10239595414472728,0.19140718500810125,0.028258093826690592,0.3875211062591755,0.010384060697045427,0.5541885673754358,0.00010919769605000814,1.0,1.0,42.755946791850995,150,0,0,,,
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,fallback,shuffle,pixel,60.0,0.47832058409539363,600,0.16408644035961026,0.14260939621297553,0.02906876967065166,0.3818048550865437,0.10769009147376875,0.1962594434373319,0.028379652628336475,0.41336536145860964,0.010433679641522886,0.5934833675035278,0.00011340657869974773,1.0,1.0,42.755946791850995,150,0,0,,,
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,fallback,shuffle,pixel,80.0,0.4965723332731674,600,0.16486031683162916,0.14260939621297553,0.02906876967065166,0.3818048550865437,0.10848969820221444,0.1963794638514382,0.028379652628336475,0.4179405427628082,0.010433679641522886,0.6050313997364881,0.00011356691519419352,1.0,1.0,42.755946791850995,150,0,0,,,
