fold,min_coverage,count,selected_count,coverage,global_mean_delta,global_hard_bottom25_delta,global_easy_top25_delta,global_mean_ssim_delta,global_positive_ratio_delta_gt_0,global_positive_or_zero_ratio_delta_ge_0,global_non_degradation_ratio_delta_ge_-0.01,selected_mean_delta,selected_hard_bottom25_delta,selected_easy_top25_delta,selected_mean_ssim_delta,selected_conditional_positive_ratio,selected_conditional_non_degradation_ratio_delta_ge_-0.01,strong_reference_cut_psnr,strong_regression_count_delta_le_-0.05,worst_regression_count_delta_le_-0.20,true_vs_zero_all_images,true_vs_shuffle_all_images,true_vs_normal_all_images,true_vs_zero_selected_images,true_vs_shuffle_selected_images,true_vs_normal_selected_images
2,0.7,120,86,0.7166666666666667,0.006282313664754232,-0.04729798634847005,0.017693456013997397,-2.4401644865671793e-05,0.43333333333333335,0.7166666666666667,0.7333333333333333,0.008766019067098929,-0.06449725411155006,0.02307842088782269,-3.4048806789309476e-05,0.6046511627906976,0.627906976744186,42.82459259033203,7,15,0.029395087560017904,0.025624593098958332,0.02796476682027181,0.04101640124653661,0.035755246184593026,0.03902060486549555
3,0.15,120,29,0.24166666666666667,-0.0012201468149820964,0.010367902119954427,0.005272801717122396,4.3660402297973634e-07,0.15,0.9083333333333333,0.925,-0.005048883372339709,0.06220741271972656,0.012168003962590145,1.8066373364678744e-06,0.6206896551724138,0.6896551724137931,42.85515022277832,3,5,0.0024539788564046225,0.0023709774017333985,0.001980415980021159,0.010154395267881196,0.009810940972689924,0.00819482474491514
3,0.25,120,29,0.24166666666666667,-0.0012201468149820964,0.010367902119954427,0.005272801717122396,4.3660402297973634e-07,0.15,0.9083333333333333,0.925,-0.005048883372339709,0.06220741271972656,0.012168003962590145,1.8066373364678744e-06,0.6206896551724138,0.6896551724137931,42.85515022277832,3,5,0.0024539788564046225,0.0023709774017333985,0.001980415980021159,0.010154395267881196,0.009810940972689924,0.00819482474491514
3,0.4,120,55,0.4583333333333333,0.007117732365926107,0.013505999247233074,0.032769393920898435,-6.068249543507894e-06,0.275,0.8166666666666667,0.8333333333333334,0.015529597889293324,0.040517997741699216,0.04096174240112305,-1.3239817185835405e-05,0.6,0.6363636363636364,42.85515022277832,6,6,0.009917863210042318,0.008684237798055014,0.008772834142049154,0.021638974276455968,0.018947427923029118,0.019140729037198153
3,0.55,120,77,0.6416666666666667,0.011559851964314779,0.015756924947102863,0.014644877115885416,-1.660784085591634e-05,0.4,0.7583333333333333,0.775,0.018015353710620435,0.03376483917236328,0.016897935133713942,-2.588234938584365e-05,0.6233766233766234,0.6493506493506493,42.85515022277832,7,6,0.014313093821207682,0.013072443008422852,0.012801218032836913,0.022306120240843143,0.020372638454684962,0.01994995018104454
3,0.7,120,82,0.6833333333333333,0.016551415125528973,0.0009229660034179687,0.031555557250976564,-2.921621004740397e-06,0.45,0.7666666666666667,0.7833333333333333,0.0242215831105302,0.0019777842930385043,0.03506173027886285,-4.275542933766435e-06,0.6585365853658537,0.6829268292682927,42.85515022277832,7,8,0.022478437423706053,0.01971128781636556,0.019989951451619466,0.032895274278594226,0.028845787048339844,0.02925358749017483
4,0.15,120,34,0.2833333333333333,0.027841790517171224,0.02409337361653646,0.06280441284179687,1.0073184967041015e-06,0.21666666666666667,0.9333333333333333,0.9416666666666667,0.0982651430017808,0.2409337361653646,0.1570110321044922,3.5552417530732997e-06,0.7647058823529411,0.7941176470588235,42.67255210876465,0,2,0.029418341318766274,0.025801690419514973,0.02788403828938802,0.10382943994858686,0.09106478971593521,0.09841425278607537
4,0.25,120,34,0.2833333333333333,0.027841790517171224,0.02409337361653646,0.06280441284179687,1.0073184967041015e-06,0.21666666666666667,0.9333333333333333,0.9416666666666667,0.0982651430017808,0.2409337361653646,0.1570110321044922,3.5552417530732997e-06,0.7647058823529411,0.7941176470588235,42.67255210876465,0,2,0.029418341318766274,0.025801690419514973,0.02788403828938802,0.10382943994858686,0.09106478971593521,0.09841425278607537
4,0.4,120,50,0.4166666666666667,0.0228547732035319,0.005128987630208333,0.06291580200195312,4.742046197255453e-06,0.2833333333333333,0.8666666666666667,0.8916666666666667,0.05485145568847656,0.03077392578125,0.1048596700032552,1.1380910873413086e-05,0.68,0.74,42.67255210876465,2,4,0.02814823786417643,0.023499774932861327,0.025715192159016926,0.06755577087402344,0.05639945983886719,0.061716461181640626
4,0.55,120,66,0.55,0.03072655995686849,0.012717056274414062,0.07315457661946614,5.046526590983073e-07,0.375,0.825,0.85,0.0558664726488518,0.047688961029052734,0.09541901298191237,9.175502892696497e-07,0.6818181818181818,0.7272727272727273,42.67255210876465,2,5,0.03551692962646484,0.030197874704996745,0.032717259724934895,0.06457623568448154,0.05490522673635772,0.0594859267726089
