feature,direction,threshold,objective,count,selected_count,coverage,mean_psnr_delta,median_psnr_delta,hard_bottom25_psnr_delta,easy_top25_psnr_delta,mean_ssim_delta,positive_ratio,strong_reference_cut_psnr,strong_regression_count_delta_le_-0.05,worst_regression_count_delta_le_-0.20,true_vs_zero_surplus,true_vs_shuffle_surplus,true_vs_normal_surplus
DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_dta_stage2_gate_mean,>=,0.011429847683757544,-0.04483384760220846,600,450,0.75,0.027778278986612955,0.0,0.013179842631022136,0.05442047119140625,-2.267986536026001e-05,0.4716666666666667,42.755948066711426,26,56,0.03559302012125651,0.031736621856689455,0.03331002235412597
DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_dta_stage2_gate_mean,<=,0.011685474961996078,-0.04632717299461364,600,180,0.3,-0.0034188048044840494,0.0,-0.00463812510172526,-0.00715240478515625,-7.55240519841512e-06,0.16,42.755948066711426,14,25,0.002804422378540039,0.001920321782430013,0.0012959480285644532
DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_dta_stage2_gate_mean,>=,0.011685474961996078,-0.03832976746559143,600,420,0.7,0.027822739283243816,0.0,0.010997784932454428,0.050356725056966145,-1.575380563735962e-05,0.445,42.755948066711426,25,51,0.03382624626159668,0.030220448176066082,0.03178761164347331
DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_dta_stage2_gate_mean,<=,0.011902957130223513,-0.05967264628410339,600,210,0.35,-0.006568044026692708,0.0,-0.007587966918945313,-0.010570729573567708,-8.239845434824626e-06,0.18166666666666667,42.755948066711426,18,30,0.0024143727620442707,0.001648845672607422,0.001144536336263021
DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_dta_stage2_gate_mean,>=,0.011902957130223513,-0.024984294176101703,600,390,0.65,0.030971978505452472,0.0,0.01394762674967448,0.05377504984537761,-1.5066365400950114e-05,0.42333333333333334,42.755948066711426,21,46,0.03421629587809245,0.03049192428588867,0.03193902333577474
DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_dta_stage2_gate_mean,<=,0.012093150615692138,-0.06281132117907207,600,240,0.4,-0.005064805348714192,0.0,-0.004501113891601563,-0.0077593994140625,-8.726815382639567e-06,0.21166666666666667,42.755948066711426,19,34,0.004106597900390625,0.002985410690307617,0.0026209672292073567
DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_dta_stage2_gate_mean,>=,0.012093150615692138,-0.02184561928113302,600,360,0.6,0.029468739827473958,0.0,0.010860773722330729,0.0509637196858724,-1.4579395453135172e-05,0.3933333333333333,42.755948066711426,20,42,0.03252407073974609,0.029155359268188477,0.030462592442830404
DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_dta_stage2_gate_mean,<=,0.012259718403220177,-0.06762681365013122,600,270,0.45,-0.0046422195434570315,0.0,-0.005715688069661458,-0.006992848714192709,-1.1160075664520264e-05,0.24333333333333335,42.755948066711426,21,37,0.004835058848063151,0.0035670979817708334,0.0031562074025472007
DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_dta_stage2_gate_mean,>=,0.012259718403220177,-0.01703012681007385,600,330,0.55,0.029046154022216795,0.0,0.012075347900390625,0.050197168986002606,-1.2146135171254476e-05,0.3616666666666667,42.755948066711426,18,39,0.03179560979207357,0.02857367197672526,0.02992735226949056
DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_dta_stage2_gate_mean,<=,0.012412238866090775,-0.07632751854260762,600,300,0.5,-0.0054632568359375,0.0,-0.006283823649088542,-0.0070067850748697915,-1.6299982865651447e-05,0.26666666666666666,42.755948066711426,23,42,0.0060653877258300785,0.00513111432393392,0.004523913065592448
