feature,direction,threshold,objective,count,selected_count,coverage,mean_psnr_delta,median_psnr_delta,hard_bottom25_psnr_delta,easy_top25_psnr_delta,mean_ssim_delta,positive_ratio,strong_reference_cut_psnr,strong_regression_count_delta_le_-0.05,worst_regression_count_delta_le_-0.20,true_vs_zero_surplus,true_vs_shuffle_surplus,true_vs_normal_surplus
DTA_v31_v31_wg18_light_hinge_seed3407_f0_scout5full_post_gt_invert_dta_stage2_gate_mean,<=,0.012443813076242805,-0.062461929162343346,600,270,0.45,-0.005057347615559896,0.0,-0.0075066884358723955,-0.004915390014648437,-1.1462569236755371e-05,0.245,42.755948066711426,21,33,0.004902683893839519,0.003796526590983073,0.0035244019826253256
DTA_v31_v31_wg18_light_hinge_seed3407_f0_scout5full_post_gt_invert_dta_stage2_gate_mean,>=,0.012443813076242805,-0.02055843400955201,600,330,0.55,0.026355225245157876,0.0,0.00908519744873047,0.045626983642578126,-1.3385415077209472e-05,0.35333333333333333,42.755948066711426,17,39,0.030665499369303385,0.02778268814086914,0.029126195907592772
DTA_v31_v31_wg18_light_hinge_seed3407_f0_scout5full_post_gt_invert_dta_stage2_gate_mean,<=,0.012597603257745504,-0.0714562238852183,600,300,0.5,-0.006128470102945964,0.0,-0.008025080362955728,-0.005004781087239583,-1.6871790091196696e-05,0.2683333333333333,42.755948066711426,23,38,0.0060319042205810545,0.005270487467447917,0.004829756418863932
DTA_v31_v31_wg18_light_hinge_seed3407_f0_scout5full_post_gt_invert_dta_stage2_gate_mean,>=,0.012597603257745504,-0.011564139286677046,600,300,0.5,0.027426347732543946,0.0,0.009603589375813803,0.04571637471516927,-7.976194222768147e-06,0.33,42.755948066711426,15,34,0.02953627904256185,0.026308727264404298,0.027820841471354166
DTA_v31_v31_wg18_light_hinge_seed3407_f0_scout5full_post_gt_invert_dta_stage2_gate_mean,<=,0.01281810007058084,-0.08057271750768026,600,330,0.55,-0.00561306635538737,0.0,-0.009190648396809897,-0.006421432495117187,-1.9854903221130372e-05,0.2966666666666667,42.755948066711426,25,44,0.006970218022664388,0.006203409830729167,0.005684521993001302
DTA_v31_v31_wg18_light_hinge_seed3407_f0_scout5full_post_gt_invert_dta_stage2_gate_mean,>=,0.01281810007058084,-0.0024476456642150944,600,270,0.45,0.02691094398498535,0.0,0.01076915740966797,0.04713302612304687,-4.993081092834472e-06,0.3016666666666667,42.755948066711426,13,28,0.028597965240478515,0.025375804901123046,0.026966075897216796
DTA_v31_v31_wg18_light_hinge_seed3407_f0_scout5full_post_gt_invert_dta_stage2_gate_mean,<=,0.012950976379215717,-0.07886267161369324,600,360,0.6,-0.0024407291412353515,0.0,-0.011197725931803385,-0.00078216552734375,-2.2932390371958415e-05,0.33166666666666667,42.755948066711426,25,46,0.010672273635864258,0.009543946584065755,0.009061079025268554
DTA_v31_v31_wg18_light_hinge_seed3407_f0_scout5full_post_gt_invert_dta_stage2_gate_mean,>=,0.012950976379215717,-0.004157691558202111,600,240,0.4,0.023738606770833334,0.0,0.012776234944661458,0.04149375915527344,-1.915593942006429e-06,0.26666666666666666,42.755948066711426,13,26,0.024895909627278646,0.022035268147786457,0.023589518864949543
DTA_v31_v31_wg18_light_hinge_seed3407_f0_scout5full_post_gt_invert_dta_stage2_gate_mean,<=,0.013140606274828315,-0.07805585638682047,600,390,0.65,0.0018453502655029297,0.0,-0.006953214009602865,0.006106185913085938,-2.3261706034342447e-05,0.37,42.755948066711426,26,50,0.01410466194152832,0.01261678695678711,0.012321955362955729
DTA_v31_v31_wg18_light_hinge_seed3407_f0_scout5full_post_gt_invert_dta_stage2_gate_mean,>=,0.013140606274828315,-0.00496450678507487,600,210,0.35,0.019452527364095053,0.0,0.008531723022460937,0.03460540771484375,-1.5862782796223958e-06,0.22833333333333333,42.755948066711426,12,22,0.021463521321614585,0.018962427775065103,0.02032864252726237
DTA_v31_v31_wg18_light_hinge_seed3407_f0_scout5full_post_gt_invert_dta_stage2_gate_mean,<=,0.01327854786068201,-0.07375919111569722,600,420,0.7,0.007238871256510417,0.0,-0.007364145914713542,0.021665191650390624,-2.5290946165720622e-05,0.40166666666666667,42.755948066711426,27,52,0.018697586059570313,0.016560535430908203,0.016634486516316733
DTA_v31_v31_wg18_light_hinge_seed3407_f0_scout5full_post_gt_invert_dta_stage2_gate_mean,>=,0.01327854786068201,-0.009270031293233234,600,180,0.3,0.014059006373087565,0.0,0.008942654927571615,0.01904640197753906,4.42961851755778e-07,0.19666666666666666,42.755948066711426,11,20,0.01687059720357259,0.015018679300944011,0.016016111373901368
DTA_v31_v31_wg18_light_hinge_seed3407_f0_scout5full_post_gt_invert_dta_stage2_gate_mean,<=,0.01343418494798243,-0.08448677611351013,600,450,0.75,0.007061290740966797,0.0,-0.010472310384114584,0.026315078735351563,-2.6113688945770264e-05,0.4266666666666667,42.755948066711426,30,58,0.019684569040934245,0.017434927622477215,0.017547788619995116
