run_id,candidate,airlight_mode,depth_mode,alpha,count,mean_psnr_delta,median_psnr_delta,p5_psnr_delta,p95_psnr_delta,hard_bottom25_psnr_delta,easy_top25_psnr_delta,worst10pct_mean_psnr_delta,best10pct_mean_psnr_delta,worst10img_mean_psnr_delta,best10img_mean_psnr_delta,mean_ssim_delta,positive_ratio,non_degradation_ratio_delta_ge_-0.01,strong_reference_cut_psnr,strong_reference_count,strong_regression_count_delta_le_-0.05,worst_regression_count_delta_le_-0.20,true_vs_zero_surplus,true_vs_shuffle_surplus,true_vs_normal_surplus
v32_ctdg_diag_wg18_light_hinge_seed3407_f0,wg18_light_hinge,fallback,normal,0.35,600,-0.0015372354037972672,0.002550061801485981,-0.08314183677527502,0.0661889434701005,-0.0054385424613249,0.00661250982458166,-0.09695428180138954,0.07257992059053517,-0.175813006174058,0.12013422568108326,-7.001260916392009e-06,0.5383333333333333,0.6616666666666666,42.755946791850995,150,17,2,,,
v32_ctdg_diag_wg18_light_hinge_seed3407_f0,wg18_light_hinge,fallback,normal,0.5,600,-0.0026515438661693716,0.003364178034036769,-0.11922908862042796,0.09437682056781453,-0.007944710056430514,0.008665665559172833,-0.13888369509837564,0.10280922544559949,-0.25087579707215185,0.1692847212727145,-1.034398873647054e-05,0.5366666666666666,0.6216666666666667,42.755946791850995,150,20,5,,,
v32_ctdg_diag_wg18_light_hinge_seed3407_f0,wg18_light_hinge,fallback,normal,0.75,600,-0.005117416966585656,0.004172331471174573,-0.18118277816347828,0.14015151437426954,-0.012354163650834428,0.011035202393694543,-0.20923570798797234,0.15211368859331417,-0.3759368627126548,0.24788217428190648,-1.6402900218963623e-05,0.53,0.5833333333333334,42.755946791850995,150,24,24,,,
v32_ctdg_diag_wg18_light_hinge_seed3407_f0,wg18_light_hinge,fallback,normal,1.0,600,-0.008344349204498632,0.00434976054044256,-0.24145081969813198,0.18115938559742262,-0.01705273773408777,0.012081702010424493,-0.2802306190340875,0.2000531475192405,-0.5008236275689846,0.3221636962885611,-2.3024678230285646e-05,0.5283333333333333,0.5633333333333334,42.755946791850995,150,31,43,,,
v32_ctdg_diag_wg18_light_hinge_seed3407_f0,wg18_light_hinge,gt,invert,0.1,600,0.003263391477134654,0.004074124809639201,-0.033126159151051486,0.03664743803481297,0.00045676565204852675,0.006294949519043721,-0.037607314162151205,0.040271841922464864,-0.06408083732387695,0.05798283372311843,-1.7039974530537924e-06,0.6166666666666667,0.795,42.755946791850995,150,1,0,0.004223068451058859,0.0037518445687757603,0.0038797153798752326
v32_ctdg_diag_wg18_light_hinge_seed3407_f0,wg18_light_hinge,gt,invert,0.2,600,0.006277425576046234,0.007990994976820431,-0.06714722066151246,0.07325657134146042,0.0008465386259404302,0.012104184993877377,-0.07547103084931024,0.08018646218069,-0.12822570779595993,0.11531262911823958,-3.5941600799560545e-06,0.6133333333333333,0.72,42.755946791850995,150,14,1,0.008300340757455279,0.0073738856599041705,0.007625093720661334
v32_ctdg_diag_wg18_light_hinge_seed3407_f0,wg18_light_hinge,gt,invert,0.35,600,0.010328606550553914,0.013598897351506878,-0.12075217354061145,0.128090715888906,0.0013061210570456912,0.019899551529970978,-0.13273573682757783,0.13935586223631294,-0.22452581918838205,0.19999929969684233,-6.746848424275716e-06,0.6116666666666667,0.6766666666666666,42.755946791850995,150,21,4,0.014140950151551491,0.012561688146242016,0.012989313938458237
v32_ctdg_diag_wg18_light_hinge_seed3407_f0,wg18_light_hinge,gt,invert,0.5,600,0.013812971940078071,0.01846744258918065,-0.17357670126886937,0.18281854344280424,0.001616177298809826,0.026583019295014908,-0.19057366393144573,0.1977444228495621,-0.3208779015428881,0.28300288669737983,-1.0313789049784342e-05,0.6083333333333333,0.6433333333333333,42.755946791850995,150,30,18,0.019648567971118205,0.01745260522232971,0.01804633694474455
v32_ctdg_diag_wg18_light_hinge_seed3407_f0,wg18_light_hinge,gt,invert,0.75,600,0.01835269605359216,0.027388995212447753,-0.2610866296504103,0.2737604335729322,0.0018026589863252458,0.035224570027768846,-0.28816371607006097,0.293166350050451,-0.4814443247278447,0.4177506665967535,-1.7137229442596435e-05,0.6033333333333334,0.63,42.755946791850995,150,36,51,0.028080588067514366,0.024937445539639887,0.025784753506976302
v32_ctdg_diag_wg18_light_hinge_seed3407_f0,wg18_light_hinge,gt,invert,1.0,600,0.021297819885189195,0.03194810057548381,-0.3488032042355037,0.36437336506504714,0.001578249518802508,0.04071158266891852,-0.3872301651236578,0.3861736264821681,-0.641803318353611,0.5529994678837162,-2.5058090686798094e-05,0.5983333333333334,0.625,42.755946791850995,150,38,72,0.035568221536722774,0.03157907723566023,0.03265064512517502
v32_ctdg_diag_wg18_light_hinge_seed3407_f0,wg18_light_hinge,gt,zero,0.1,600,-0.0009596769739242046,0.0004414643371681848,-0.021575498435812433,0.015921778272571522,-0.0017761830280399475,0.0010215906343519995,-0.02572488020023265,0.01830977179137315,-0.047173867102163314,0.031735503687256285,-2.212226390838623e-06,0.53,0.835,42.755946791850995,150,0,0,,,
v32_ctdg_diag_wg18_light_hinge_seed3407_f0,wg18_light_hinge,gt,zero,0.2,600,-0.0020229151814090446,0.000825770139723403,-0.043133408716372654,0.03182735304951122,-0.0035960983096452043,0.0018750932777041385,-0.05152685251941437,0.03641416959627056,-0.09427527714289212,0.06287969248683645,-4.537304242451986e-06,0.53,0.7333333333333333,42.755946791850995,150,2,0,,,
v32_ctdg_diag_wg18_light_hinge_seed3407_f0,wg18_light_hinge,gt,zero,0.35,600,-0.003812343600997578,0.0012960715022352076,-0.07543847125529339,0.055656661739192245,-0.006407768075598763,0.002837836597110481,-0.09036937954503893,0.06317582518533313,-0.16478345459679034,0.10845932194554919,-8.130172888437907e-06,0.5283333333333333,0.6416666666666667,42.755946791850995,150,12,2,,,
v32_ctdg_diag_wg18_light_hinge_seed3407_f0,wg18_light_hinge,gt,zero,0.5,600,-0.005835596031040134,0.0015877621430639977,-0.10813399724899463,0.0794490157463727,-0.009317163387702223,0.003416789908502693,-0.12937196037781315,0.08946648161751121,-0.23510791913848336,0.15270038039835293,-1.1858244736989339e-05,0.5266666666666666,0.6,42.755946791850995,150,21,5,,,
