run_id,candidate,airlight_mode,depth_mode,alpha,count,mean_psnr_delta,median_psnr_delta,p5_psnr_delta,p95_psnr_delta,hard_bottom25_psnr_delta,easy_top25_psnr_delta,worst10pct_mean_psnr_delta,best10pct_mean_psnr_delta,worst10img_mean_psnr_delta,best10img_mean_psnr_delta,mean_ssim_delta,positive_ratio,non_degradation_ratio_delta_ge_-0.01,strong_reference_cut_psnr,strong_reference_count,strong_regression_count_delta_le_-0.05,worst_regression_count_delta_le_-0.20,true_vs_zero_surplus,true_vs_shuffle_surplus,true_vs_normal_surplus
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,fallback,zero,0.75,600,-0.019887443752060488,-0.0068347297344395486,-0.25969664781037416,0.2007527315470099,-0.0266901617785832,-0.014550504481901594,-0.29563886488705177,0.22337787742261994,-0.49646566253142554,0.35879879267340514,-1.550823450088501e-05,0.4766666666666667,0.5083333333333333,42.755946791850995,150,45,55,,,
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,fallback,zero,1.0,600,-0.03078649054994312,-0.014357554744236722,-0.3544891030284624,0.25926325938391376,-0.03697312896695735,-0.02623667456628392,-0.39861195459543475,0.2928573558453677,-0.6670969963346096,0.4739755377497616,-2.265771230061849e-05,0.4666666666666667,0.49333333333333335,42.755946791850995,150,50,102,,,
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,fallback,shuffle,0.1,600,-0.0010935914998181613,0.0002808768543474116,-0.033151439350329784,0.02911367375178881,-0.003133933665132697,0.0006248315379086951,-0.03876113103485584,0.03249775018600184,-0.06681925976130643,0.05085277197437747,-1.4667709668477377e-06,0.5116666666666667,0.7133333333333334,42.755946791850995,150,3,0,,,
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,fallback,shuffle,0.2,600,-0.00254974847866117,0.00032504701158586613,-0.06649319538675194,0.05818313434058095,-0.006384433696488259,0.0006642583011525005,-0.07795402150597373,0.06451286257087083,-0.13420942654751472,0.101424539046576,-3.1160314877827964e-06,0.5016666666666667,0.61,42.755946791850995,150,10,1,,,
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,fallback,shuffle,0.35,600,-0.0054125811892961374,-0.0002568082032361474,-0.11655449351748573,0.10169589089327928,-0.011477230178241603,-0.000371572503261793,-0.13754122849761252,0.11163514788916575,-0.23627292775315709,0.17671436354422737,-5.905131498972575e-06,0.49833333333333335,0.5583333333333333,42.755946791850995,150,29,8,,,
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,fallback,shuffle,0.5,600,-0.009087428539934207,-0.0011253152561447877,-0.16676589271343759,0.14358572080120552,-0.016828193016363832,-0.002716441638386205,-0.19802781464382663,0.15763929641665447,-0.33938854331006496,0.25126468932852364,-9.06914472579956e-06,0.4866666666666667,0.54,42.755946791850995,150,37,21,,,
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,fallback,shuffle,0.75,600,-0.01700801474196012,-0.004411858099725663,-0.25296058517374964,0.2106953245720962,-0.02631389044586875,-0.009514587954277781,-0.3007201732459415,0.23232690462115452,-0.5132314024422499,0.3739865049038997,-1.519252856572469e-05,0.4816666666666667,0.5216666666666666,42.755946791850995,150,43,54,,,
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,fallback,shuffle,1.0,600,-0.027157092004081528,-0.012121191613339022,-0.35134101648867466,0.2745261140494185,-0.03650051496078381,-0.019889214398379144,-0.40571388300405986,0.30474680945994254,-0.689062979748892,0.49446861249963237,-2.2384623686472575e-05,0.47,0.495,42.755946791850995,150,45,103,,,
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,fallback,normal,0.1,600,-0.0011883551777020428,0.00014926744546883697,-0.03340168120579072,0.028900615529930413,-0.0031616972488211085,0.0005510437514676407,-0.038705599899402664,0.03230675915399915,-0.0657517130108772,0.04997468963155285,-1.3855099678039551e-06,0.5033333333333333,0.715,42.755946791850995,150,3,0,,,
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,fallback,normal,0.2,600,-0.0027368716636659053,0.000215829349546226,-0.06718658571759555,0.05728113943163641,-0.006439268233857192,0.0005144434599369181,-0.07780535602278356,0.0641597772647204,-0.13197912255965888,0.09967986995617935,-2.9566884040832518e-06,0.5033333333333333,0.6133333333333333,42.755946791850995,150,10,1,,,
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,fallback,normal,0.35,600,-0.005733562686313771,-0.0001432124624685116,-0.11879888777350871,0.09998685280577888,-0.011571123387020373,-0.0006396041198229815,-0.13717054483837476,0.1110618339519896,-0.2321286746601416,0.1736930418175639,-5.633234977722168e-06,0.5,0.555,42.755946791850995,150,27,8,,,
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,fallback,normal,0.5,600,-0.009536640460227114,-0.0020414036758040766,-0.17069829975391498,0.1420049679298081,-0.016959583721833364,-0.0031077840998177918,-0.19750181664647487,0.1569128002861944,-0.3331395701690106,0.24711395869843003,-8.682608604431152e-06,0.49333333333333335,0.5316666666666666,42.755946791850995,150,38,21,,,
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,fallback,normal,0.75,600,-0.017658110025951454,-0.005787546920725362,-0.2589165420602001,0.2032293355498389,-0.02650476656488294,-0.010122468707676547,-0.2999795173382205,0.23117798066601936,-0.5034883730010982,0.367961558955659,-1.461098591486613e-05,0.4816666666666667,0.51,42.755946791850995,150,44,53,,,
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,fallback,normal,1.0,600,-0.0279915327150713,-0.01172172389180659,-0.35388411649037366,0.26855695169405064,-0.036747603422578975,-0.020726778135518913,-0.4048970406553754,0.30293220021661266,-0.676038011092438,0.48663183579239655,-2.1606187025705974e-05,0.47333333333333333,0.49666666666666665,42.755946791850995,150,48,101,,,
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,gt,invert,0.1,600,0.0022233901578792665,0.0029068123835003234,-0.035697295461485014,0.04017675885467966,-0.0012166331984923555,0.004682516008810135,-0.04351995034772666,0.04528727565340785,-0.07649669679035612,0.06974120889282745,-1.237789789835612e-06,0.5666666666666667,0.7083333333333334,42.755946791850995,150,3,0,0.0037554976874667584,0.003318011455589017,0.0034128140281893355
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,gt,invert,0.2,600,0.003978981029726221,0.005103527534632946,-0.07249739380723277,0.07938114949274959,-0.0025658815486520816,0.008605325231015305,-0.08759093481601697,0.09000196354537854,-0.15354971634792774,0.1387155971926582,-2.7105212211608888e-06,0.56,0.6533333333333333,42.755946791850995,150,14,1,0.007389427173114533,0.006530756470879275,0.006717948893761611
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,gt,invert,0.35,600,0.005732831083747379,0.008284226548461504,-0.12832108234239784,0.136297935272196,-0.0048366227112848275,0.013061647401313412,-0.1547288917430367,0.15594624856215436,-0.2701275803954616,0.2406150075252448,-5.330046017964681e-06,0.55,0.6083333333333333,42.755946791850995,150,33,11,0.012608485506228208,0.011148862708131788,0.01146999515828107
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,gt,invert,0.5,600,0.006428598630093531,0.010168451888496577,-0.18587175380890886,0.19087845825555202,-0.00740099976657369,0.015801099329708516,-0.22319695948836785,0.22055263550047577,-0.3882832429252566,0.3404700789940307,-8.447070916493734e-06,0.5383333333333333,0.5833333333333334,42.755946791850995,150,39,28,0.01754410257779634,0.015520884848626064,0.01597029313376943
