name,bucket,original_psnr,candidate_psnr,delta_psnr,original_ssim,candidate_ssim,delta_ssim,gamma_mean,gamma_abs_mean,gamma_std,gamma_min,gamma_max,gamma_abs_gt_0.05,gamma_abs_gt_0.10,gamma_abs_gt_0.09,gate_mean,gate_std,gate_min,gate_max,gamma_base_abs_mean,effective_gamma_abs_mean,beta_present,beta_mean,beta_abs_mean,beta_std,beta_min,beta_max,beta_abs_gt_0.02,beta_abs_gt_0.05,beta_abs_gt_0.1
581_1.0_1.04.png,medium_middle_50pct,24.815404891967773,26.59297752380371,1.7775726318359375,0.9709442853927612,0.9739794135093689,0.003035128116607666,-4.0496805908674105e-10,8.132109208247584e-09,1.1590509885195388e-08,-5.3349431539118086e-08,5.2015487028711505e-08,0.0,0.0,0.0,5.358248245102004e-07,0.0,5.358248245102004e-07,5.358248245102004e-07,0.015176805667579174,8.132109208247584e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
582_0.55_1.63.png,hard_bottom_25pct,18.296310424804688,19.402002334594727,1.105691909790039,0.9344560503959656,0.9395655989646912,0.005109548568725586,-1.485396694533847e-09,3.414371718690745e-08,5.1336748185804026e-08,-2.490111796760175e-07,2.425713603315671e-07,0.0,0.0,0.0,2.5011988782353e-06,0.0,2.5011988782353e-06,2.5011988782353e-06,0.013650942593812943,3.414371718690745e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
583_0.7_0.93.png,easy_top_25pct,28.238046646118164,27.431663513183594,-0.8063831329345703,0.9821400046348572,0.9775186777114868,-0.004621326923370361,-2.9000102319542975e-10,6.4090306395314656e-09,9.237075992984956e-09,-4.1369691672343833e-08,4.036108691707341e-08,0.0,0.0,0.0,4.160935702657298e-07,0.0,4.160935702657298e-07,4.160935702657298e-07,0.015402858145534992,6.4090306395314656e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
584_0.74_1.42.png,medium_middle_50pct,26.471332550048828,22.583965301513672,-3.8873672485351562,0.9744762778282166,0.960530698299408,-0.013945579528808594,-1.174432440187445e-09,2.3976921781354577e-08,3.5266655373789035e-08,-1.6893081067337334e-07,1.6467366492634028e-07,0.0,0.0,0.0,1.695833589110407e-06,0.0,1.695833589110407e-06,1.695833589110407e-06,0.014138724654912949,2.3976921781354577e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
585_0.75_1.97.png,hard_bottom_25pct,21.00255012512207,20.505258560180664,-0.49729156494140625,0.914569616317749,0.9075338840484619,-0.007035732269287109,-4.619111759751604e-09,8.23470784894198e-08,1.2341523358827544e-07,-6.368795766320545e-07,6.310147568910907e-07,0.0,0.0,0.0,6.38537812847062e-06,0.0,6.38537812847062e-06,6.38537812847062e-06,0.012896194122731686,8.23470784894198e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
586_0.98_1.59.png,hard_bottom_25pct,17.414390563964844,20.608179092407227,3.193788528442383,0.8958216905593872,0.9217401742935181,0.02591848373413086,-1.686867867611852e-09,3.0308164866710285e-08,4.444061829644852e-08,-2.1507604230919242e-07,2.126396623225446e-07,0.0,0.0,0.0,2.156386926799314e-06,0.0,2.156386926799314e-06,2.156386926799314e-06,0.014055067673325539,3.0308164866710285e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
587_0.87_1.84.png,hard_bottom_25pct,18.90165901184082,20.90549087524414,2.0038318634033203,0.9024471044540405,0.9169598817825317,0.014512777328491211,-3.285947514086729e-09,5.75100571609255e-08,8.544969887225307e-08,-4.2687543100328185e-07,4.2254936261088005e-07,0.0,0.0,0.0,4.278996129869483e-06,0.0,4.278996129869483e-06,4.278996129869483e-06,0.013440081849694252,5.75100571609255e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
588_0.71_0.58.png,easy_top_25pct,28.8150691986084,27.73355484008789,-1.0815143585205078,0.9787925481796265,0.9764121770858765,-0.00238037109375,-1.4208856313757678e-10,3.907881129805446e-09,5.30721688818403e-09,-2.3073152277675035e-08,2.2975422453441752e-08,0.0,0.0,0.0,2.3209467769902403e-07,0.0,2.3209467769902403e-07,2.3209467769902403e-07,0.01683744415640831,3.907881129805446e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
589_0.81_1.82.png,medium_middle_50pct,23.021772384643555,24.80213165283203,1.7803592681884766,0.766228199005127,0.7638266086578369,-0.002401590347290039,-5.388553159235698e-09,1.1840509017702061e-07,1.6830485094487813e-07,-8.624562610748399e-07,8.557516366636264e-07,0.0,0.0,0.0,8.664132110425271e-06,0.0,8.664132110425271e-06,8.664132110425271e-06,0.013666123151779175,1.1840509017702061e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58_0.51_1.21.png,medium_middle_50pct,24.472732543945312,16.520341873168945,-7.952390670776367,0.9600123763084412,0.8647610545158386,-0.09525132179260254,-2.395366394125631e-08,3.709658642492286e-07,5.230471060713171e-07,-2.6073371373058762e-06,2.637171519381809e-06,0.0,0.0,0.0,2.669196510396432e-05,0.0,2.669196510396432e-05,2.669196510396432e-05,0.013898034580051899,3.709658642492286e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
