index,name,zone,pixel_count,d7c_output_change_mean,control_output_change_mean,d7c_gain_l1_mean,control_gain_l1_mean
19,1098_0.8_0.51.png,exterior_r2,22,6.176080205477774e-06,0.0001481326762586832,3.929334607991305e-06,8.677183227105574e-05
19,1098_0.8_0.51.png,exterior_r4,68,5.655721264809151e-06,0.00024758312193786394,1.5762908493771272e-06,0.00022140786270884906
19,1098_0.8_0.51.png,exterior_r8,232,5.32969164035829e-06,0.0004099407072724967,1.0111774639065923e-06,0.0003895069119231454
19,1098_0.8_0.51.png,exterior_far_gt8,159660,3.55229533944649e-06,0.0004229823106156246,-2.259561927578704e-07,0.0003813297396448043
20,1099_0.54_1.76.png,gate_interior,2401,0.00013605041932880952,0.0006936979214383482,0.00010075198889076586,0.0006278429067119963
20,1099_0.54_1.76.png,gate_boundary_r1,5255,0.00013792950351617088,0.0006521141495055862,0.0001066272651207776,0.0005855896493347342
20,1099_0.54_1.76.png,exterior_r1,3085,0.00013884816022900748,0.0006511196711461393,0.00010725355418806524,0.0005876929099208146
20,1099_0.54_1.76.png,exterior_r2,3426,0.00013986322974434947,0.0006397283362562867,0.00010693910103824079,0.0005690935962184855
20,1099_0.54_1.76.png,exterior_r4,6216,0.00014417824674603868,0.0006107144834452154,0.00011468532002570546,0.000536779869477261
20,1099_0.54_1.76.png,exterior_r8,12578,0.00014869054866189664,0.0005993777493601062,0.00012446340723776215,0.0005435844278237005
20,1099_0.54_1.76.png,exterior_far_gt8,130124,0.00015059376703978634,0.0005499325670437729,0.00014254786739494185,0.0005203042562857112
21,1102_0.65_0.94.png,gate_interior,26946,0.0004705015202456236,0.0007286597703282361,5.227291512345981e-05,0.0006036147555980741
21,1102_0.65_0.94.png,gate_boundary_r1,18799,0.000461938755456054,0.0007373742952239762,0.0001791881318992551,0.0006374118366015199
21,1102_0.65_0.94.png,exterior_r1,9592,0.00046327394480701284,0.0007449227437265124,0.00020014697855169123,0.0006508563736063724
21,1102_0.65_0.94.png,exterior_r2,8107,0.0004760449685811614,0.0007714448234545871,0.00025429789758543204,0.0006904949664893127
21,1102_0.65_0.94.png,exterior_r4,11394,0.0004998338166006368,0.0008149480995471506,0.0003204943318942021,0.0007396379604409908
21,1102_0.65_0.94.png,exterior_r8,14019,0.0005241798192987565,0.000862675800210561,0.00039881389162681424,0.0008047324834413132
21,1102_0.65_0.94.png,exterior_far_gt8,80735,0.0005844489010360623,0.000955963182015235,0.0005062544819090088,0.0008864735585436729
22,110_0.55_1.08.png,gate_interior,28733,0.0003309969788691629,0.000403677994436639,-2.7753169755733535e-05,2.0651684890060415e-05
22,110_0.55_1.08.png,gate_boundary_r1,17572,0.00034026930822263457,0.00044384467799870323,-0.00012207413870301084,-5.6387133677565315e-05
22,110_0.55_1.08.png,exterior_r1,8866,0.00033719365386480996,0.00044495290863360665,-0.00012795911156886485,-5.771650327884288e-05
22,110_0.55_1.08.png,exterior_r2,7672,0.0003385743023332391,0.000453122030085145,-0.00014200346686171292,-6.57757920940427e-05
22,110_0.55_1.08.png,exterior_r4,12266,0.0003454377323500818,0.0004737419928925939,-0.00017158730119860388,-9.102936419230893e-05
22,110_0.55_1.08.png,exterior_r8,17346,0.000339655539135365,0.0004951297707669287,-0.0002177348533304013,-0.0001460821670080075
22,110_0.55_1.08.png,exterior_far_gt8,76411,0.0002418520113265837,0.00043126198233599077,-0.00020855437353370568,-9.01513095239708e-05
23,1113_0.9_0.52.png,gate_interior,13973,0.00018987728668455318,0.0002908116291974086,-8.930258545138094e-05,-0.0001693514655537811
23,1113_0.9_0.52.png,gate_boundary_r1,14881,0.0001608555567343864,0.0002533860780500483,-8.487832793769044e-05,-0.0001509384429308205
23,1113_0.9_0.52.png,exterior_r1,7678,0.0001591225252948909,0.0002491438286352294,-8.527157858778767e-05,-0.0001488125675138815
23,1113_0.9_0.52.png,exterior_r2,7409,0.0001529731929406799,0.00023863683716780036,-8.388749178097241e-05,-0.0001417261206809286
23,1113_0.9_0.52.png,exterior_r4,12560,0.00013588833011639345,0.00021109505064168554,-7.39734453760135e-05,-0.00012545720407157947
23,1113_0.9_0.52.png,exterior_r8,16842,0.00012122157803200129,0.00018590920159177165,-6.867947140720731e-05,-0.00010807783016752508
23,1113_0.9_0.52.png,exterior_far_gt8,94335,7.910914721079267e-05,0.00024168589046019506,-5.2316176049083926e-05,-0.00015377806525367644
24,1122_0.94_0.53.png,gate_interior,19216,0.00023974516707395732,0.0002975392897460582,0.00012762416510855924,9.409997683579875e-05
24,1122_0.94_0.53.png,gate_boundary_r1,13239,0.00018407169520400228,0.00025402778350601873,3.3260913528752424e-05,6.6656279675558405e-06
24,1122_0.94_0.53.png,exterior_r1,6766,0.00017626326781139547,0.00024814581751224384,3.349509265272708e-05,5.358189207859868e-06
