variant,target_contract,name,threshold,hard_negative_pixels,ldhn_pixels,false_tail_rate,ldhn_recall,pred_high_coverage
f4_global_strat_control,global_target,1376_0.65_1.6.png,0.5132026076316833,2,40,0.0,0.0,0.56396484375
f4_global_strat_control,global_target,1377_0.5_0.79.png,0.5132026076316833,409,1993,0.0,0.0,0.0
f4_global_strat_control,global_target,1380_0.67_1.78.png,0.5132026076316833,29,1733,0.3448275862068966,0.05770340450086555,0.17138671875
f4_global_strat_control,global_target,1386_0.99_1.78.png,0.5132026076316833,2,52,0.0,0.038461538461538464,0.69189453125
f4_global_strat_control,global_target,1397_0.94_0.79.png,0.5132026076316833,370,119,0.04054054054054054,0.058823529411764705,0.31494140625
f4_global_strat_control,global_target,139_0.87_1.52.png,0.5132026076316833,53,803,0.03773584905660377,0.053549190535491904,0.627685546875
f4_global_strat_control,global_target,1403_0.73_1.26.png,0.5132026076316833,0,14,nan,0.0,0.326171875
f4_global_strat_control,global_target,1407_0.6_1.92.png,0.5132026076316833,0,401,nan,0.9226932668329177,0.72021484375
f4_global_strat_control,global_target,1410_0.76_1.08.png,0.5132026076316833,1045,623,0.00861244019138756,0.04975922953451043,0.21875
f4_global_strat_control,global_target,141_0.71_1.48.png,0.5132026076316833,34,456,0.029411764705882353,0.046052631578947366,0.540283203125
f4_global_strat_control,global_target,1425_0.84_1.75.png,0.5132026076316833,0,780,nan,0.0,0.54345703125
f4_global_strat_control,global_target,1432_0.91_1.29.png,0.5132026076316833,536,296,0.0,0.05405405405405406,0.29541015625
f4_global_strat_control,global_target,1433_0.9_1.85.png,0.5132026076316833,7,76,0.0,0.5394736842105263,0.6162109375
f4_global_strat_control,global_target,1435_0.87_0.57.png,0.5132026076316833,516,43,0.009689922480620155,0.11627906976744186,0.153076171875
f4_global_strat_control,global_target,1436_0.66_1.76.png,0.5132026076316833,0,69,nan,0.0,0.53857421875
f4_global_strat_control,global_target,1440_0.65_1.26.png,0.5132026076316833,52,431,0.038461538461538464,0.14385150812064965,0.7958984375
f4_global_strat_control,global_target,1442_0.62_0.81.png,0.5132026076316833,49,608,0.02040816326530612,0.04111842105263158,0.14111328125
f4_global_strat_control,global_target,1443_0.76_1.22.png,0.5132026076316833,122,1231,0.09836065573770492,0.03249390739236393,0.50390625
f4_global_strat_control,global_target,1446_0.85_0.59.png,0.5132026076316833,427,556,0.0,0.0,0.02099609375
f4_global_strat_control,global_target,1449_0.94_0.78.png,0.5132026076316833,311,589,0.01607717041800643,0.015280135823429542,0.174560546875
f4_global_strat_control,global_target,1452_0.81_1.88.png,0.5132026076316833,143,530,0.17482517482517482,0.2358490566037736,0.578369140625
f4_global_strat_control,global_target,1454_0.62_1.48.png,0.5132026076316833,6,1152,0.0,0.12413194444444445,0.301025390625
f4_global_strat_control,global_target,1456_0.66_1.83.png,0.5132026076316833,52,1264,0.38461538461538464,0.10917721518987342,0.430908203125
f4_global_strat_control,global_target,1457_0.88_0.58.png,0.5132026076316833,43,603,0.0,0.014925373134328358,0.09619140625
f4_global_strat_control,global_target,145_0.5_1.08.png,0.5132026076316833,356,143,0.0028089887640449437,0.0979020979020979,0.12646484375
f4_global_strat_control,global_target,1461_0.59_0.54.png,0.5132026076316833,254,1934,0.0,0.001034126163391934,0.002685546875
f4_global_strat_control,global_target,1464_0.64_1.56.png,0.5132026076316833,84,728,0.7380952380952381,0.07142857142857142,0.44970703125
f4_global_strat_control,global_target,1470_0.63_1.26.png,0.5132026076316833,193,338,0.0051813471502590676,0.03550295857988166,0.10107421875
f4_global_strat_control,global_target,1471_0.82_1.95.png,0.5132026076316833,54,116,0.09259259259259259,0.19827586206896552,0.7744140625
f4_global_strat_control,global_target,1474_0.92_0.89.png,0.5132026076316833,138,295,0.0,0.003389830508474576,0.43115234375
f4_global_strat_control,global_target,1481_0.7_0.89.png,0.5132026076316833,153,1384,0.0,0.0,0.0390625
f4_global_strat_control,global_target,1482_0.59_1.05.png,0.5132026076316833,189,483,0.005291005291005291,0.004140786749482402,0.050048828125
f4_global_strat_control,global_target,1485_0.6_1.5.png,0.5132026076316833,236,1465,0.01694915254237288,0.17064846416382254,0.295166015625
f4_global_strat_control,global_target,1493_0.84_0.8.png,0.5132026076316833,14,118,0.0,0.1016949152542373,0.3896484375
f4_global_strat_control,global_target,1497_0.99_1.09.png,0.5132026076316833,0,11,nan,0.0,0.7373046875
f4_global_strat_control,global_target,1500_0.87_1.88.png,0.5132026076316833,0,6,nan,0.0,0.979248046875
f4_global_strat_control,global_target,1511_0.63_1.09.png,0.5132026076316833,872,330,0.011467889908256881,0.09090909090909091,0.15673828125
f4_global_strat_control,global_target,1512_0.89_1.11.png,0.5132026076316833,267,514,0.0,0.04669260700389105,0.33203125
f4_global_strat_control,global_target,1517_0.72_1.25.png,0.5132026076316833,1911,76,0.0015698587127158557,0.14473684210526316,0.182373046875
f4_global_strat_control,global_target,1518_0.62_1.44.png,0.5132026076316833,1716,111,0.002913752913752914,0.2072072072072072,0.155029296875
f4_global_strat_control,global_target,1528_0.91_1.9.png,0.5132026076316833,192,130,0.005208333333333333,0.23846153846153847,0.8779296875
f4_global_strat_control,global_target,152_0.8_1.99.png,0.5132026076316833,0,67,nan,0.43283582089552236,0.84619140625
f4_global_strat_control,global_target,1531_0.52_1.01.png,0.5132026076316833,1898,415,0.0,0.007228915662650603,0.0498046875
f4_global_strat_control,global_target,1537_0.52_1.24.png,0.5132026076316833,558,433,0.007168458781362007,0.02771362586605081,0.076904296875
f4_global_strat_control,global_target,1538_0.61_0.54.png,0.5132026076316833,1851,318,0.002701242571582928,0.025157232704402517,0.02490234375
f4_global_strat_control,global_target,1539_0.58_0.79.png,0.5132026076316833,1501,480,0.006662225183211193,0.010416666666666666,0.04248046875
f4_global_strat_control,global_target,1543_0.92_1.98.png,0.5132026076316833,988,38,0.0010121457489878543,0.02631578947368421,0.36865234375
f4_global_strat_control,global_target,1544_0.87_1.52.png,0.5132026076316833,1390,45,0.0,0.13333333333333333,0.26708984375
f4_global_strat_control,global_target,1547_0.77_1.84.png,0.5132026076316833,206,162,0.02912621359223301,0.2037037037037037,0.662841796875
f4_global_strat_control,global_target,1548_0.85_1.55.png,0.5132026076316833,170,165,0.01764705882352941,0.22424242424242424,0.564208984375
f4_global_strat_control,global_target,1549_0.91_1.37.png,0.5132026076316833,819,171,0.003663003663003663,0.0,0.21728515625
f4_global_strat_control,global_target,154_0.97_0.91.png,0.5132026076316833,0,111,nan,0.009009009009009009,0.45751953125
f4_global_strat_control,global_target,1568_0.8_1.8.png,0.5132026076316833,321,260,0.003115264797507788,0.06923076923076923,0.219970703125
f4_global_strat_control,global_target,1573_0.61_1.06.png,0.5132026076316833,2275,267,0.0035164835164835165,0.02247191011235955,0.073974609375
f4_global_strat_control,global_target,1575_0.51_1.39.png,0.5132026076316833,1035,642,0.0,0.04984423676012461,0.088134765625
