name,A0_PSNR,bucket,raw_best_action,raw_best_dPSNR,conservative_best_action,conservative_best_dPSNR
1064_0.54_0.97.png,37.867576599121094,regular,strong,7.0767974853515625,strong,7.0767974853515625
1070_0.79_1.57.png,34.46012878417969,hard,strong,6.277919769287109,strong,6.277919769287109
1078_0.96_0.54.png,43.199432373046875,easy,medium,4.717586517333984,medium,4.717586517333984
1086_0.6_0.76.png,44.294532775878906,easy,medium,4.8792572021484375,medium,4.8792572021484375
1091_0.79_1.01.png,38.78462219238281,regular,medium,6.995765686035156,medium,6.995765686035156
109_0.54_0.97.png,38.60458755493164,regular,strong,9.705623626708984,strong,9.705623626708984
1003_0.9_1.06.png,38.65223693847656,regular,strong,8.517101287841797,strong,8.517101287841797
1008_0.52_1.98.png,39.091495513916016,regular,medium,3.409423828125,medium,3.409423828125
1013_0.63_1.83.png,39.767333984375,regular,medium,5.322025299072266,medium,5.322025299072266
1019_0.82_1.87.png,32.74661636352539,hard,medium,8.227615356445312,medium,8.227615356445312
1026_0.77_0.89.png,35.755924224853516,regular,medium,8.935138702392578,medium,8.935138702392578
1034_0.55_0.77.png,37.81723403930664,regular,strong,9.275371551513672,strong,9.275371551513672
1043_0.68_1.87.png,34.00215530395508,hard,medium,7.025936126708984,medium,7.025936126708984
1049_0.97_1.09.png,38.180789947509766,regular,medium,4.253131866455078,medium,4.253131866455078
1053_0.54_1.81.png,37.231693267822266,regular,strong,7.157421112060547,strong,7.157421112060547
1059_0.87_0.7.png,42.161582946777344,easy,medium,5.987815856933594,medium,5.987815856933594
1065_0.84_1.48.png,40.087886810302734,easy,medium,6.017425537109375,medium,6.017425537109375
1071_0.69_1.75.png,31.66425895690918,hard,medium,6.941232681274414,medium,6.941232681274414
1079_0.77_1.21.png,39.780487060546875,regular,medium,4.505290985107422,medium,4.505290985107422
1088_0.57_0.97.png,43.63494110107422,easy,medium,4.652828216552734,medium,4.652828216552734
1093_0.65_1.34.png,33.87598419189453,hard,strong,8.33203125,strong,8.33203125
10_0.78_1.56.png,38.89318084716797,regular,medium,6.0864410400390625,medium,6.0864410400390625
1004_0.91_1.17.png,37.140499114990234,regular,strong,9.541942596435547,strong,9.541942596435547
1009_0.84_0.56.png,44.452667236328125,easy,medium,3.9719390869140625,medium,3.9719390869140625
1014_0.74_1.61.png,40.07816696166992,easy,medium,5.856452941894531,medium,5.856452941894531
1020_0.5_0.98.png,41.36661911010742,easy,medium,7.459068298339844,medium,7.459068298339844
1027_0.57_1.77.png,33.522281646728516,hard,medium,8.58211898803711,medium,8.58211898803711
103_0.75_1.59.png,31.22649383544922,hard,medium,8.131813049316406,medium,8.131813049316406
1044_0.69_0.99.png,38.0838623046875,regular,strong,7.417335510253906,strong,7.417335510253906
104_0.88_1.76.png,31.509904861450195,hard,medium,8.076791763305664,medium,8.076791763305664
1054_0.86_1.22.png,38.022762298583984,regular,medium,7.469482421875,medium,7.469482421875
1060_0.94_1.09.png,40.53528594970703,easy,medium,5.285900115966797,medium,5.285900115966797
1066_0.58_1.42.png,38.98136901855469,regular,medium,7.516510009765625,medium,7.516510009765625
1072_0.58_0.58.png,38.13917541503906,regular,strong,8.5465087890625,strong,8.5465087890625
