name,oof_fold,variant,stages,A0_PSNR,action_PSNR,dPSNR,best_loss,delta_abs_mean,bottleneck_delta_abs_mean,bottleneck_delta_rms,bottleneck_delta_abs_max,early_delta_abs_mean,early_delta_rms,early_delta_abs_max,mid_delta_abs_mean,mid_delta_rms,mid_delta_abs_max,final_delta_abs_mean,final_delta_rms,final_delta_abs_max
1090_0.54_0.58.png,0,S6_early_mid_final,early+mid+final,41.2755241394043,49.38639831542969,8.11087417602539,0.002586561953648925,0.007614883594214916,,,,0.01540585607290268,0.01965233124792576,0.09894862025976181,0.005776366218924522,0.013126363977789879,0.19877363741397858,0.0016624284908175468,0.004381648730486631,0.042031701654195786
1099_0.54_1.76.png,0,S1_bottleneck,bottleneck,33.76907730102539,41.31850814819336,7.549430847167969,0.006185654550790787,0.056402336806058884,0.056402336806058884,0.06731882691383362,0.292003870010376,,,,,,,,,
1099_0.54_1.76.png,0,S2_early_decoder,early,33.76907730102539,40.473609924316406,6.704532623291016,0.006536486092954874,0.048515044152736664,,,,0.048515044152736664,0.05884719267487526,0.3585151731967926,,,,,,
1099_0.54_1.76.png,0,S3_mid_decoder,mid,33.76907730102539,40.05600357055664,6.28692626953125,0.006892118137329817,0.023444030433893204,,,,,,,0.023444030433893204,0.03962692990899086,0.4301769733428955,,,
1099_0.54_1.76.png,0,S4_final_decoder,final,33.76907730102539,37.800010681152344,4.030933380126953,0.009017281234264374,0.006133829243481159,,,,,,,,,,0.006133829243481159,0.010982477106153965,0.088624969124794
1099_0.54_1.76.png,0,S5_bottleneck_mid,bottleneck+mid,33.76907730102539,41.992950439453125,8.223873138427734,0.005337670911103487,0.026154685765504837,0.03637508302927017,0.047322776168584824,0.2647676467895508,,,,0.015934288501739502,0.03051467053592205,0.4235721528530121,,,
1099_0.54_1.76.png,0,S6_early_mid_final,early+mid+final,33.76907730102539,41.94366455078125,8.17458724975586,0.005315119866281748,0.013467070724194249,,,,0.024211270734667778,0.03158210590481758,0.22290901839733124,0.01308473851531744,0.023995650932192802,0.2715436518192291,0.0031052029225975275,0.006165471859276295,0.05204043537378311
1001_0.89_1.66.png,1,S1_bottleneck,bottleneck,35.00823211669922,42.978939056396484,7.970706939697266,0.00542523292824626,0.047990910708904266,0.047990910708904266,0.056132592260837555,0.26219120621681213,,,,,,,,,
1001_0.89_1.66.png,1,S2_early_decoder,early,35.00823211669922,41.763397216796875,6.755165100097656,0.0062052602879703045,0.03733043745160103,,,,0.03733043745160103,0.04668530821800232,0.33190324902534485,,,,,,
1001_0.89_1.66.png,1,S3_mid_decoder,mid,35.00823211669922,42.82599639892578,7.8177642822265625,0.005460651591420174,0.014290424063801765,,,,,,,0.014290424063801765,0.02893216907978058,0.24364370107650757,,,
1001_0.89_1.66.png,1,S4_final_decoder,final,35.00823211669922,43.79610061645508,8.78786849975586,0.004700760822743177,0.005453289486467838,,,,,,,,,,0.005453289486467838,0.015620998106896877,0.09483017027378082
1001_0.89_1.66.png,1,S5_bottleneck_mid,bottleneck+mid,35.00823211669922,43.97386932373047,8.96563720703125,0.004688512068241835,0.018031609244644642,0.026960158720612526,0.03361142799258232,0.1605766862630844,,,,0.009103059768676758,0.0190690066665411,0.2032824009656906,,,
1001_0.89_1.66.png,1,S6_early_mid_final,early+mid+final,35.00823211669922,43.99311828613281,8.984886169433594,0.004777455702424049,0.00725511407169203,,,,0.013220805674791336,0.01752498745918274,0.13120165467262268,0.0059389942325651646,0.012882348150014877,0.15722140669822693,0.0026055423077195883,0.007490006275475025,0.07227391004562378
1007_0.68_1.25.png,1,S1_bottleneck,bottleneck,38.78367614746094,44.1291389465332,5.345462799072266,0.0047018881887197495,0.04632817953824997,0.04632817953824997,0.0566960908472538,0.39686328172683716,,,,,,,,,
1007_0.68_1.25.png,1,S2_early_decoder,early,38.78367614746094,43.68464660644531,4.900970458984375,0.0049613527953624725,0.03891810029745102,,,,0.03891810029745102,0.05039078742265701,0.5004125237464905,,,,,,
1007_0.68_1.25.png,1,S3_mid_decoder,mid,38.78367614746094,44.16655731201172,5.382881164550781,0.004631594754755497,0.010231793858110905,,,,,,,0.010231793858110905,0.021788302809000015,0.3127672076225281,,,
1007_0.68_1.25.png,1,S4_final_decoder,final,38.78367614746094,43.73997497558594,4.956298828125,0.004724460653960705,0.004349791444838047,,,,,,,,,,0.004349791444838047,0.012486061081290245,0.16937832534313202
1007_0.68_1.25.png,1,S5_bottleneck_mid,bottleneck+mid,38.78367614746094,44.6671142578125,5.8834381103515625,0.0044338153675198555,0.015310837188735604,0.022887088358402252,0.03010530211031437,0.17121164500713348,,,,0.007734586019068956,0.016126228496432304,0.23033356666564941,,,
