feature_group,alpha,coverage_target,risk_weight,score,oof_gate_pass,heldout_gate_pass,oof_mean_delta,oof_hard_bottom25_delta,oof_easy_top25_delta,oof_worst_ratio,oof_strong_ratio,heldout_mean_delta,heldout_hard_bottom25_delta,heldout_easy_top25_delta,heldout_worst_ratio,heldout_strong_ratio,gain_features,risk_features
post_expert,1.0,0.1,0.5,0.40332160475418777,False,False,-0.001566024621327718,0.22644916377202032,-0.10169669419570945,0.04583333333333333,0.048600883652430045,0.15776995658874512,0.23410697461824517,-0.1312712548484265,0.04,0.04225352112676056,"udp_a0_luma_shift_mean,udp_a0_absdiff_max,udp_a0_absdiff_range","udp_a0_luma_shift_mean,udp_a0_absdiff_max,udp_a0_absdiff_range"
post_expert,1.0,0.1,1.0,0.40332160475418777,False,False,-0.001566024621327718,0.22644916377202032,-0.10169669419570945,0.04583333333333333,0.048600883652430045,0.15776995658874512,0.23410697461824517,-0.1312712548484265,0.04,0.04225352112676056,"udp_a0_luma_shift_mean,udp_a0_absdiff_max,udp_a0_absdiff_range","udp_a0_luma_shift_mean,udp_a0_absdiff_max,udp_a0_absdiff_range"
post_expert,1.0,0.1,1.5,0.40332160475418777,False,False,-0.001566024621327718,0.22644916377202032,-0.10169669419570945,0.04583333333333333,0.048600883652430045,0.15776995658874512,0.23410697461824517,-0.1312712548484265,0.04,0.04225352112676056,"udp_a0_luma_shift_mean,udp_a0_absdiff_max,udp_a0_absdiff_range","udp_a0_luma_shift_mean,udp_a0_absdiff_max,udp_a0_absdiff_range"
post_expert,1.0,0.1,2.0,0.40332160475418777,False,False,-0.001566024621327718,0.22644916377202032,-0.10169669419570945,0.04583333333333333,0.048600883652430045,0.15776995658874512,0.23410697461824517,-0.1312712548484265,0.04,0.04225352112676056,"udp_a0_luma_shift_mean,udp_a0_absdiff_max,udp_a0_absdiff_range","udp_a0_luma_shift_mean,udp_a0_absdiff_max,udp_a0_absdiff_range"
all,0.5,0.3,1.0,0.38905647031024687,False,False,0.22367813110351562,0.06732854615581786,0.3650584213863592,0.030833333333333334,0.054491899852724596,0.139035800298055,0.05706378580377176,0.4866144422074439,0.021666666666666667,0.056338028169014086,"input_highfreq_energy,udp_a0_luma_shift_mean,udp_a0_low_high_abs_ratio","udp_a0_low_high_abs_ratio,input_highfreq_energy,udp_a0_luma_shift_mean"
all,0.5,0.3,0.5,0.389033032174464,False,False,0.22365469296773274,0.06732854615581786,0.368129449319067,0.03166666666666667,0.05743740795287187,0.139035800298055,0.05706378580377176,0.4866144422074439,0.021666666666666667,0.056338028169014086,"input_highfreq_energy,udp_a0_luma_shift_mean,udp_a0_low_high_abs_ratio","udp_a0_low_high_abs_ratio,input_highfreq_energy,udp_a0_luma_shift_mean"
all,0.5,0.3,1.5,0.3828305236814667,False,False,0.22045438845952353,0.06432634217102978,0.3577582874775635,0.030416666666666668,0.054491899852724596,0.139035800298055,0.05706378580377176,0.4866144422074439,0.021666666666666667,0.056338028169014086,"input_highfreq_energy,udp_a0_luma_shift_mean,udp_a0_low_high_abs_ratio","udp_a0_low_high_abs_ratio,input_highfreq_energy,udp_a0_luma_shift_mean"
all,0.5,0.3,2.0,0.38265685877475736,False,False,0.21924109856287638,0.06536596716096758,0.35835641964896964,0.03,0.054491899852724596,0.139035800298055,0.05706378580377176,0.4866144422074439,0.021666666666666667,0.056338028169014086,"input_highfreq_energy,udp_a0_luma_shift_mean,udp_a0_low_high_abs_ratio","udp_a0_low_high_abs_ratio,input_highfreq_energy,udp_a0_luma_shift_mean"
cheap_pre,0.5,0.3,2.0,0.37703633146105364,False,False,0.19494845867156982,0.07888021903544859,0.30798766258363347,0.03666666666666667,0.06332842415316642,0.1129998524983724,0.09341545500969804,0.32734884342677156,0.04,0.09859154929577464,"input_highfreq_energy,input_saturation_std,input_saturation_mean","input_highfreq_energy,input_edge_mean,depth_grad_mean"
cheap_pre,0.5,0.3,1.5,0.341656718151,False,False,0.1907504447301229,0.06284979367204446,0.3144548048151435,0.04041666666666666,0.07363770250368189,0.10220597902933756,0.07640698046832761,0.32758836343254844,0.03833333333333333,0.09859154929577464,"input_highfreq_energy,input_saturation_std,input_saturation_mean","input_highfreq_energy,input_edge_mean,depth_grad_mean"
