alpha,group,bin,count,A0_mean_PSNR,candidate_mean_PSNR,mean_dPSNR,mean_bootstrap_LCB,median_dPSNR,p5_dPSNR,p95_dPSNR,hard_bottom25_dPSNR,hard_bootstrap_LCB,easy_top25_dPSNR,worst_dPSNR,best_dPSNR,dSSIM,positive_ratio,positive_Wilson_LCB,nonnegative_ratio,severe_loss_count,severe_loss_per_600,severe_Wilson_UCB
1.0,A0-PSNR_q4,q3,13,12.878812863276554,,-0.26666780618520886,-0.6094271183013916,-0.3775777816772461,-1.4110792160034178,0.7792537689208978,0.35972023010253906,-0.16578102111816406,-0.7303619384765625,-2.0290441513061523,1.0176811218261719,0.01626027088898879,0.38461538461538464,0.17709446581236818,0.38461538461538464,7,323.07692307692304,0.7679424569851186
0.0,A0-PSNR_q4,q4,14,14.31568077632359,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.21531701192718142
0.125,A0-PSNR_q4,q4,14,14.31568077632359,,-0.005878857203892299,-0.03531482560294015,-0.012566089630126953,-0.096366548538208,0.11487045288085937,-0.029937108357747395,-0.06336116790771484,0.04511388142903646,-0.09753131866455078,0.13061809539794922,0.006152440394674029,0.42857142857142855,0.21380509930400526,0.42857142857142855,0,0.0,0.21531701192718142
0.25,A0-PSNR_q4,q4,14,14.31568077632359,,-0.0244030271257673,-0.08189006532941547,-0.036733150482177734,-0.20485992431640626,0.20750184059143065,-0.06911245981852214,-0.13423887888590494,0.07916990915934245,-0.21933555603027344,0.24251747131347656,0.011585020593234472,0.42857142857142855,0.21380509930400526,0.42857142857142855,1,42.857142857142854,0.3146926955395781
0.375,A0-PSNR_q4,q4,14,14.31568077632359,,-0.055476324898856025,-0.13966516767229353,-0.07226800918579102,-0.3229191780090332,0.2764038562774658,-0.11732037862141927,-0.21225770314534506,0.10168011983235677,-0.36841773986816406,0.3341197967529297,0.016325837799480984,0.42857142857142855,0.21380509930400526,0.42857142857142855,5,214.28571428571428,0.6123599531785959
0.5,A0-PSNR_q4,q4,14,14.31568077632359,,-0.09888417380196708,-0.20857369899749756,-0.11883211135864258,-0.45003929138183596,0.3204330921173095,-0.17430750528971353,-0.29702218373616535,0.11230723063151042,-0.5403347015380859,0.40406036376953125,0.020396935088293894,0.42857142857142855,0.21380509930400526,0.42857142857142855,6,257.1428571428571,0.6740973309713064
0.75,A0-PSNR_q4,q4,14,14.31568077632359,,-0.2212865012032645,-0.37839321408952986,-0.23995542526245117,-0.7499043464660644,0.33134150505065907,-0.31336530049641925,-0.4851102828979492,0.09738477071126302,-0.9414262771606445,0.47493553161621094,0.026605178202901567,0.35714285714285715,0.16344490737202735,0.35714285714285715,7,300.0,0.7320113208052473
1.0,A0-PSNR_q4,q4,14,14.31568077632359,,-0.38779142924717497,-0.5894332919801984,-0.36955738067626953,-1.1071870803833008,0.28880267143249505,-0.48340924580891925,-0.7002738316853842,0.03513272603352865,-1.4004240036010742,0.4506263732910156,0.030348760741097585,0.21428571428571427,0.07571248336916371,0.21428571428571427,8,342.85714285714283,0.7861949006959947
0.0,input-PSNR_q4,q1,14,10.318895408085414,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.21531701192718142
0.125,input-PSNR_q4,q1,14,10.318895408085414,,0.02291522707257952,-0.0019482272011893135,0.025304794311523438,-0.07244915962219238,0.1116096019744873,0.06040763854980469,0.043317159016927086,0.01603253682454427,-0.09741020202636719,0.11330127716064453,0.0010618013995034353,0.5714285714285714,0.3259026690286936,0.5714285714285714,0,0.0,0.21531701192718142
