feature,accept_auc,accept_pr_auc,accept_spearman,accept_brier_minmax,risk_auc,risk_pr_auc,risk_spearman,risk_brier_minmax,note
depth_far_ratio_lt_0_33,0.5139168212980144,0.5013670833525774,0.024104541131522866,0.28987562890350804,0.46818604964165145,0.4380043674799702,-0.054845395084597945,0.31868390904253907,AUC orientation uses high feature score as positive; values below 0.5 may still be useful after inversion.
depth_image_edge_mismatch,0.4665385170946344,0.4769096373743826,-0.05795674700006476,0.2869703944726415,0.542042867237183,0.5013499496940472,0.0724794512514068,0.2807801607132274,AUC orientation uses high feature score as positive; values below 0.5 may still be useful after inversion.
depth_luma_std_ratio,0.5295614395715508,0.5342202593534298,0.05120170194045236,0.2980659132505211,0.5047499411164325,0.4518717301134177,0.008188621476582841,0.29155946002792493,AUC orientation uses high feature score as positive; values below 0.5 may still be useful after inversion.
udp_a0_absdiff_mean,0.5146390515450172,0.5210836927453597,0.025355475401821457,0.3644226616239549,0.5393286151706502,0.48436906284145637,0.06780023897907375,0.3304462071986479,AUC orientation uses high feature score as positive; values below 0.5 may still be useful after inversion.
udp_a0_absdiff_std,0.4816053511705686,0.48960021779395263,-0.031860333607374135,0.3506956780803014,0.5560179006045379,0.5046506462321382,0.09657159377755135,0.3067704746216693,AUC orientation uses high feature score as positive; values below 0.5 may still be useful after inversion.
udp_a0_absdiff_min,0.5064056267291859,0.4730664130917143,0.030359198967480724,0.5032171486941841,0.4946219674962707,0.49210576900056846,-0.0253697306217415,0.44992474735077526,AUC orientation uses high feature score as positive; values below 0.5 may still be useful after inversion.
udp_a0_absdiff_max,0.4673829709218991,0.4854555955861433,-0.0564941161609464,0.3622538057889587,0.5363451810809902,0.47888853075436344,0.06265697259708783,0.3192937297491244,AUC orientation uses high feature score as positive; values below 0.5 may still be useful after inversion.
udp_a0_absdiff_range,0.4673829709218991,0.4854555955861433,-0.0564941161609464,0.3622537252328923,0.5363451810809902,0.47888853075436344,0.06265697259708783,0.319294089693138,AUC orientation uses high feature score as positive; values below 0.5 may still be useful after inversion.
udp_a0_luma_shift_mean,0.3177368637429305,0.3943225756321915,-0.3156876969668146,0.2999073453889412,0.6723606141836495,0.6281845816827863,0.2971396470870999,0.2604241848730944,AUC orientation uses high feature score as positive; values below 0.5 may still be useful after inversion.
udp_a0_luma_shift_abs_mean,0.5206613406815631,0.5256304841300994,0.035786342701849716,0.36589986704229327,0.5366816586098991,0.48047448803299786,0.06323704023415391,0.33312746624192635,AUC orientation uses high feature score as positive; values below 0.5 may still be useful after inversion.
udp_a0_chroma_u_abs_mean,0.4823386926521406,0.4895198235676373,-0.030590154194455564,0.40792757587595097,0.5263854462252829,0.4778176267880206,0.04548697053993184,0.3605243634565698,AUC orientation uses high feature score as positive; values below 0.5 may still be useful after inversion.
udp_a0_chroma_v_abs_mean,0.45659396215513504,0.4757073954571087,-0.07518114964494536,0.36448991513464796,0.5580255498603618,0.4986035205904711,0.10003266401204564,0.3142687126463471,AUC orientation uses high feature score as positive; values below 0.5 may still be useful after inversion.
udp_a0_lowfreq_abs_mean,0.5173613040144891,0.5232334437175233,0.030070535343716148,0.36568409099542887,0.538464989513117,0.48257892993048745,0.06631139871060414,0.3319845550490732,AUC orientation uses high feature score as positive; values below 0.5 may still be useful after inversion.
udp_a0_highfreq_abs_mean,0.45973844153823934,0.4805537221525512,-0.0697347742834915,0.34888735949837646,0.5483237811101516,0.49574939492740266,0.08330738047664031,0.30248035759131137,AUC orientation uses high feature score as positive; values below 0.5 may still be useful after inversion.
udp_a0_low_high_abs_ratio,0.5498727763641819,0.5421457936174209,0.08638182264977276,0.33048170002616384,0.49470047891968283,0.4539625566983974,-0.009136065283790773,0.3169435363597382,AUC orientation uses high feature score as positive; values below 0.5 may still be useful after inversion.
