active_scene,candidate_minus_keep_psnr_db,candidate_minus_shuffled_psnr_db,candidate_minus_uniform_psnr_db,cell,fold,material_scene,population,scene,selected_area,selected_area_fraction,selected_harm_area,total_area
False,0.0,0.0,0.0,R2_L0,0,False,haze4k_train_oof,20d98de865ea0710b77257bef2f710b3d700564b17b215b3071aafd1af584022,0.0,0.0,0.0,307200.0
False,0.0,0.0,0.0,R2_L0,0,False,haze4k_train_oof,20de96507a80e581c8c784fbe4d0891b8f1997aee28cd2b15b28e7666f4a868e,0.0,0.0,0.0,307200.0
False,0.0,0.0,0.0,R2_L0,3,False,haze4k_train_oof,2115d0381d7cfcc2d3608981e7e5cd6276615b92b107229f649bf172c4af06d2,0.0,0.0,0.0,307200.0
False,0.0,0.0,0.0,R2_L0,1,False,haze4k_train_oof,217570835a6d5232092fafdac64f9b647768e0a4c8fbb73b37fced35f8c8e412,0.0,0.0,0.0,160000.0
False,0.0,0.0,0.0,R2_L0,3,False,haze4k_train_oof,2188fecca08acd9e41cf1892bc332435165eeed53d5f535c77146b1204289dc8,0.0,0.0,0.0,307200.0
False,0.0,0.0,0.0,R2_L0,4,False,haze4k_train_oof,219e839fa1ce8871b0ab0c9d4fba06e947a8bc80b8b358ff0f185e4b86fb1916,0.0,0.0,0.0,307200.0
False,0.0,0.0,0.0,R2_L0,4,False,haze4k_train_oof,2224c5eab6986290f92ce15936d3532e0bcbb168e6041386ac1c53a963b41d9e,0.0,0.0,0.0,307200.0
False,0.0,0.0,0.0,R2_L0,2,False,haze4k_train_oof,2249e7451b17baa17c1ef663f51727d7c2acc24d99306e2980980f2bec0459d3,0.0,0.0,0.0,307200.0
False,0.0,0.0,0.0,R2_L0,0,False,haze4k_train_oof,226713ece6fba9ea091d10ab6eb8e65af8e962d558c5b485f16e3c80d1db7906,0.0,0.0,0.0,307200.0
False,0.0,0.0,0.0,R2_L0,4,False,haze4k_train_oof,22f6dcd0636864764206eeb4b5d487fe4f82f973709563dbe20133b9261e4cf8,0.0,0.0,0.0,160000.0
False,0.0,0.0,0.0,R2_L0,2,False,haze4k_train_oof,2339a5741eb8ac5eedc1c46527db0ad6ee23e8abc1998c1f0904a1bec550dc2b,0.0,0.0,0.0,307200.0
