variant,threshold,coverage,recall,precision,false_global,false_per_image_mean,false_per_image_p90,false_per_image_p95,ldhn_recall,ldhn_precision,ldhn_per_image_recall_p50,ldhn_per_image_recall_p75,ldhn_per_image_recall_p90,ldhn_images_with_support,pearson,spearman,auroc,auprc,auroc_high_vs_hard_negative,monotonic_pairs,monotonic_valid_pairs,target_high_prevalence
density_only_matched_threshold,0.02760862885043025,0.9155753580729167,0.976352760630542,0.453522881911082,0.6313618352051568,0.6819060336525495,1.0,1.0,0.9134772512255956,0.3330610075723066,0.8927038626609443,0.9735042735042735,0.997943797121316,599,0.2868388830789233,0.29970460342877375,0.6974356174748199,0.5396013884021774,0.8383259856739231,4,4,0.42529134114583333
density_only_matched_threshold,0.03185881661872069,0.90750244140625,0.9726137490001875,0.45580506107310387,0.611784995871681,0.6605518811199712,1.0,1.0,0.90154495208521,0.3363018498349417,0.8740157480314961,0.9665042630937881,0.9954389965792474,599,0.2868388830789233,0.29970460342877375,0.6974356174748199,0.5396013884021774,0.8383259856739231,4,4,0.42529134114583333
density_only_matched_threshold,0.036215292662382124,0.8997355143229167,0.9687360074091367,0.4579068284498392,0.5940125029089507,0.6414236010674818,1.0,1.0,0.8895266462363012,0.33911677912575283,0.8544600938967136,0.9597780859916782,0.9927007299270073,599,0.2868388830789233,0.29970460342877375,0.6974356174748199,0.5396013884021774,0.8383259856739231,4,4,0.42529134114583333
density_only_matched_threshold,0.04069897290319204,0.891986083984375,0.9646238600224264,0.4599244119344295,0.5774354691141169,0.622603885426664,1.0,1.0,0.8771960002353868,0.34172793177573885,0.8312236286919831,0.9515050167224081,0.9900332225913622,599,0.2868388830789233,0.29970460342877375,0.6974356174748199,0.5396013884021774,0.8383259856739231,4,4,0.42529134114583333
density_only_matched_threshold,0.04527253732085228,0.88432373046875,0.9603576745414257,0.4618577895324836,0.5616968506823681,0.604621974513495,1.0,1.0,0.8652003277308261,0.3442478864310132,0.8050314465408805,0.9449838187702265,0.9870689655172413,599,0.2868388830789233,0.29970460342877375,0.6974356174748199,0.5396013884021774,0.8383259856739231,4,4,0.42529134114583333
density_only_matched_threshold,0.04993351921439171,0.876488037109375,0.9558953535987509,0.4638215237572636,0.5463854096599476,0.5867011244892892,1.0,1.0,0.8532363419083531,0.34669857304193324,0.7863501483679525,0.9364864864864865,0.9839438033115906,599,0.2868388830789233,0.29970460342877375,0.6974356174748199,0.5396013884021774,0.8383259856739231,4,4,0.42529134114583333
density_only_matched_threshold,0.05,0.8763850911458333,0.9558341210643745,0.4638462924202945,0.5462164514308849,0.5865654059609505,1.0,1.0,0.8530824351667852,0.3467278715066326,0.7853610286844708,0.9364864864864865,0.9839438033115906,599,0.2868388830789233,0.29970460342877375,0.6974356174748199,0.5396013884021774,0.8383259856739231,4,4,0.42529134114583333
density_only_matched_threshold,0.054674292604128524,0.8687410481770833,0.9513201351708196,0.46571785343261746,0.532033523862959,0.5696684482486959,1.0,1.0,0.8413221494434461,0.3490204989145866,0.774671052631579,0.927797833935018,0.978601997146933,599,0.2868388830789233,0.29970460342877375,0.6974356174748199,0.5396013884021774,0.8383259856739231,4,4,0.42529134114583333
density_only_matched_threshold,0.059535056352615356,0.86091796875,0.9463507323028408,0.46749491443393304,0.5182554584665606,0.55220697430475,1.0,1.0,0.8282491297479098,0.3509097290279027,0.7628571428571429,0.9193548387096774,0.9743223965763196,599,0.2868388830789233,0.29970460342877375,0.6974356174748199,0.5396013884021774,0.8383259856739231,4,4,0.42529134114583333
density_only_matched_threshold,0.06447139792144298,0.8527714029947917,0.940812058216832,0.4691986863068532,0.5047419880326568,0.5360677765813405,0.9977426636568849,1.0,0.8139176961066121,0.35233636801862356,0.7347826086956522,0.9065155807365439,0.9716981132075472,599,0.2868388830789233,0.29970460342877375,0.6974356174748199,0.5396013884021774,0.8383259856739231,4,4,0.42529134114583333
density_only_matched_threshold,0.06938038766384125,0.8448258463541667,0.9352111948380973,0.47079196857402117,0.49240803731107763,0.5207328284286853,0.9904306220095693,1.0,0.8000932493787147,0.35352391848294595,0.7159090909090909,0.8939566704675028,0.967741935483871,599,0.2868388830789233,0.29970460342877375,0.6974356174748199,0.5396013884021774,0.8383259856739231,4,4,0.42529134114583333
