variant,name,threshold,ldhn_pixels,ldhn_recall,pred_high_coverage
density_only_matched_threshold,1281_0.89_0.85.png,0.43738746643066406,271,0.2177121771217712,0.11181640625
d7c_mc_topk_hn_ordinal,1282_0.62_0.6.png,0.5773006677627563,2524,0.002377179080824089,0.003173828125
d7c_mc_hn_ordinal,1282_0.62_0.6.png,0.5773006677627563,2524,0.011885895404120444,0.0185546875
density_only_matched_threshold,1282_0.62_0.6.png,0.43738746643066406,2524,0.03645007923930269,0.091552734375
d7c_mc_topk_hn_ordinal,1292_0.66_1.45.png,0.5773006677627563,693,0.03607503607503607,0.4189453125
d7c_mc_hn_ordinal,1292_0.66_1.45.png,0.5773006677627563,693,0.10678210678210678,0.525634765625
density_only_matched_threshold,1292_0.66_1.45.png,0.43738746643066406,693,0.007215007215007215,0.30615234375
d7c_mc_topk_hn_ordinal,1297_0.99_0.69.png,0.5773006677627563,9,0.0,0.115478515625
d7c_mc_hn_ordinal,1297_0.99_0.69.png,0.5773006677627563,9,0.0,0.151611328125
density_only_matched_threshold,1297_0.99_0.69.png,0.43738746643066406,9,0.0,0.000244140625
d7c_mc_topk_hn_ordinal,129_0.95_1.3.png,0.5773006677627563,43,0.8372093023255814,0.342529296875
d7c_mc_hn_ordinal,129_0.95_1.3.png,0.5773006677627563,43,0.8604651162790697,0.367919921875
density_only_matched_threshold,129_0.95_1.3.png,0.43738746643066406,43,0.6744186046511628,0.236572265625
d7c_mc_topk_hn_ordinal,1305_1.0_1.54.png,0.5773006677627563,72,0.125,0.535400390625
d7c_mc_hn_ordinal,1305_1.0_1.54.png,0.5773006677627563,72,0.2916666666666667,0.51123046875
density_only_matched_threshold,1305_1.0_1.54.png,0.43738746643066406,72,0.08333333333333333,0.553955078125
d7c_mc_topk_hn_ordinal,1306_0.6_0.6.png,0.5773006677627563,242,0.0,0.0
d7c_mc_hn_ordinal,1306_0.6_0.6.png,0.5773006677627563,242,0.0,0.0
density_only_matched_threshold,1306_0.6_0.6.png,0.43738746643066406,242,0.45867768595041325,0.31005859375
