policy,n,mean_psnr_delta,median_psnr_delta,p10_psnr_delta,p05_psnr_delta,worst_psnr_delta,best_psnr_delta,positive_ratio,regression_le_0p2_count,regression_le_0p5_count,mean_mse_gain,mean_alpha_mass_fraction,mean_binary_active_fraction,mean_boundary_ratio,mean_component_count,mean_largest_component,mean_selected_count
INTERIOR3_OPEN_TOP_0.5,600,0.31729177083742915,0.23024228017150605,0.01894580857046648,0.0050397309863271286,-0.0006551269139265514,1.5221671910328638,0.9866666666666667,0,0,1.8961854849900797e-05,0.3160191594529897,0.316019160042646,1.9057386210351426,714.7083333333334,599.3466666666667,6788.581666666667
MAJORITY3_FROM_OPEN_TOP_0.5,600,0.22095411899034806,0.17326513989727133,0.024409753762862606,0.007840061970798118,-0.005157921672200416,1.041882623784275,0.9883333333333333,0,0,1.2215784751485141e-05,0.3904849725092451,0.3904849727828539,1.123352972120054,212.90666666666667,2074.1033333333335,7685.553333333333
MAJORITY5_FROM_OPEN_TOP_0.5,600,0.13212598806214632,0.10025977148589504,0.006799329324609714,0.0012193766160766726,-0.0022165720028866076,0.7204288576492104,0.9683333333333334,0,0,6.961903667009513e-06,0.30416391662166764,0.30416391675327425,0.8857646923734649,122.75666666666666,2260.64,6684.366666666667
OPEN_TOP_0.25,600,0.36259325812839116,0.29899932042456356,0.052371401962405174,0.021980202591786836,-0.00024148151366887305,1.437225326707896,0.9966666666666667,0,0,2.0669630306050143e-05,0.2508356246848901,0.25083562519848246,2.428656928245737,1228.0166666666667,134.55333333333334,4366.57
OPEN_TOP_0.5,600,0.4116953788592617,0.33818029021220397,0.06077173794563464,0.025131842203379228,-0.0005985447974339309,1.6877758232218767,0.995,0,0,2.320034770339892e-05,0.4999978189667066,0.49999782090905476,1.8712607693444754,946.7,747.1866666666666,8733.151666666667
OPEN_TOP_0.75,600,0.36310887701476263,0.28872359112618895,0.049680125230709395,0.022151903794544126,-0.005186050635856532,1.5344037271209814,0.9916666666666667,0,0,2.0354827250533465e-05,0.7491643725832303,0.7491643748015175,1.1387688870679722,294.785,9470.591666666667,13099.635
OPEN_TOP_1,600,0.012783813961729357,-0.0010759805321356453,-0.12151199691896011,-0.17617702338978383,-0.40053883645291677,0.5147968323806609,0.485,23,0,-7.947499261717894e-07,0.9983333247900009,0.9983333333333333,0.45312384521813914,75.44,15148.495,17466.203333333335
SMOOTH3_OPEN_TOP_0.5,600,0.25368956515692637,0.2017887025767635,0.03462765002132713,0.01545810502190328,-0.004614067876119066,1.089156712391322,0.99,0,0,1.3925607648464696e-05,0.5008892606198788,0.5008892624482914,1.1576270580491115,291.82166666666666,2181.5666666666666,8733.17
SMOOTH5_OPEN_TOP_0.5,600,0.17633198858937257,0.14378405456441712,0.025283786439666046,0.010115494585819108,-0.016309012339164042,0.7618546217564273,0.9883333333333333,0,0,9.07195223741534e-06,0.5017261192699274,0.5017261215653854,0.9410555731741252,208.42,2765.2183333333332,8733.24
UNIFORM_ALPHA_0.25,600,0.004157011005833138,4.4148672589727767e-05,-0.029310782107722134,-0.042919405031708276,-0.10151708703494933,0.12862673659554957,0.505,0,0,-1.5910477941361022e-07,0.24958333119750023,0.0,0.0,0.0,0.0,0.0
UNIFORM_ALPHA_0.5,600,0.007696982140998999,-5.76275919108582e-05,-0.05985603287445898,-0.08493040225810873,-0.20008788946405787,0.2561777240802172,0.49833333333333335,1,0,-3.416377876419574e-07,0.49916666239500046,0.0,0.0,0.0,0.0,0.0
UNIFORM_ALPHA_0.75,600,0.010537812432394933,-0.0003762684558097362,-0.08976168492830112,-0.12933760103779762,-0.30229534034742045,0.3854874195763074,0.48833333333333334,6,0,-5.565580340771703e-07,0.7487499989072481,0.9983333333333333,0.45312384521813914,75.44,15148.495,17466.203333333335
