operator_label,split,feature,bin,n,feature_min,feature_max,direct_severe_le_0p2_rate,direct_hard_le_0p5_rate,fixed025_severe_le_0p2_rate,fixed05_severe_le_0p2_rate,wrong_direction_rate,harmful_overshoot_rate,wrong_or_harmful_rate,oracle_image_alpha_eq0_rate,oracle_image_alpha_le_0p125_rate,oracle_image_alpha_gt_0p125_rate,direct_psnr_delta_mean,fixed_alpha_0p125_psnr_delta_mean,fixed_alpha_0p25_psnr_delta_mean,oracle_image_selected_alpha_mean,alpha_star_mean,oracle_image_psnr_delta_mean
D_ref,CONFIRM_AUDIT_ONLY,t_p10,3,120,0.10980392247438431,0.18431372940540314,0.325,0.08333333333333333,0.016666666666666666,0.06666666666666667,0.275,0.35833333333333334,0.6333333333333333,0.275,0.3333333333333333,0.6666666666666666,-0.023407100133674152,0.0289515490880819,0.048885286456923985,0.4122395833333333,0.4990748046593533,0.16173775953856237
D_ref,CONFIRM_AUDIT_ONLY,t_p10,4,120,0.1882352977991104,0.7686274647712708,0.26666666666666666,0.058333333333333334,0.008333333333333333,0.03333333333333333,0.38333333333333336,0.225,0.6083333333333333,0.39166666666666666,0.475,0.525,-0.03293581191592061,0.01555399742423571,0.025497027444220895,0.40260416666666665,0.4092752594761789,0.10914212746400587
D_ref,OOF,t_p10,0,274,0.007843137718737125,0.0313725508749485,0.13503649635036497,0.05474452554744526,0.010948905109489052,0.05474452554744526,0.16058394160583941,0.10583941605839416,0.2664233576642336,0.1678832116788321,0.19708029197080293,0.8029197080291971,0.2902173935642086,0.05148683212915834,0.09894234620008643,0.7327782846715328,1.6253337283841685,0.36964815486820063
D_ref,OOF,t_p10,1,256,0.0313725508749485,0.05882352963089943,0.140625,0.0703125,0.0078125,0.0546875,0.20703125,0.1484375,0.35546875,0.2109375,0.24609375,0.75390625,0.15087145773725877,0.03475181593707588,0.06516016617662447,0.642333984375,1.2391615935813762,0.24132772775682265
D_ref,OOF,t_p10,2,267,0.05882352963089943,0.10980392247438431,0.2546816479400749,0.13857677902621723,0.0299625468164794,0.11235955056179775,0.27340823970037453,0.2546816479400749,0.5280898876404494,0.2808988764044944,0.34831460674157305,0.651685393258427,0.03736650991991622,0.030378913752936776,0.05350153171463422,0.49122191011235955,0.5992586290439142,0.21834478059699555
D_ref,OOF,t_p10,3,246,0.10980392247438431,0.18039216101169586,0.3089430894308943,0.10569105691056911,0.008130081300813009,0.08536585365853659,0.3130081300813008,0.3048780487804878,0.6178861788617886,0.3333333333333333,0.4146341463414634,0.5853658536585366,-0.0592268533401955,0.020856698595489682,0.03365685470432132,0.389989837398374,nan,0.12455354185970946
D_ref,OOF,t_p10,4,246,0.18039216101169586,0.8352941274642944,0.3333333333333333,0.13008130081300814,0.0040650406504065045,0.10975609756097561,0.4065040650406504,0.3008130081300813,0.7073170731707317,0.4349593495934959,0.532520325203252,0.46747967479674796,-0.1050314051073355,0.008452022086625063,0.01064500448626891,0.31389735772357724,0.25815399106467635,0.08740469928287263
D_rep,CONFIRM_AUDIT_ONLY,t_p10,0,125,0.007843137718737125,0.027450980618596077,0.064,0.024,0.024,0.024,0.112,0.064,0.176,0.112,0.112,0.888,0.46452105260553506,0.07162881582532467,0.1398031198269162,0.81125,2.19212469157731,0.5167774379575527
D_rep,CONFIRM_AUDIT_ONLY,t_p10,1,140,0.027450980618596077,0.054901961237192154,0.12142857142857143,0.06428571428571428,0.02857142857142857,0.06428571428571428,0.18571428571428572,0.12142857142857143,0.30714285714285716,0.19285714285714287,0.2357142857142857,0.7642857142857142,0.22794817056018724,0.04218211911918198,0.08062709900292866,0.6930803571428571,1.374219911749835,0.32431925018720004
D_rep,CONFIRM_AUDIT_ONLY,t_p10,2,126,0.054901961237192154,0.10588235408067703,0.30952380952380953,0.16666666666666666,0.031746031746031744,0.1349206349206349,0.3492063492063492,0.2222222222222222,0.5714285714285714,0.3492063492063492,0.42063492063492064,0.5793650793650794,-0.04203511432066636,0.020102167773690432,0.03289698398147771,0.44518849206349204,0.5851866684789799,0.1730567872951213
D_rep,CONFIRM_AUDIT_ONLY,t_p10,3,120,0.10980392247438431,0.18431372940540314,0.3416666666666667,0.10833333333333334,0.016666666666666666,0.08333333333333333,0.25833333333333336,0.39166666666666666,0.65,0.26666666666666666,0.3333333333333333,0.6666666666666666,-0.04089819546600462,0.02860512124487909,0.04764988995714603,0.42083333333333334,0.5015606236207616,0.16471947585451324
D_rep,CONFIRM_AUDIT_ONLY,t_p10,4,120,0.1882352977991104,0.7686274647712708,0.30833333333333335,0.06666666666666667,0.008333333333333333,0.058333333333333334,0.4,0.19166666666666668,0.5916666666666667,0.4083333333333333,0.4666666666666667,0.5333333333333333,-0.04663747123772086,0.014949966238058525,0.023960452039292097,0.40677083333333336,0.4012220695858714,0.11445682711395216
D_rep,OOF,t_p10,0,274,0.007843137718737125,0.0313725508749485,0.13138686131386862,0.051094890510948905,0.010948905109489052,0.05474452554744526,0.15693430656934307,0.10948905109489052,0.2664233576642336,0.16058394160583941,0.18248175182481752,0.8175182481751825,0.29028218188124105,0.05143615678464273,0.09885525238428425,0.7387089416058394,1.6497293076142867,0.36859131888626745
D_rep,OOF,t_p10,1,256,0.0313725508749485,0.05882352963089943,0.13671875,0.0703125,0.0078125,0.05859375,0.2109375,0.15234375,0.36328125,0.21875,0.24609375,0.75390625,0.15381232504931758,0.03507385732477933,0.06582210725523006,0.6395263671875,1.2359029926113632,0.24348268714645518
