operator_label,split,policy,n,mean_psnr_delta,median_psnr_delta,p10_psnr_delta,p05_psnr_delta,worst_psnr_delta,best_psnr_delta,positive_ratio,regression_le_0p2_count,regression_le_0p5_count,mean_selected_alpha_mean,mean_selected_alpha_p10,mean_selected_alpha_p50,mean_selected_alpha_p90,mean_selected_alpha_zero_fraction,mean_selected_alpha_one_fraction
D_ref,OOF,A0,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,
D_ref,OOF,DIRECT_CONTEXT_ALPHA1,1200,0.06624811047236256,0.0010985250302582017,-0.49834547433851384,-0.6962827339535955,-1.595989665264561,1.7311342483852243,0.5066666666666667,277,119,,,,,,
D_ref,OOF,FIXED_ALPHA_0,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,
D_ref,OOF,FIXED_ALPHA_0.125,1200,0.029689009584344176,0.015116644764027853,-0.027498928539890954,-0.05609489554154976,-0.1807113331413035,0.25452661824756717,0.6908333333333333,0,0,,,,,,
D_ref,OOF,FIXED_ALPHA_0.25,1200,0.05336717762686226,0.023767955003322072,-0.060696511913518235,-0.1202351084785466,-0.3691235684731069,0.4915728097730252,0.6633333333333333,15,0,,,,,,
D_ref,OOF,FIXED_ALPHA_0.375,1200,0.07093021551043374,0.028971478616583113,-0.10706294674313384,-0.19469162414657967,-0.5639356963504198,0.7073058809466204,0.6375,58,2,,,,,,
D_ref,OOF,FIXED_ALPHA_0.5,1200,0.08231441138353332,0.029928210751361206,-0.16030060348990885,-0.26938688419595513,-0.7639513577504218,0.9089715230975415,0.6225,99,5,,,,,,
D_ref,OOF,FIXED_ALPHA_0.75,1200,0.0865025250666295,0.01796400606826154,-0.3171466444935277,-0.46960125230897987,-1.1753827120750842,1.3366214342182303,0.5558333333333333,190,50,,,,,,
D_ref,OOF,FIXED_ALPHA_1,1200,0.06624811047236256,0.0010985250302582017,-0.49834547433851384,-0.6962827339535955,-1.595989665264561,1.7311342483852243,0.5066666666666667,277,119,,,,,,
D_ref,OOF,HARD_D7C_ALPHA1,1200,0.01692525565241966,0.0005363139743366219,-0.10607614545783475,-0.16106039304023057,-0.4197341383542934,0.6195595116582595,0.5066666666666667,35,0,,,,,,
D_ref,OOF,ORACLE_BLOCK16_GRID,1200,0.3876183179680602,0.2676779444767057,0.008170023954667727,0.002027641037229344,0.0,2.0538563882051903,0.9966666666666667,0,0,0.25459290538194446,0.0030677083333333337,0.14567708333333335,0.6955130208333332,0.6893007222222222,0.20418566666666668
D_ref,OOF,ORACLE_BLOCK32_GRID,1200,0.36050203129335007,0.23917105058609067,0.006415880788610907,0.0012710856318019382,0.0,1.9517151187425554,0.995,0,0,0.2994488057815582,0.00525,0.1975390625,0.7627994791666668,0.6237417159763313,0.232530161078238
D_ref,OOF,ORACLE_IMAGE_GRID,1200,0.2105367715718314,0.038839078786171655,0.0,0.0,0.0,1.7311342483852243,0.7175,0,0,0.5165104166666666,0.5165104166666666,0.5165104166666666,0.5165104166666666,0.2825,0.35333333333333333
D_ref,OOF,ORACLE_PIXEL_SCALAR_CONTINUOUS,1200,0.45142436615936615,0.32117904407964915,0.01531200761473528,0.004373059339406283,0.0,2.2891052468740085,0.9991666666666666,0,0,0.16997180491199695,0.0,0.0570174346353997,0.5236969432344776,0.8020956161024305,0.14337982411024305
D_rep,CONFIRM_AUDIT_ONLY,A0,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,
D_rep,CONFIRM_AUDIT_ONLY,DIRECT_CONTEXT_ALPHA1,600,0.09507754991897907,0.014887059726660823,-0.4707093815923756,-0.7004810032617798,-1.5806474634723955,1.5510648673133645,0.5316666666666666,141,54,,,,,,
D_rep,CONFIRM_AUDIT_ONLY,FIXED_ALPHA_0,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,
D_rep,CONFIRM_AUDIT_ONLY,FIXED_ALPHA_0.125,600,0.033420217975809144,0.021929182339434306,-0.02702190345584015,-0.053757384301053784,-0.17002211261950606,0.2045490995253303,0.7116666666666667,0,0,,,,,,
D_rep,CONFIRM_AUDIT_ONLY,FIXED_ALPHA_0.25,600,0.060789118046800115,0.03788192362290488,-0.06502553810824381,-0.11427984428021319,-0.3508152115304597,0.4076544802355073,0.6883333333333334,14,0,,,,,,
D_rep,CONFIRM_AUDIT_ONLY,FIXED_ALPHA_0.375,600,0.08200659265124871,0.04490676399814575,-0.10861489443685528,-0.18241889031443784,-0.5407991524756213,0.608622311638527,0.6616666666666666,26,2,,,,,,
D_rep,CONFIRM_AUDIT_ONLY,FIXED_ALPHA_0.5,600,0.09701217689741973,0.04260103874751309,-0.16695720343690537,-0.26612475867536495,-0.7385024531802316,0.8066715792909847,0.64,46,9,,,,,,
D_rep,CONFIRM_AUDIT_ONLY,FIXED_ALPHA_0.75,600,0.10834440331195822,0.036121410399729825,-0.2994128583532067,-0.46443132967458634,-1.1516808971479122,1.1904728063543146,0.5916666666666667,101,24,,,,,,
D_rep,CONFIRM_AUDIT_ONLY,FIXED_ALPHA_1,600,0.09507754991897907,0.014887059726660823,-0.4707093815923756,-0.7004810032617798,-1.5806474634723955,1.5510648673133645,0.5316666666666666,141,54,,,,,,
D_rep,CONFIRM_AUDIT_ONLY,HARD_D7C_ALPHA1,600,0.008634343867902773,0.0019312297462281691,-0.13134300922241735,-0.1759438353143171,-0.3497653327339876,0.6653993149518982,0.5166666666666667,23,0,,,,,,
D_rep,CONFIRM_AUDIT_ONLY,ORACLE_BLOCK16_GRID,600,0.4214387612066112,0.3178776414271951,0.017650658522197913,0.007383488329212895,0.0,1.7008215725832514,0.9983333333333333,0,0,0.2665188680555555,0.0022291666666666666,0.16231770833333334,0.7114114583333333,0.6822340000000001,0.21786311111111115
D_rep,CONFIRM_AUDIT_ONLY,ORACLE_BLOCK32_GRID,600,0.3945991723559671,0.28168696872361565,0.014193901847057332,0.005752275982370491,0.0,1.6591688726479674,0.9966666666666667,0,0,0.3121374229536489,0.007927083333333336,0.21317708333333332,0.7874895833333335,0.6177436883629192,0.2478426035502959
D_rep,CONFIRM_AUDIT_ONLY,ORACLE_IMAGE_GRID,600,0.24567568684910454,0.06050456195116283,0.0,0.0,0.0,1.5510648673133645,0.73,0,0,0.54625,0.54625,0.54625,0.54625,0.27,0.39666666666666667
D_rep,CONFIRM_AUDIT_ONLY,ORACLE_PIXEL_SCALAR_CONTINUOUS,600,0.48341593604935934,0.3779159678530277,0.029583519804755553,0.015556090793934984,4.073744806731838e-05,1.7782472543003678,1.0,0,0,0.17710741960439308,0.0,0.06950584268507858,0.5270069811257222,0.7971999060329861,0.1516805006510417
D_rep,OOF,A0,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,
D_rep,OOF,DIRECT_CONTEXT_ALPHA1,1200,0.06937776418769262,0.0011987381658329355,-0.48723289395695774,-0.687718073828335,-1.6197223196612995,1.6784765136320914,0.5108333333333334,268,113,,,,,,
D_rep,OOF,FIXED_ALPHA_0,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,
D_rep,OOF,FIXED_ALPHA_0.125,1200,0.02990357856870741,0.0160502861799543,-0.026953887847050592,-0.055776525556927935,-0.1857003915724178,0.2563632867078667,0.7058333333333333,0,0,,,,,,
D_rep,OOF,FIXED_ALPHA_0.25,1200,0.05385296316941057,0.025240279279518774,-0.06099263204991486,-0.11916188748262932,-0.378422925912858,0.4964725508051586,0.6725,14,0,,,,,,
D_rep,OOF,FIXED_ALPHA_0.375,1200,0.07174142659680448,0.03021585022855433,-0.10322102431531732,-0.1961370366486886,-0.5769153266174953,0.7166374600346259,0.6416666666666667,57,2,,,,,,
D_rep,OOF,FIXED_ALPHA_0.5,1200,0.08350203424167876,0.03232422838559401,-0.15733631448145147,-0.2751209043251256,-0.7800446115531159,0.9130188143844364,0.62,100,6,,,,,,
D_rep,OOF,FIXED_ALPHA_0.75,1200,0.08858193896899491,0.01971976339456205,-0.30329764480282007,-0.4733294950907837,-1.1961555418520575,1.2974052216414407,0.5666666666666667,191,52,,,,,,
D_rep,OOF,FIXED_ALPHA_1,1200,0.06937776418769262,0.0011987381658329355,-0.48723289395695774,-0.687718073828335,-1.6197223196612995,1.6784765136320914,0.5108333333333334,268,113,,,,,,
D_rep,OOF,HARD_D7C_ALPHA1,1200,0.01692525565241966,0.0005363139743366219,-0.10607614545783475,-0.16106039304023057,-0.4197341383542934,0.6195595116582595,0.5066666666666667,35,0,,,,,,
D_rep,OOF,ORACLE_BLOCK16_GRID,1200,0.3861593080463274,0.26827509823111484,0.007005510737037214,0.0017166505570788363,0.0,2.0915865358792445,0.9966666666666667,0,0,0.2543659652777778,0.002390625,0.14450520833333333,0.6959687499999999,0.6893291388888889,0.20366338888888888
D_rep,OOF,ORACLE_BLOCK32_GRID,1200,0.3594554971468048,0.24030097888201496,0.005435056815221629,0.0011244572421286847,0.0,1.9891835249438614,0.995,0,0,0.29916450423241286,0.004088541666666667,0.19408854166666667,0.7626875000000001,0.6234563938198554,0.23201752136752135
D_rep,OOF,ORACLE_IMAGE_GRID,1200,0.21170188190638528,0.04093068184794291,0.0,0.0,0.0,1.6784765136320914,0.7241666666666666,0,0,0.523515625,0.523515625,0.523515625,0.523515625,0.2758333333333333,0.36
D_rep,OOF,ORACLE_PIXEL_SCALAR_CONTINUOUS,1200,0.4487807032413309,0.32281491258002326,0.014326464723217925,0.005326928797319398,0.0,2.3080755946707825,0.9991666666666666,0,0,0.16969810351446998,0.0,0.05428117143921554,0.5223771765609464,0.8020813234592014,0.14300812087673612
