low_size,K,index,name,anchor_psnr,router_output_psnr,oracle_psnr,router_output_gain,oracle_gain,coeff_mse,coeff_mae,lowspace_weighted_field_l1,lowspace_field_corr,full_field_corr,P_benefit,proxy_score,M_safe_mean,target_abs_mean,pred_abs_mean
48,4,4,1004_0.91_1.17.png,37.05818557739258,37.5130615234375,37.72386169433594,0.4548759460449219,0.6656761169433594,2.9098751852529858e-08,0.00014869309961795807,0.006604193112032452,0.47604894638061523,0.4661417603492737,1.0,0.9999440908432007,0.07627230137586594,0.01114090345799923,0.010669798590242863
48,8,4,1004_0.91_1.17.png,37.05818557739258,37.54777908325195,37.72386169433594,0.489593505859375,0.6656761169433594,2.0785789089927675e-08,0.00010723830200731754,0.005401376087223754,0.6520422101020813,0.6399049162864685,1.0,0.9999440908432007,0.07627230137586594,0.01114090345799923,0.01062703039497137
48,16,4,1004_0.91_1.17.png,37.05818557739258,37.57649230957031,37.72386169433594,0.5183067321777344,0.6656761169433594,8.61255866624333e-09,6.311602191999555e-05,0.004840892890533427,0.7344792485237122,0.7241987586021423,1.0,0.9999440908432007,0.07627230137586594,0.01114090345799923,0.010856537148356438
48,32,4,1004_0.91_1.17.png,37.05818557739258,37.628456115722656,37.72386169433594,0.5702705383300781,0.6656761169433594,4.884796123150181e-09,4.321174856158905e-05,0.0038195551594902635,0.8464905619621277,0.8425717949867249,1.0,0.9999440908432007,0.07627230137586594,0.01114090345799923,0.011059370823204517
48,48,4,1004_0.91_1.17.png,37.05818557739258,37.654762268066406,37.72386169433594,0.5965766906738281,0.6656761169433594,3.299556849967189e-09,3.290106906206347e-05,0.0031102879242055495,0.8973435759544373,0.8965698480606079,1.0,0.9999440908432007,0.07627230137586594,0.01114090345799923,0.011019382625818253
32,4,5,1005_0.74_1.81.png,38.33662796020508,38.61282730102539,39.121376037597656,0.2761993408203125,0.7847480773925781,8.687917052441207e-10,2.415478229522705e-05,0.006160202207517635,0.5898808240890503,0.5881707072257996,1.0,0.9999839067459106,0.11804071068763733,0.007624668534845114,0.005351236555725336
32,8,5,1005_0.74_1.81.png,38.33662796020508,38.68083953857422,39.121376037597656,0.3442115783691406,0.7847480773925781,6.322551926452036e-10,1.9665341824293137e-05,0.005389791897877028,0.6929064989089966,0.6876406669616699,1.0,0.9999839067459106,0.11804071068763733,0.007624668534845114,0.005432031117379665
32,16,5,1005_0.74_1.81.png,38.33662796020508,38.72132873535156,39.121376037597656,0.3847007751464844,0.7847480773925781,5.544797954115666e-10,1.9593531760619953e-05,0.005082073423074005,0.7337414622306824,0.729281485080719,1.0,0.9999839067459106,0.11804071068763733,0.007624668534845114,0.005708232522010803
32,32,5,1005_0.74_1.81.png,38.33662796020508,38.768760681152344,39.121376037597656,0.4321327209472656,0.7847480773925781,3.5269182019348477e-10,1.4831392036285251e-05,0.004694147953523948,0.7829278111457825,0.774852454662323,1.0,0.9999839067459106,0.11804071068763733,0.007624668534845114,0.005795121658593416
32,48,5,1005_0.74_1.81.png,38.33662796020508,38.818031311035156,39.121376037597656,0.4814033508300781,0.7847480773925781,2.770598750423403e-10,1.2464753126550931e-05,0.0042463696590196885,0.831592321395874,0.8197689652442932,1.0,0.9999839067459106,0.11804071068763733,0.007624668534845114,0.006188731640577316
48,4,5,1005_0.74_1.81.png,38.33662796020508,38.61332321166992,39.121376037597656,0.27669525146484375,0.7847480773925781,1.2532213045091112e-09,3.2491981983184814e-05,0.006239318656226258,0.5856950283050537,0.58681720495224,1.0,0.9999839067459106,0.11804071068763733,0.007624668534845114,0.005335457623004913
48,8,5,1005_0.74_1.81.png,38.33662796020508,38.68108367919922,39.121376037597656,0.3444557189941406,0.7847480773925781,1.5069274716950076e-09,3.118254244327545e-05,0.005550182484882307,0.6852418184280396,0.6871506571769714,1.0,0.9999839067459106,0.11804071068763733,0.007624668534845114,0.005423021502792835
48,16,5,1005_0.74_1.81.png,38.33662796020508,38.723114013671875,39.121376037597656,0.3864860534667969,0.7847480773925781,1.0607393852168912e-09,2.728364779613912e-05,0.005198749469312541,0.7274799346923828,0.729413628578186,1.0,0.9999839067459106,0.11804071068763733,0.007624668534845114,0.005730746313929558
48,32,5,1005_0.74_1.81.png,38.33662796020508,38.76835250854492,39.121376037597656,0.43172454833984375,0.7847480773925781,8.075617952130187e-10,2.2590349544771016e-05,0.004840674119823336,0.771555483341217,0.7730236053466797,1.0,0.9999839067459106,0.11804071068763733,0.007624668534845114,0.005773411598056555
48,48,5,1005_0.74_1.81.png,38.33662796020508,38.82597351074219,39.121376037597656,0.4893455505371094,0.7847480773925781,5.398618774243857e-10,1.7926044165506028e-05,0.004308509485767954,0.825925350189209,0.8239738345146179,1.0,0.9999839067459106,0.11804071068763733,0.007624668534845114,0.006216670852154493
32,4,6,1006_0.89_1.55.png,37.09894561767578,37.45092010498047,38.48366165161133,0.3519744873046875,1.3847160339355469,8.424363429071491e-10,2.32672318816185e-05,0.0075851681521444956,0.5356302857398987,0.5380122065544128,1.0,0.9999990463256836,0.1934923231601715,0.008587831631302834,0.00519282603636384
32,8,6,1006_0.89_1.55.png,37.09894561767578,37.658206939697266,38.48366165161133,0.5592613220214844,1.3847160339355469,4.152421739789247e-10,1.615704968571663e-05,0.006519058272574336,0.6812296509742737,0.6801827549934387,1.0,0.9999990463256836,0.1934923231601715,0.008587831631302834,0.005985005293041468
32,16,6,1006_0.89_1.55.png,37.09894561767578,37.767822265625,38.48366165161133,0.6688766479492188,1.3847160339355469,4.864812996885348e-10,1.886938844108954e-05,0.0059089316692571775,0.7450765371322632,0.7433084845542908,1.0,0.9999990463256836,0.1934923231601715,0.008587831631302834,0.006397653836756945
32,32,6,1006_0.89_1.55.png,37.09894561767578,37.86363983154297,38.48366165161133,0.7646942138671875,1.3847160339355469,3.401753878584657e-10,1.512018934590742e-05,0.005412660987066149,0.7951565980911255,0.7919870615005493,1.0,0.9999990463256836,0.1934923231601715,0.008587831631302834,0.006468047853559256
32,48,6,1006_0.89_1.55.png,37.09894561767578,37.970516204833984,38.48366165161133,0.8715705871582031,1.3847160339355469,2.7410265723837313e-10,1.3038297765888274e-05,0.004715669664621393,0.8503801226615906,0.8425278067588806,1.0,0.9999990463256836,0.1934923231601715,0.008587831631302834,0.006899347063153982
48,4,6,1006_0.89_1.55.png,37.09894561767578,37.45287322998047,38.48366165161133,0.3539276123046875,1.3847160339355469,1.5185075419310579e-09,3.1750649213790894e-05,0.007682206948133048,0.5328158140182495,0.5374671220779419,1.0,0.9999990463256836,0.1934923231601715,0.008587831631302834,0.005200942046940327
48,8,6,1006_0.89_1.55.png,37.09894561767578,37.6607551574707,38.48366165161133,0.5618095397949219,1.3847160339355469,1.0945111483806613e-09,2.7546659111976624e-05,0.00664532746521078,0.6744128465652466,0.6800850033760071,1.0,0.9999990463256836,0.1934923231601715,0.008587831631302834,0.006016907747834921
48,16,6,1006_0.89_1.55.png,37.09894561767578,37.772220611572266,38.48366165161133,0.6732749938964844,1.3847160339355469,9.181417848225237e-10,2.547112489992287e-05,0.006050085733591768,0.7381722331047058,0.7437105774879456,1.0,0.9999990463256836,0.1934923231601715,0.008587831631302834,0.006430748384445906
48,32,6,1006_0.89_1.55.png,37.09894561767578,37.87102127075195,38.48366165161133,0.7720756530761719,1.3847160339355469,8.214625091262917e-10,2.3144995793700218e-05,0.005560065984979892,0.7878981232643127,0.7926021218299866,1.0,0.9999990463256836,0.1934923231601715,0.008587831631302834,0.006505426950752735
48,48,6,1006_0.89_1.55.png,37.09894561767578,37.99260711669922,38.48366165161133,0.8936614990234375,1.3847160339355469,5.600544472628144e-10,1.8737286154646426e-05,0.004736833276587914,0.847326934337616,0.8483954071998596,1.0,0.9999990463256836,0.1934923231601715,0.008587831631302834,0.007006215862929821
