count,coverage,mean_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,dSSIM,positive_ratio,strong_reference_cut_psnr,strong_reference_regression_count,strong_count_le_-0.05,strong_per_600,worst_count_le_-0.20,worst_per_600,true_vs_zero,true_vs_shuffle,true_vs_normal,max_outer_worst_per_600,feature_group,action_bank,score_mode,target_intervention,model_type,outer_groups,strict_gate_checks,strict_gate_pass,intervention_rate,mean_alpha,score
2400,1.0,0.0169875439008077,0.014411147435506184,0.019259033203125,5.419452985127767e-06,0.4945833333333333,42.80718994140625,53,131,32.75,1,0.25,0.0162106990814209,0.012856599489847818,0.013881371021270753,1.0,diagnostic_with_trans_gt,shrink,pred_positive_forced,0.7,nested_numpy_ridge_targeted_intervention,4,"{""coverage"": true, ""dssim"": true, ""hard"": false, ""max_outer_worst"": true, ""mean"": false, ""positive_ratio"": false, ""true_vs_normal"": false, ""true_vs_shuffle"": false, ""true_vs_zero"": false, ""worst"": true}",False,0.7,0.18041666666666667,0.04767228428522746
2400,1.0,0.01697660525639852,0.014417530695597331,0.01930312474568685,5.417987704277039e-06,0.4945833333333333,42.80718994140625,53,131,32.75,1,0.25,0.0162107785542806,0.012844557762145997,0.013873881498972574,1.0,diagnostic_with_trans_gt,shrink,pred_highpos,0.7,nested_numpy_ridge_targeted_intervention,4,"{""coverage"": true, ""dssim"": true, ""hard"": false, ""max_outer_worst"": true, ""mean"": false, ""positive_ratio"": false, ""true_vs_normal"": false, ""true_vs_shuffle"": false, ""true_vs_zero"": false, ""worst"": true}",False,0.7,0.18010416666666668,0.04766453727086385
2400,1.0,0.013860925833384196,0.012475074132283529,0.014826552073160807,4.632497827212016e-06,0.565,42.80718994140625,63,147,36.75,1,0.25,0.015196915467580159,0.011205154259999593,0.011619713306427002,1.0,Q_input_proxy,shrink,pred_highpos,0.85,nested_numpy_ridge_targeted_intervention,4,"{""coverage"": true, ""dssim"": true, ""hard"": false, ""max_outer_worst"": true, ""mean"": false, ""positive_ratio"": false, ""true_vs_normal"": false, ""true_vs_shuffle"": false, ""true_vs_zero"": false, ""worst"": true}",False,0.85,0.2125,0.04709846289952596
2400,1.0,0.013860925833384196,0.012475074132283529,0.014826552073160807,4.632497827212016e-06,0.565,42.80718994140625,63,147,36.75,1,0.25,0.015196915467580159,0.011205154259999593,0.011619713306427002,1.0,Q_input_proxy,shrink,pred_positive_forced,0.85,nested_numpy_ridge_targeted_intervention,4,"{""coverage"": true, ""dssim"": true, ""hard"": false, ""max_outer_worst"": true, ""mean"": false, ""positive_ratio"": false, ""true_vs_normal"": false, ""true_vs_shuffle"": false, ""true_vs_zero"": false, ""worst"": true}",False,0.85,0.2125,0.04709846289952596
2400,1.0,0.01592202107111613,0.012976840337117513,0.017927188873291016,5.120461185773214e-06,0.5183333333333333,42.80718994140625,66,147,36.75,1,0.25,0.015939424037933348,0.012179287274678548,0.012934257984161377,1.0,FDF_action_stats,shrink,pred_highpos,0.75,nested_numpy_ridge_targeted_intervention,4,"{""coverage"": true, ""dssim"": true, ""hard"": false, ""max_outer_worst"": true, ""mean"": false, ""positive_ratio"": false, ""true_vs_normal"": false, ""true_vs_shuffle"": false, ""true_vs_zero"": false, ""worst"": true}",False,0.75,0.18895833333333334,0.04707710790634155
2400,1.0,0.015914757251739502,0.012976840337117513,0.017937100728352865,5.115444461504619e-06,0.5183333333333333,42.80718994140625,66,147,36.75,1,0.25,0.01592240889867147,0.012161277135213215,0.012916295528411866,1.0,FDF_action_stats,shrink,pred_positive_forced,0.75,nested_numpy_ridge_targeted_intervention,4,"{""coverage"": true, ""dssim"": true, ""hard"": false, ""max_outer_worst"": true, ""mean"": false, ""positive_ratio"": false, ""true_vs_normal"": false, ""true_vs_shuffle"": false, ""true_vs_zero"": false, ""worst"": true}",False,0.75,0.18885416666666666,0.04706984408696492
2400,1.0,0.017276902198791504,0.014457581837972005,0.019468911488850913,5.580410361289978e-06,0.5254166666666666,42.80718994140625,60,143,35.75,3,0.75,0.01678316354751587,0.013328449726104736,0.01436448335647583,2.0,deployable_TQAU_action_all,shrink,pred_highpos,0.75,nested_numpy_ridge_targeted_intervention,4,"{""coverage"": true, ""dssim"": true, ""hard"": false, ""max_outer_worst"": true, ""mean"": false, ""positive_ratio"": false, ""true_vs_normal"": false, ""true_vs_shuffle"": false, ""true_vs_zero"": false, ""worst"": true}",False,0.75,0.19333333333333333,0.04702652645111084
2400,1.0,0.017241565386454265,0.014551442464192708,0.019369964599609376,5.57887057463328e-06,0.525,42.80718994140625,60,143,35.75,3,0.75,0.016757620970408123,0.013298250039418539,0.014344117641448974,2.0,deployable_TQAU_action_all,shrink,pred_positive_forced,0.75,nested_numpy_ridge_targeted_intervention,4,"{""coverage"": true, ""dssim"": true, ""hard"": false, ""max_outer_worst"": true, ""mean"": false, ""positive_ratio"": false, ""true_vs_normal"": false, ""true_vs_shuffle"": false, ""true_vs_zero"": false, ""worst"": true}",False,0.75,0.1934375,0.04701728661855062
2400,1.0,0.009259786605834961,0.007682838439941406,0.011012617746988933,2.716903885205587e-06,0.6695833333333333,42.80718994140625,16,36,9.0,0,0.0,0.009889975388844808,0.0076959983507792155,0.008326092561086018,0.0,deployable_TQAU_action_all,micro_shrink,pred_highpos,1.0,nested_numpy_ridge_targeted_intervention,4,"{""coverage"": true, ""dssim"": true, ""hard"": false, ""max_outer_worst"": true, ""mean"": false, ""positive_ratio"": true, ""true_vs_normal"": false, ""true_vs_shuffle"": false, ""true_vs_zero"": false, ""worst"": true}",False,1.0,0.11618750000000001,0.04658037249247233
2400,1.0,0.009207064310709636,0.007753391265869141,0.010870157877604167,2.711564302444458e-06,0.6691666666666667,42.80718994140625,17,37,9.25,0,0.0,0.009818518161773681,0.007631766796112061,0.00825916846593221,0.0,deployable_TQAU_action_all,micro_shrink,pred_positive_forced,1.0,nested_numpy_ridge_targeted_intervention,4,"{""coverage"": true, ""dssim"": true, ""hard"": false, ""max_outer_worst"": true, ""mean"": false, ""positive_ratio"": true, ""true_vs_normal"": false, ""true_vs_shuffle"": false, ""true_vs_zero"": false, ""worst"": true}",False,1.0,0.11620833333333334,0.04654209327697754
