fold,train_count,test_count,target_abs_mean_test,small_cnn_target_mse,depthwise_small_cnn_target_mse,shuffled_target_mse,global_broadcast_target_mse,variant,scope,count,mean_dPSNR,median_dPSNR,p01_dPSNR,p05_dPSNR,CVaR5_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,positive_ratio,severe_count,severe_rate,strong_reference_count,strong_reference_regressions
,,,,,,,,P1_exact_oracle_upper_bound,replay_fold3,480,6.184822154045105,5.759027481079102,1.6115551376342774,2.3277761459350588,1.8444290161132812,8.746709092458088,3.865075620015462,1.0,0,0.0,120,0
,,,,,,,,P1_exact_oracle_upper_bound,replay_fold4,480,6.229782561461131,5.7901458740234375,1.3702713394165038,2.204429817199707,1.6310822168986003,9.121893962224325,3.701932938893636,1.0,0,0.0,120,0
,,,,,,,,P1_global_broadcast_control,replay_fold0,480,0.13889760971069337,0.041961669921875,-2.5996734428405763,-1.1580368041992188,-1.9251946608225505,0.6760936737060547,-0.17462247212727863,0.5604166666666667,135,0.28125,120,67
,,,,,,,,P1_global_broadcast_control,replay_fold1,480,0.19703888495763142,0.030576705932617188,-2.2264944458007814,-1.143072509765625,-1.8339219093322754,0.8009309291839599,-0.16891791025797526,0.5583333333333333,123,0.25625,120,61
,,,,,,,,P1_global_broadcast_control,replay_fold2,480,0.18171561161677044,0.04032325744628906,-2.0664873504638672,-1.130769157409668,-1.7245710690816243,0.7542432308197021,-0.15339279174804688,0.5520833333333334,123,0.25625,120,65
,,,,,,,,P1_global_broadcast_control,replay_fold3,480,0.11828176975250244,0.04210662841796875,-2.2653902435302733,-1.171725082397461,-1.930902322133382,0.4474085172017415,-0.27723439534505206,0.5666666666666667,117,0.24375,120,60
,,,,,,,,P1_global_broadcast_control,replay_fold4,480,0.16206830342610676,0.0369415283203125,-2.1940185165405275,-0.9674665451049804,-1.7908552487691243,0.672385819753011,-0.17122586568196616,0.5416666666666666,133,0.27708333333333335,120,59
,,,,,,,,P1_shuffled_target_control,replay_fold0,480,-0.7112297177314758,-0.4183845520019531,-5.225027084350586,-3.3477882385253905,-4.815611362457275,0.140718412399292,-2.169242286682129,0.33125,280,0.5833333333333334,120,112
,,,,,,,,P1_shuffled_target_control,replay_fold1,480,-0.8859114368756612,-0.6682510375976562,-5.157151184082031,-3.36230583190918,-4.846976280212402,0.09440642992655436,-2.2563076972961427,0.26666666666666666,320,0.6666666666666666,120,115
,,,,,,,,P1_shuffled_target_control,replay_fold2,480,-0.8479209144910177,-0.6530895233154297,-5.365892906188964,-3.433563995361328,-4.99546496073405,0.19896620114644367,-2.232601515452067,0.29791666666666666,310,0.6458333333333334,120,118
,,,,,,,,P1_shuffled_target_control,replay_fold3,480,-0.7821391661961873,-0.5739383697509766,-4.7520199966430665,-3.3784889221191405,-4.46261739730835,0.06096461613972982,-1.8503481547037761,0.30833333333333335,301,0.6270833333333333,120,114
,,,,,,,,P1_shuffled_target_control,replay_fold4,480,-1.0108109871546427,-0.6878700256347656,-6.551038932800293,-4.108549499511719,-5.948369741439819,0.03092020352681478,-2.554347356160482,0.2875,315,0.65625,120,117
,,,,,,,,P1_small_cnn_spatial,replay_fold0,480,0.9434848109881083,0.4795684814453125,-3.074888572692871,-1.0178503036499023,-1.976225217183431,2.6514449596405028,-0.15659170150756835,0.7229166666666667,92,0.19166666666666668,120,60
,,,,,,,,P1_small_cnn_spatial,replay_fold1,480,0.9819740335146586,0.5621910095214844,-3.3754750442504884,-1.3463403701782226,-2.5567620595296225,2.837852398554484,-0.1987156867980957,0.7041666666666667,105,0.21875,120,61
,,,,,,,,P1_small_cnn_spatial,replay_fold2,480,1.0339026252428691,0.5784454345703125,-2.8077864837646485,-1.1670392990112304,-2.144876480102539,2.910471518834432,-0.15998929341634113,0.7041666666666667,99,0.20625,120,61
,,,,,,,,P1_small_cnn_spatial,replay_fold3,480,0.9141650835673014,0.6175899505615234,-2.6345925903320313,-1.278569221496582,-2.349670728047689,2.315380827585856,-0.07643715540568034,0.71875,98,0.20416666666666666,120,56
,,,,,,,,P1_small_cnn_spatial,replay_fold4,480,1.0871404767036439,0.7250270843505859,-1.5730857849121094,-1.0263023376464844,-1.4325893719991047,2.537925100326538,-0.05792652765909831,0.7458333333333333,92,0.19166666666666668,120,61
