risk_threshold,group,fold,seed,val_count,val_positive,roc_auc,pr_auc,top50_positive,precision_at_50,recall_at_50,top50_enrichment,top100_positive,precision_at_100,recall_at_100,top100_enrichment,top200_positive,precision_at_200,recall_at_200,top200_enrichment
-0.1,B6_spatial_plus_sensitivity,1,3411,480,17,0.815017151569051,0.12690899345503517,7.0,0.14,0.4117647058823529,3.952941176470589,10.0,0.1,0.5882352941176471,2.823529411764706,15.0,0.075,0.8823529411764706,2.1176470588235294
-0.1,B6_spatial_plus_sensitivity,2,3411,480,15,0.8577777777777778,0.16700534625278632,7.0,0.14,0.4666666666666667,4.48,12.0,0.12,0.8,3.84,14.0,0.07,0.9333333333333333,2.24
-0.1,B6_spatial_plus_sensitivity,3,3411,480,16,0.7848868534482759,0.09159759822553237,6.0,0.12,0.375,3.6,9.0,0.09,0.5625,2.6999999999999997,13.0,0.065,0.8125,1.9500000000000002
-0.1,B6_spatial_plus_sensitivity,4,3411,480,23,0.7689087622490725,0.25907847040467863,10.0,0.2,0.43478260869565216,4.173913043478261,13.0,0.13,0.5652173913043478,2.7130434782608694,18.0,0.09,0.782608695652174,1.8782608695652172
-0.1,B6_spatial_plus_sensitivity,0,2026,480,16,0.8133081896551724,0.2387007875926907,7.0,0.14,0.4375,4.2,8.0,0.08,0.5,2.4,15.0,0.075,0.9375,2.25
-0.1,B6_spatial_plus_sensitivity,1,2026,480,17,0.815017151569051,0.12690899345503517,7.0,0.14,0.4117647058823529,3.952941176470589,10.0,0.1,0.5882352941176471,2.823529411764706,15.0,0.075,0.8823529411764706,2.1176470588235294
-0.1,B6_spatial_plus_sensitivity,2,2026,480,15,0.8577777777777778,0.16700534625278632,7.0,0.14,0.4666666666666667,4.48,12.0,0.12,0.8,3.84,14.0,0.07,0.9333333333333333,2.24
-0.1,B6_spatial_plus_sensitivity,3,2026,480,16,0.7847521551724138,0.0915792705475968,6.0,0.12,0.375,3.6,9.0,0.09,0.5625,2.6999999999999997,13.0,0.065,0.8125,1.9500000000000002
-0.1,B6_spatial_plus_sensitivity,4,2026,480,23,0.7689087622490725,0.25907847040467863,10.0,0.2,0.43478260869565216,4.173913043478261,13.0,0.13,0.5652173913043478,2.7130434782608694,18.0,0.09,0.782608695652174,1.8782608695652172
-0.1,B7_all_runtime_spatial_sensitivity,0,3407,480,16,0.8119612068965517,0.25708017154097146,8.0,0.16,0.5,4.8,10.0,0.1,0.625,3.0,14.0,0.07,0.875,2.1
-0.1,B7_all_runtime_spatial_sensitivity,1,3407,480,17,0.7351035446576039,0.10772186655137493,6.0,0.12,0.35294117647058826,3.388235294117647,9.0,0.09,0.5294117647058824,2.541176470588235,12.0,0.06,0.7058823529411765,1.6941176470588235
-0.1,B7_all_runtime_spatial_sensitivity,2,3407,480,15,0.811899641577061,0.19423435385958834,7.0,0.14,0.4666666666666667,4.48,11.0,0.11,0.7333333333333333,3.52,13.0,0.065,0.8666666666666667,2.08
-0.1,B7_all_runtime_spatial_sensitivity,3,3407,480,16,0.7916217672413793,0.09576663429438165,4.0,0.08,0.25,2.4,9.0,0.09,0.5625,2.6999999999999997,13.0,0.065,0.8125,1.9500000000000002
-0.1,B7_all_runtime_spatial_sensitivity,4,3407,480,23,0.7221006564551422,0.2266434039432564,9.0,0.18,0.391304347826087,3.7565217391304344,13.0,0.13,0.5652173913043478,2.7130434782608694,16.0,0.08,0.6956521739130435,1.6695652173913043
-0.1,B7_all_runtime_spatial_sensitivity,0,3411,480,16,0.7657596982758621,0.2584429283839117,6.0,0.12,0.375,3.6,10.0,0.1,0.625,3.0,13.0,0.065,0.8125,1.9500000000000002
-0.1,B7_all_runtime_spatial_sensitivity,1,3411,480,17,0.796976241900648,0.13478724046593557,7.0,0.14,0.4117647058823529,3.952941176470589,10.0,0.1,0.5882352941176471,2.823529411764706,14.0,0.07,0.8235294117647058,1.9764705882352944
-0.1,B7_all_runtime_spatial_sensitivity,2,3411,480,15,0.8566308243727598,0.16034615796776447,7.0,0.14,0.4666666666666667,4.48,10.0,0.1,0.6666666666666666,3.2,14.0,0.07,0.9333333333333333,2.24
