risk_threshold,threshold_key,group,feature_count,count,positive,positive_rate,roc_auc,pr_auc,ece,top50_positive,precision_at_50,recall_at_50,top50_enrichment,top100_positive,precision_at_100,recall_at_100,top100_enrichment,top200_positive,precision_at_200,recall_at_200,top200_enrichment
-0.2,m0p2,B6_spatial_plus_sensitivity,1008,2400,67,0.027916666666666666,0.7550844150443666,0.11011831229223355,0.15762991822378927,8.0,0.16,0.11940298507462686,5.73134328358209,10.0,0.1,0.14925373134328357,3.582089552238806,24.0,0.12,0.3582089552238806,4.298507462686567
-0.2,m0p2,B7_all_runtime_spatial_sensitivity,1554,2400,67,0.027916666666666666,0.728138134872146,0.09353217824481433,0.12213481794087189,7.0,0.14,0.1044776119402985,5.014925373134329,12.0,0.12,0.1791044776119403,4.298507462686567,23.0,0.115,0.34328358208955223,4.119402985074627
-0.3,m0p3,B0_hazy_runtime_v214,7,2400,53,0.022083333333333333,0.8183389473514965,0.15765746718712859,0.3353467510414655,14.0,0.28,0.2641509433962264,12.679245283018869,18.0,0.18,0.33962264150943394,8.150943396226415,24.0,0.12,0.4528301886792453,5.433962264150943
-0.3,m0p3,B1_internal_scalar_v214,35,2400,53,0.022083333333333333,0.8479070029182175,0.13211776444091272,0.30204475130139574,9.0,0.18,0.16981132075471697,8.150943396226415,14.0,0.14,0.2641509433962264,6.339622641509434,23.0,0.115,0.4339622641509434,5.207547169811321
-0.3,m0p3,B2_all_scalar_v214,42,2400,53,0.022083333333333333,0.8528108946788755,0.1364251241515591,0.29112882504303544,10.0,0.2,0.18867924528301888,9.056603773584905,14.0,0.14,0.2641509433962264,6.339622641509434,19.0,0.095,0.3584905660377358,4.30188679245283
-0.3,m0p3,B3_internal_spatial,588,2400,53,0.022083333333333333,0.8132742722544235,0.12707304205377706,0.1611397947904425,9.0,0.18,0.16981132075471697,8.150943396226415,14.0,0.14,0.2641509433962264,6.339622641509434,23.0,0.115,0.4339622641509434,5.207547169811321
-0.3,m0p3,B4_hazy_plus_internal_spatial,1099,2400,53,0.022083333333333333,0.7936265485445089,0.1449435421503267,0.1206162482161239,9.0,0.18,0.16981132075471697,8.150943396226415,19.0,0.19,0.3584905660377358,8.60377358490566,29.0,0.145,0.5471698113207547,6.566037735849056
-0.3,m0p3,B5_internal_sensitivity,420,2400,53,0.022083333333333333,0.7852015017163622,0.09922754178620198,0.1985296158317571,7.0,0.14,0.1320754716981132,6.339622641509434,9.0,0.09,0.16981132075471697,4.0754716981132075,22.0,0.11,0.41509433962264153,4.981132075471698
-0.3,m0p3,B6_spatial_plus_sensitivity,1008,2400,53,0.022083333333333333,0.7988118111438931,0.11342274347212726,0.13559711967598137,7.0,0.14,0.1320754716981132,6.339622641509434,12.0,0.12,0.22641509433962265,5.433962264150943,25.0,0.125,0.4716981132075472,5.660377358490566
-0.3,m0p3,B7_all_runtime_spatial_sensitivity,1554,2400,53,0.022083333333333333,0.7780064474117903,0.12005898969191889,0.10044722935129505,7.0,0.14,0.1320754716981132,6.339622641509434,16.0,0.16,0.3018867924528302,7.245283018867925,27.0,0.135,0.5094339622641509,6.113207547169812
