risk_threshold,group,top_k,positive,top_k_positive,precision,recall,enrichment
-0.1,B7_all_runtime_spatial_sensitivity,200,87,27.0,0.135,0.3103448275862069,3.724137931034483
-0.2,B0_hazy_runtime_v214,50,67,15.0,0.3,0.22388059701492538,10.746268656716417
-0.2,B0_hazy_runtime_v214,100,67,19.0,0.19,0.2835820895522388,6.8059701492537314
-0.2,B0_hazy_runtime_v214,200,67,26.0,0.13,0.3880597014925373,4.656716417910448
-0.2,B1_internal_scalar_v214,50,67,9.0,0.18,0.13432835820895522,6.447761194029851
-0.2,B1_internal_scalar_v214,100,67,16.0,0.16,0.23880597014925373,5.73134328358209
-0.2,B1_internal_scalar_v214,200,67,26.0,0.13,0.3880597014925373,4.656716417910448
-0.2,B2_all_scalar_v214,50,67,10.0,0.2,0.14925373134328357,7.164179104477612
-0.2,B2_all_scalar_v214,100,67,15.0,0.15,0.22388059701492538,5.3731343283582085
-0.2,B2_all_scalar_v214,200,67,21.0,0.105,0.31343283582089554,3.761194029850746
-0.2,B3_internal_spatial,50,67,9.0,0.18,0.13432835820895522,6.447761194029851
-0.2,B3_internal_spatial,100,67,12.0,0.12,0.1791044776119403,4.298507462686567
-0.2,B3_internal_spatial,200,67,19.0,0.095,0.2835820895522388,3.4029850746268657
-0.2,B4_hazy_plus_internal_spatial,50,67,9.0,0.18,0.13432835820895522,6.447761194029851
-0.2,B4_hazy_plus_internal_spatial,100,67,15.0,0.15,0.22388059701492538,5.3731343283582085
-0.2,B4_hazy_plus_internal_spatial,200,67,26.0,0.13,0.3880597014925373,4.656716417910448
-0.2,B5_internal_sensitivity,50,67,9.0,0.18,0.13432835820895522,6.447761194029851
-0.2,B5_internal_sensitivity,100,67,13.0,0.13,0.19402985074626866,4.656716417910448
-0.2,B5_internal_sensitivity,200,67,22.0,0.11,0.3283582089552239,3.940298507462687
-0.2,B6_spatial_plus_sensitivity,50,67,8.0,0.16,0.11940298507462686,5.73134328358209
-0.2,B6_spatial_plus_sensitivity,100,67,10.0,0.1,0.14925373134328357,3.582089552238806
-0.2,B6_spatial_plus_sensitivity,200,67,24.0,0.12,0.3582089552238806,4.298507462686567
-0.2,B7_all_runtime_spatial_sensitivity,50,67,7.0,0.14,0.1044776119402985,5.014925373134329
-0.2,B7_all_runtime_spatial_sensitivity,100,67,12.0,0.12,0.1791044776119403,4.298507462686567
-0.2,B7_all_runtime_spatial_sensitivity,200,67,23.0,0.115,0.34328358208955223,4.119402985074627
-0.3,B0_hazy_runtime_v214,50,53,14.0,0.28,0.2641509433962264,12.679245283018869
-0.3,B0_hazy_runtime_v214,100,53,18.0,0.18,0.33962264150943394,8.150943396226415
-0.3,B0_hazy_runtime_v214,200,53,24.0,0.12,0.4528301886792453,5.433962264150943
-0.3,B1_internal_scalar_v214,50,53,9.0,0.18,0.16981132075471697,8.150943396226415
-0.3,B1_internal_scalar_v214,100,53,14.0,0.14,0.2641509433962264,6.339622641509434
-0.3,B1_internal_scalar_v214,200,53,23.0,0.115,0.4339622641509434,5.207547169811321
-0.3,B2_all_scalar_v214,50,53,10.0,0.2,0.18867924528301888,9.056603773584905
-0.3,B2_all_scalar_v214,100,53,14.0,0.14,0.2641509433962264,6.339622641509434
-0.3,B2_all_scalar_v214,200,53,19.0,0.095,0.3584905660377358,4.30188679245283
-0.3,B3_internal_spatial,50,53,9.0,0.18,0.16981132075471697,8.150943396226415
-0.3,B3_internal_spatial,100,53,14.0,0.14,0.2641509433962264,6.339622641509434
-0.3,B3_internal_spatial,200,53,23.0,0.115,0.4339622641509434,5.207547169811321
-0.3,B4_hazy_plus_internal_spatial,50,53,9.0,0.18,0.16981132075471697,8.150943396226415
-0.3,B4_hazy_plus_internal_spatial,100,53,19.0,0.19,0.3584905660377358,8.60377358490566
-0.3,B4_hazy_plus_internal_spatial,200,53,29.0,0.145,0.5471698113207547,6.566037735849056
-0.3,B5_internal_sensitivity,50,53,7.0,0.14,0.1320754716981132,6.339622641509434
-0.3,B5_internal_sensitivity,100,53,9.0,0.09,0.16981132075471697,4.0754716981132075
-0.3,B5_internal_sensitivity,200,53,22.0,0.11,0.41509433962264153,4.981132075471698
-0.3,B6_spatial_plus_sensitivity,50,53,7.0,0.14,0.1320754716981132,6.339622641509434
-0.3,B6_spatial_plus_sensitivity,100,53,12.0,0.12,0.22641509433962265,5.433962264150943
-0.3,B6_spatial_plus_sensitivity,200,53,25.0,0.125,0.4716981132075472,5.660377358490566
-0.3,B7_all_runtime_spatial_sensitivity,50,53,7.0,0.14,0.1320754716981132,6.339622641509434
-0.3,B7_all_runtime_spatial_sensitivity,100,53,16.0,0.16,0.3018867924528302,7.245283018867925
-0.3,B7_all_runtime_spatial_sensitivity,200,53,27.0,0.135,0.5094339622641509,6.113207547169812
