stage,group,bin,count,mean_dPSNR,mean_bootstrap_LCB,hard_bottom25_dPSNR,hard_bootstrap_LCB,easy_top25_dPSNR,positive_ratio,positive_Wilson_LCB,nonnegative_ratio,severe_loss_count,severe_loss_per_600,severe_Wilson_UCB,composition_S0,composition_wdmamba,composition_fsudp,composition_mbtaylor
S3,airlight_proxy_q4,q1,150,4.347604522705078,4.170040665308635,5.301035288217905,5.081892812574232,2.9995824452993034,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,0.0,0.8066666666666666,0.12666666666666668,0.06666666666666667
S3,airlight_proxy_q4,q2,157,4.074659469021354,3.9043079078577128,5.353459725013146,5.109675925817245,2.816635327461438,1.0,0.9761156317768539,1.0,0,0.0,0.02388436822314625,0.0,0.7452229299363057,0.1592356687898089,0.09554140127388536
S3,airlight_proxy_q4,q3,143,3.507515793913728,3.3361684979258714,4.902668598720005,4.5956714057922365,2.428719220842634,1.0,0.9738384762900977,1.0,0,0.0,0.02616152370990237,0.013986013986013986,0.6573426573426573,0.2937062937062937,0.03496503496503497
S3,airlight_proxy_q4,q4,150,2.861226666768392,2.699196329116821,4.167953233461122,3.844874317581589,2.0505197885874153,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,0.02666666666666667,0.34,0.62,0.013333333333333334
S3,depth_q4,q1,150,3.8657610575358072,3.660659531911214,5.072342537544869,4.836525831995784,2.367933427965319,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,0.013333333333333334,0.7,0.23333333333333334,0.05333333333333334
S3,depth_q4,q2,150,3.75229679107666,3.566517073313395,5.009274096102328,4.751145362854004,2.2586841067752323,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,0.0,0.6333333333333333,0.32,0.04666666666666667
S3,depth_q4,q3,150,3.8735283025105796,3.6714909877777098,5.313023386774836,5.0673028842822925,2.450093346673089,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,0.006666666666666667,0.58,0.32666666666666666,0.08666666666666667
S3,depth_q4,q4,150,3.325887006123861,3.1471395009358725,4.6642070976463526,4.366556644439697,2.1904426780906885,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,0.02,0.64,0.31333333333333335,0.02666666666666667
S3,dark_channel_q4,q1,150,3.118832817077637,2.9330400409698485,4.731972513972102,4.432914079202187,1.9434895902066618,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,0.013333333333333334,0.44,0.49333333333333335,0.05333333333333334
S3,dark_channel_q4,q2,150,3.5932795333862306,3.404825929005941,4.912144892924541,4.534114082439526,2.368745752283045,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,0.02,0.5666666666666667,0.34,0.07333333333333333
S3,dark_channel_q4,q3,150,3.997774391174316,3.7937941608428956,5.284425632373707,5.075801532332962,2.634059596706081,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,0.006666666666666667,0.7066666666666667,0.24666666666666667,0.04
S3,dark_channel_q4,q4,150,4.107586415608724,3.923773222605387,5.1715985890981315,4.915555010615169,2.934390300029033,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,0.0,0.84,0.11333333333333333,0.04666666666666667
S3,low_texture_q4,q1,150,3.4761437861124675,3.2856322447458903,5.021400400110193,4.729211214426402,2.0852847743678735,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,0.02,0.56,0.35333333333333333,0.06666666666666667
S3,low_texture_q4,q2,150,3.892060152689616,3.6704439226786296,5.279218158206424,5.08669567365904,2.2431943738782727,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,0.006666666666666667,0.6333333333333333,0.3,0.06
S3,low_texture_q4,q3,150,3.7352157719930013,3.5493343677520754,4.965064950891443,4.700506447456979,2.611223994074641,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,0.013333333333333334,0.6866666666666666,0.26666666666666666,0.03333333333333333
S3,low_texture_q4,q4,150,3.714053446451823,3.514240049997966,5.0365165504249365,4.799462202432993,2.372157844337257,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,0.0,0.6733333333333333,0.2733333333333333,0.05333333333333334
S3,edge_density_q4,q1,150,3.5798106002807617,3.391718132654826,5.169074032757734,4.877366179388923,2.1423609965556376,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,0.02,0.6266666666666667,0.3,0.05333333333333334
S3,edge_density_q4,q2,150,3.5360401026407877,3.3359267883300783,5.108697272635795,4.86756460602219,2.0805972331279032,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,0.006666666666666667,0.5466666666666666,0.38666666666666666,0.06
S3,edge_density_q4,q3,150,3.7979272842407226,3.6068719387054444,5.1037789937612175,4.828966228382007,2.4423426035288216,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,0.013333333333333334,0.6733333333333333,0.2733333333333333,0.04
S3,edge_density_q4,q4,150,3.9036951700846356,3.7270510641733807,4.976079064446527,4.737431771046406,2.423478719350454,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,0.0,0.7066666666666667,0.23333333333333334,0.06
S3,sky_highlight_proxy_q4,q1,150,3.5917825444539386,3.387787805557251,5.124094937298749,4.910358052640348,2.1474185634303735,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,0.013333333333333334,0.5666666666666667,0.35333333333333333,0.06666666666666667
S3,sky_highlight_proxy_q4,q2,150,3.2669182205200196,3.086397627512614,4.497628856349635,4.142930340122533,2.132038116455078,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,0.02,0.48,0.4666666666666667,0.03333333333333333
S3,sky_highlight_proxy_q4,q3,150,3.6254378509521485,3.4341444861094157,4.930651690508868,4.67217509810989,2.393277864198427,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,0.0,0.66,0.28,0.06
S3,sky_highlight_proxy_q4,q4,150,4.3333345413208,4.155892789840698,5.258614772074932,4.988383540591679,3.125331569362331,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,0.006666666666666667,0.8466666666666667,0.09333333333333334,0.05333333333333334
