stage,group,bin,count,mean_gain_over_S0,hard_bottom25_gain_over_S0,positive_ratio,positive_Wilson_LCB,severe_loss_count,severe_Wilson_UCB,min_gain,composition_S0,composition_wdmamba,composition_fsudp,composition_mbtaylor
S2,transmission_q4,q3,150,2.889554074605306,4.06287059268436,0.9866666666666667,0.9526921436197237,0,0.02497113914571871,0.0,0.013333333333333334,0.6933333333333334,0.29333333333333333,0.0
S2,transmission_q4,q4,150,1.813847796122233,2.551209475543048,0.98,0.9428523341357584,0,0.02497113914571871,0.0,0.02,0.3,0.68,0.0
S2,airlight_proxy_q4,q1,150,3.724367243448893,4.483186051652238,0.9933333333333333,0.9632062470660242,0,0.02497113914571871,0.0,0.006666666666666667,0.8666666666666667,0.12666666666666668,0.0
S2,airlight_proxy_q4,q2,157,3.6840826629833052,4.827197637313452,1.0,0.9761156317768539,0,0.02388436822314625,0.016448974609375,0.0,0.8343949044585988,0.16560509554140126,0.0
S2,airlight_proxy_q4,q3,143,2.939599243910996,4.6938294001988,0.986013986013986,0.9504420452891259,0,0.02616152370990237,0.0,0.013986013986013986,0.6923076923076923,0.2937062937062937,0.0
S2,airlight_proxy_q4,q4,150,2.0834877395629885,3.5446643829345703,0.9733333333333334,0.9334450938998244,0,0.02497113914571871,0.0,0.02666666666666667,0.3466666666666667,0.6266666666666667,0.0
S2,depth_q4,q1,150,3.325103073120117,4.808258778340107,0.98,0.9428523341357584,0,0.02497113914571871,0.0,0.02,0.7333333333333333,0.24666666666666667,0.0
S2,depth_q4,q2,150,3.1976720809936525,4.611569739676811,1.0,0.9750288608542813,0,0.02497113914571871,0.1200714111328125,0.0,0.68,0.32,0.0
S2,depth_q4,q3,150,3.1924091974894204,4.4867166570715,0.9933333333333333,0.9632062470660242,0,0.02497113914571871,0.0,0.006666666666666667,0.6666666666666666,0.32666666666666666,0.0
S2,depth_q4,q4,150,2.7510950978597006,3.9570910479571366,0.98,0.9428523341357584,0,0.02497113914571871,0.0,0.02,0.6666666666666666,0.31333333333333335,0.0
S2,dark_channel_q4,q1,150,2.3489516957600913,3.8438587704220333,0.9866666666666667,0.9526921436197237,0,0.02497113914571871,0.0,0.013333333333333334,0.49333333333333335,0.49333333333333335,0.0
S2,dark_channel_q4,q2,150,2.9126712163289388,4.262304306030273,0.9733333333333334,0.9334450938998244,0,0.02497113914571871,0.0,0.02666666666666667,0.6333333333333333,0.34,0.0
S2,dark_channel_q4,q3,150,3.534609972635905,5.006762066402951,0.9933333333333333,0.9632062470660242,0,0.02497113914571871,0.0,0.006666666666666667,0.74,0.25333333333333335,0.0
S2,dark_channel_q4,q4,150,3.6700465647379557,4.701957805736645,1.0,0.9750288608542813,0,0.02497113914571871,0.32897186279296875,0.0,0.88,0.12,0.0
S2,low_texture_q4,q1,150,2.8604150263468426,4.539681666606182,0.98,0.9428523341357584,0,0.02497113914571871,0.0,0.02,0.6266666666666667,0.35333333333333333,0.0
S2,low_texture_q4,q2,150,3.295687446594238,4.832982295268291,0.9866666666666667,0.9526921436197237,0,0.02497113914571871,0.0,0.013333333333333334,0.6866666666666666,0.3,0.0
S2,low_texture_q4,q3,150,3.2237115732828774,4.660488850361592,0.9866666666666667,0.9526921436197237,0,0.02497113914571871,0.0,0.013333333333333334,0.7133333333333334,0.2733333333333333,0.0
S2,low_texture_q4,q4,150,3.0864654032389325,4.168394552694784,1.0,0.9750288608542813,0,0.02497113914571871,0.052440643310546875,0.0,0.72,0.28,0.0
S2,edge_density_q4,q1,150,2.989687639872233,4.7363461159371045,0.98,0.9428523341357584,0,0.02497113914571871,0.0,0.02,0.6733333333333333,0.30666666666666664,0.0
S2,edge_density_q4,q2,150,2.8502203114827473,4.329734492946315,0.9933333333333333,0.9632062470660242,0,0.02497113914571871,0.0,0.006666666666666667,0.6,0.3933333333333333,0.0
S2,edge_density_q4,q3,150,3.2332710647583007,4.478044819187474,0.9866666666666667,0.9526921436197237,0,0.02497113914571871,0.0,0.013333333333333334,0.7133333333333334,0.2733333333333333,0.0
S2,edge_density_q4,q4,150,3.3931004333496095,4.515708820239918,0.9933333333333333,0.9632062470660242,0,0.02497113914571871,0.0,0.006666666666666667,0.76,0.23333333333333334,0.0
S2,sky_highlight_proxy_q4,q1,150,2.7900731913248698,4.3571284526103256,0.98,0.9428523341357584,0,0.02497113914571871,0.0,0.02,0.6266666666666667,0.35333333333333333,0.0
S2,sky_highlight_proxy_q4,q2,150,2.5650028864542644,3.732637405395508,0.98,0.9428523341357584,0,0.02497113914571871,0.0,0.02,0.5066666666666667,0.47333333333333333,0.0
S2,sky_highlight_proxy_q4,q3,150,3.163493766784668,4.577100444484401,1.0,0.9750288608542813,0,0.02497113914571871,0.016448974609375,0.0,0.72,0.28,0.0
S2,sky_highlight_proxy_q4,q4,150,3.9477096048990887,4.912291140169711,0.9933333333333333,0.9632062470660242,0,0.02497113914571871,0.0,0.006666666666666667,0.8933333333333333,0.1,0.0
