group,bin,expert_selected_rate,unique_win_rate,count,mean_dPSNR,mean_bootstrap_LCB,hard_bottom25_dPSNR,hard_bootstrap_LCB,easy_top25_dPSNR,dSSIM,positive_ratio,positive_Wilson_LCB,nonnegative_ratio,severe_loss_count,severe_loss_per_600,severe_Wilson_UCB
FullUDP-A0_diff_abs_q4,q3,0.7666666666666667,0.7666666666666667,150,1.9106919606526693,1.7578041636149089,2.6830901068610116,2.260344059402878,1.2659035760003168,0.0,0.9866666666666667,0.9526921436197237,1.0,0,0.0,0.02497113914571871
FullUDP-A0_diff_abs_q4,q4,0.74,0.74,150,1.8696358489990235,1.6950773766835532,2.556004086056271,2.170732614156362,1.1513107918404244,0.0,0.96,0.9154854608728422,1.0,0,0.0,0.02497113914571871
Expert-A0_diff_signed_q4,q1,0.8733333333333333,0.8733333333333333,150,2.7298117955525716,2.5036893113454184,3.210721814954603,2.8025864111410606,1.8421530852446686,0.0,0.9933333333333333,0.9632062470660242,1.0,0,0.0,0.02497113914571871
Expert-A0_diff_signed_q4,q2,0.8333333333333334,0.8333333333333334,150,1.7129758453369142,1.5674189376831054,1.5383960620777026,1.2681854789321487,1.5519158646867082,0.0,0.9866666666666667,0.9526921436197237,1.0,0,0.0,0.02497113914571871
Expert-A0_diff_signed_q4,q3,0.5733333333333334,0.5733333333333334,150,1.2288385391235352,1.1193855870564777,1.7408876676817198,1.5079862852354309,0.8587258828652872,0.0,0.9933333333333333,0.9632062470660242,1.0,0,0.0,0.02497113914571871
Expert-A0_diff_signed_q4,q4,0.5466666666666666,0.5466666666666666,150,1.3299328231811522,1.1845630308787027,1.8757900031837258,1.5612528955614244,0.9968240067765519,0.0,0.9666666666666667,0.9243471574929044,1.0,0,0.0,0.02497113914571871
expert_disagreement_q4,q1,0.46,0.46,150,1.1685022608439128,1.0574055112202962,1.5384172491125159,1.3019345670133025,0.9765623969000738,0.0,0.9866666666666667,0.9526921436197237,1.0,0,0.0,0.02497113914571871
expert_disagreement_q4,q2,0.7333333333333333,0.7333333333333333,150,1.5620892079671225,1.4305850162506102,1.8617193892195418,1.599712271303744,1.1373535362449851,0.0,0.9866666666666667,0.9526921436197237,1.0,0,0.0,0.02497113914571871
expert_disagreement_q4,q3,0.76,0.76,150,1.7411802927652995,1.5852433211008707,2.0418269183184647,1.7037947706274084,1.070820679535737,0.0,0.98,0.9428523341357584,1.0,0,0.0,0.02497113914571871
expert_disagreement_q4,q4,0.8733333333333333,0.8733333333333333,150,2.5297872416178384,2.3085972334543863,2.8630670599035315,2.4676282264090874,1.5658324989112649,0.0,0.9866666666666667,0.9526921436197237,1.0,0,0.0,0.02497113914571871
residual_cosine_q4,q1,0.8066666666666666,0.8066666666666666,150,2.0538851038614907,1.8656739597320555,2.9225912867365658,2.379414419225744,1.1017430279705975,0.0,0.9933333333333333,0.9632062470660242,1.0,0,0.0,0.02497113914571871
residual_cosine_q4,q2,0.6733333333333333,0.6733333333333333,150,1.3309499359130859,1.1928402093251547,2.071696410308013,1.7138548206638646,0.9008286965859903,0.0,0.9866666666666667,0.9526921436197237,1.0,0,0.0,0.02497113914571871
residual_cosine_q4,q3,0.6266666666666667,0.6266666666666667,150,1.4176942189534505,1.2707300097147625,2.2053597939981,1.82483309152964,0.7891470419394003,0.0,0.9933333333333333,0.9632062470660242,1.0,0,0.0,0.02497113914571871
residual_cosine_q4,q4,0.72,0.72,150,2.199029744466146,2.008686349868775,2.464111431224926,2.12145072576162,1.473478059510927,0.0,0.9666666666666667,0.9243471574929044,1.0,0,0.0,0.02497113914571871
