name,ldhn_components,ldhn_largest_component,ldhn_component_p50,ldhn_component_p90
1763_0.58_1.25.png,12,299,3.0,86.0
1765_0.51_1.47.png,19,837,3.0,73.0
1773_0.58_1.45.png,26,38,2.0,10.0
1784_0.94_1.15.png,9,4,1.0,2.0
1795_0.99_1.84.png,1,1,1.0,1.0
1796_0.93_0.58.png,2,8,1.0,8.0
17_0.55_1.91.png,19,558,3.0,32.0
1801_0.99_0.78.png,10,123,1.0,16.0
1803_0.99_1.79.png,5,9,2.0,9.0
1814_0.55_0.54.png,11,11,2.0,11.0
1817_0.81_2.0.png,3,220,29.0,220.0
1822_0.51_1.51.png,11,74,5.0,13.0
1835_0.61_1.23.png,15,531,5.0,33.0
183_0.77_0.99.png,12,487,8.0,42.0
1841_0.64_1.79.png,11,61,13.0,39.0
1844_0.91_1.28.png,6,56,3.0,35.0
1851_0.7_1.14.png,11,15,3.0,6.0
1854_0.94_1.49.png,4,13,12.0,13.0
1859_0.73_1.32.png,2,12,1.0,12.0
1860_0.77_1.07.png,3,11,5.0,11.0
1862_0.82_1.52.png,13,93,3.0,11.0
1867_0.67_1.54.png,14,991,2.0,414.0
1875_0.95_0.91.png,16,42,3.0,22.0
1876_0.97_1.69.png,22,25,1.0,8.0
1884_0.78_0.61.png,10,51,2.0,28.0
1885_0.54_0.83.png,5,59,10.0,59.0
1892_0.85_0.58.png,9,192,13.0,189.0
1895_0.9_1.62.png,15,494,6.0,351.0
1898_0.84_0.98.png,12,38,4.0,31.0
1911_0.96_1.13.png,8,305,47.0,103.0
1912_1.0_0.84.png,8,310,8.0,151.0
1914_0.81_0.98.png,14,182,2.0,16.0
1917_0.96_1.37.png,3,10,5.0,10.0
1919_0.59_0.94.png,5,10,1.0,10.0
1920_0.99_1.69.png,3,8,6.0,8.0
1923_0.81_1.81.png,9,64,8.0,55.0
1936_0.52_1.67.png,7,45,6.0,9.0
1937_0.79_0.84.png,11,63,2.0,12.0
1939_0.93_1.32.png,9,56,1.0,14.0
1942_0.89_0.67.png,12,94,3.0,31.0
1952_0.78_0.75.png,16,100,2.0,35.0
1956_0.99_1.4.png,22,20,1.0,15.0
1966_0.52_1.48.png,49,66,1.0,9.0
196_0.8_0.88.png,4,729,41.0,729.0
1979_0.6_0.93.png,27,62,2.0,35.0
1982_0.99_1.89.png,8,77,3.0,19.0
1985_0.57_1.93.png,15,802,6.0,83.0
1988_0.94_1.22.png,7,84,3.0,39.0
2000_0.86_0.62.png,18,77,2.0,19.0
2003_0.64_1.33.png,26,28,3.0,16.0
2007_0.61_1.26.png,18,68,7.0,36.0
2013_1.0_1.78.png,5,346,3.0,346.0
2024_0.99_1.36.png,13,14,2.0,12.0
2026_0.99_1.41.png,5,41,7.0,41.0
2027_0.69_0.59.png,22,168,3.0,22.0
2028_0.98_1.27.png,6,32,5.0,18.0
2033_0.61_0.56.png,15,26,2.0,20.0
2043_0.97_0.54.png,15,25,2.0,21.0
2050_0.8_1.8.png,12,115,7.0,83.0
2051_0.92_0.92.png,18,397,6.0,20.0
2057_0.86_0.85.png,25,68,2.0,22.0
2061_0.79_1.72.png,6,51,3.0,45.0
2063_0.76_1.8.png,6,70,3.0,51.0
2069_0.7_1.18.png,21,28,4.0,11.0
2070_0.86_0.78.png,18,21,3.0,13.0
2071_0.63_1.21.png,24,95,2.0,19.0
2072_0.87_1.18.png,13,20,6.0,19.0
2073_0.87_1.93.png,12,62,3.0,9.0
2074_0.71_0.74.png,35,38,2.0,16.0
2076_0.85_1.77.png,12,87,2.0,19.0
2079_0.62_1.17.png,23,276,2.0,44.0
2080_0.53_1.58.png,29,125,2.0,16.0
2087_0.72_1.14.png,19,35,3.0,14.0
2094_0.56_1.05.png,12,841,2.0,155.0
2096_0.77_1.76.png,14,71,6.0,32.0
2109_0.56_1.42.png,19,163,3.0,73.0
2111_0.68_1.03.png,19,67,3.0,24.0
2114_0.9_1.51.png,38,45,1.0,12.0
2115_0.75_1.52.png,28,202,4.0,24.0
2119_0.54_1.47.png,27,332,3.0,14.0
2121_0.73_0.63.png,9,28,3.0,6.0
2123_0.66_0.89.png,9,14,6.0,13.0
2126_0.75_0.91.png,14,252,3.0,70.0
212_0.71_1.94.png,7,336,12.0,17.0
2132_0.76_1.7.png,32,21,2.0,8.0
2135_0.51_1.0.png,15,96,3.0,84.0
2140_0.55_0.94.png,55,204,3.0,17.0
2141_0.55_0.57.png,12,124,2.0,16.0
2144_0.54_1.03.png,17,92,3.0,13.0
2145_0.59_1.25.png,19,48,2.0,8.0
2150_0.89_1.44.png,14,169,3.0,83.0
2151_0.78_0.51.png,16,149,2.0,16.0
2156_0.71_1.75.png,26,91,4.0,15.0
215_0.58_0.63.png,5,8,5.0,8.0
2163_0.52_1.35.png,17,95,2.0,14.0
2176_0.54_1.82.png,21,144,6.0,36.0
2179_0.63_0.92.png,12,516,10.0,140.0
217_0.79_0.54.png,8,2347,3.0,394.0
2190_0.51_0.51.png,32,248,3.0,36.0
2195_0.53_1.24.png,30,390,4.0,23.0
2204_0.99_1.22.png,11,851,1.0,296.0
2207_0.53_1.2.png,21,125,5.0,24.0
220_0.56_1.69.png,14,291,3.0,67.0
2216_0.58_1.17.png,13,73,2.0,21.0
2220_0.92_1.02.png,4,13,8.0,13.0
2231_0.71_0.89.png,14,123,2.0,15.0
2234_0.76_1.1.png,12,49,4.0,41.0
2235_0.91_1.78.png,11,88,5.0,14.0
2244_0.77_1.02.png,7,50,9.0,17.0
2247_0.9_1.37.png,20,168,6.0,21.0
2250_0.67_1.7.png,14,89,1.0,43.0
2259_0.79_0.9.png,15,86,4.0,47.0
2262_0.79_1.73.png,5,24,17.0,24.0
2264_0.66_1.54.png,9,37,7.0,16.0
2265_0.72_1.34.png,3,7,7.0,7.0
2269_0.52_1.13.png,1,13,13.0,13.0
226_0.56_0.7.png,20,72,3.0,26.0
2271_0.6_1.89.png,1,14,14.0,14.0
2277_0.69_0.53.png,14,28,4.0,26.0
2279_0.82_0.88.png,20,14,3.0,10.0
2282_0.93_1.05.png,14,20,2.0,18.0
2283_0.58_1.18.png,17,49,6.0,20.0
228_0.81_0.73.png,14,108,2.0,95.0
2290_0.92_1.28.png,5,3,3.0,3.0
2292_0.82_1.71.png,3,6,2.0,6.0
2294_1.0_1.16.png,5,22,7.0,22.0
2298_0.55_1.86.png,24,61,5.0,42.0
229_0.93_1.79.png,6,122,3.0,50.0
2305_0.57_1.54.png,18,405,3.0,125.0
2307_0.75_1.96.png,22,150,6.0,27.0
2310_0.9_1.71.png,14,718,2.0,209.0
2317_0.62_1.27.png,11,246,6.0,139.0
2319_0.9_0.55.png,9,323,4.0,104.0
2325_0.93_1.76.png,17,269,3.0,52.0
2334_0.56_0.79.png,38,157,2.0,24.0
2338_0.62_1.42.png,19,189,5.0,33.0
2345_0.9_0.78.png,9,52,4.0,18.0
2365_0.53_0.5.png,18,188,4.0,58.0
236_0.67_1.6.png,5,44,1.0,44.0
2379_0.79_1.37.png,6,46,5.0,19.0
2382_0.63_0.9.png,12,29,6.0,14.0
2386_0.97_1.08.png,15,124,4.0,101.0
238_0.87_1.74.png,5,689,43.0,689.0
2395_0.78_1.43.png,8,37,12.0,27.0
23_0.83_1.63.png,3,115,17.0,115.0
2402_0.8_0.8.png,22,351,2.0,50.0
2408_0.55_1.94.png,22,155,2.0,18.0
2409_0.55_1.95.png,13,38,3.0,8.0
2410_0.57_1.09.png,24,38,2.0,22.0
2411_0.81_0.52.png,30,47,2.0,8.0
2415_0.55_1.63.png,14,248,5.0,146.0
2420_0.95_0.63.png,11,212,4.0,52.0
2432_0.94_1.56.png,16,42,4.0,19.0
2437_0.64_0.7.png,10,39,4.0,33.0
2441_0.74_1.28.png,22,528,3.0,27.0
2450_0.51_0.64.png,8,23,7.0,19.0
2453_0.54_1.83.png,17,148,2.0,17.0
2454_0.81_1.92.png,5,84,20.0,84.0
2458_0.78_1.02.png,7,57,16.0,51.0
2463_0.85_1.05.png,17,36,2.0,12.0
2467_0.62_0.72.png,6,26,4.0,11.0
2474_0.91_0.84.png,25,120,2.0,22.0
2475_0.92_1.34.png,21,132,2.0,11.0
2476_0.67_0.56.png,17,165,2.0,7.0
2483_0.82_1.17.png,22,221,1.0,138.0
2490_0.71_1.73.png,11,42,5.0,27.0
2491_0.94_1.9.png,10,72,2.0,28.0
2496_0.61_0.78.png,23,166,3.0,46.0
2498_0.54_1.1.png,14,125,2.0,57.0
249_0.65_1.99.png,3,7,3.0,7.0
24_0.53_1.21.png,2,200,41.0,200.0
2517_0.94_1.24.png,25,82,2.0,30.0
2522_0.78_1.79.png,21,325,2.0,57.0
2525_0.79_1.85.png,5,1231,3.0,1231.0
252_0.98_1.73.png,5,6,2.0,6.0
2542_0.7_1.52.png,5,26,8.0,26.0
2550_0.85_1.96.png,7,151,15.0,38.0
2556_0.89_1.72.png,9,118,7.0,19.0
2559_0.81_1.96.png,10,535,2.0,32.0
2563_0.85_0.62.png,6,2,1.0,2.0
2567_0.52_1.05.png,21,44,2.0,15.0
2570_0.99_2.0.png,6,16,5.0,8.0
2572_0.54_1.3.png,4,128,18.0,128.0
2574_0.57_1.08.png,3,21,13.0,21.0
2581_0.79_1.95.png,20,317,5.0,25.0
2589_0.62_1.28.png,11,39,1.0,20.0
2591_0.78_1.58.png,16,11,2.0,9.0
2596_0.54_1.72.png,14,118,2.0,24.0
259_0.87_0.76.png,8,508,6.0,48.0
25_0.59_1.43.png,9,308,29.0,291.0
2608_0.68_1.54.png,13,115,2.0,86.0
2612_0.52_1.14.png,20,77,3.0,19.0
2614_0.55_0.63.png,13,94,5.0,34.0
261_0.54_0.73.png,11,1728,3.0,12.0
2625_0.88_1.86.png,10,16,5.0,15.0
2626_0.88_1.19.png,14,24,4.0,20.0
2628_0.86_1.01.png,16,57,4.0,31.0
2632_0.92_1.01.png,5,46,8.0,46.0
2635_0.98_1.78.png,18,281,2.0,5.0
2641_0.7_1.91.png,20,195,3.0,28.0
2646_0.82_1.47.png,9,97,4.0,43.0
2652_0.85_1.34.png,9,41,2.0,4.0
2653_0.5_0.98.png,11,46,12.0,37.0
2663_0.54_1.88.png,17,66,1.0,16.0
2665_0.85_1.17.png,17,81,2.0,17.0
2674_0.84_1.83.png,12,37,2.0,30.0
2680_0.94_1.89.png,16,32,2.0,23.0
2682_0.96_1.39.png,8,27,5.0,15.0
2687_0.61_0.9.png,11,45,5.0,34.0
268_0.79_1.15.png,19,266,3.0,14.0
2693_0.69_0.91.png,6,10,4.0,6.0
2696_0.77_1.3.png,11,49,6.0,30.0
2700_0.59_1.66.png,4,25,3.0,25.0
2703_0.77_1.67.png,11,67,3.0,28.0
2704_0.84_1.81.png,11,151,2.0,15.0
2705_0.68_1.36.png,2,19,2.0,19.0
2707_0.61_1.6.png,1,20,20.0,20.0
2708_0.72_1.57.png,2,19,17.0,19.0
2710_0.56_1.69.png,4,192,10.0,192.0
2712_0.65_1.83.png,4,151,3.0,151.0
2714_0.9_1.77.png,2,46,5.0,46.0
2739_0.95_1.39.png,8,63,11.0,32.0
2744_0.6_1.82.png,12,113,4.0,31.0
2747_0.87_1.0.png,20,40,5.0,16.0
2754_0.83_1.45.png,25,101,2.0,36.0
2759_0.52_1.32.png,17,138,3.0,25.0
