feature_set,probe,threshold,coverage,precision,recall
feature_set_3,linear,0.2437185275554657,0.87999359111301,0.554955392365115,0.9767143772698141
feature_set_3,linear,0.26832477807998656,0.8599658192693869,0.5632840640914172,0.9688100833155309
feature_set_3,linear,0.2919731271266937,0.8399914548173467,0.5698118006103764,0.9572740867336039
feature_set_3,linear,0.3135863745212555,0.8199636829737236,0.5761740376473653,0.9448835718863491
feature_set_3,linear,0.3299192428588868,0.7999893185216834,0.5816810200947994,0.9306772057252723
feature_set_3,linear,0.34816662669181825,0.7799615466780603,0.5884004382360997,0.9178594317453536
feature_set_3,linear,0.3629491746425628,0.7599871822260201,0.5943078004216444,0.9033326212347789
feature_set_3,linear,0.37851591467857365,0.7400128177739799,0.5990184757505773,0.8865627002777184
feature_set_3,linear,0.3919972372055054,0.7199850459303567,0.6045545582671908,0.8705404828028199
feature_set_3,linear,0.4048280745744705,0.7000106814783166,0.6104371709773404,0.8546250801110874
feature_set_3,linear,0.417076940536499,0.6799829096346934,0.6166352497643732,0.8386028626361889
feature_set_3,linear,0.42979522109031676,0.6600085451826533,0.6210551869234504,0.8198034607989746
feature_set_3,linear,0.44240964770317076,0.6399807733390301,0.6278060585829925,0.8035676137577441
feature_set_3,linear,0.454509374499321,0.62000640888699,0.6339047290894996,0.7860499893185217
feature_set_3,linear,0.4661406695842743,0.5999786370433668,0.6386861313868614,0.7663960692159795
feature_set_3,linear,0.47688538908958433,0.5800042725913266,0.643646408839779,0.7466353343302713
feature_set_3,linear,0.48778218507766724,0.5599765007477034,0.6487362899380067,0.7265541550950652
feature_set_3,linear,0.49794562101364137,0.5400021362956633,0.6550291761447928,0.7074343089083529
feature_set_3,linear,0.5080498671531676,0.5199743644520401,0.6605382087099425,0.6869258705404828
feature_set_3,linear,0.5186930298805237,0.5,0.6657765434736167,0.6657765434736167
feature_set_3,linear,0.5284945058822632,0.48002563554795985,0.6711170449488206,0.6443067720572527
feature_set_3,linear,0.5385833954811097,0.4599978637043367,0.6767676767676768,0.6226233710745567
feature_set_3,linear,0.5483498239517212,0.4400234992522965,0.6838208520451511,0.6017944883571886
feature_set_3,linear,0.5583473229408265,0.41999572740867336,0.6880722278738556,0.5779747917111728
feature_set_3,linear,0.5673797369003296,0.4000213629566332,0.6931909212283044,0.554582354197821
feature_set_3,linear,0.5763983392715454,0.37999359111301007,0.6990864371047084,0.5312967314676351
feature_set_3,linear,0.587101411819458,0.36001922666096986,0.7049399198931909,0.5075838496047853
feature_set_3,linear,0.5966013896465302,0.3399914548173467,0.7109644989004085,0.48344370860927155
